"animal","dam","sire","dat"
"09_107F",NA,NA,FALSE
"10_A1F",NA,NA,FALSE
"10_128F",NA,NA,FALSE
"10_A17F",NA,NA,FALSE
"11_A42F",NA,NA,FALSE
"10_53F",NA,NA,FALSE
"10_41F",NA,NA,FALSE
"10_A39F",NA,NA,FALSE
"11_62F",NA,NA,FALSE
"16_A46F",NA,NA,FALSE
"16_A14F",NA,NA,FALSE
"16_156F",NA,NA,FALSE
"10_158F",NA,NA,FALSE
"10_82F",NA,NA,FALSE
"10_179F",NA,NA,FALSE
"14_46F",NA,NA,FALSE
"09_107M",NA,NA,FALSE
"10_C33",NA,NA,FALSE
"10_C45",NA,NA,FALSE
"10_C65",NA,NA,FALSE
"10_C21",NA,NA,FALSE
"11_C14",NA,NA,FALSE
"09_5M",NA,NA,FALSE
"09_1M",NA,NA,FALSE
"09_78M",NA,NA,FALSE
"10_C40",NA,NA,FALSE
"11_C63",NA,NA,FALSE
"12_C61",NA,NA,FALSE
"14_C47",NA,NA,FALSE
"16_C15",NA,NA,FALSE
"16_C20",NA,NA,FALSE
"16_C21",NA,NA,FALSE
"16_C12",NA,NA,FALSE
"16_C30",NA,NA,FALSE
"16_C31",NA,NA,FALSE
"16_C39",NA,NA,FALSE
"12_C37",NA,NA,FALSE
"X552013",NA,NA,TRUE
"X552051",NA,NA,TRUE
"X552015",NA,NA,TRUE
"X552018",NA,NA,TRUE
"X552058",NA,NA,TRUE
"X552036",NA,NA,TRUE
"X552052",NA,NA,TRUE
"X552059",NA,NA,TRUE
"X552016",NA,NA,TRUE
"X552017",NA,NA,TRUE
"X552053",NA,NA,TRUE
"X552020",NA,NA,TRUE
"X552060",NA,NA,TRUE
"X552070",NA,NA,TRUE
"X552074",NA,NA,TRUE
"X552071",NA,NA,TRUE
"X552021",NA,NA,TRUE
"X552072",NA,NA,TRUE
"X552073",NA,NA,TRUE
"X552025",NA,NA,TRUE
"X552034",NA,NA,TRUE
"X552075",NA,NA,TRUE
"X552032",NA,NA,TRUE
"X552033",NA,NA,TRUE
"X552085",NA,NA,TRUE
"X552076",NA,NA,TRUE
"P865426",NA,NA,TRUE
"P865414",NA,NA,TRUE
"X552090",NA,NA,TRUE
"X552039",NA,NA,TRUE
"X552078",NA,NA,TRUE
"X552041",NA,NA,TRUE
"X552037",NA,NA,TRUE
"X552081",NA,NA,TRUE
"X552022",NA,NA,TRUE
"X552077",NA,NA,TRUE
"X552040",NA,NA,TRUE
"X552092",NA,NA,TRUE
"X552038",NA,NA,TRUE
"X552083",NA,NA,TRUE
"X552035",NA,NA,TRUE
"X552086",NA,NA,TRUE
"X552049",NA,NA,TRUE
"X552084",NA,NA,TRUE
"X552047",NA,NA,TRUE
"X552087",NA,NA,TRUE
"X552043",NA,NA,TRUE
"X552088",NA,NA,TRUE
"P865398",NA,NA,TRUE
"X552089",NA,NA,TRUE
"X552055",NA,NA,TRUE
"X552079",NA,NA,TRUE
"X552082",NA,NA,TRUE
"X552080",NA,NA,TRUE
"X552054",NA,NA,TRUE
"P865325",NA,NA,TRUE
"X275503",NA,NA,TRUE
"P865470",NA,NA,TRUE
"X552091",NA,NA,TRUE
"X552048",NA,NA,TRUE
"X552093",NA,NA,TRUE
"X552094",NA,NA,TRUE
"X552095",NA,NA,TRUE
"X552042",NA,NA,TRUE
"X552096",NA,NA,TRUE
"X552046",NA,NA,TRUE
"X552097",NA,NA,TRUE
"X552050",NA,NA,TRUE
"X552098",NA,NA,TRUE
"X552045",NA,NA,TRUE
"X552099",NA,NA,TRUE
"X552056",NA,NA,TRUE
"X552100",NA,NA,TRUE
"X552101",NA,NA,TRUE
"X552102",NA,NA,TRUE
"P865490",NA,NA,TRUE
"X552104",NA,NA,TRUE
"X552105",NA,NA,TRUE
"P865311",NA,NA,TRUE
"P865479",NA,NA,TRUE
"P865423",NA,NA,TRUE
"X552106",NA,NA,TRUE
"X552107",NA,NA,TRUE
"X552108",NA,NA,TRUE
"X552109",NA,NA,TRUE
"P865442",NA,NA,TRUE
"P865467",NA,NA,TRUE
"X552111",NA,NA,TRUE
"X552110",NA,NA,TRUE
"X552112",NA,NA,TRUE
"X552114",NA,NA,TRUE
"X552113",NA,NA,TRUE
"X552115",NA,NA,TRUE
"X552117",NA,NA,TRUE
"X552116",NA,NA,TRUE
"P865399",NA,NA,TRUE
"T562547",NA,NA,TRUE
"X552118",NA,NA,TRUE
"X552014",NA,NA,TRUE
"X552119",NA,NA,TRUE
"X552120",NA,NA,TRUE
"X552121",NA,NA,TRUE
"X552044",NA,NA,TRUE
"X552031",NA,NA,TRUE
"X552019",NA,NA,TRUE
"X552057",NA,NA,TRUE
"P865403",NA,NA,TRUE
"X551351","09_107F","09_107M",TRUE
"L002320",NA,NA,TRUE
"L002125",NA,NA,TRUE
"L002178",NA,NA,TRUE
"X552122",NA,NA,TRUE
"X552123",NA,NA,TRUE
"X552125",NA,NA,TRUE
"X552124",NA,NA,TRUE
"L002135",NA,NA,TRUE
"L002248",NA,NA,TRUE
"P865295",NA,NA,TRUE
"X552126",NA,NA,TRUE
"L002076",NA,NA,TRUE
"X552127",NA,NA,TRUE
"L002118",NA,NA,TRUE
"L002275",NA,NA,TRUE
"X552128",NA,NA,TRUE
"L002177",NA,NA,TRUE
"L002184",NA,NA,TRUE
"L002223",NA,NA,TRUE
"L002241",NA,NA,TRUE
"X552130",NA,NA,TRUE
"X552129",NA,NA,TRUE
"L002221",NA,NA,TRUE
"L002029",NA,NA,TRUE
"X552131",NA,NA,TRUE
"X552133",NA,NA,TRUE
"L002015",NA,NA,TRUE
"L002026",NA,NA,TRUE
"L002067",NA,NA,TRUE
"L002136",NA,NA,TRUE
"X552134",NA,NA,TRUE
"X552136",NA,NA,TRUE
"X552137",NA,NA,TRUE
"X552138",NA,NA,TRUE
"X552139",NA,NA,TRUE
"X552135",NA,NA,TRUE
"X552141",NA,NA,TRUE
"L002219",NA,NA,TRUE
"X552132",NA,NA,TRUE
"L002205",NA,NA,TRUE
"L002264",NA,NA,TRUE
"P865483",NA,NA,TRUE
"L002215",NA,NA,TRUE
"X552140",NA,NA,TRUE
"L002168",NA,NA,TRUE
"X552142",NA,NA,TRUE
"X552147",NA,NA,TRUE
"L002095",NA,NA,TRUE
"L002084",NA,NA,TRUE
"L002204",NA,NA,TRUE
"X552145",NA,NA,TRUE
"X552144",NA,NA,TRUE
"X552146",NA,NA,TRUE
"L002316",NA,NA,TRUE
"X552148",NA,NA,TRUE
"X552151",NA,NA,TRUE
"X552149",NA,NA,TRUE
"L002154",NA,NA,TRUE
"L002117",NA,NA,TRUE
"L002123",NA,NA,TRUE
"X552150",NA,NA,TRUE
"X552155",NA,NA,TRUE
"X552156",NA,NA,TRUE
"X552153",NA,NA,TRUE
"X552154",NA,NA,TRUE
"X552152",NA,NA,TRUE
"L002174",NA,NA,TRUE
"P865308",NA,NA,TRUE
"L002079",NA,NA,TRUE
"L002120",NA,NA,TRUE
"L002295",NA,NA,TRUE
"L002093",NA,NA,TRUE
"X552165",NA,NA,TRUE
"X552166",NA,NA,TRUE
"X552157",NA,NA,TRUE
"X552158",NA,NA,TRUE
"X552159",NA,NA,TRUE
"X552160",NA,NA,TRUE
"X552163",NA,NA,TRUE
"X552162",NA,NA,TRUE
"L002010",NA,NA,TRUE
"X552161",NA,NA,TRUE
"L002334",NA,NA,TRUE
"L002331",NA,NA,TRUE
"X552164",NA,NA,TRUE
"L002173",NA,NA,TRUE
"X552168",NA,NA,TRUE
"X552167",NA,NA,TRUE
"X552172",NA,NA,TRUE
"X552173",NA,NA,TRUE
"X552174",NA,NA,TRUE
"L002176",NA,NA,TRUE
"X552175",NA,NA,TRUE
"X552171",NA,NA,TRUE
"X552170",NA,NA,TRUE
"X552169",NA,NA,TRUE
"X551740","10_A1F","10_C33",TRUE
"X551895","10_128F","10_C45",TRUE
"X551909","10_A17F","10_C65",TRUE
"L298545","10_A17F","10_C21",TRUE
"L002023",NA,NA,TRUE
"L002073",NA,NA,TRUE
"L002074",NA,NA,TRUE
"L002080",NA,NA,TRUE
"L002089",NA,NA,TRUE
"L002130",NA,NA,TRUE
"L002131",NA,NA,TRUE
"L002140",NA,NA,TRUE
"L002146",NA,NA,TRUE
"L002156",NA,NA,TRUE
"L002161",NA,NA,TRUE
"L002162",NA,NA,TRUE
"L002165",NA,NA,TRUE
"L002185",NA,NA,TRUE
"L002199",NA,NA,TRUE
"L002203",NA,NA,TRUE
"L002208",NA,NA,TRUE
"L002210",NA,NA,TRUE
"L002218",NA,NA,TRUE
"L002265",NA,NA,TRUE
"L002268",NA,NA,TRUE
"L002271",NA,NA,TRUE
"L002292",NA,NA,TRUE
"L002297",NA,NA,TRUE
"L002302",NA,NA,TRUE
"L852019",NA,NA,TRUE
"L852033",NA,NA,TRUE
"L852044",NA,NA,TRUE
"L852046",NA,NA,TRUE
"P865300",NA,NA,TRUE
"P865340",NA,NA,TRUE
"P865387",NA,NA,TRUE
"P865402",NA,NA,TRUE
"P865417",NA,NA,TRUE
"P865430",NA,NA,TRUE
"P865480",NA,NA,TRUE
"P865486",NA,NA,TRUE
"X275517",NA,NA,TRUE
"L852122",NA,NA,TRUE
"L852123",NA,NA,TRUE
"L852124",NA,NA,TRUE
"L852125",NA,NA,TRUE
"L852126",NA,NA,TRUE
"L852137",NA,NA,TRUE
"L852140",NA,NA,TRUE
"L852142",NA,NA,TRUE
"L852146",NA,NA,TRUE
"L852147",NA,NA,TRUE
"L852148",NA,NA,TRUE
"L852149",NA,NA,TRUE
"L852151",NA,NA,TRUE
"L852152",NA,NA,TRUE
"L852153",NA,NA,TRUE
"L852157",NA,NA,TRUE
"L852158",NA,NA,TRUE
"L852160",NA,NA,TRUE
"L852163",NA,NA,TRUE
"L852164",NA,NA,TRUE
"L852166",NA,NA,TRUE
"L852168",NA,NA,TRUE
"L852170",NA,NA,TRUE
"L852171",NA,NA,TRUE
"L852172",NA,NA,TRUE
"L852173",NA,NA,TRUE
"L852176",NA,NA,TRUE
"L852177",NA,NA,TRUE
"L852182",NA,NA,TRUE
"L852185",NA,NA,TRUE
"L852186",NA,NA,TRUE
"L852193",NA,NA,TRUE
"L852194",NA,NA,TRUE
"L852196",NA,NA,TRUE
"L852204",NA,NA,TRUE
"L852206",NA,NA,TRUE
"L852207",NA,NA,TRUE
"L852209",NA,NA,TRUE
"L852210",NA,NA,TRUE
"L852213",NA,NA,TRUE
"L852214",NA,NA,TRUE
"L852217",NA,NA,TRUE
"L852219",NA,NA,TRUE
"L852221",NA,NA,TRUE
"L852225",NA,NA,TRUE
"L298884","11_A42F","11_C14",TRUE
"L298892","11_A42F","11_C14",TRUE
"X552181",NA,NA,TRUE
"X552183",NA,NA,TRUE
"X552179",NA,NA,TRUE
"X552176",NA,NA,TRUE
"X552256",NA,NA,TRUE
"X552253",NA,NA,TRUE
"X552187",NA,NA,TRUE
"X552255",NA,NA,TRUE
"X552254",NA,NA,TRUE
"X552278",NA,NA,TRUE
"X552190",NA,NA,TRUE
"X552186",NA,NA,TRUE
"X552270",NA,NA,TRUE
"X552207",NA,NA,TRUE
"L969338",NA,NA,TRUE
"X552268",NA,NA,TRUE
"X552192",NA,NA,TRUE
"X552188",NA,NA,TRUE
"X552267",NA,NA,TRUE
"X552200",NA,NA,TRUE
"X552189",NA,NA,TRUE
"X552180",NA,NA,TRUE
"X552193",NA,NA,TRUE
"X552206",NA,NA,TRUE
"X552191",NA,NA,TRUE
"X552178",NA,NA,TRUE
"X552177",NA,NA,TRUE
"X552182",NA,NA,TRUE
"X552185",NA,NA,TRUE
"X552199",NA,NA,TRUE
"X552251",NA,NA,TRUE
"X552201",NA,NA,TRUE
"X552277",NA,NA,TRUE
"X552279",NA,NA,TRUE
"X552257",NA,NA,TRUE
"X552261",NA,NA,TRUE
"X552260",NA,NA,TRUE
"X552264",NA,NA,TRUE
"X552250",NA,NA,TRUE
"X552252",NA,NA,TRUE
"X552265",NA,NA,TRUE
"X552276",NA,NA,TRUE
"X552273",NA,NA,TRUE
"X552274",NA,NA,TRUE
"X552275",NA,NA,TRUE
"X552212",NA,NA,TRUE
"X552205",NA,NA,TRUE
"X552204",NA,NA,TRUE
"X552269",NA,NA,TRUE
"X552272",NA,NA,TRUE
"X552259",NA,NA,TRUE
"X552208",NA,NA,TRUE
"X552271",NA,NA,TRUE
"X552258",NA,NA,TRUE
"X552194",NA,NA,TRUE
"X552266",NA,NA,TRUE
"X552211",NA,NA,TRUE
"X552196",NA,NA,TRUE
"X552263",NA,NA,TRUE
"X552249",NA,NA,TRUE
"X552248",NA,NA,TRUE
"X552262",NA,NA,TRUE
"X552198",NA,NA,TRUE
"X552247",NA,NA,TRUE
"X552210",NA,NA,TRUE
"X552209",NA,NA,TRUE
"X552197",NA,NA,TRUE
"X552202",NA,NA,TRUE
"X552203",NA,NA,TRUE
"X552195",NA,NA,TRUE
"X552280",NA,NA,TRUE
"X552184",NA,NA,TRUE
"X552283",NA,NA,TRUE
"X552281",NA,NA,TRUE
"X552284",NA,NA,TRUE
"X552285",NA,NA,TRUE
"X552286",NA,NA,TRUE
"X552287",NA,NA,TRUE
"X552288",NA,NA,TRUE
"X552289",NA,NA,TRUE
"X552290",NA,NA,TRUE
"X552291",NA,NA,TRUE
"X552292",NA,NA,TRUE
"X552293",NA,NA,TRUE
"X552294",NA,NA,TRUE
"X552295",NA,NA,TRUE
"X552296",NA,NA,TRUE
"X552297",NA,NA,TRUE
"X552298",NA,NA,TRUE
"X552299",NA,NA,TRUE
"X552300",NA,NA,TRUE
"X552301",NA,NA,TRUE
"X552302",NA,NA,TRUE
"X552306",NA,NA,TRUE
"X552303",NA,NA,TRUE
"X552308",NA,NA,TRUE
"X552307",NA,NA,TRUE
"X552305",NA,NA,TRUE
"X552304",NA,NA,TRUE
"X552309",NA,NA,TRUE
"X552310",NA,NA,TRUE
"X552311",NA,NA,TRUE
"X552312",NA,NA,TRUE
"X552313",NA,NA,TRUE
"X552314",NA,NA,TRUE
"X552321",NA,NA,TRUE
"X552315",NA,NA,TRUE
"X552317",NA,NA,TRUE
"X552316",NA,NA,TRUE
"X552318",NA,NA,TRUE
"X552320",NA,NA,TRUE
"X552319",NA,NA,TRUE
"X552349",NA,NA,TRUE
"X552322",NA,NA,TRUE
"X552338",NA,NA,TRUE
"X552337",NA,NA,TRUE
"X552339",NA,NA,TRUE
"X552340",NA,NA,TRUE
