SortID	ClutchFirstBorn	BroodID	RingID	Sex	TreatEarly	TreatLate	HatchDate	EggOrder	AssignedByEggSize	DeathDate	DeathAge	EggMass	ClutchOrder	BroodOrder	CageID	motherID	FatherID	Age_d0	ClutchSize_d0	Weight_d0	Age_d5	ClutchSize_d5	Weight_d5	Age_d10	ClutchSize_d10	Weight_d10	Tarsus_d10	Wing_d10	Age_d17	ClutchSize_d17	Weight_d17	Tarsus_d17	Wing_d17	Age_d35	ClutchSize_d35	Weight_d35	Tarsus_d35	Wing_d35	Weight_d65	Tarsus_d65	Wing_d65	Weight_d100	Tarsus_d100	Wing_d100	Weight_d150	Tarsus_d150	Wing_d150	Weight_d200	Tarsus_d200	Wing_d200	Weight_d400	Tarsus_d400	Wing_d400	Weight_d800	Tarsus_d800	Wing_d800	Weight_d1200	Weight_d1600	Tarsus_d1600	Wing_d1600	Weight_d2000
1	1	27_1	y303	F	L	H	22/06/2010	3	0	28/03/2015	1740	1.09	1	1	27	w686	w346	0	4	0.74	4	3	2.15	9	3	5.41	9.55	21.17	16	3	7.52	13.16	42	34	3	10.67	13.11	52.17	10.95	13.24	52.67	11.3	13.45	52.5	12.81	13.15	52.5	12.4	13.1	53.5	12.97	13.07	54.17	13.42	13.21	54	12.43	11.81	13.29	54	NA
2	1	1_1	y304	M	L	L	22/06/2010	2	0	NA	NA	0.93	1	1	1	w433	w603	0	1	0.55	5	1	3.12	10	1	7.47	12.08	29	17	1	9.07	14.15	46.17	35	1	11.31	14.07	55	11.58	14.18	55	11.77	14.19	56	11.49	14.05	55.5	12.58	13.92	55.5	12.88	14.08	57	13.16	14.08	55.5	12.21	12.28	14.16	55.5	11.51
3	1	9_1	y306	M	H	L	25/06/2010	1	0	NA	NA	0.83	1	1	9	y075	w631	0	2	0.6	5	2	3.25	10	2	8.9	11.57	28.5	17	2	10.3	13.86	48	35	2	11.61	13.91	57.83	12.56	13.43	58	12.17	13.58	58.5	12.03	13.53	57.5	12.78	13.7	57.83	12.74	13.51	58.83	12.59	13.55	57.5	13.45	12.99	13.48	50.17	13.03
4	0	9_1	y307	F	H	H	26/06/2010	3	0	05/08/2010	40	0.75	1	1	9	y075	w631	0	2	0.53	4	2	1.75	9	2	6.84	10.37	21	16	2	8.65	12.94	42	34	2	10.8	13.19	54.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	0	27_1	y308	M	L	L	21/06/2010	2	0	09/04/2015	1753	1.08	1	1	27	w686	w346	0	4	0.7	5	3	1.76	10	3	5.31	9.01	18.5	17	3	7.57	13.32	40.67	35	3	10.83	13.72	54	11.67	13.76	55.33	11.63	13.71	55	11.2	13.36	55	11.6	13.41	54	11.16	13.5	57	11.76	13.54	55.5	13.02	12.21	13.56	55.83	NA
6	0	27_1	y309	F	L	H	21/06/2010	1	1	NA	NA	1.14	1	1	27	w686	w346	0	4	0.74	5	3	1.91	10	3	4.88	9.93	18.33	17	3	6.81	12.83	40	35	3	9.84	13.16	51.67	10.96	13.2	53	11.19	12.86	42	12.42	13.03	55	13.26	12.99	55.5	13.21	13.11	55	11.65	13.23	55.17	11.3	11.43	13.15	54.67	11.86
7	1	8_1	y310	F	H	L	29/06/2010	1	0	01/07/2013	1098	0.95	1	1	8	y082	w610	0	2	0.72	5	2	4.67	10	2	8.86	13.62	33	17	2	10.02	14.66	51.5	35	2	11.91	14.37	56	12.6	14.66	56.17	12.25	14.43	56.67	11.98	14.55	56.67	12.15	14.42	56.5	12.2	14.52	59	13.15	13.36	57.33	NA	NA	NA	NA	NA
8	0	8_1	y311	M	H	H	29/06/2010	3	1	19/11/2015	1969	0.89	1	1	8	y082	w610	0	2	0.64	5	2	4.04	10	2	8.13	13.28	30.83	17	2	9.23	13.72	49.83	35	2	10.73	13.87	55	10.69	13.84	55.83	10.97	13.74	56	10.74	13.57	55.67	11.13	13.4	55.5	11	13.35	57	11.48	13.38	56.5	12.96	14.1	13.53	56.17	NA
9	1	7_2	y312	M	H	L	13/07/2010	2	0	13/09/2010	62	1.09	2	1	7	w636	w348	0	5	0.75	6	5	3.35	11	5	8.06	13.21	29.5	18	5	10.52	13.59	46.83	36	5	11.19	13.81	55.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10	0	7_2	y314	M	H	H	13/07/2010	1	1	09/06/2015	1792	0.84	2	1	7	w636	w348	0	5	0.62	6	5	2.16	11	5	5.28	9.94	20.67	18	5	9.12	13.75	43	36	5	10.41	13.5	55.5	10.43	13.54	55	11.27	13.27	53	11.01	13.13	52	11.74	13.13	54.17	11.69	13.2	55	11.15	13.29	54.67	11.01	11.37	13.19	54.83	NA
11	0	7_2	y315	F	H	L	14/07/2010	3	0	NA	NA	0.97	2	1	7	w636	w348	0	5	0.73	5	5	2.25	10	5	6.42	11.53	22	17	5	10.44	13.99	44.33	35	5	11.73	14.19	56	11.91	13.45	56	11.67	13.86	55	13.4	13.89	55.5	12.53	13.97	55	13.05	13.94	56	13.32	13.92	55.17	13.84	12.67	13.91	55.5	16.19
12	1	13_2	y316	M	L	H	13/07/2010	2	0	NA	NA	1.07	2	1	13	w707	w583	0	3	0.66	6	2	2.38	11	2	6.1	11.15	24.33	18	2	8.65	13.6	45	36	1	9.48	13.23	55.5	12.06	12.96	55.33	11.93	13.13	55.67	12.76	13.47	55	11.33	13.56	55	12.9	13.03	56	12.37	13.39	55	12.91	14.92	13.47	55	13.11
13	1	2_2	y318	F	H	H	15/07/2010	1	0	16/10/2013	1189	1.04	2	1	2	w521	w337	0	2	0.72	5	2	3.95	10	2	9.17	13.52	30.83	17	2	10.59	14.4	49	35	1	11.9	14.54	57	13.43	14.66	57	13.37	14.43	57	14.39	14.28	57	12.69	14.26	56	14.09	14.22	57.5	14.41	14.15	59	NA	NA	NA	NA	NA
14	1	14_2	y320	M	H	L	15/07/2010	1	0	25/04/2011	284	1.03	2	1	14	w362	w403	0	1	0.67	5	1	3.23	10	1	9.41	12.94	26.83	17	1	11.41	14.1	46.17	35	1	11.67	14.27	58	11.66	14.11	58.5	11.45	13.82	58	11.37	13.91	56.67	10.35	13.66	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	1	22_2	y323	M	L	L	15/07/2010	3	0	31/03/2015	1720	1.13	2	1	22	y062	w395	0	5	0.81	5	4	2.45	10	4	6.85	10.92	26	17	4	8.47	13.63	45.67	35	4	9.95	13.69	55.5	12.27	13.11	57.83	11.83	13.28	56	11.8	13.48	56.5	12.29	13.39	55.67	12.66	13.27	56	12.91	13.52	56.67	11.33	11.16	13.48	56	NA
16	1	23_2	y324	M	L	H	19/07/2010	1	0	NA	NA	0.96	2	1	23	w496	w560	0	6	0.72	5	3	3.27	10	3	8.08	12.39	30.17	17	3	9.88	13.78	48.17	35	3	11.09	13.78	56.5	12.31	13.73	56.5	11.58	13.78	56.5	11.92	13.66	56	11.67	13.7	56	11.83	13.7	56.33	11.93	13.69	57	12.02	12.01	13.91	56.33	12
17	0	23_2	y325	M	L	H	19/07/2010	2	1	NA	NA	0.96	2	1	23	w496	w560	0	6	0.64	5	3	2.85	10	3	6.63	10.87	26.83	17	3	9.42	12.65	48	35	3	11.54	12.18	57	12.46	12.57	58	12.1	12.56	57.17	13.31	12.52	55.17	12.15	12.38	55.5	13.67	12.46	57.5	13.12	12.23	57	13.15	12.4	12.7	57.67	12.41
18	0	23_2	y326	F	L	L	19/07/2010	3	1	12/02/2016	2034	0.95	2	1	23	w496	w560	0	6	0.63	5	3	2.01	10	3	5.59	10.68	24.17	17	3	8.34	12.79	45.5	35	3	10.43	12.72	55	10.91	12.87	54.17	11.06	12.72	54	11.02	12.89	54.33	11.29	12.81	55	11.2	12.9	55	11.45	12.52	55	11.21	11.42	12.83	55.17	11.05
19	1	28_2	y327	M	L	L	19/07/2010	1	0	NA	NA	0.81	2	1	28	w578	w800	0	1	0.58	5	1	2.86	10	1	7.66	10.92	26.5	17	1	10.21	13	46	35	1	10.38	12.69	54.5	12.58	13.08	54.5	13	12.74	53.67	13.34	12.68	54	13.93	12.89	54.33	14.29	12.83	55	14.76	12.88	54.5	14.2	12.49	12.85	53.83	12.17
20	0	7_2	y328	F	H	H	15/07/2010	4	0	12/01/2015	1642	0.92	2	1	7	w636	w348	0	5	0.67	4	5	1.72	9	5	4.84	10.09	18	16	5	9.72	14.21	42.17	34	5	11.64	14.44	55.5	11.92	13.73	55.5	12.03	13.75	55	14.18	13.99	54	13.79	14.18	54.5	13.95	14.16	55.5	13.81	14.24	55.67	14.99	13.94	14.34	56	NA
21	0	7_2	y329	M	H	L	16/07/2010	5	0	24/08/2010	39	0.86	2	1	7	w636	w348	0	5	0.61	3	5	1.38	8	5	3.57	8.21	11.83	15	5	9.12	13.3	36	33	5	11.35	13.43	56.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	0	22_2	y330	F	L	H	16/07/2010	5	0	19/08/2015	1860	1.12	2	1	22	y062	w395	0	5	0.82	4	4	1.45	9	4	3.95	8.87	16	16	4	7.56	13.39	41	34	4	9.19	13.41	56	11.17	13.09	56.17	11.12	13.32	55.5	12	13.55	54.67	12.38	13.53	56	12.8	13.43	56.5	13.22	13.4	56.5	12.76	11.83	13.64	55.5	NA
23	0	22_2	y331	M	L	H	16/07/2010	4	1	NA	NA	1.09	2	1	22	y062	w395	0	5	0.78	4	4	1.94	9	4	6.15	10.16	21.83	16	4	8.68	13.47	44	34	4	10.69	13.03	55.83	12.19	13.5	56.83	12.01	13.46	55.17	11.8	13.51	56	11.75	13.57	56	11.58	13.52	55	11.49	13.61	55	10.82	11.2	13.44	56.33	12.51
24	0	22_2	y332	M	L	L	15/07/2010	2	1	NA	NA	1.14	2	1	22	y062	w395	0	5	0.9	5	4	2.74	10	4	6.99	10.69	20.33	17	4	9.34	13.92	45.83	35	4	11.2	13.33	54.83	13.2	13.8	55.5	12.15	13.34	56	12.61	13.08	55.5	12.09	13.64	56	12.49	13.65	57	13.31	13.64	56.67	11.86	12.59	13.78	56.67	13.03
25	1	30_2	y333	F	H	L	22/07/2010	2	0	10/08/2015	1845	1.07	2	1	30	y081	w690	0	5	0.74	5	4	4.16	10	4	9.76	12.96	29	17	4	10.79	14.16	47.17	35	2	12.03	14.17	55.17	12.98	13.82	56	12.61	13.73	55	12.57	13.75	55.17	13	13.79	54.83	12.48	13.69	55.17	14.77	13.67	55.67	13.35	10.93	13.86	56	NA
26	1	12_2	y336	F	L	H	23/07/2010	1	0	26/06/2014	1434	0.95	2	1	12	w408	w518	0	3	0.67	5	2	2.84	10	2	6.75	11.68	26	17	2	9.41	13.6	45	35	2	10.29	13.59	55	11.97	13.77	55	12.8	13.47	55	13.17	13.59	55.5	14.8	13.67	55.67	14.25	13.58	56.5	15.22	13.58	56	11.1	NA	NA	NA	NA
27	0	12_2	y337	F	L	L	23/07/2010	3	1	02/05/2013	1014	0.94	2	1	12	w408	w518	0	3	0.59	5	2	2.84	10	2	6.41	11.81	26	17	2	8.51	13.78	46.5	35	2	10.33	13.36	53.5	10.97	13.65	56	12.24	13.44	57	13.4	13.5	56	13.74	13.67	56	13.36	13.65	52.83	13.77	13.56	57	NA	NA	NA	NA	NA
28	1	43_2	y338	F	L	H	29/07/2010	2	0	28/01/2012	548	0.88	2	1	43	w660	w615	0	3	0.62	5	3	2.47	10	3	5.54	11.72	27	17	3	7.77	13.33	45.5	35	3	9.98	13.03	59	11.39	12.91	54.5	11.17	12.73	54.17	12.39	13	54	12.02	12.96	55	13.06	12.89	55	NA	NA	NA	NA	NA	NA	NA	NA
29	0	43_2	y339	M	L	L	30/07/2010	3	0	NA	NA	0.87	2	1	43	w660	w615	0	3	0.72	5	3	1.75	10	3	4.58	10.87	22	17	3	6.7	12.38	43.83	35	3	8.81	13.05	55.5	10.35	12.59	55.5	9.94	12.88	55	10.23	12.81	54.5	10.55	12.72	56	10	12.86	56	9.66	13.1	55.83	9.93	12.16	13.18	56	10.29
30	0	30_2	y340	F	H	H	24/07/2010	4	0	15/09/2010	53	0.98	2	1	30	y081	w690	0	5	0.53	3	4	1.33	8	4	3.22	7.95	11	15	4	8.54	12.17	31.33	34	2	9.24	13.47	53.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	0	43_2	y341	M	L	L	28/07/2010	1	0	NA	NA	0.83	2	1	43	w660	w615	0	3	0.51	6	3	1.69	11	3	4.03	10.74	20.5	18	3	6.79	12.21	43.17	36	3	9.34	13.74	55	10.85	12.37	56	10.3	12.33	55.5	10.06	12.54	55.5	10.51	12.47	56.67	10.8	12.53	56	10.53	12.63	56.33	12.27	12.51	12.78	56.33	11.72
32	1	16_3	y342	M	H	H	08/08/2010	2	0	10/02/2014	1282	1.02	3	1	16	w658	w340	0	4	0.74	5	4	2.75	10	3	7.06	11.99	25.33	17	3	10.4	14.17	46.17	35	3	11.49	13.8	56.67	12	13.61	57	12.58	13.7	56.5	12.28	13.72	56.5	12.12	13.63	56.5	11.67	13.65	56.17	12.71	13.59	55	13.7	NA	NA	NA	NA
33	0	16_3	y343	F	H	L	08/08/2010	1	1	15/10/2012	799	0.97	3	1	16	w658	w340	0	4	0.73	5	4	3.58	10	3	8.39	12.78	29.5	17	3	11.23	14.17	47	35	3	12.02	14.25	56	12.74	13.29	55.5	13.42	13.56	55	14.38	13.57	54.67	14.1	13.43	54	13.82	13.49	52	NA	NA	NA	NA	NA	NA	NA	NA
34	0	16_3	y344	F	H	H	09/08/2010	4	0	13/10/2015	1891	1.01	3	1	16	w658	w340	0	4	0.71	4	4	1.73	9	3	3.4	7.02	10.5	16	3	10.27	14.06	35.5	34	3	11.69	14.38	55	11.27	13.74	55	12.99	13.17	55.17	11.72	13.88	54.67	11.83	13.65	55.5	13.3	13.7	55.83	12.81	13.67	56	13.2	14.69	13.63	55	NA
35	1	27_2	y345	F	H	L	16/08/2010	5	0	24/09/2012	770	0.98	2	2	27	w686	w346	0	3	0.72	5	3	4.82	10	3	9.72	13.03	32	17	3	10.93	13.94	49	35	3	11.59	13.84	56.5	11.9	13.61	56.5	13.37	13.72	57	13.76	13.65	56	14.16	13.64	56	13.31	13.68	57	NA	NA	NA	NA	NA	NA	NA	NA
36	0	27_2	y346	M	H	H	15/08/2010	2	0	NA	NA	0.9	2	2	27	w686	w346	0	3	0.57	6	3	3.55	11	3	8.19	12.17	25.17	18	3	10.4	14.01	45.5	36	3	11	14.03	55	11.49	14.15	55	11.32	14.21	54.5	12	14.25	54.17	12.28	13.98	54.67	11.96	14.09	55.17	12.8	14.14	54.67	12.7	12.93	14.22	55.17	13.83
37	1	1_2	y347	F	H	L	18/08/2010	3	0	NA	NA	1.01	2	2	1	w433	w603	0	3	0.97	5	3	4.78	10	3	9.78	13.83	35	17	3	10.27	13.54	50	35	3	11.4	14.07	55	13.6	13.97	55	12.83	13.89	55.67	12.77	13.77	53.67	12.14	13.67	54.5	13.7	13.82	55.17	15.3	13.75	55.33	15.96	16.85	13.75	55.33	15.6
38	0	1_2	y348	M	H	L	17/08/2010	1	0	06/11/2014	1542	0.97	2	2	1	w433	w603	0	3	0.78	6	3	5.39	11	3	10.21	13.74	38.5	18	3	9.49	14	51.5	36	3	11.23	14.09	57.17	11.5	13.13	57	10.79	13.8	57	11.28	13.74	56.5	11.3	13.81	56.5	11.73	13.85	58.17	13.36	13.85	57.5	12.05	NA	NA	NA	NA
39	0	1_2	y349	F	H	H	19/08/2010	4	0	14/08/2014	1456	1.04	2	2	1	w433	w603	0	3	0.96	4	3	3.61	9	3	8.82	13.3	34	16	3	9.49	13.12	48	34	3	11.27	14	55	12.79	13.69	55.5	12.85	13.85	55.67	12.87	13.64	55.5	13.56	13.68	55	12.62	13.63	57	14.06	13.66	56	12.97	NA	NA	NA	NA
40	1	18_2	y350	M	L	H	22/08/2010	4	0	NA	NA	0.97	2	1	18	w671	y076	0	4	0.66	5	2	3.37	10	2	6.64	11.08	21.5	17	2	9.73	13.21	43.83	35	2	10.11	13.65	55	10.73	13.58	54.17	10.87	13.57	55	11.48	13.44	54	11.32	13.36	55	11.5	13.49	56	11.55	13.59	55.33	11.76	11.24	13.63	55.5	11.97
41	0	18_2	y351	M	L	L	22/08/2010	2	1	30/09/2010	39	0.93	2	1	18	w671	y076	0	4	0.59	5	2	2.03	10	2	7.9	13.56	27.17	17	2	9.35	14.16	48.17	35	2	10.34	14.04	56.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	0	27_2	y353	F	H	H	17/08/2010	6	0	01/10/2014	1506	1.08	2	2	27	w686	w346	0	3	0.67	4	3	1.92	9	3	4.41	8.31	16.83	16	3	8.4	12.54	41.5	34	3	9.28	12.54	52	10.54	11.98	51.5	10.47	12.88	52.17	10.81	12.46	55.17	10.59	12.37	53	11.1	12.35	52.17	10.18	12.3	49.83	9.65	NA	NA	NA	NA
43	1	40_3	y355	M	H	H	23/08/2010	3	0	20/06/2014	1397	0.8	3	1	40	w699	y065	0	4	0.53	5	4	2.79	10	4	6.87	12.58	18.67	17	4	9.26	13.58	44.67	35	4	10.38	13.19	54	10.8	13.22	53.5	10.74	13.15	53	11.14	12.95	53	10.98	13.05	53.67	11.31	13.03	53.67	14.16	12.98	53	12.43	NA	NA	NA	NA
44	0	40_3	y356	M	H	H	23/08/2010	1	1	02/06/2011	283	0.93	3	1	40	w699	y065	0	4	0.63	5	4	4.42	10	4	8.47	13.75	29.5	17	4	10	13.94	43	35	4	11.08	14.05	55	11.55	13.94	55.5	12.65	14.11	55.5	13.06	14.11	55.67	12.77	13.94	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
45	0	40_3	y357	M	H	L	24/08/2010	4	0	30/05/2016	2106	0.9	3	1	40	w699	y065	0	4	0.7	4	4	3.16	9	4	7.13	11.91	26	16	4	9.2	13.29	46	34	4	10.56	13.6	53	10.51	13.04	54.83	11.25	12.96	54	12.15	12.97	54.5	12.34	12.87	54	12.11	13.05	53.83	11.39	13.25	55.33	11.64	12.25	12.96	54.67	11.68
46	0	40_3	y358	M	H	L	22/08/2010	2	0	04/09/2014	1474	0.84	3	1	40	w699	y065	0	4	0.51	6	4	2.82	11	4	6.84	11.07	22.5	18	4	9.9	13.35	44.5	36	4	10.73	13.26	54.5	11.63	13.05	53.5	11.22	12.92	54	11.98	13	53.5	11.78	13.09	54	13.33	13.1	55	14.03	13.08	55	13.32	NA	NA	NA	NA
47	1	8_2	y359	M	L	L	23/08/2010	2	0	NA	NA	1.17	2	2	8	y082	w610	0	3	0.8	6	3	3.37	11	3	7.06	11.5	30.5	18	3	9.28	14.26	49.5	36	2	9.5	13.98	55.33	10.94	14.02	56	11.36	13.65	55.17	11.02	13.79	55.5	11.11	13.83	55.5	10.86	14.01	56.67	11.16	14.02	56	11.08	10.67	14	48.5	10.66
48	0	8_2	y360	M	L	H	24/08/2010	3	0	28/12/2015	1952	1.02	2	2	8	y082	w610	0	3	1.09	5	3	2.96	10	3	6.68	11.02	29.5	17	3	9.34	14.29	49.17	35	2	11.46	14.28	57	11.13	14.22	57.5	11.09	14.28	57.5	11.03	14.08	57.33	11.43	14.02	58.5	10.84	14.08	60	11.43	14.14	60	11.98	11.75	14.2	60	NA
49	1	11_3	y362	M	L	H	28/08/2010	7	0	NA	NA	1.1	3	1	11	y064	w544	0	3	0.8	5	3	3.92	10	3	7.29	12.03	29.5	17	3	9.54	13.66	47.5	35	2	10.53	13.66	57	10.93	13.63	55	11.05	13.55	56.5	11	13.62	56	11.45	13.21	55.83	11.14	13.67	57.5	12.45	13.49	56	11.82	11.83	13.66	56.33	11.19
50	1	39_2	y363	F	L	L	26/08/2010	5	0	NA	NA	1	2	1	39	w685	w713	0	4	0.77	8	3	5.09	13	3	7.77	13.22	35.17	20	3	9.19	13.09	48.5	38	3	10.21	12.83	53.5	11.19	13.32	52.67	10.76	13.1	53	11.08	12.98	53	10.96	13.03	53.17	10.99	13.1	50.67	10.04	13.25	55	11.15	10.18	13.01	53.5	10.36
51	1	56_1	y364	F	H	L	30/08/2010	1	0	08/08/2015	1804	0.93	1	1	56	w503	w344	0	3	0.64	6	3	3.83	11	3	9.61	13.79	31.83	18	3	10.78	14.48	49.33	36	3	12.46	13.78	59	12.86	14.24	58	12.84	14.02	58.5	13.07	14.06	58	12.99	13.82	59	14.04	13.83	58.5	14.22	13.68	58.83	14.09	12.55	14	47	NA
52	0	56_1	y365	M	H	H	31/08/2010	2	0	23/05/2014	1361	0.93	1	1	56	w503	w344	0	3	0.76	5	3	3.51	10	3	9.28	13.2	32	17	3	10.14	13.72	47.67	35	3	11.32	13.54	58	11.94	13.49	58	12.83	13.34	58	13.15	13.34	57.5	13.45	13.45	57	13.77	13.3	57	13.6	13.3	55.67	14.04	NA	NA	NA	NA
53	0	56_1	y366	M	H	L	31/08/2010	3	1	25/12/2014	1577	0.95	1	1	56	w503	w344	0	3	0.83	5	3	3.95	10	3	9.81	13.59	33	17	3	11.24	14.67	50.83	35	3	12.13	14.27	59	13.78	14.37	58.67	12.49	14.36	59.17	14.11	14.38	58	13.16	14.39	58.5	13.39	14.17	57.5	14.47	14.15	57	13.58	NA	NA	NA	NA
54	1	25_2	y368	M	H	H	27/08/2010	2	0	07/03/2016	2019	0.92	2	1	25	y084	w493	0	1	0.71	5	1	2.67	10	1	7.17	9.47	20	17	1	9.76	13.57	42.5	35	1	10.43	13.37	55	10.48	12.95	55.67	11.23	12.86	55.5	10.93	12.7	55	11.05	12.73	55	10.57	12.87	56	12.05	12.87	55	12.08	11.86	12.86	56	11.6
55	0	11_3	y370	M	L	L	29/08/2010	10	0	NA	NA	1.04	3	1	11	y064	w544	0	3	0.76	4	3	1.96	9	3	4.22	8.92	20	16	3	7.76	13.14	42	34	2	10.6	13.34	56	10.88	13.36	55	10.55	13.46	54.83	10.97	13.47	55.17	10.71	13.08	56.67	10.81	13.09	56.5	11.12	13.28	57	11.52	11.88	13.15	56.33	11.82
56	0	39_2	y372	F	L	H	30/08/2010	2	0	10/03/2015	1653	1.05	2	1	39	w685	w713	0	4	1.04	3	3	1.5	8	3	2.57	7.62	9	15	3	7.49	11.43	34.67	33	3	8.53	12.16	54.5	10.92	11.87	54.5	11.72	11.86	52	11.52	11.86	52	10.89	12	55.5	11.64	11.98	55.5	14.21	12.93	56	12.77	14.34	11.84	55.5	NA
57	0	39_2	y373	F	L	H	29/08/2010	6	0	09/06/2013	1015	1.01	2	1	39	w685	w713	0	4	0.82	5	3	1.83	10	3	3.58	9.02	16.5	17	3	8.39	13.19	40.5	35	3	10.42	12.75	54.5	11.61	12.9	54.83	13.07	12.65	54.83	13.14	12.6	54	11.87	12.63	54.5	13.78	12.67	55.17	11.33	12.62	55.17	NA	NA	NA	NA	NA
58	1	60_1	y375	F	H	H	08/09/2010	2	0	17/06/2013	1013	1.02	1	1	60	w504	w647	0	2	0.76	5	2	4.1	10	2	9.9	13.03	32.67	17	2	10.5	13.68	49	35	2	12.99	14.06	56	13.05	13.63	57	13.7	13.48	56.67	15.38	13.5	56	14.43	13.39	55.5	14.9	13.53	58.17	15.75	13.57	55.83	NA	NA	NA	NA	NA
59	0	60_1	y376	M	H	L	08/09/2010	1	1	12/04/2016	2043	1.06	1	1	60	w504	w647	0	2	0.61	4	2	3.84	9	2	9.19	12.44	28	16	2	9.91	13.28	47.83	34	2	11.35	13.79	56	11.32	13.25	56	11.99	13.12	55	11.86	13.11	55	11.5	12.58	55	11.74	12.84	55.83	12.07	12.96	55.67	12.23	11.71	13.13	56.83	12.57
60	1	7_3	y377	F	L	H	10/09/2010	2	0	10/08/2015	1795	0.92	3	2	7	w636	w348	0	4	0.67	6	2	2.16	11	2	5.49	10.52	19.5	18	2	8.26	13.6	42	36	2	11.19	13.46	54.5	11.55	13.36	55.5	11.46	13.27	55.33	11.42	13.61	55	11.06	13.99	55	12.31	13.84	55.67	13.82	13.86	55	12.93	12.13	13.73	55.17	NA
61	0	7_3	y378	F	L	L	11/09/2010	1	0	24/02/2014	1262	0.87	3	2	7	w636	w348	0	4	0.83	5	2	2.93	10	2	7.57	12.39	22	17	2	10.21	14.48	46.17	35	2	11.38	13.64	56	12.48	13.15	56.5	12.3	13.39	56	12.76	13.96	55.5	12.17	13.95	56	12.52	14	56.17	12.82	14.02	56.83	13.38	NA	NA	NA	NA
