country,year,ring,age,sex,ltarsus,lwing,tail,brightness.belly,laying.date
RO,2012,R008311,1,1,10.55,125,118,NA,41
RO,2012,R008312,1,1,11.08,125.5,112.8,NA,54
RO,2012,R008331,1,1,10.75,123,100.5,NA,64
RO,2012,R008332,1,1,10.96,122.5,107.5,NA,55
RO,2012,R008333,1,1,10.78,129,109.3,NA,54
RO,2012,R008334,1,1,10.98,127.5,113,NA,54
RO,2012,R008344,1,1,11.74,129,135.5,NA,44
RO,2012,R008348,1,1,11.16,129,107.5,NA,55
RO,2012,R008349,1,1,12.08,125.5,105.3,NA,43
RO,2012,R008350,1,1,11.44,124,104,NA,43
RO,2012,R008351,1,1,11.12,127.5,118,NA,58
RO,2012,R008353,1,1,10.87,127,113.8,NA,38
RO,2012,R008355,1,1,10.92,128,124,NA,53
RO,2012,R008377,1,1,12.17,130,104.8,NA,60
RO,2012,R008378,1,1,11.23,125,103.8,NA,56
RO,2012,R008383,1,1,10.76,128.5,122.5,NA,44
RO,2012,R008386,1,2,10.81,125,95,NA,38
RO,2012,R008391,1,2,11.91,126.5,83.5,NA,37
RO,2012,R008402,1,1,11.67,131,132.5,NA,61
RO,2012,R008406,0,1,11.89,125,104.5,NA,38
RO,2012,R008414,0,2,11.08,124,93.5,NA,38
RO,2012,R008428,0,1,11.1,125,111.5,NA,37
RO,2012,R008456,0,2,10.76,123,89,NA,42
RO,2012,R008457,0,1,11.91,131.5,121.3,NA,42
RO,2012,R008458,0,2,11.07,122.5,84.3,NA,56
RO,2012,R008459,0,1,10.72,125,107,NA,43
RO,2012,R008465,0,2,11.08,122,89,NA,43
RO,2012,R008466,0,2,11.09,124,82.3,NA,43
RO,2012,R008469,0,1,11.09,124,103.8,NA,44
RO,2012,R008470,0,2,10.93,127,94.8,NA,44
RO,2012,R008471,0,2,11.19,129,96.8,NA,41
RO,2012,R008476,0,1,11.31,132,116.8,NA,45
RO,2012,R008477,0,2,10.38,135,89,NA,38
RO,2012,R008478,0,2,10.38,124,88,NA,81
RO,2012,R008479,0,1,11.62,121.5,92,NA,81
RO,2012,R008482,0,2,11.62,121.5,92,NA,39
RO,2012,R008483,0,1,11.1,125,107.3,NA,39
RO,2012,R008499,0,1,10.49,123,120.5,NA,44
RO,2012,R008628,0,2,11.03,120,81.5,NA,56
RO,2012,R008630,0,2,11.64,126.5,89,NA,56
RO,2012,R008631,0,2,11.64,125,96,NA,61
RO,2012,R008636,0,2,10.88,124.5,90.3,NA,55
RO,2012,R008637,0,2,11,127,89.5,NA,55
RO,2012,R008638,0,2,11.61,120.5,89,NA,60
RO,2012,R008639,0,2,11.54,125,84.3,NA,31
RO,2012,R008640,0,1,11.08,124.5,110.5,NA,56
RO,2012,R008645,0,1,10.46,127,113.8,NA,72
RO,2012,R008646,0,2,11.45,128.5,95.5,NA,72
RO,2012,R008649,0,1,12.02,127,109,NA,70
RO,2012,R008650,0,2,11.85,127,92.8,NA,70
RO,2012,R008656,0,1,10.9,127,106,NA,70
RO,2012,R008657,0,2,11.72,127,93.8,NA,67
RO,2012,R008662,0,2,11.63,127,91,NA,60
RO,2012,R008663,0,1,10.68,123,115,NA,64
RO,2012,R008664,0,2,10.77,123,94.3,NA,64
RO,2012,R008670,0,2,10.62,117,85.5,NA,72
RO,2012,R008671,0,1,10.57,126,100,NA,72
RO,2012,R008676,0,2,11.32,125,88.8,NA,58
RO,2012,R008677,0,2,11.48,124,83.3,NA,70
RO,2012,R008678,0,2,11.12,122,85.8,NA,81
RO,2012,R008683,0,1,11.15,128,95.5,NA,66
RO,2012,R008689,0,2,11.18,124,86.3,NA,64
RO,2012,R008694,0,2,11.06,126,83,NA,54
RO,2012,R008802,0,2,11.43,121,86.5,NA,63
RO,2012,R008808,0,1,11.6,122,118.8,NA,64
RO,2012,R008813,0,2,11.24,123.5,90,NA,64
RO,2012,R008814,0,2,11.41,125,92.5,NA,64
RO,2012,R008822,0,2,11.27,122.5,93,NA,46
RO,2012,R008823,0,1,11.15,126.5,106,NA,46
RO,2012,R008827,0,2,11.09,121,85.5,NA,44
RO,2012,R008834,0,2,11.12,121,96.5,NA,47
RO,2012,R008839,0,1,11.35,123,98.5,NA,45
RO,2012,R008840,0,1,10.74,123,96,NA,54
RO,2012,R008841,0,2,11.92,120,90,NA,54
RO,2012,R008845,0,1,11.06,125,113,NA,57
RO,2012,R008848,0,2,11.21,127.5,95.5,NA,53
RO,2012,R008853,0,2,11.41,124,90.3,NA,54
RO,2012,R008858,0,2,10.87,126,93.5,NA,54
RO,2012,R008868,0,2,11.02,123.5,81.5,NA,55
RO,2012,R008872,0,2,11.17,127,88.5,NA,55
RO,2012,R008881,0,2,10.96,122,84,NA,54
RO,2012,R008896,0,2,11.57,130,90.5,NA,56
RO,2012,X050514,1,2,11.32,122,86,NA,31
RO,2012,X050518,1,2,10.93,125,83.8,NA,37
RO,2012,X050525,1,2,11.57,120,82,NA,57
RO,2012,X050532,1,2,11,122,80.5,NA,41
RO,2012,X050534,1,2,10.73,125,88.5,NA,38
RO,2012,X050550,1,2,11.43,123.5,85.3,NA,34
RO,2012,X050555,1,2,10.84,127,103,NA,41
RO,2012,X050556,1,2,10.38,126,94,NA,44
RO,2012,X050560,1,2,10.58,120.5,85.3,NA,44
RO,2012,X050562,1,2,11.49,123.5,86,NA,45
RO,2012,X050566,1,2,11.03,121,81,NA,38
RO,2012,X050572,1,2,11.2,124,85,NA,56
RO,2012,X050573,1,2,11.33,123,97.3,NA,53
RO,2012,X050575,1,2,10.39,120,86,NA,45
RO,2012,X050583,1,2,11.76,125,100,NA,37
RO,2012,X050588,1,1,11.48,125,118.5,NA,37
RO,2012,X050594,1,1,11.28,131,125,NA,41
RO,2012,X052024,0,1,11.44,130,122.3,NA,81
RO,2012,X052035,1,1,10.98,127,111,NA,37
RO,2012,X052055,1,1,11.09,124,111.8,NA,55
RO,2012,X052058,0,1,11.48,124.5,112,NA,55
RO,2012,X052059,1,1,10.92,125,105.5,NA,38
RO,2012,X052066,1,1,11.09,122.5,106.5,NA,56
RO,2012,X052067,1,1,11.23,129,111.5,NA,31
RO,2012,X052074,1,1,11.38,127.5,120.5,NA,41
RO,2012,X052075,1,1,11.47,129,107,NA,47
RO,2012,X052076,1,1,11.1,128.5,116.3,NA,56
RO,2012,X052077,1,1,11.09,128,114.5,NA,43
RO,2012,X052078,1,1,11.41,125,116,NA,44
RO,2012,X052088,1,1,11.35,125.5,110.8,NA,38
RO,2012,X052089,1,1,10.35,125.5,105.3,NA,53
RO,2012,X052213,0,1,11.85,125,100,NA,38
RO,2012,X052259,0,1,11.2,128.5,96.5,NA,60
RO,2012,X052263,1,1,11.1,127.5,117,NA,56
RO,2012,X052280,0,1,10.76,126,97.8,NA,70
RO,2012,X054836,0,2,11.15,124,89.5,NA,66
RO,2012,X054859,0,1,11.22,123,106,NA,31
RO,2012,X054860,0,1,11.17,125,109,NA,34
RO,2013,X050550,1,2,11.15,124,87,NA,23
RO,2013,X050555,1,2,11.16,126.5,104,NA,23
RO,2013,R008845,1,1,10.91,125,107,NA,27
RO,2013,X050525,1,2,11.38,122,84,NA,27
RO,2013,R008386,1,2,11.02,123,96.3,NA,26
RO,2013,R008391,1,2,11.81,126,83.5,NA,25
RO,2013,X052078,1,1,11.4,125,122,NA,29
RO,2013,R008813,1,2,11.24,121,92,NA,29
RO,2013,R008466,1,2,11.11,124,82,NA,29
RO,2013,R008677,1,2,11.75,123,85.5,NA,29
RO,2013,R008630,1,2,11.49,124,90.5,NA,31
RO,2013,R008185,0,2,10.96,125,88.5,NA,30
RO,2013,R008414,1,2,11.02,123,93,NA,34
RO,2013,R008192,0,2,11.32,125,100,NA,33
RO,2013,R008193,0,2,11.2,126,95,NA,34
RO,2013,R008311,1,1,10.57,125,119,NA,23
RO,2013,R008457,1,1,12.04,129,115,NA,23
