Rank	Nest	Date	Treatment	Year	F_mass	F_tarsus	F_wing	Lysozymes	Ovotransferrin	Egg_carot		
1	A101	32	EAU	2011	17.35	2.23	7.2	0.408	5.19837905427041	1.41960784313726		
2	A101	32	EAU	2011	17.35	2.23	7.2	0.383	4.34758268653074	1.27450980392157		
1	A107	31	TSB	2011	17.26	2.26	7.3	0.4445	7.63732864179081	0.505882352941176		
2	A107	31	TSB	2011	17.26	2.26	7.3	0.401	2.19459125237386	0.709803921568627		
1	A113	33	TSB	2011	18.85	2.23	7.5	0.4185	4.74462099147592	NA		
1	A113	33	TSB	2011	18.85	2.23	7.5	0.4185	4.74462099147592	NA		
2	A113	33	TSB	2011	18.85	2.23	7.5	0.4085	4.97150002287317	0.964705882352942		
1	A118	36	TSB	2011	17.94	2.25	7.4	0.3885	4.6311814757773	1.0235294117647		
2	A118	36	TSB	2011	17.94	2.25	7.4	0.441	4.46102220222937	1.28627450980392		
1	A150	38	NISIN	2011	17.47	2.24	7.3	0.428	7.18357057899632	1.29411764705882		
2	A150	38	NISIN	2011	17.47	2.24	7.3	0.397	1.09729562618693	0.890196078431372		
1	A153	34	EAU	2011	16.66	2.22	7.4	0.4135	3.95054438158556	0.882352941176471		
2	A153	34	EAU	2011	16.66	2.22	7.4	0.4555	0.31281375594388	0.72156862745098		
1	A156	34	EAU	2011	17.14	2.17	7.4	0.451	2.6459899510514	1.85882352941176		
2	A156	34	EAU	2011	17.14	2.17	7.4	0.449	0	0.882352941176471		
1	A161	39	EAU	2011	16.12	2.26	7.2	0.408	0.200744917337724	2.13725490196078		
2	A161	39	EAU	2011	16.12	2.26	7.2	0.4245	4.57446171792798	1.1764705882353		
1	A165	38	TSB	2011	18.52	2.29	7.5	0.382	7.86420767318805	1.50588235294118		
2	A165	38	TSB	2011	18.52	2.29	7.5	0.414	2.08252241376772	1.04705882352941		
1	A167	32	NISIN	2011	NA	2.21	7.2	0.39	0.961834027706204	1.4078431372549		
2	A167	32	NISIN	2011	NA	2.21	7.2	0.441	0.312813755943874	0.996078431372551		
1	A171	32	TSB	2011	17.37	2.25	7.7	0.3425	5.31181856996903	0.772549019607843		
2	A171	32	TSB	2011	17.37	2.25	7.7	0.3915	0.98522678758078	0.666666666666667		
2	A173	33	EAU	2011	17.15	2.24	7.5	0.4145	4.6311814757773	0.815686274509804		
1	B123	33	TSB	2011	17.51	2.26	7.5	0.425	3.15646777169519	0.737254901960784		
2	B123	33	TSB	2011	17.51	2.26	7.5	0.4215	0	0.662745098039216		
1	B125	34	EAU	2011	18.32	2.3	7.5	0.3735	0	0.662745098039216		
2	B125	34	EAU	2011	18.32	2.3	7.5	0.4715	5.87901614846215	0.768627450980392		
1	B129	34	TSB	2011	17.46	2.16	7.5	0.3895	5.48197784351697	0.619607843137254		
2	B129	34	TSB	2011	17.46	2.16	7.5	0.453	3.61022583448969	0.658823529411765		
1	B133	35	TSB	2011	18.24	2.27	7.6	0.451	5.42525808566766	1.04705882352942		
2	B133	35	TSB	2011	18.24	2.27	7.6	0.425	3.83710486588693	0.827450980392157		
1	B138	42	EAU	2011	16.95	2.22	7.3	0.3705	2.92958874029795	0.956862745098038		
2	B138	42	EAU	2011	16.95	2.22	7.3	0.4535	4.34758268653074	0.870588235294117		
1	B139b	43	EAU	2011	17.69	2.25	7.3	NA	NA	0.749019607843137		
2	B139b	43	EAU	2011	17.69	2.25	7.3	NA	NA	0.968627450980392		
1	B202	41	EAU	2011	18.59	2.33	7.3	0.371	6.21933469555802	1.34509803921569		
2	B202	41	EAU	2011	18.59	2.33	7.3	0.422	1.11455648911998	0.992156862745097		
1	B209	32	TSB	2011	16.02	2.22	7.3	0.407	4.4734483632167	1.64705882352941		
2	B209	32	TSB	2011	16.02	2.22	7.3	0.422	5.36790047006502	1		
1	B219	43	NISIN	2011	18.81	2.26	7.5	0.2995	3.37258423171108	0.796078431372549		
2	B219	43	NISIN	2011	18.81	2.26	7.5	0.378	1.23906606243139	0.780392156862745		
1	B226	40	TSB	2011	16.37	2.17	7.3	0.3875	0.312813755943878	1.51764705882352		
2	B226	40	TSB	2011	16.37	2.17	7.3	0.4585	3.89382462373626	0.666666666666667		
1	B230	41	NISIN	2011	15.8	2.14	7.4	0.403	5.50550848650322	0.498039215686275		
2	B230	41	NISIN	2011	15.8	2.14	7.4	0.459	5.16148844540771	0.470588235294118		
1	B234	36	EAU	2011	NA	NA	NA	NA	6.26235257691333	NA		
2	B234	36	EAU	2011	NA	NA	NA	NA	5.78072451937962	NA		
1	B243	41	NISIN	2011	17.03	2.22	7.5	0.495	0	0.847058823529412		
2	B243	41	NISIN	2011	17.03	2.22	7.5	0.3035	1.43350214200539	0.501960784313725		
1	B250	32	EAU	2011	16.36	2.17	7.4	0.4215	5.36790047006502	1.28235294117647		
2	B250	32	EAU	2011	16.36	2.17	7.4	0.466	0.625627511887748	0.737254901960785		
1	A125	37	NISIN	2012	16.06	2.25	7.4	0.491	4.43596802449687	0.533333333333334		
2	A125	37	NISIN	2012	16.06	2.25	7.4	0.383	4.47344836321671	0.654901960784314		
1	A129	43	TSB	2012	17.68	2.15	7.6	0.554	1.74631589794927	0.505882352941176		
2	A129	43	TSB	2012	17.68	2.15	7.6	0.454	3.57899625636839	0.454901960784314		
1	A131	43	EAU	2012	18.15	2.28	7.5	0.567	3.09114196122307	0.615686274509804		
2	A131	43	EAU	2012	18.15	2.28	7.5	0.29	4.4046443549976	0.635294117647059		
1	A132	39	NISIN	2012	18.02	2.21	7.3	0.4215	7.24029033684563	0.415686274509804		
2	A132	39	NISIN	2012	18.02	2.21	7.3	0.401	4.29086292868143	0.364705882352941		
1	A136	48	EAU	2012	16.91	2.19	7.2	0.6275	4.21183034728458	1.60392156862746		
2	A136	48	EAU	2012	16.91	2.19	7.2	0.637	2.33005285085459	0.325490196078431		
1	A139	43	EAU	2012	17.46	2.22	7.4	0.3785	0	0.98823529411765		
2	A139	43	EAU	2012	17.46	2.22	7.4	0.625	0	0.588235294117647		
1	A143	49	TSB	2012	17.4	2.3	7.3	0.4295	0.200744917337726	0.662745098039216		
2	A143	49	TSB	2012	17.4	2.3	7.3	0.424	3.76355499285997	1.56078431372549		
1	A204	47	NISIN	2012	16.19	2.21	7.4	0.361	6.12474456047513	0.792156862745098		
2	A204	47	NISIN	2012	16.19	2.21	7.4	0.4585	3.87562383146612	0.737254901960784		
1	A212	48	NISIN	2012	17.84	2.17	7.2	0.366	6.05594055225603	1.14901960784314		
2	A212	48	NISIN	2012	17.84	2.17	7.2	0.327	5.64311650294142	0.780392156862745		
1	A222b	59	NISIN	2012	16.98	2.32	7.5	0.4365	6.33115658513243	0.741176470588236		
2	A222b	59	NISIN	2012	16.98	2.32	7.5	0.4385	4.88627241253131	0.677124183006536		
1	A224b	64	EAU	2012	17.5	2.24	7.4	0.4165	4.679860387874	0.607843137254902		
2	A224b	64	EAU	2012	17.5	2.24	7.4	0.383	4.2670363385594	1.81568627450981		
1	A226	61	TSB	2012	17.45	2.29	7.4	0.34	6.10589517985939	0.670588235294118		
2	A226	61	TSB	2012	17.45	2.29	7.4	0.4525	3.666945592339	0.470588235294118		
1	A227b	57	TSB	2012	18.29	2.3	7.6	0.4465	6.81278464266614	0.874509803921569		
2	A227b	57	TSB	2012	18.29	2.3	7.6	0.4405	7.56962873307624	0.615686274509804		
1	A233	49	EAU	2012	16.82	2.22	7.3	0.41	5.64311650294142	0.619607843137255		
2	A233	49	EAU	2012	16.82	2.22	7.3	0.4945	7.63843274129534	0.4		
1	A237	31	NISIN	2012	16.56	2.12	7.1	0.4345	4.6110563796549	0.486274509803922		
2	A237	31	NISIN	2012	16.56	2.12	7.1	0.409	2.75493544540461	0.607843137254902		
1	A243	37	EAU	2012	17.68	2.17	7.4	0.4345	5.43670447828412	0.901960784313725		
2	A243	37	EAU	2012	17.68	2.17	7.4	0.495	2.75493544540462	0.6		
1	B305	43	NISIN	2012	16.35	2.16	7.3	0.3745	6.60637261800883	0.333333333333333		
2	B305	43	NISIN	2012	16.35	2.16	7.3	0.431	4.4046443549976	0.333333333333333		
