Treatment	Date	Year	nb_nestlings	Carotenoids	Lysozymes	Ovotransferrin	Body_mass_j14	Gain_39	Gain_914	Tarsus_length_j14	PHA	F_mass	F_tarsus	F_wing
EAU	21	2011	10	1.34705882352941	0.3955	4.77298087040058	17.1566666666667	8.83411111111111	4.71555555555556	2.26777777777778	51.6666666666667	17.35	2.23	7.2
TSB	20	2011	8	0.607843137254902	0.42275	4.91595994708234	16.125	9.30875	3.62875	2.24	52.6666666666667	17.26	2.26	7.3
TSB	24	2011	4	0.864052287581699	0.415166666666667	4.820247335275	17.865	10.715	1.6325	2.265	49.9166666666667	18.85	2.23	7.5
TSB	27	2011	5	1.15490196078431	0.41475	4.54610183900333	17.072	9.362	4.004	2.264	55.5333333333333	17.94	2.25	7.4
NISINE	29	2012	7	0.594117647058824	0.437	4.45470819385679	16.6771428571429	9.25714285714284	3.57285714285714	2.21571428571429	24.3333333333333	16.06	2.25	7.4
EAU	38	2012	8	0.964705882352946	0.63225	3.27094159906958	17.42875	9.81625	3.255	2.25625	NA	16.91	2.19	7.2
EAU	35	2012	7	0.788235294117648	0.50175	0	16.3842857142857	9.67714285714287	2.42857142857143	2.22428571428571	28.2857142857143	17.46	2.22	7.4
TSB	39	2012	5	1.11176470588235	0.42675	1.98214995509885	17.042	8.662	4.188	2.23	33	17.4	2.3	7.3
NISINE	28	2011	8	1.0921568627451	0.4125	4.14043310259162	17.3575	10.18	2.79625	2.29	52	17.47	2.24	7.3
EAU	23	2011	8	0.801960784313726	0.4345	2.13167906876472	17.295	10.53625	3.605	2.265	NA	16.66	2.22	7.4
EAU	23	2011	6	1.37058823529412	0.45	1.3229949755257	16.43	10.28	1.875	2.24666666666667	48	17.14	2.17	7.4
EAU	28	2011	6	1.65686274509804	0.41625	2.38760331763285	16.6366666666667	10.86	1.78666666666667	2.25333333333333	NA	16.12	2.26	7.2
TSB	22	2011	8	1.27647058823529	0.398	4.97336504347788	17.18625	9.505	3.9275	2.30125	NA	18.52	2.29	7.5
NISINE	28	2011	7	1.20196078431373	0.4155	0.637323891825039	16.8685714285714	10.2285714285714	2.34571428571429	2.31142857142857	50.2380952380952	NA	2.21	7.2
TSB	21	2011	9	0.719607843137255	0.367	3.1485226787749	16.0855555555556	8.42	3.10333333333333	2.27333333333333	NA	17.37	2.25	7.7
EAU	23	2011	7	0.815686274509804	0.4145	4.6311814757773	16.0214285714286	10.3042857142857	1.74285714285714	2.28857142857143	55.8571428571429	17.15	2.24	7.5
NISINE	38	2012	8	0.764705882352941	0.40975	5.00018419597063	16.9957142857143	9.46428571428573	3.12857142857143	2.25714285714286	NA	16.19	2.21	7.4
NISINE	38	2012	7	0.964705882352943	0.3465	5.84952852759872	18.0742857142857	9.89428571428572	2.52142857142857	2.29571428571429	33.047619047619	17.84	2.17	7.2
NISINE	49	2012	7	0.709150326797386	0.4375	5.60871449883187	NA	9.76714285714286	NA	NA	NA	16.98	2.32	7.5
EAU	55	2012	5	1.36960784313725	0.39975	4.4734483632167	17.95	10.592	3.834	2.234	22.9333333333333	17.5	2.24	7.4
TSB	51	2012	6	0.570588235294118	0.39625	4.88642038609919	NA	9.23999999999999	NA	NA	NA	17.45	2.29	7.4
TSB	48	2012	5	0.745098039215687	0.4435	7.19120668787119	17.438	8.93	3.138	2.27	32.9333333333333	18.29	2.3	7.6
EAU	39	2012	7	0.509803921568628	0.45225	6.64077462211838	16.4657142857143	8.80428571428572	3.55	2.23714285714286	23.1904761904762	16.82	2.22	7.3
NISINE	38	2012	6	0.547058823529412	0.42175	3.68299591252975	17.0966666666667	8.805	2.23666666666667	2.185	21.4444444444444	16.56	2.12	7.1
EAU	30	2012	5	0.750980392156863	0.46475	4.09581996184437	16.652	10.068	2.43	2.27	30	17.68	2.17	7.4
TSB	21	2011	8	0.7	0.42325	1.5782338858476	18.46125	9.73375	5.16875	2.23875	56.3333333333333	17.51	2.26	7.5
EAU	23	2011	6	0.715686274509804	0.4225	2.93950807423108	17.4633333333333	9.49166666666667	4.32333333333333	2.225	58.5	18.32	2.3	7.5
TSB	25	2011	8	0.937254901960789	0.438	4.63118147577729	17.6075	11.6125	2.1675	2.32125	50.625	18.24	2.27	7.6
EAU	32	2011	7	0.913725490196078	0.412	3.63858571341434	17	9.09142857142858	4.94428571428571	2.22142857142857	62	16.95	2.22	7.3
EAU	31	2011	9	1.16862745098039	0.3965	3.666945592339	15.5555555555556	8.72555555555555	3.18333333333333	2.27888888888889	40.7407407407408	18.59	2.33	7.3
TSB	21	2011	6	1.3235294117647	0.4145	4.92067441664086	18.5983333333333	9.71833333333332	4.54333333333333	2.31833333333333	54.8888888888889	16.02	2.22	7.3
NISINE	28	2011	7	0.788235294117647	0.33875	2.30582514707123	16.5157142857143	12.4585714285714	-0.548571428571428	2.28428571428571	48.9047619047619	18.81	2.26	7.5
TSB	28	2011	5	1.09215686274509	0.423	2.10331918984007	15.32	12.074	-1.746	2.244	39.6666666666667	16.37	2.17	7.3
NISINE	28	2011	7	0.484313725490196	0.431	5.33349846595546	17.2671428571429	12.0857142857143	0.651428571428572	2.32714285714286	53.2857142857143	15.8	2.14	7.4
NISINE	29	2011	9	0.674509803921568	0.39925	0.716751071002695	16.8611111111111	11.0022222222222	2.99666666666667	2.26333333333333	67.037037037037	17.03	2.22	7.5
EAU	25	2011	7	1.00980392156863	0.44375	2.99676399097638	16.68	10.56	3.30285714285714	2.23857142857143	68	16.36	2.17	7.4
NISINE	35	2012	7	0.333333333333333	0.40275	5.50550848650322	17.1742857142857	9.67714285714287	3.84857142857143	2.25857142857143	38.0476190476191	16.35	2.16	7.3
NISINE	31	2012	9	0.372549019607843	0.44775	4.54225237143581	15.9088888888889	9.53333333333333	3.47666666666667	2.23222222222222	27.037037037037	16.62	2.14	7.3
TSB	28	2012	5	0.840196078431374	0.353	7.57389550546908	17.146	10.238	3.02	2.212	40.9333333333333	17.01	2.16	7.4
NISINE	26	2012	8	0.435294117647059	0.402	5.02388042896951	16.44125	8.75125	3.215	2.27375	45.7083333333333	16.59	2.17	7.5
NISINE	30	2012	7	0.635294117647057	0.51225	2.47476334888924	16.7685714285714	9.17142857142858	4.10285714285714	2.29142857142857	25.0952380952381	16.76	2.21	7.2
