maleID,BeakColourScore,Tarsus,Courtshiprate(sqrtSecsperh),total_N_courtships,total_observat_hrs,Courtshiprate_1st_hr_only,total_N_courtships_1sth,total_observat_hrs_1sth
7004,4.1,17.3,NA,NA,NA,NA,NA,NA
7009,3.4,16.4,0.958757866,185,1638.5,1.411053305,25,112
7010,4,18.2,1.16455191,324,1638.5,1.58113883,46,112
7013,3.6,16,0.085696798,2,1638.5,0.231455025,1,112
7017,3.8,17.2,0.677492677,125,1638.5,0.920985497,17,112
7018,3.7,16.75,1.16244793,379,1638.5,1.620185175,50,112
7019,4,17.2,1.955752899,1108,1638.5,3.149546453,164,112
7021,4,17.3,NA,NA,NA,NA,NA,NA
7032,3.5,17.8,1.794012891,502,1638.5,2.836307962,79,112
7034,3.8,17.4,NA,NA,NA,NA,NA,NA
7052,4.3,17.3,1.256561725,410,1638.5,1.451600102,43,112
7053,3.8,17.2,0.680646967,177,1638.5,1.889822365,67,112
7054,3.4,17.8,NA,NA,NA,NA,NA,NA
7062,4.2,18.2,0.632165171,131,1638.5,0.850420064,22,112
7063,4.1,17.3,NA,NA,NA,NA,NA,NA
7064,3.8,17.5,1.205099324,445,1638.5,1.870828693,59,112
7084,3.8,17.6,1.197713039,466,1638.5,1.89454103,80,112
7086,3.3,17.1,NA,NA,NA,NA,NA,NA
7089,3.4,15.5,1.646739295,484,1638.5,2.801466453,100,112
7090,3.3,17.5,NA,NA,NA,NA,NA,NA
7099,3.9,17.7,NA,NA,NA,NA,NA,NA
7100,4,17.5,NA,NA,NA,NA,NA,NA
7101,4,17.1,1.23122373,574,1638.5,1.569804355,55,112
7105,4,17.3,1.56284115,487,1638.5,3.126785204,115,112
7123,2.9,16.9,0.403473292,42,1638.5,0,0,112
7128,3,17.3,NA,NA,NA,NA,NA,NA
7149,3.5,16.7,NA,NA,NA,NA,NA,NA
7153,4,18,NA,NA,NA,NA,NA,NA
7154,3.6,17.8,NA,NA,NA,NA,NA,NA
7157,4.1,16.9,NA,NA,NA,NA,NA,NA
7159,3.6,17.8,0.194791418,12,1638.5,0.5,3,112
9244,3.9,17.9,NA,NA,NA,NA,NA,NA
9254,3.9,17.7,NA,NA,NA,NA,NA,NA
9269,3.5,17.2,NA,NA,NA,NA,NA,NA
9270,4.3,16.8,NA,NA,NA,NA,NA,NA
9271,4.1,17.8,NA,NA,NA,NA,NA,NA
9281,3.8,16.4,NA,NA,NA,NA,NA,NA
9422,4.5,18.2,NA,NA,NA,NA,NA,NA
9438,4.1,17.8,NA,NA,NA,NA,NA,NA
9448,4.3,17.3,NA,NA,NA,NA,NA,NA
9454,3.4,16.9,NA,NA,NA,NA,NA,NA
11004,4.2,16.4,2.306562371,82,174,2.306562371,82,174
11005,3.8,15.6,NA,NA,NA,NA,NA,NA
11007,3.8,16.4,0.458745005,102,79,0.458745005,102,79
11008,4.2,15.7,3.704835537,214,173,3.704835537,214,173
11011,3.8,16.4,0.36398021,36,65,0.36398021,36,65
11017,3.8,15.9,3.622265379,115,174,3.622265379,115,174
11020,4.5,16.2,0.692554282,99,79,0.692554282,99,79
11021,4.6,16.8,3.480570284,30,48,3.480570284,30,48
11022,3.8,16.2,0.554056873,55,65,0.554056873,55,65
11028,4,16.7,2.120905399,65,170,2.120905399,65,170
11033,4.2,16.7,0.604850094,123,79,0.604850094,123,79
11037,4.5,16.3,2.648227807,89,176,2.648227807,89,176
11040,4.5,15.4,0.283550685,29,65,0.283550685,29,65
11041,3.8,15.1,0.336907736,31,65,0.336907736,31,65
11042,4.6,16.5,0.25435063,14,65,0.25435063,14,65
11044,4.7,16,2.198051085,30,81,2.198051085,30,81
11045,4.2,17.5,0.730204967,154,79,0.730204967,154,79
11051,4.6,15.2,2.013799624,53,174,2.013799624,53,174
11052,4.5,15.9,3.28278553,120,173,3.28278553,120,173
11053,4.2,16,1.011796984,240,79,1.011796984,240,79
11057,4.7,16.2,0.627293602,112,79,0.627293602,112,79
