year,brood,box,sex,tarsus,d21mass,d21wing,wingarea,d21hct,d21hb,takeoff angle,flight velocity,total energy gain,d21time,handlingmin
2013,1,140,M,34.57,74.18,106,51.7,46.3,16.04,21.8,0.61,3.57,10:58,7
2013,1,77,M,32.57,73.73,106,48.44,43.4,12.19,26.57,0.84,2.82,9:44,4
2014,1,6,F,32.37,60.19,98,57.47,48.8,13.6,0,1,5.82,9:02,1
2013,1,15,F,27.99,49.19,91,NA,29.5,8.52,-38.66,1.07,-0.57,9:50,4
2014,1,87,M,32.83,72.92,104,57.61,51.8,14.05,-11.31,1.09,1.67,11:37,1
2013,1,36,M,34.21,82.27,103,42.78,46.4,12.28,21.8,1.15,3.44,9:01,2
2013,2,177,F,32.96,65.68,97,NA,46.1,NA,5.71,1.2,2.15,10:48,8
2014,2,10,M,33.52,72.8,95,NA,42,8.55,21.8,1.24,-1.58,9:51,3
2013,1,147,M,33,57.44,88,46.75,37.5,10.43,21.8,1.24,2.48,11:38,6
2013,1,74,M,33.69,74.6,104,51.66,45.7,15.36,-30.96,1.25,-1.76,9:49,3
2013,2,174,F,34.15,63.87,95,NA,30.9,8.8,-11.31,1.27,-3.75,10:07,5
2013,1,6,F,31.63,58.56,92,NA,40.5,10.02,11.31,1.39,-0.27,9:59,2
2014,2,187,M,34.45,75.95,101,48.72,40.9,11.96,11.31,1.39,3.53,11:32,2
2013,2,174,M,34.77,72.11,101,NA,38.6,10.1,11.31,1.39,3.53,10:02,2
2013,2,196,M,33.97,63.72,104,NA,45.4,12.96,68.96,1.39,-17.63,10:03,6
2013,1,29,M,28.17,59.45,79,39.41,35.9,15.02,-11.31,1.39,-3.91,9:29,4
2013,1,90,M,34.82,89.43,101,53.56,49.1,13.68,26.57,1.4,4.57,10:29,5
2013,2,135,NA,33.29,71.75,97,NA,39.5,NA,16.7,1.42,3.09,10:04,6
2014,2,136,F,33.53,69.91,98,52.8,41.2,12.17,26.57,1.46,1.2,9:50,2
2013,2,81,F,33.43,68,96,NA,38.8,10.29,-11.31,1.46,3.41,10:01,5
2013,2,77,F,34.14,61.89,96,NA,34.1,11.2,11.31,1.46,2.98,10:00,2
2013,1,19,M,30.42,61.51,83,34.37,36.2,10.98,-11.31,1.46,-4.01,9:38,3
2013,1,83,M,34.47,75.44,106,49.25,46.7,13.17,30.96,1.46,3.43,9:27,2
2014,2,78,F,28.94,68.33,95,47.9,38.7,13.69,21.8,1.47,1.58,10:22,2
2013,1,174,F,35.24,78.07,102,57.25,42.4,13.08,21.8,1.47,3.02,10:30,4
2013,1,13,F,34.32,79.42,102,48.67,40.4,10.21,21.8,1.47,2.07,10:05,2
2014,1,147,M,34.99,76.41,105,74.25,48.7,12.56,38.66,1.48,-8.93,12:38,2
2013,1,75,F,35.43,75.27,102,52.07,45.2,13.29,16.7,1.49,2.01,11:25,3
2014,2,14,F,30.78,63.96,88,47.21,27.8,7.5,0,1.5,-1.14,10:08,1
2014,2,77,M,34.29,68.76,89,52.63,41.3,10.87,0,1.5,-0.43,10:24,2
2014,1,13,M,31.12,79.52,109,63.41,48.3,13.95,0,1.5,0.33,9:37,2
2013,1,22,M,32.29,73.02,104,49.99,45.5,10.8,0,1.5,3.66,9:17,2
2013,1,45,M,30.16,61.53,92,33.93,38.4,11.5,0,1.5,1.07,9:36,5
2013,1,29,M,29.52,67.89,92,47.01,41.1,NA,0,1.5,1.27,9:23,2
2014,1,134,M,33.95,70.02,105,64.96,44.2,11.05,0,1.5,0.32,12:49,2
2013,1,82,M,35.74,71.93,98,44.74,49.6,13.79,-5.71,1.51,3.43,10:06,2
2013,1,190,M,34.11,71.03,101,56.15,45.5,14.25,5.71,1.51,5.04,10:32,3
2013,1,6,M,34.72,68.84,108,NA,49.9,12.57,5.71,1.51,2.56,9:47,9
2013,1,8,M,34.14,68.77,101,53.39,50.5,15.07,5.71,1.51,2.35,9:04,3
2014,2,243,F,28.35,48.83,93,51.85,22.4,4.77,-26.57,1.52,-2.63,9:39,2
2013,1,98,F,34.4,72.41,103,47.77,43.9,NA,11.31,1.53,5.15,9:27,4
2013,1,15,F,30.53,67.78,96,NA,40.3,11.6,11.31,1.53,5.42,9:52,2
2013,1,19,F,29.32,67.65,87,41.04,29.2,6.53,-26.57,1.53,-2.64,9:42,5
2013,1,77,F,33.29,67.23,98,47.81,41,10.53,26.57,1.53,3.32,9:47,4
2014,2,47,M,34.49,71.18,105,52.96,45.4,12.56,-11.31,1.53,0.76,10:39,2
2013,2,4,M,34.93,75.39,97,NA,42.1,11.91,11.31,1.53,2.52,9:52,7
2014,1,66,M,34.63,82.16,109,58.54,45.9,14.41,11.31,1.53,3.86,11:52,2
2013,1,82,M,34.45,81.91,101,49.99,48.9,15.2,11.31,1.53,3.94,10:04,2
2013,1,144,M,33.39,62.74,97,NA,50.8,13.56,11.31,1.53,2.52,10:29,3
2013,1,136,M,33.59,61.87,95,41.76,47,13.99,41.99,1.55,2.76,11:30,3
2013,1,184,F,35.34,68.6,113,51.17,45.5,12.77,16.7,1.57,7.93,10:06,3
2014,1,66,M,34.8,74.5,109,59.58,46.5,12.72,-5.71,1.59,1.4,11:50,1
2013,2,3,M,35,69.85,109,NA,44.6,14.65,38.66,1.6,5.47,9:47,3
2013,2,22,F,31.69,63.07,96,NA,37.9,11.54,11.31,1.61,3.81,10:10,7
2014,1,3,F,33.24,70.24,110,65.23,54.4,13.53,11.31,1.61,1.96,8:53,1
2013,1,4,F,35.5,81.22,104,56.23,48,13.88,11.31,1.61,5.02,10:43,2
2013,2,184,M,36.23,71.95,103,NA,46.6,13.43,21.8,1.61,2.45,10:05,2
2013,2,77,M,34.18,70.07,104,NA,41.8,10.74,21.8,1.61,3.24,10:08,3
2014,2,10,NA,33.92,73.36,104,NA,42.6,12.04,21.8,1.61,2.74,9:59,2
2014,2,87,F,32.5,56.44,92,43.29,38.2,10.45,21.8,1.62,0.47,10:56,2
2014,2,157,F,30.7,53.16,95,49.27,40.7,13.24,21.8,1.62,-0.19,11:38,2
2013,2,65,M,34.45,71.39,105,NA,41.6,12.23,21.8,1.62,5.29,9:50,6
2014,2,136,M,34.85,73.3,105,56.89,40.6,11.81,45,1.63,2.64,9:55,2
2014,1,159,F,33.22,60.79,97,46.61,44.4,10.81,5.71,1.67,1.91,11:21,2
2013,1,98,F,35.64,78.95,110,53.35,49.8,NA,0,1.67,2.65,9:23,2
2013,1,22,F,33.06,73.77,108,45.21,47.8,13.15,0,1.67,4.93,9:19,2
2014,2,25,M,34.38,75.59,108,NA,43.8,9.76,5.71,1.67,3.39,10:16,2
2013,1,134,M,31.99,65.6,102,NA,51.6,16.16,5.71,1.67,5.2,10:13,2
2013,2,177,F,33.29,68.14,104,NA,44.5,16.77,21.8,1.7,4.09,10:42,5
2013,2,196,F,31.84,67.85,96,NA,41.3,11.74,21.8,1.7,1.82,9:58,4
2013,2,3,F,33.64,66.95,105,NA,46.2,14.41,21.8,1.7,4.1,9:52,7
2013,2,8,F,34.69,73.25,103,NA,38.2,11.02,21.8,1.7,3.66,10:06,10
2013,1,31,F,34.71,73.49,99,54.18,41.2,11.29,11.31,1.7,3.04,9:03,2
2013,1,36,F,33.5,77.4,110,50.53,44.7,13.46,11.31,1.7,5.16,9:06,6
2014,2,14,F,29,67.39,94,48.6,38.8,12.27,21.8,1.7,1.82,10:02,3
2014,1,83,M,25.55,59.72,97,62.65,38.3,9.89,11.31,1.7,3.34,10:54,1
2014,1,159,M,34.77,73.3,103,55.46,48.3,13.06,11.31,1.7,2.6,11:20,3
2013,1,45,M,31.04,71.27,98,49.06,43.9,11.75,21.8,1.7,3.42,9:29,2
2013,1,8,M,35.44,74.66,103,48.38,49.4,13.59,21.8,1.7,5.15,9:08,3
2014,1,83,M,28.54,61.51,95,53.49,48.8,13.24,11.31,1.7,-0.36,10:51,2
2014,1,13,M,32.72,80.7,109,58.05,50,13.27,11.31,1.7,2.27,9:39,2
2013,1,25,F,34.06,77.75,105,51.91,47,15.16,16.7,1.74,5.19,9:48,2
2013,1,187,F,33.75,71.49,99,54.87,42.7,16.11,-16.7,1.74,1.37,11:12,7
2013,1,144,F,33.11,69.23,100,NA,48.4,17.11,16.7,1.74,2.98,10:25,4
2013,1,179,M,32.58,68.19,102,51.93,45.7,15.37,34.99,1.74,6.08,10:44,3
2014,1,67,M,34.62,82.39,109,70.88,52.7,13.33,16.7,1.74,1.14,10:08,3
2013,2,178,F,34.22,76.83,106,NA,44,13.83,30.96,1.75,2.95,10:37,3
2013,1,65,M,33.8,69.92,107,46.43,49.5,13.53,34.99,1.75,5.22,8:49,3
2013,1,86,M,34.22,74.69,99,53.62,42.8,13.67,30.96,1.75,2.18,11:53,7
2013,1,160,F,34.92,71.69,107,52.95,49.7,13.28,26.57,1.76,6.02,9:53,4
2013,1,106,F,35.43,74.98,110,56.47,45.7,14.89,45,1.77,6.02,10:11,6
2014,2,25,M,32.49,68.43,99,NA,39.8,9.55,0,1.77,1.86,10:22,3
2013,1,159,M,34.48,73.24,106,46.28,51.7,15.23,5.71,1.77,3.54,9:55,2
2014,1,20,M,31.32,67.33,102,69.66,44.7,11.32,-5.71,1.77,1.69,9:24,1
2014,2,87,F,31.07,62.64,97,45.28,36.5,12.06,21.8,1.79,2.1,11:02,2
2014,2,47,F,32.36,72.7,99,60.56,46,14.12,21.8,1.79,2.88,10:35,1
2013,2,8,F,34.98,73.46,102,NA,43.8,12.38,21.8,1.79,5.41,9:57,3
2014,1,9,F,31.33,62.25,91,49.27,35.7,9.27,-21.8,1.79,-3.57,10:09,2
2014,1,86,F,33.26,78.44,108,74.48,48.1,12.66,21.8,1.79,3.02,11:21,1
2013,1,83,F,34.11,72.58,99,52.57,44.3,12.44,21.8,1.79,5.1,9:33,6
2014,1,177,M,32.95,69.2,105,74.45,54.9,15.04,21.8,1.79,2.94,13:25,2
2013,1,3,M,35.24,71.31,110,54.05,50.3,14.62,21.8,1.79,4.04,11:05,3
2013,1,86,M,32.86,71.3,96,47.2,45.8,15.1,21.8,1.79,3.94,11:50,2
2013,2,65,NA,34.1,77.07,102,NA,42.3,NA,21.8,1.79,3.94,9:44,2
2013,2,187,F,33.94,72.32,97,NA,38.2,11.36,11.31,1.8,2.95,9:56,5
2014,1,20,F,32.98,71.01,106,69.03,52.9,15.43,-11.31,1.8,0.04,9:27,2
2013,1,25,F,34.2,73.2,107,52.53,45.8,13.04,11.31,1.8,7.54,9:51,3
2013,1,159,F,34.42,71.45,106,54.34,45.5,14.94,11.31,1.8,6.94,9:58,3
2014,1,65,M,30.36,64.11,104,54.38,45.5,12.54,-11.31,1.8,3.17,9:16,2
2014,1,83,M,29.13,65.58,103,71.13,49.8,13.97,11.31,1.8,1.64,10:55,1
