HA,HL,HP,Nox,FS,Nest,Weight,Tarsus,Rec,Analysed
2,2,0.09147,0.0067,1,1,17.3,19.96,0,2012
1,1,0.01322,0.0043,1,1,15,19.41,0,2012
2,1.5,0.02202,0.0055,1,1,13.6,18.93,0,2012
3,2,0.00883,0.0082,1,1,15.9,19.3,0,2012
4,1,0.0096,0.0048,1,2,15.1,18.65,0,2012
4,2,0.0458,0.0073,1,2,15.8,19.45,0,2012
3,1.5,0.0387,0.0052,1,2,16.2,20.05,0,2012
9,2.5,0.05112,0.0063,1,2,13.3,18.3,0,2012
3,1,0.02529,0.0057,1,3,16.7,19.18,0,2012
1,1,0.0489,0.0104,1,3,15.3,18.67,0,2012
1,3,0.07581,0.0106,1,3,14.9,19.26,0,2012
1,1,0.07156,0.0108,1,4,16.9,19.85,0,2012
2,2.5,0.07033,0.0069,1,4,11.9,18.45,0,2012
2,0.5,0.0735,0.0056,1,4,17.7,20.13,1,2012
4,2,0.11563,0.0056,1,5,17.4,19.63,0,2012
2,1,0.04165,0.0087,1,5,15.3,19.1,0,2012
4,2,0.02793,NA,1,5,16.5,19.52,0,2012
5,2.5,0.10075,0.0096,1,6,17.8,20.69,0,2012
5,1,0.02881,0.005,1,6,17.4,19.9,0,2012
3,2,0.09147,0.0043,1,6,17.1,19.6,0,2012
10,0.5,0.04556,0.0054,1,6,17.9,20.6,0,2012
6,2.5,0.0091,0.027,1,7,15.5,20.01,0,2012
9,4,0.04294,0.0083,1,7,12.6,18.82,0,2012
10,2.5,0.03984,0.0091,1,7,13.1,19.37,0,2012
3,0.5,0.04894,0.0035,1,7,15.8,21,0,2012
2,1.5,0.0011,0.0196,1,8,16.9,19.31,0,2012
3,1.5,0.05892,0.006,1,8,17.5,19.53,0,2012
9,1.5,0.11311,0.0052,1,8,17.7,19.6,0,2012
8,1,0.05821,0.0096,1,8,16.8,20.09,0,2012
6,0.5,0.68583,0.0154,1,9,12,17.21,0,2012
8,1,0.33167,0.0033,1,9,16.4,20.07,0,2012
4,2,0,0.0115,1,9,15.9,19.74,0,2012
5,0.5,0.18726,0.0089,1,9,13,18.09,0,2012
8,1,0.0521,0.0078,1,10,13.5,18.8,0,2012
2,2,0.09524,0.0075,1,10,15.7,18.41,0,2012
1,1,0.00918,0.0045,1,10,14.2,18.9,0,2012
4,2,0.11261,0.0047,1,10,15.7,18.66,0,2012
4,2,0.05349,NA,1,11,18.5,20.34,0,2012
4,1.5,0.00167,0.0106,1,11,19.6,20.69,0,2012
3,1,0.03244,0.0071,1,11,17,20.36,0,2012
3,1,0.27839,0.0131,1,12,16.4,19.57,0,2012
1,0.5,0,0.0128,1,12,16.6,19.25,0,2012
9,1,0,0.0092,1,12,16.3,19.4,0,2012
0,0,0,0.0131,1,12,16.6,20.51,0,2012
5,3,0.0538,0.0063,1,13,20.1,20.34,0,2012
