Territory,Min_song_freq,Max_song_freq,Peak_song_freq,Delta_song_freq,song_duration,Noise_avg_power,Noise_peak_freq,Noise_avg_power_variation,Noise_peak_freq_variation,SongPC1,SongPC2,playback,Canopy_cover,Canopy_cover_variation,Throat_hue_theta,Throat_hue_phi,Throat_chroma,Throat_luminance,Crown_hue_theta,Crown_hue_phi,Crown_chroma,Chrown_luminance,ThroatPC1,ThroatPC2,CrownPC1,CrownPC2,Wing_chord,Tarsus,Mass,MorphPC1,MorphPC2
2,881.8714286,2898.667857,2223.214286,2016.796429,2.309714286,56.10384615,1742.546154,6.2818138,3907.438034,-0.814906916,-0.365368238,B,90.73666667,2.572479349,-0.316453397,-0.142564365,0.248628507,0.156207561,-0.378105631,-0.12572743,0.269233867,0.134309585,0.005540059,0.09163778,-0.441637049,-0.395512203,105,24.16,44,-0.371263849,-0.363960335
14,753.2,2935.375,2367.175,2182.175,1.933,51.20480769,2499.5125,6.406858882,2177.547429,-2.386748322,-0.744896483,A,92.61111111,1.975129391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,984.18,2754.34,1907.8,1770.16,2.376,47.17307692,3087.534615,4.936764746,3159.538518,1.973094115,-0.925024625,A,85.01,7.196867374,-0.350368764,-0.230464465,0.279570661,0.139071924,-0.379872985,-0.160010183,0.314670523,0.132393324,0.487215448,-0.83616842,-1.398737205,-0.769760724,106,25.26,42.8,-0.844073675,-0.562958269
18,819.2896552,2646.951724,2221.713793,1827.658621,1.853068966,54.95384615,1351.625,5.302069945,1933.18972,0.590982917,-1.489090868,A,91.63444444,2.736311893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,879.584,2937.188,2356.872,2057.6,1.65212,46.81538462,3120.669231,3.584487948,2932.887526,-1.581891779,0.086801262,A,91.21888889,2.511704822,-0.354699833,-0.201393799,0.302245466,0.141784533,-0.337420137,-0.120955086,0.219804647,0.123766757,1.03017965,-0.35186219,0.407582004,0.827923449,104,23.14,38.8,1.885859854,-0.657545448
22,906.2148148,2798.166667,2437.496296,1891.966667,2.408518519,50.72692308,2829.138462,6.791851453,3403.067744,-0.719600977,0.099924151,A,86.34888889,5.092556933,-0.399846111,-0.128392337,0.325461763,0.146413444,-0.376962291,-0.037832923,0.227215515,0.122335462,2.283463536,1.282065289,0.674179882,0.655712773,100,24.14,42.8,0.390339276,1.031674322
25,813.0166667,2976.75,2191.4,2163.733333,2.353666667,53.70615385,5099.074615,3.565636028,2750.035068,-1.680522543,-0.700778568,B,92.84555556,4.711411973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.13667,5.802818,-0.359710233,-0.168188825,0.295394135,0.142677874,-0.359699474,-0.067719193,0.263349477,0.147472524,1.050858547,0.304285569,0.760471626,-1.034558774,103,23.24,40.7,1.353984434,-0.190549609
28,964.9125,2676.2125,2053.7125,1711.3,1.730625,59.04230769,5890.169231,5.700717057,1140.675796,1.885407035,-0.87734769,A,93.07888889,2.571475474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,916.6166667,2907,2281.25,1990.383333,1.8315,52.18846154,2371.976923,4.67044554,2761.955354,-0.867572028,0.049374986,B,78.4,3.200617128,-0.299481679,-0.158006434,0.269541371,0.150692503,-0.250786521,-0.039256516,0.176923135,0.154635103,-0.054133123,-0.235894565,3.521971549,-0.192830155,99,23.97,41.7,0.900800361,1.213300376
31,858.24,2553.546667,2076.553333,1695.34,1.5632,60.35384615,5393.230769,6.002148333,2054.370101,2.015273691,-1.876357105,B,84.60222222,8.765217878,-0.334986917,-0.134294076,0.253014847,0.126760556,-0.40345359,-0.142671579,0.275881903,0.112395083,-0.382044402,1.19515623,-1.529046791,0.661866566,111,24.3,41.2,-0.145272114,-2.353898181
35,952.625,3061.794444,2350.583333,2109.176389,2.619916667,45.58461538,4671.057692,3.582255413,5361.265436,-1.992815585,0.908456765,A,89.95777778,6.389359862,-0.307013331,-0.139040832,0.179687428,0.086750974,-0.388170856,-0.11051384,0.30100076,0.131179758,-3.030453167,2.011522197,-0.856842389,-0.612171055,103,27.08,43.9,-2.13669209,0.743056858
