 pair     momtrt      egg    eggtrt    order       cband      sex    bsf    eggmass    age      mass      tarsus
  1         C          3        C        1       M15D0088      M      3      0.885      0       0.621      4.13
  1         C          5        C        1       SDBL0266      F      3      0.917      0       0.601      3.68
  1         C          6        T        1       M15D0091      M      3      0.882      0       0.565      4.36
  2        LPS         2        T        1       SDBL0269      F      2      0.922      0       0.598      2.50
  2        LPS         3        C        1       M15D0046      M      2      0.885      0       0.589      2.30
  4        LPS         1        T        1       SDBL0242      M      4      1.028      0       1.006      4.25
  4        LPS         4        C        1       M15D0047      M      4      1.026      0       0.712      4.92
  4        LPS         5        T        1       M15D0051      F      4      1.151      0       0.812      5.16
  4        LPS         7        T        1       M15D0065      F      4      1.220      0       0.891      5.40
  12       LPS         1        T        1       M15D0052      M      4      1.206      0       0.748      5.05
  12       LPS         3        T        1       M15D0060      M      4      1.217      0       0.908      4.82
  12       LPS         4        C        1       SDBL0224      F      4      1.763      0       1.261      5.44
  12       LPS         5        T        1       M15D0061      F      4      1.258      0       0.866      4.66
  15        C          1        C        1       M15D0042      M      5      1.211      0       0.945      5.44
  15        C          2        T        1       M15D0043      M      5      1.231      0       0.910      4.28
  15        C          3        C        1       M15D0044      M      5      1.137      0       0.841      5.41
  15        C          4        T        1       M15D0049      M      5      1.125      0       0.803      4.97
  15        C          5        C        1       M15D0048      M      5      1.204      0       0.918      5.32
  19        C          4        T        1       M15D0053      M      3      1.127      0       0.790      5.30
  19        C          5        C        1       M15D0066      M      3      1.188      0       0.910      4.48
  19        C          6        T        1       M15D0067      M      3      1.123      0       0.859      4.88
  21       LPS         4        T        1       M15D0063      M      3      1.146      0       0.821      4.78
  21       LPS         6        C        1       M15D0064      M      3      1.175      0       0.806      3.49
  21       LPS         7        T        1       SDBL0225      F      3      1.508      0       1.017      4.17
  22        C          6        C        1       M15D0095      M      2      1.135      0       0.746      4.33
  22        C          8        C        1       M15D0094      F      2      1.209      0       0.786      4.34
  30        C          4        T        1       M15D0062      F      5      1.215      0       0.841      4.78
  30        C          5        C        1       M15D0068      F      5      1.196      0       0.855      5.15
  30        C          6        T        1       M15D0092      F      5      1.195      0       0.875      4.76
  31       LPS         1        T        1       M15D0055      M      1      1.159      0       1.060      5.35
  32        C          4        T        1       M15D0100      F      4      1.000      0       0.677      3.98
  32        C          5        C        1       M15D0099      M      4      1.001      0       0.715      4.50
  32        C          6        T        1       M15D0103      F      4      1.052      0       0.865      4.70
  32        C          7        C        1       M15D0107      M      4      0.990      0       0.703      4.80
  34        C          2        T        1       SDBL0247      M      6      1.284      0       0.887      3.77
  34        C          3        C        1       SDBL0248      M      6      1.247      0       0.800      4.99
  34        C          6        T        1       M15D0116      M      6      1.234      0       0.810      4.61
  34        C          7        C        1       SDBL0250      M      6      1.261      0       0.830      4.43
  41       LPS         1        T        1       M15D0085      M      5      1.182      0       0.820      4.09
  41       LPS         2        C        1       M15D0086      F      5      1.246      0       0.861      4.45
  41       LPS         3        T        1       M15D0089      M      5      1.388      0       1.174      4.99
  41       LPS         5        T        1       M15D0102      F      5      1.331      0       0.991      5.23
  41       LPS         6        C        1       M15D0093      F      5      1.245      0       0.841      4.33
  42        C          3        C        1       M15D0069      F      3      1.035      0       0.897      4.86
  42        C          4        C        1       M15D0076      F      3      1.029      0       0.639      4.39
  43       LPS         5        C        1       SDBL0270      F      4      1.076      0         .        5.60
  43       LPS         6        T        1       M15D0105      F      4      1.036      0         .        5.49
  43       LPS         7        C        1       M15D0106      M      4      1.048      0         .        4.72
  43       LPS         8        T        1        M15D108      F      4      1.142      0       0.833      4.77
  45        C          1        T        1       M15D0059      F      5      1.075      0       0.765      4.79
  45        C          2        C        1       M15D0070      F      5      1.087      0       1.130      4.32
  45        C          3        T        1       M15D0071      F      5      1.106      0       0.743      4.42
  45        C          4        C        1       M15D0077      M      5      1.108      0       0.757      4.95
  45        C          5        T        1       M15D0079      F      5      1.235      0       0.947      4.69
  46       LPS         1        T        1       M15D0072      F      5      0.976      0       0.910      5.39
  46       LPS         2        C        1       M15D0073      M      5      1.070      0       1.012      5.29
  46       LPS         3        T        1       M15D0078      F      5      1.126      0       0.809      4.93
  46       LPS         4        C        1       SDBL0226      F      5      1.150      0       0.993      4.99
  46       LPS         5        T        1       SDBL0232      M      5      1.192      0       0.855      5.06
  47        C          1        C        1       M15D0109      F      5      1.067      0       0.924      5.09
  47        C          3        C        1       SDBL0246      M      5      1.189      0       1.155      4.79
  47        C          4        T        1       M15D0110      F      5      1.164      0       0.945      5.47
  47        C          5        .        1       M15D0111      M      5      1.226      0       0.975      5.30
  48       LPS         3        C        1       M15D0056      F      7      1.035      0       0.736      5.48
  48       LPS         4        T        .       M15D0074      M      7      1.035      0       0.945      4.35
  48       LPS         5        C        .       SDBL0267      M      7      1.003      0       0.730      4.69
  48       LPS         6        T        .       M15D0080      M      7      1.038      0       0.798      4.99
  48       LPS         7        C        .       M15D0081      M      7      1.110      0       0.807      4.14
  50       LPS         2        T        1       M15D0082      F      5      0.917      0       0.736      5.48
  50       LPS         3        C        1       M15D0083      M      5      0.989      0       0.805      4.56
  50       LPS         4        T        1       M15D0084      F      5      1.095      0       0.782      4.65
  50       LPS         6        T        1       M15D0087      M      5      1.128      0       0.804      4.36
  50       LPS         7        C        1       M15D0090      M      5      1.179      0       0.822      4.30
  52       LPS         4        T        1       M15D0104      F      4      1.035      0       0.819      5.41
  52       LPS         5        C        1       M15D0096      M      4      1.068      0       0.730      5.46
  52       LPS         6        T        .       M15D0097      F      4      1.109      0       0.924      5.16
