  pair      int    clutch    xegg      cs       bsh      bsf     trt      fband        hct1     vol1     hct2     vol2      hct3     vol3      matAB      good     id  massinj1   massinj2    mass1E     mass30      ftars
    1        6        1      0.911      8        4        3       C      M10D0156      0.53      18      0.49      50       0.51      40       0.626        1      1     14.0       13.3       15.0       14.9       17.06
    2        4        1      0.913      6        5        2      LPS     SLPI0044      0.55      40      0.52      38       0.48      45       0.974        1      2     14.0       13.2       14.2       14.2       16.37
    3       11        1      1.082      5        0        0       C      SLPI1225      0.57      88      0.51      50        .         .       0.961        0      3     14.2       13.7       16.0         .        16.95
    4        4        1      1.149      7        4        4      LPS     M14D0278      0.50       .      0.50      34       0.50      42       0.670        1      4     14.9       14.5       16.1       16.1       17.62
    5        .        0        .        0        .        .       C      SLPI1255      0.54      44        .        .        .         .         .          0      5     15.4       14.8         .          .        16.55
    6        4        1      1.174      7        6        0      LPS     M14D0061      0.51      40        .       20        .         .       1.049        1      6     16.9       16.9       17.2         .        17.33
    7        6        1      0.978      7        0        0       C      SLPI0142      0.57      20      0.52      40        .         .       0.382        0      7     15.8       15.9       16.8         .        17.54
    8        5        1      0.973      6        5        0      LPS     SLPI0045      0.52      70      0.53      28        .         .         .          1      8     15.8       15.6       15.8         .        16.97
    9       13        1      1.039      4        0        0       C      SLPI0059      0.51      72      0.53      60        .         .         .          0      9     14.8       14.3       16.4         .        17.09
   10       10        1      0.921      1        0        0      LPS     M11D0057      0.42      30      0.46      50        .         .       1.307        1      10    13.9       14.5       16.0         .        16.09
   11        4        1      1.047      5        0        .       C      SLPI1261      0.47      60      0.42      54        .         .       0.500        1      11    13.7       13.2       14.3         .        17.76
   12        5        1      1.442      5        4        4      LPS     SLPI0065      0.47      99      0.51      25       0.47      32       1.598        1      12    18.1       18.0       18.5       18.7       17.27
   13       10        1      1.074      1        0        0       C      M10D0153      0.61      48      0.64      49        .         .       1.220        0      13    16.1       15.3       17.2         .        16.62
   14        8        1      0.950      6        0        0      LPS     SLPI0068      0.50      14      0.52      25        .         .       0.735        0      14    15.7       14.4       15.4         .        17.43
   15        4        1      1.182      5        5        5       C      M11D0073      0.48      56      0.52      50       0.45      45       0.430        1      15    14.9       15.9       17.2       14.9       17.25
   16        5        1      1.034      6        6        0      LPS     SLPI0028      0.46      20      0.50      46        .         .       0.590        1      16    13.4       12.1       14.0         .        16.96
