ID,sex,wing,tars,bd,bl,LRS,longevity,MRS
A007114,F,710,230,43,134,1,1,1
A007116,F,740,235,44,136,0,1,0
A007117,M,790,240,46.5,136,0,1,0
A007119,F,735,235,43,135,0,1,0
A007120,F,730,240,45,143,0,1,0
A007121,F,750,240,42,130,0,1,0
A007123,F,740,240,43,133,0,1,0
A007127,M,770,245,46,132,0,1,0
A007129,F,740,240,43,139.5,0,2,0
A007130,M,770,245,45,138,0,1,0
A007131,F,750,235,43,135,1,1,1
A007132,M,770,250,44,132,2,1,2
A007133,M,760,240,45,129,3,5,0.6
A007134,F,760,240,44,133,0,1,0
A007145,F,700,230,45,132,0,1,0
A007146,F,780,240,45,139,0,1,0
A007147,M,770,245,46,136,0,1,0
A007148,M,750,240,45,129,0,1,0
A007149,M,755,230,44,131,2,1,2
A007150,F,750,235,44,130.5,2,3,0.666666666666667
A722028,F,740,225,44.5,137.5,0,1,0
A725950,F,720,220,44,131.5,0,1,0
B067118,F,735,230,43.5,139,1,1,1
B067120,F,700,235,44.5,129,1,1,1
B067121,M,750,240,45,137,1,1,1
B067122,F,730,235,45,137,2,2,1
B067123,F,720,230,43,133,2,1,2
B067124,F,730,230,43,136,1,1,1
B067125,M,760,240,45,132,0,1,0
B067126,F,740,230,45,137,0,1,0
B067127,F,720,230,43,136,0,1,0
B067128,F,730,230,43,130,0,1,0
B067129,F,740,230,42,138,2,1,2
B067130,F,730,220,43,136,1,1,1
B067131,F,750,230,42.5,135,0,2,0
B067132,F,720,230,43,133,4,3,1.33333333333333
B067133,F,730,235,43.5,130,0,1,0
B067134,M,760,240,47,128,0,1,0
B067135,F,720,230,46,140,1,2,0.5
B067148,F,720,225,42,130.5,0,1,0
B067149,M,760,235,46,133,3,3,1
B067150,F,735,240,44,134,0,1,0
B067479,M,760,235,44.5,131,1,1,1
B067499,F,730,230,42,136,0,2,0
NE93701,M,770,245,45.5,135.5,3,2,1.5
NE93706,F,750,245,45.5,139,0,1,0
NE93707,M,770,240,45,130,2,1,2
NE93709,F,740,235,44.5,137,1,1,1
NE93747,F,730,235,46,132,3,1,3
NE93805,F,740,240,43,131,1,2,0.5
NE93815,M,770,240,47,132,1,1,1
NE93818,M,760,240,47,135,0,1,0
NE93820,F,740,235,45,143,2,1,2
NE93836,M,770,240,46,127,4,1,4
NE93838,M,750,240,46,132,0,1,0
NE93841,F,730,235,44,135,2,1,2
NE93842,F,730,230,46,133,3,3,1
NE93853,M,765,235,47,128,1,1,1
NE93864,F,755,235,45.5,142,0,1,0
NE93865,M,780,250,47.5,140,2,2,1
NE93871,M,770,240,45.5,131,0,1,0
NE93874,F,720,225,45,132,1,1,1
NE93879,F,720,215,42,128.5,1,1,1
NE93881,M,750,240,49,131,2,1,2
NE93885,F,740,235,41,129,0,1,0
NE93888,M,770,245,45,129.5,1,1,1
NE93894,F,740,235,45,135,0,1,0
NE93911,F,750,240,42,131,0,1,0
NE93915,F,740,235,44,138,0,1,0
NE93916,M,760,245,46,133,0,1,0
NE93919,M,740,240,45,132.5,1,1,1
NE93920,F,720,230,42,137,0,1,0
NE93923,M,760,240,46,137,2,1,2
NE93935,M,750,240,46.5,132,0,1,0
NE93968,M,760,225,45,128,0,1,0
NE93986,F,710,230,45,134,3,3,1
NE93994,M,765,240,43,131,0,1,0
NE94000,M,750,240,45,136.5,0,1,0
NE94374,M,750,250,47,140,0,1,0
NE94424,M,785,240,45,132.5,0,1,0
NE94456,F,750,240,47,140,0,1,0
NE94487,F,740,235,45,133,0,2,0
NE95639,F,740,235,44,128.5,0,1,0
NE95658,F,720,235,45,132.5,2,1,2
NE95661,M,755,240,44,129,0,1,0
NE95665,F,730,230,44,136,1,1,1
NE95666,F,740,230,44,132,0,1,0
NE95671,F,740,230,46,138.5,2,1,2
NE95673,M,770,240,45,131,1,1,1
NE95679,M,740,240,45,123,1,2,0.5
NE95705,F,730,240,42.5,134,1,1,1
NE95715,F,740,230,44,133,1,1,1
NE95716,M,760,240,46,130.5,1,1,1
NE95717,F,730,230,44,134.5,7,5,1.4
NE95720,M,760,240,45,131,2,1,2
NE95727,M,750,230,46,131.5,0,1,0
NE95735,M,750,240,45,141.5,0,1,0
NE95737,M,770,245,46,138,1,2,0.5
NE95740,F,740,240,44.5,138,0,2,0
NE95748,M,780,240,45,132,0,1,0
NE95766,F,735,235,45,131,0,1,0
NE95782,M,760,240,47,136,1,1,1
NE95783,F,740,230,44,132,0,1,0
NE95791,M,760,245,45,133,2,1,2
NE95792,M,760,250,44,129,0,1,0
NE95801,M,790,245,46,130.5,0,1,0
NE95809,F,730,225,45,132,2,1,2
NE95816,F,750,235,44,140,0,1,0
NE95818,F,740,240,46,143,0,1,0
NE95823,M,770,255,47,135,0,1,0
NE95844,M,770,240,47,134,0,1,0
NE96179,M,790,240,46,128,1,1,1
NE96227,M,760,235,46,128,0,1,0
NE96253,F,710,230,44,141.5,0,1,0
NE96294,M,730,240,44,134,1,1,1
NE96300,F,740,230,42.5,135.5,1,2,0.5
NE96332,M,750,240,44.5,131,1,1,1
NE96333,M,750,230,43.5,130,2,1,2
NE96357,F,730,230,45,136,0,1,0
NE96375,M,740,235,45,128.5,1,2,0.5
NE96421,M,740,235,45,138,0,1,0
NE96423,M,760,235,47,131,0,1,0
NE96424,F,730,230,44,132,1,1,1
NE96464,F,750,230,43,132,1,1,1
NE96485,F,730,230,41,136,3,1,3
NE96489,F,740,230,45,138,1,1,1
NE96611,M,740,235,44,130,0,1,0
NE96615,M,760,235,43,130,0,1,0
NE96622,M,770,245,46,135,0,1,0
NE96644,F,710,225,42.5,132,1,1,1
NE96645,M,730,240,44,132,0,1,0
NK59258,M,770,240,47,128,0,1,0
NK59364,M,760,230,44,131,0,1,0
NK59385,F,750,235,43,134,1,1,1
NK59507,F,730,230,45,135,0,1,0
NK59522,F,720,235,43,139,1,2,0.5
NK59525,F,720,230,42,130.5,0,1,0
NK59537,M,745,240,47,133,0,1,0
NK59540,M,757.5,242.5,48.5,131,0,1,0
NK59541,M,750,240,45,134.5,1,3,0.333333333333333
NK59543,F,730,235,43,130.5,1,1,1
NK59547,M,760,240,47,134.5,0,1,0
NK59552,F,740,235,46,145,0,1,0
NK59554,F,735,235,45,139,0,1,0
NK59557,F,720,235,44,133,1,1,1
NK59558,F,720,240,43,131.5,1,1,1
NK59562,F,700,225,45,133,0,1,0
