ID,Population,Sex,Cohort,Nestbox Origin,Nestbox Rearing,Tarsus
1,Evergreen,female,2011,116,116,14.8
2,Evergreen,female,2011,116,116,15.1
3,Evergreen,female,2010,18,86,15.2
4,Deciduous,female,2010,42,225,15.38
5,Evergreen,female,2011,106,106,15.45
6,Evergreen,female,2010,18,18,15.48
7,Deciduous,female,2010,278,284,15.57
8,Evergreen,female,2010,18,18,15.59
9,Evergreen,female,2011,8,8,15.6
10,Evergreen,female,2011,155,155,15.6
11,Deciduous,male,2010,225,225,15.6
12,Evergreen,female,2011,8,8,15.6
13,Deciduous,female,2010,278,278,15.61
14,Deciduous,female,2010,105,105,15.61
15,Evergreen,female,2011,106,106,15.65
16,Evergreen,female,2011,106,106,15.65
17,Evergreen,female,2010,55,126,15.66
18,Evergreen,female,2011,74,74,15.7
19,Evergreen,female,2010,31,138,15.74
20,Evergreen,female,2010,126,55,15.75
21,Evergreen,female,2011,82,82,15.75
22,Evergreen,female,2011,96,96,15.75
23,Evergreen,male,2010,23,62,15.8
24,Evergreen,male,2010,86,86,15.83
25,Deciduous,female,2010,105,178,15.86
26,Deciduous,female,2010,178,178,15.87
27,Deciduous,female,2010,225,225,15.88
28,Deciduous,female,2010,178,105,15.89
29,Evergreen,female,2010,62,62,15.89
30,Evergreen,female,2010,138,138,15.91
31,Deciduous,female,2010,278,284,15.93
32,Evergreen,female,2010,18,86,15.97
33,Deciduous,male,2010,135,135,16
34,Evergreen,female,2011,38,38,16.05
35,Evergreen,male,2011,38,38,16.05
36,Evergreen,male,2011,8,8,16.05
37,Deciduous,female,2011,67,67,16.05
38,Deciduous,female,2011,144,144,16.05
39,Evergreen,male,2011,106,106,16.05
40,Evergreen,male,2011,82,82,16.05
41,Evergreen,female,2010,40,49,16.08
42,Evergreen,female,2011,155,155,16.1
43,Deciduous,female,2011,350,350,16.1
44,Evergreen,female,2010,31,138,16.12
45,Evergreen,male,2010,49,40,16.13
46,Deciduous,male,2010,135,130,16.13
47,Evergreen,female,2010,138,31,16.14
48,Deciduous,female,2010,105,178,16.14
49,Evergreen,male,2011,82,82,16.15
50,Deciduous,female,2010,42,225,16.15
51,Deciduous,female,2011,350,350,16.15
52,Evergreen,female,2010,86,86,16.16
53,Deciduous,female,2010,225,225,16.17
54,Evergreen,male,2010,55,55,16.17
55,Deciduous,male,2010,225,225,16.18
56,Evergreen,female,2010,138,138,16.18
57,Evergreen,male,2010,62,62,16.19
58,Deciduous,female,2011,144,144,16.2
59,Deciduous,female,2011,67,67,16.2
60,Evergreen,male,2011,155,155,16.2
61,Evergreen,female,2010,86,18,16.24
62,Evergreen,male,2011,38,38,16.25
63,Evergreen,male,2011,38,38,16.25
64,Evergreen,male,2011,82,82,16.25
65,Deciduous,female,2011,350,350,16.25
66,Evergreen,female,2010,62,23,16.26
67,Deciduous,male,2010,225,225,16.28
68,Evergreen,female,2011,155,155,16.3
69,Evergreen,female,2011,74,74,16.3
70,Deciduous,female,2010,105,178,16.3
71,Evergreen,male,2010,49,40,16.3
72,Evergreen,male,2011,74,74,16.3
73,Evergreen,male,2011,96,96,16.3
74,Deciduous,female,2010,284,278,16.32
75,Evergreen,male,2011,106,106,16.35
76,Evergreen,male,2011,116,116,16.35
77,Evergreen,male,2011,116,116,16.35
78,Evergreen,male,2011,8,8,16.35
79,Evergreen,male,2011,96,96,16.35
80,Evergreen,female,2010,138,138,16.36
81,Evergreen,male,2010,126,55,16.37
82,Deciduous,male,2010,225,42,16.38
83,Deciduous,male,2010,284,278,16.4
84,Deciduous,female,2011,144,144,16.4
85,Evergreen,male,2010,23,62,16.41
86,Deciduous,male,2010,105,105,16.41
87,Evergreen,male,2010,18,18,16.44
88,Evergreen,male,2011,155,155,16.45
89,Evergreen,male,2011,155,155,16.45
90,Deciduous,female,2011,225,225,16.45
91,Deciduous,female,2011,350,350,16.45
92,Deciduous,male,2010,105,105,16.46
93,Evergreen,male,2010,126,126,16.47
94,Deciduous,male,2010,178,178,16.49
95,Deciduous,male,2010,42,42,16.49
96,Evergreen,female,2011,74,74,16.5
97,Deciduous,male,2010,225,42,16.5
98,Evergreen,male,2010,31,31,16.52
99,Deciduous,male,2010,105,105,16.53
100,Deciduous,male,2010,105,178,16.53
101,Deciduous,male,2010,278,278,16.54
102,Deciduous,female,2011,225,225,16.55
103,Deciduous,male,2010,135,135,16.55
104,Deciduous,female,2011,144,144,16.6
105,Deciduous,male,2011,144,144,16.6
106,Deciduous,female,2010,42,42,16.6
107,Evergreen,female,2011,38,38,16.6
108,Deciduous,male,2010,135,130,16.6
109,Evergreen,male,2010,49,40,16.61
110,Evergreen,female,2010,23,23,16.64
111,Evergreen,male,2010,86,86,16.65
112,Deciduous,male,2011,67,67,16.65
113,Deciduous,female,2011,278,278,16.65
114,Evergreen,male,2011,155,155,16.65
115,Evergreen,male,2011,74,74,16.65
116,Evergreen,male,2011,74,74,16.65
117,Evergreen,male,2010,49,49,16.66
118,Deciduous,male,2010,135,135,16.69
119,Evergreen,male,2011,38,38,16.7
120,Deciduous,male,2011,144,144,16.7
121,Evergreen,male,2011,155,155,16.7
122,Deciduous,female,2011,225,225,16.7
123,Evergreen,male,2010,126,126,16.71
124,Evergreen,male,2010,40,40,16.71
125,Evergreen,female,2010,40,40,16.74
126,Deciduous,male,2011,144,144,16.75
127,Deciduous,male,2011,278,278,16.75
128,Deciduous,male,2011,225,225,16.75
129,Deciduous,male,2010,178,178,16.79
130,Deciduous,male,2011,350,350,16.8
131,Evergreen,male,2010,31,31,16.81
132,Evergreen,male,2010,138,31,16.85
133,Deciduous,male,2011,225,225,16.85
134,Deciduous,male,2011,350,350,16.85
135,Deciduous,male,2010,178,105,16.89
136,Deciduous,male,2011,278,278,16.9
137,Evergreen,female,2010,138,138,17
138,Deciduous,female,2010,225,42,17
139,Evergreen,male,2010,55,126,17.02
140,Deciduous,male,2010,225,42,17.03
141,Deciduous,male,2011,278,278,17.15
142,Deciduous,male,2011,352,352,17.15
143,Deciduous,male,2011,350,350,17.15
144,Deciduous,male,2010,42,42,17.2
145,Deciduous,male,2011,352,352,17.3
146,Deciduous,male,2010,42,225,17.33
147,Deciduous,male,2011,350,350,17.35
148,Deciduous,male,2011,352,352,17.5
149,Evergreen,female,2010,49,49,
150,Deciduous,female,2011,352,352,
151,Evergreen,female,2011,116,116,
152,Deciduous,male,2011,144,144,
153,Deciduous,male,2010,225,42,
154,Evergreen,male,2011,82,82,
155,Deciduous,female,2011,67,67,
156,Evergreen,female,2010,86,86,
157,Deciduous,male,2011,352,352,
158,Deciduous,female,2011,67,67,
159,Evergreen,male,2010,18,86,
160,Deciduous,male,2011,278,278,
161,Evergreen,male,2010,126,126,
162,Deciduous,female,2011,67,67,
163,Deciduous,male,2011,67,67,
164,Deciduous,male,2010,105,178,
165,Evergreen,female,2010,40,49,
166,Evergreen,female,2011,96,96,
167,Evergreen,male,2011,96,96,
168,Deciduous,male,2010,225,225,
169,Deciduous,female,2011,144,144,
