Ind_ID,Tarsus,Sex,InbreedingF,F_Gen,FBroodID
1021,17.2,1,0,157,9
1032,16.9,1,0,128,27
1036,16.4,1,0,236,58
1195,17.6,1,0,166,112
1219,17.2,1,0,190,38
1238,16.7,1,0,190,71
1243,17.3,1,0,200,93
1267,17.3,1,0,197,55
1271,17.3,1,0,197,55
1301,17.8,1,0,150,64
1312,18,1,0,194,122
1327,17.1,1,0,108,28
1333,18,1,0,205,52
1337,17.5,1,0,124,86
1342,17.1,1,0,194,62
1345,17.2,1,0,124,52
1356,17.1,1,0,244,77
1357,17.8,1,0,244,77
1363,17.5,1,0,163,76
1379,18,1,0,167,50
1384,17,1,0,130,46
1385,17.3,1,0,130,46
1386,18.1,1,0,205,66
1400,16.9,1,0,130,66
1416,17.5,0,0,197,30
1425,16.9,0,0,174,54
1427,16.7,0,0,1516,85
1431,17.7,0,0,200,65
1432,16.6,0,0,194,85
1434,17.2,0,0,197,30
1437,17.9,0,0,115,23
1439,18.6,0,0,202,70
1442,17,0,0,214,65
1443,18,0,0,215,59
1444,17.4,0,0,108,36
1445,17.7,0,0,203,72
1446,17,0,0,203,72
1447,18.1,0,0,202,70
1450,17,0,0,104,48
1451,17.3,1,0,194,41
1454,17.1,0,0,193,68
1456,15.8,0,0,108,36
1457,16.9,0,0,209,48
1458,17,1,0,194,41
1459,17.5,1,0,194,41
1463,17.1,1,0,108,36
1465,17.2,0,0,216,31
1472,17.3,1,0,203,60
1480,17.4,0,0,215,115
1484,17,1,0,146,53
1489,17.2,0,0,134,34
1496,17,0,0,210,35
1501,16.8,1,0,134,34
1502,17.9,0,0,212,25
1503,17.3,0,0,217,81
1506,16.9,0,0,211,89
1509,16.7,0,0,191,81
1523,17.8,0,0,126,39
1525,17.3,0,0,191,84
1527,17.7,0,0,177,8
1533,17.6,1,0,191,119
1534,17.8,0,0,211,89
1536,17,1,0,217,94
1540,17.3,0,0,169,119
1541,17,1,0,217,94
1542,17.7,0,0,177,8
1544,17.5,0,0,172,73
1551,17.3,1,0,204,100
1558,17.2,1,0,122,114
1563,17,0,0,204,100
1566,17.3,0,0,199,4
1567,16.9,0,0,204,100
1571,17,0,0,212,83
1572,18.1,0,0,207,56
1581,15.6,0,0,228,56
1585,17.2,1,0,213,105
1586,18.2,0,0,239,29
1597,17.4,0,0,129,87
1599,17.1,1,0,205,45
1603,17.4,1,0,239,29
1604,17.3,0,0,129,87
1608,17.7,1,0,248,91
1609,17.5,0,0,198,44
1613,17.2,0,0,198,44
1615,17,0,0,205,45
1617,17.4,1,0,116,44
1621,17.3,1,0,195,95
1627,17.8,1,0,216,82
1633,17.1,1,0,216,110
1641,16.8,1,0,216,110
1642,17,1,0,211,113
1646,17.3,1,0,216,110
1652,18,0,0,217,32
1654,17.3,0,0,220,32
1662,17.2,0,0,191,12
1664,16.3,1,0,215,63
1666,17.4,0,0,199,69
1668,17,1,0,191,42
1669,17.4,0,0,160,42
1672,17.9,0,0,220,11
1686,18.1,1,0,217,37
1968,17.9,1,0,192,109
2006,17.5,1,0,120,116
2019,16.6,1,0,219,51
2029,16.8,1,0,221,120
2032,16.6,1,0,221,120
2034,16.8,0,0,207,2
2058,17.4,0,0,222,107
2064,16.2,0,0,112,10
2065,17.8,1,0,123,90
2066,17.7,1,0,123,90
2068,18.2,1,0,106,67
2069,17.9,1,0,106,18
2070,17.8,0,0,106,67
2071,17.4,0,0,127,80
2072,17.2,1,0,127,80
2073,17.9,1,0,151,17
2074,17.7,1,0,174,17
2075,17.1,1,0,174,17
2080,17.2,0,0,200,74
2081,16.8,1,0,208,57
2082,16.6,1,0,208,57
2083,16.8,1,0,208,57
2084,17.2,0,0,133,88
2085,16.5,1,0,112,10
2086,18.6,1,0,123,90
2088,17.7,1,0,225,123
2089,18,1,0,225,123
2091,16.6,0,0,200,103
2094,17.7,0,0,200,103
2095,17.2,1,0,113,21
2096,17.5,1,0,151,17
2098,16.1,0,0,200,103
2099,18.1,0,0,113,21
2100,18.5,1,0,113,21
2103,16.9,1,0,113,21
2105,16.3,0,0,161,96
2106,17.3,0,0,207,1
2108,17,0,0,123,90
2109,17.3,1,0,101,16
2110,17.2,1,0,139,101
2111,17.3,0,0,139,16
2117,16.6,0,0,139,101
2118,17,0,0,139,101
2119,18,1,0,243,26
2120,17.7,0,0,243,26
2123,17.9,1,0,129,118
2124,17.8,1,0,243,26
2127,17.5,1,0,218,6
2130,16.7,0,0,206,61
2134,18,0,0,196,5
2136,17.2,0,0,196,5
2137,17.2,0,0,196,5
2139,16.7,0,0,161,106
2141,17.5,1,0,218,6
2143,17,0,0,125,20
2144,17,0,0,159,111
2145,16.8,0,0,159,111
2146,17,0,0,159,111
2149,17.3,1,0,159,111
2152,16.7,1,0,125,20
2153,17.4,1,0,125,20
2156,18.1,0,0,102,98
2164,17.2,0,0,205,92
2165,17.9,0,0,161,24
2167,16.2,0,0,150,7
2168,18.3,0,0,220,92
2171,17.9,1,0,177,13
2172,18,0,0,177,13
2176,16.3,1,0,156,124
2177,17.7,0,0,223,43
2178,16.9,1,0,257,121
2181,17.2,1,0,205,92
2184,15.5,0,0,150,7
2185,18.4,0,0,220,121
2188,17.8,0,0,133,49
2189,17.2,0,0,223,47
2193,18.5,1,0,220,121
2195,17.5,1,0,204,40
2198,17.3,1,0,133,49
2201,17.2,0,0,110,40
2221,16,0,0,156,79
2222,16.6,0,0,156,79
2224,17.7,0,0,177,117
2225,18.2,1,0,177,117
2226,17.2,1,0,177,117
2229,17.2,0,0,197,75
2231,17.7,1,0,250,99
2232,17.9,1,0,245,99
2233,17,0,0,197,75
2234,16.8,1,0,110,108
2236,16.8,1,0,136,104
2237,18.5,1,0,142,97
2238,17.1,1,0,142,97
2239,16.7,0,0,108,102
2240,17.3,1,0,142,97
2241,16.8,0,0,236,97
2242,18.8,0,0,110,108
2243,17,0,0,250,78
2244,17.5,0,0,250,78
2245,17.1,0,0,250,78
2246,17.4,0,0,250,78
2247,17.9,1,0,122,22
2248,17.5,0,0,122,22
2249,17.1,1,0,122,22
2250,17.3,1,0,436,22
2251,17.1,0,0,236,14
2252,17.1,1,0,236,14
2253,17.9,0,0,236,14
2254,17.1,1,0,132,14
2255,17.8,1,0,188,3
2256,17.9,1,0,240,33
2258,17.2,1,0,109,19
2259,17.3,1,0,109,19
2260,17.9,0,0,188,3
2261,17.2,0,0,188,3
2262,17.7,1,0,188,3
2263,17,0,0,236,33
2264,17,1,0,236,33
2265,17.1,0,0,236,33
2266,18,1,0,114,19
2267,16.3,0,0,255,15
2268,17.3,1,0,126,15
2269,17.4,0,0,117,125
2270,16.9,0,0,117,125
2271,16.8,0,0,117,125
2273,17.2,0,0,114,19
4123,17,0,0,1615,2395
4124,17.9,0,0,1666,2395
4125,17.1,1,0,2146,2395
4126,17,1,0,1615,2425
4127,17.6,1,0,1613,2425
4128,17,0,0,1666,2327
4129,16.5,1,0,2146,2142
4132,18.3,0,0,1654,2202
4133,17.6,1,0,2245,2425
4134,17.7,1,0,2245,2425
4135,17.1,1,0,2245,2425
4136,16.6,1,0,2269,2202
4137,17.2,1,0,1457,2202
4138,17.9,1,0,1571,2318
4139,17.9,1,0,1672,2345
4140,17.9,1,0,1672,2345
4141,17.9,1,0,2263,2134
4142,17.1,0,0,2071,2192
4143,16.9,0,0,2071,2414
4147,16.7,1,0,2143,2142
4148,18,0,0,1489,2234
4149,17.6,1,0,1489,2234
4150,17.8,1,0,1437,2273
4151,17.6,1,0,1654,2293
4152,17.9,1,0,2245,2373
4153,17.8,0,0,1672,2373
4154,17.3,0,0,1654,2262
4155,16.7,0,0,1666,2262
4156,17.2,0,0,2071,2134
4157,17.8,1,0,2263,2134
4158,17.3,1,0,2263,2268
4159,18.2,1,0,1439,2268
4160,18.1,0,0,1439,2368
4161,18.6,0,0,1439,2368
4162,17.2,0,0,1447,2142
4163,17.3,1,0,1571,2173
4164,17.4,1,0,1544,2202
4165,17.2,1,0,2143,2234
4166,17.5,0,0,1437,2293
4167,17,1,0,2239,2314
4168,17.9,1,0,1604,2134
4169,16,1,0,1456,2192
4170,17.6,1,0,1604,2218
4171,16.5,0,0,2241,2414
4172,17.4,1,0,2071,2420
4173,17.7,0,0,1542,2173
4174,17.1,0,0,1571,2223
4175,17.3,0,0,1457,2223
4176,17.1,1,0,1544,2314
4177,17.2,1,0,2246,2318
4178,17.1,1,0,2246,2345
4179,18,1,0,2245,2373
4180,17.3,1,0,2263,2420
4181,16.9,0,0,1432,2173
4182,17,1,0,1489,2186
4183,17.4,1,0,2143,2202
4184,17.1,1,0,1457,2273
4185,17,1,0,1457,2273
4186,17.9,1,0,1489,2299
4187,17.3,0,0,2184,2314
4188,17.6,1,0,1527,2314
4189,17.2,0,0,1425,2318
4190,18,0,0,1672,2373
4191,17.2,0,0,1604,2218
4195,16.2,0,0,1544,2186
4196,17.5,1,0,1457,2223
4197,17.2,1,0,1425,2293
4201,16.9,1,0,1457,2299
4202,16.5,0,0,1669,2373
4203,18.2,0,0,2120,2284
4204,17,1,0,1604,2309
4205,17.2,0,0,1425,2309
4206,16.3,1,0,2071,2391
4209,16.1,0,0,1432,2186
4210,17.4,1,0,1527,2318
4211,17.5,1,0,1425,2350
4212,17.3,1,0,2271,2153
4213,17.6,0,0,2058,2309
4217,16.4,0,0,2058,2384
4220,16,0,0,1544,2223
4221,17,1,0,2120,2218
4222,18.3,0,0,2248,2284
4223,16.8,0,0,2120,2420
4224,18.4,0,0,2248,2304
4225,17.9,0,0,2248,2304
4226,17.4,1,0,2244,2304
4227,16.9,0,0,1432,2304
4228,16.1,0,0,2222,2153
4229,17.9,0,0,2271,2384
4230,16.8,0,0,2222,2384
4231,16.9,0,0,2120,2391
4233,17.3,0,0,2271,2384
4239,17.8,1,0,1572,2333
4240,18,0,0,2248,2333
4241,16.9,0,0,2244,2333
4242,17.4,0,0,1572,2350
4243,17,0,0,1427,2129
4244,17.2,1,0,1427,2246
4245,17.5,1,0,1442,2251
4248,17.8,1,0,2111,2138
4249,18,0,0,1427,2339
4254,17.1,0,0,1572,2333
4255,17.3,1,0,1652,2129
4256,16.3,0,0,1427,2138
4257,16.9,1,0,1442,2138
4258,17.8,0,0,2111,2241
4259,17.9,0,0,1502,2241
4260,17.8,1,0,1523,2251
4261,17.4,1,0,1503,2251
4262,17.8,0,0,2137,2241
4263,16.7,0,0,2244,2339
4272,17,0,0,2137,2148
4273,17.2,1,0,2244,2129
4274,17.2,0,0,1509,2339
4275,17,1,0,1654,2148
4276,17.8,0,0,1654,2148
4281,17.3,0,0,2137,2148
4282,16.8,0,0,1432,2148
4283,17.2,0,0,1457,2213
4284,17.1,0,0,1457,2213
4285,16.6,1,0,2244,2213
4291,17.6,1,0,1571,2323
4292,16.7,1,0,1571,2228
4293,17.8,1,0,1571,2228
4294,17.4,1,0,1457,2323
4297,16.5,1,0,2269,2213
4301,17,1,0,1457,2213
4302,16.9,0,0,2267,2213
4303,17.3,1,0,1544,2323
4304,17.3,1,0,1425,2323
4305,17.6,1,0,1425,2362
4306,16.8,0,0,1613,2362
4307,17.5,1,0,2267,2228
4312,17,1,0,1544,2328
4313,18,1,0,2253,2328
4314,17.1,1,0,1456,2328
4315,17.2,1,0,2253,2362
4316,17.9,1,0,2253,2362
4319,17.3,1,0,1425,2362
4324,16.3,0,0,1456,2356
4325,16.8,0,0,1456,2356
4334,16.3,1,0,2144,2193
4335,17.3,0,0,2244,2193
4336,18.6,1,0,1439,2135
4337,17.4,1,0,2269,2135
4338,16.3,1,0,2144,2224
4339,17.5,0,0,1544,2397
4344,17.3,0,0,2269,2270
4345,17.1,0,0,1572,2270
4346,17.3,1,0,1544,2270
4347,17.4,0,0,1544,2427
4348,17.7,1,0,2244,2224
4349,18.2,1,0,1654,2144
4350,17.5,1,0,2267,2144
