yr,area,ring,ageF,tars,tail,wing,patch,wingwhite,weight,mpatch,mwing,dam,sex
0,8,CA02792,ad,20.2,*,80,*,14,15.7,*,16,*,F
0,8,CA02992,ad,19.8,*,80,*,12,14.7,*,19,*,F
0,8,CA82992,ad,*,*,81.5,*,21,12.1,*,6,*,F
0,8,CA77792,ad,19.7,*,80,*,19,13.7,*,14,*,F
0,8,CA78492,ad,19.5,*,81,*,19,13.5,*,64,*,F
0,8,CA77092,ad,19,*,82,*,24,12.2,*,46,*,F
0,8,CA10992,ad,20.6,*,83,*,23,14.8,*,44,*,F
0,8,CA03192,ad,20.7,*,80,*,13,16.1,*,17,*,F
0,8,CA45993,ad,19.2,*,78.5,*,12,12.1,*,16,*,F
0,8,CA78192,ad,20.2,*,79,*,16,12.4,*,50,*,F
0,8,CA78292,ad,19.4,*,81,*,21,13.7,*,50,*,F
0,8,CA19192,ad,19.1,*,79,*,21,10.9,*,61,*,F
0,8,CA06792,ad,19.7,*,80,*,28,14.6,*,47,*,F
0,8,CA75992,ad,19.4,*,81,*,26,14,*,23,*,F
0,8,CA05492,ad,19.6,*,78.5,*,23,15.3,*,*,*,F
0,8,CA18892,ad,19.3,*,81,*,20,12.5,*,61,*,F
0,8,CA54292,ad,18.6,*,80.5,*,15,12.5,*,17,*,F
0,8,CA05092,ad,19.3,*,79.5,*,17,16.3,*,19,*,F
0,8,CA05592,ad,20.2,*,81.5,*,22,16,*,16,*,F
0,8,CA18792,ad,19.6,*,75.5,*,16,12.8,*,30,*,F
0,8,CA05692,ad,19.7,*,77.5,*,17,14.6,*,22,*,F
0,8,CA06892,ad,20.2,*,80,*,22,15,*,17,*,F
0,8,CA75792,ad,19.4,*,82,*,28,13.7,*,50,*,F
0,8,CA06292,ad,19.6,*,78.5,*,20,14.5,*,47,*,F
0,8,CA06192,ad,18.4,*,81,*,23,14.5,*,47,*,F
0,8,CA19392,ad,18.9,*,79.5,*,14,13.6,*,30,*,F
0,8,CA19492,ad,19.7,*,80.5,*,21,13.9,*,8,*,F
0,8,CA05192,ad,20.7,*,79.5,*,19,16,*,30,*,F
0,8,CA17892,ad,20.3,*,83,*,21,16.5,*,51,*,F
