IndividualIdentity	Plot	Year	Aggressivenes	ExplorationScore	BodyMass	BodyMassTime	Tarsus	WingP3	BillLength	ObserverIdentity
1077	10	2010	NA	72	18	7.2	19.5	58	9.9	4
540	10	2010	8	55	17.7	4.9	20	55	11.5	2
1476	10	2010	1.5	51	15.6	6.8	19.3	58	11	5
1550	10	2010	15	56	16.6	6.9	20.3	58	10.6	4
391	10	2010	NA	61	18.3	5.9	20.4	58.5	11	5
319	10	2010	NA	69	18.5	10	20.1	NA	11.3	2
1421	10	2010	9	44	16.6	9.5	18.2	55.5	11	2
883	10	2010	10	69	19.3	4.7	19.7	60	11.5	5
1075	10	2010	0	84	18.4	6.3	19.6	58	10.1	4
880	10	2010	15	84	17.5	6.7	20.3	59.5	11.8	5
322	10	2010	6	49	17.2	6.1	19	59	11.7	5
452	10	2010	NA	40	16.9	5.5	18.3	59	11.2	5
476	10	2010	4	65	16.8	6	19.2	58.5	11.5	5
1344	11	2010	5	46	16.2	8.4	20.2	58.5	10.8	3
975	11	2010	NA	55	16.4	8.5	19.4	57	9.3	4
975	11	2010	NA	85	16.7	4.9	20	57	10.6	2
878	11	2010	9	94	17.6	7.9	20.2	59	11.1	1
313	11	2010	13.5	27	18.3	8.1	20.5	56	11	2
396	11	2010	NA	47	17.6	6.6	20.2	59.5	11.4	2
412	11	2010	6	74	17.9	4.6	20	58	10.7	4
259	11	2010	9	34	17.2	4	20	57	11.1	2
397	11	2010	10	46	16.8	4.8	19.2	60	9.4	4
1499	12	2010	8	65	17.8	4	NA	59	NA	7
704	12	2010	0	66	18.6	7.6	20.1	59.5	10.6	5
465	12	2010	7	37	17.2	9.2	19.7	60	11.5	1
494	12	2010	4	52	18.1	5.6	18.7	57.5	9.5	4
394	12	2010	11.5	35	18.4	7.2	20.3	59.5	11.4	7
1217	12	2010	8	90	17.3	6.8	NA	57.5	12	1
348	12	2010	5	43	18.9	7.3	20.6	59.5	11.4	1
701	12	2010	0	38	16.8	4.2	20.5	61	11.2	5
393	12	2010	13	73	18.2	4.6	20.6	60	12	5
347	12	2010	5.5	41	15.6	6.8	19.2	60.5	11.2	1
481	12	2010	7.5	42	17.6	4.2	20.8	54.5	11.4	2
1218	12	2010	6.5	45	18.1	6.4	20	58	11.5	1
693	12	2010	8	46	20.5	5.8	20.5	60.5	10.5	5
1220	12	2010	10	80	18.5	4	21	58.5	11.5	1
644	12	2010	10	73	17.9	7	19.1	57.5	10.1	4
644	12	2010	10	5	17.4	6	19.3	58	11	5
262	12	2010	3.5	29	17.6	5.5	20.5	60.5	11.4	1
432	12	2010	5	63	17.1	4.8	19.8	60	10.9	1
702	12	2010	NA	74	17.6	6.4	19.4	59	10.7	5
791	12	2010	15	75	19.1	5.5	20.8	59.5	11.2	7
372	13	2010	8	7	17.5	4.2	19.8	57	10.1	4
714	13	2010	6	52	17	7.8	19.4	58	10.8	3
437	13	2010	8.5	52	16.8	5.5	18.3	60.5	10.9	5
369	13	2010	2	36	19.2	5.4	19.9	59	11.1	1
980	13	2010	0	39	17.7	5	19.4	58	11.6	1
1349	13	2010	8	63	17.2	8.4	20.1	57.5	11.9	7
691	13	2010	15	61	18.8	7	21	59	10.7	5
1210	13	2010	7	103	18.1	8.6	20.6	57.5	11.4	1
1211	13	2010	2	75	17.9	9.1	20	59	10.9	1
424	13	2010	15	67	16.5	6.2	19.3	57	10.2	4
423	13	2010	12.5	69	17.1	9.2	20	58	11.2	7
706	13	2010	0	69	18.3	8.9	20.1	58	10.4	5
480	14	2010	NA	28	18.9	9.1	19.9	56.5	11.3	3
1214	14	2010	NA	44	18.1	10.1	20.6	56	10.4	3
1434	14	2010	10	38	17.6	4.1	20.1	58	11.2	4
713	14	2010	NA	43	16.9	4.5	19.6	59	11.5	3
488	14	2010	NA	80	17.7	8.4	20.1	57.5	11.7	2
1224	14	2010	1.5	67	16.4	8.8	18.3	58	9.8	3
1208	15	2010	10.5	66	18.9	9.1	19.6	57	9.8	4
1435	15	2010	17.5	54	17	6.7	19.3	59	10.6	4
461	15	2010	10	76	17.8	9.6	19.2	59	10	4
463	16	2010	3	56	18.3	5.6	19.8	59	10.8	5
447	16	2010	NA	89	18.2	6.7	19.8	58	11	3
446	16	2010	NA	65	15.4	3.8	19.4	57.5	11.2	3
1216	16	2010	2.5	46	17	4.4	19.9	58	11.1	5
1437	16	2010	0	91	16.6	9.2	20	57	10.6	4
331	16	2010	5	21	17.8	5.8	19	58.5	11.1	5
329	16	2010	25	90	17.5	7.3	20.1	57	11.7	1
1464	16	2010	3	63	17.6	6.4	20.2	59.5	10.7	3
1465	16	2010	30	82	17.1	6.9	20.3	57.5	11.1	3
332	16	2010	5	36	18.4	7.7	19.6	58	10.6	3
1461	16	2010	3	40	19.3	7.6	19.3	58	11	5
977	16	2010	3	87	17.3	9.4	20.8	59.5	11.4	7
449	16	2010	10	81	19.3	7	20	57	11.4	3
548	16	2010	2.5	66	18.4	4.5	20.2	58	9.8	4
495	16	2010	8	56	18.1	5.6	20.9	58.5	11.7	5
451	16	2010	2	80	18.8	6.6	19.5	58	10	4
382	16	2010	3	40	17.7	3.9	NA	57.5	NA	7
472	16	2010	12.5	67	19.5	6.7	20.6	61	11.5	5
384	16	2010	12.5	40	19.5	7.2	21	59	10.7	5
379	16	2010	12.5	NA	18.2	4.1	19.8	58	11.3	5
1481	17	2010	7.5	85	17.6	5.5	21.3	61	10.9	4
708	17	2010	15	NA	NA	NA	NA	NA	NA	1
1073	17	2010	NA	60	17	5.9	19.6	57.5	10.5	3
1482	17	2010	2	31	17.1	7.3	19.6	55	10.8	4
1071	17	2010	5	72	18.2	4.8	20.7	57.5	11	3
572	17	2010	NA	34	17.9	8.8	20.6	61.5	11.2	5
399	17	2010	NA	81	17.3	7.6	19.9	60	11.3	5
479	18	2010	12.5	14	17.7	5.7	20.2	57.5	10.1	3
490	18	2010	7	59	16.2	7.5	20.3	62	9.8	4
1428	18	2010	15	71	16.2	5.2	20.2	58.5	10.5	3
1427	18	2010	8	35	17	4.3	20.3	58.5	11.6	3
1548	18	2010	NA	73	17.3	7.7	20.2	59	11	5
377	18	2010	NA	55	17.2	7.9	20	58.5	11.1	3
550	18	2010	5	58	17.5	8.3	20.5	61	12	5
1222	18	2010	10	79	17.1	6.8	20.1	58	10	3
1238	19	2010	1	75	18.2	7.4	20.7	52.5	10.3	9
1346	19	2010	4	76	18.5	5.9	19.1	59.5	10.7	9
1239	19	2010	4.5	75	19	7.1	19.9	59	11.7	9
413	19	2010	2.5	7	18	7.1	19.7	55.5	9.7	4
420	19	2010	6.5	59	18.8	4.3	20	61	12	1
