Year;Focal_nest;Paired-nest;Laying_date;Initial_clutch_size;Treatment;Egg_volume;Nestling_mass;Fledging_tarsus;Fledging_mass;Wing_length;Number_hatched;Number_fledged
2011;b11;s34;125;7;reduced;1596.54;8.03;19.47;13.94;49.8;5;5
2011;b9;z34;137;5;enlarged;1663.06;9.72;20.4;15.3;48.4;5;5
2011;k15;z9;129;6;enlarged;1752.55;7.16;20.24;13.46;46;7;6
2011;k18;k33;134;6;reduced;1816.15;9.06;19.61;15.46;47.13;4;4
2011;k24;k50;130;6;enlarged;1801.13;9.5;19.53;14.14;50.5;7;2
2011;k25;k28;125;8;reduced;1621.43;10.48;20.35;14.36;53.5;6;5
2011;k28;k25;127;7;enlarged;1577.88;9.47;20.1;15.85;52.33;8;6
2011;k33;k18;134;5;enlarged;1681.56;;;;;6;0
2011;k35;s105;144;4;enlarged;1626.87;9.03;19.43;14.54;49.9;5;5
2011;k40;k75;139;5;enlarged;1612.46;7.56;19.64;13.89;48.83;6;3
2011;k50;k24;129;7;reduced;1568.1;;20.19;13.29;51.8;5;5
2011;k54;z43;132;5;enlarged;1852.28;10.16;20;15.16;53;5;5
2011;k59;z40;129;7;reduced;1883.12;;20.79;14.98;54.4;6;5
2011;k75;k40;138;6;reduced;1746.94;7.52;18.94;12.86;44.25;5;4
2011;k8;z17;121;6;enlarged;1902.57;9.59;19.52;14.72;52.33;4;3
2011;s10;s61;128;7;reduced;1776.09;10.56;19.75;14.45;50.92;6;6
2011;s102;s94;129;6;reduced;1594.98;8.42;19.79;12.3;46.63;5;4
2011;s105;k35;144;5;reduced;1695.2;9.12;19.5;12.15;48.25;4;2
2011;s110;s54;123;6;enlarged;1587.86;8.76;19.16;13.95;51.64;7;7
2011;s114;s95;126;6;enlarged;1697.01;8.26;20.26;13.22;49;7;3
2011;s13;s48;129;7;reduced;1822.2;8.94;19.67;14.59;51.5;6;6
2011;s15;s35;123;8;reduced;1591.3;8.27;19.6;16.52;47.83;6;6
2011;s25;z79;139;5;enlarged;1817.83;10.71;20.02;17.07;52.17;4;3
2011;s27;s62;125;6;enlarged;1611.82;;;;;7;0
2011;s29;z72;127;6;enlarged;1640.45;8.53;19.83;15.01;49.75;7;4
2011;s34;b11;126;6;enlarged;1701.35;8.8;19.66;15.21;51.5;7;7
2011;s35;s15;123;7;enlarged;1484.48;9.03;19.82;16.1;49.5;8;5
2011;s36;z35;131;4;enlarged;1855.99;11.19;19.82;14.64;55.4;5;5
2011;s40;s59;138;5;enlarged;1480.45;8.25;19.19;14.45;49.75;5;4
2011;s41;z70;124;6;enlarged;1785.44;10.12;19.91;15.43;53.67;7;6
2011;s48;s13;131;6;enlarged;1561.28;9.7;19.06;11.09;48.79;7;6
2011;s5;s56;130;7;reduced;1888.63;10.06;19.7;14.81;53.25;6;6
2011;s52;s89;129;7;reduced;1600.73;11.67;20.45;15.36;52;4;2
2011;s54;s110;122;7;reduced;1634.05;10.89;20.21;16.19;55.1;5;5
2011;s56;s5;131;6;enlarged;1655.7;11.21;19.75;15.6;54.3;6;5
2011;s59;s40;136;6;reduced;1752.83;7.09;18.71;12.76;41.5;4;2
