ringnr;year;age;sex;birth_year;group;stay;recruits;survival;tars;wing;bill_d;bill_l;mass;cond;selected;selection_status;selection_status_cat2;selected_mother;selected_father
8747830;2002;2;f;2000;Large;1;0;0;19.6;78;8.1;13.6;30.5;-0.003255;1;0;unselected;0;0
8747838;2002;2;f;2000;Large;0;0;0;18.7;76;7.5;13;28.5;-0.041348;0;0;unselected;0;0
8794379;2002;2;f;2000;Large;1;0;0;19.6;79;8;12.9;33.8;0.099479;1;0;unselected;0;0
8794381;2002;2;f;2000;Large;0;0;0;19.2;77;7.7;13;27.2;-0.104724;0;0;unselected;0;0
8794388;2002;2;f;2000;Large;1;0;0;20.2;78;8;13.4;30.8;-0.012538;1;0;unselected;0;0
8794396;2002;2;f;2000;Large;0;0;0;19.2;78;8.2;14.4;29.7;-0.016794;0;0;unselected;0;0
8794397;2002;2;f;2000;Large;0;0;0;19.5;77;8.3;13.4;30.5;-2e-05;0;0;unselected;0;0
8794398;2002;2;f;2000;Large;0;0;0;19.4;77;8.2;12.7;29.4;-0.0335;0;0;unselected;0;0
8794400;2002;2;f;2000;Large;1;1;0;20.1;77;7.8;12.8;28.9;-0.073072;1;0;unselected;0;0
8800619;2002;2;f;2000;Large;1;1;0;20.2;79;7.8;13.9;31.7;0.016264;1;0;unselected;0;0
8800710;2002;2;f;2000;Large;0;0;0;19.6;76;7.9;13.5;27.1;-0.121448;0;0;unselected;0;0
8800716;2003;2;f;2000;Large;1;0;0;20.2;80;7.9;13.7;32.1;0.028803;1;0;unselected;0;0
8800722;2002;2;f;2000;Large;1;1;0;20.8;79;8.2;14.5;34.8;0.091052;1;0;unselected;0;0
8800726;2002;2;f;2000;Large;0;0;0;18.7;77;7.5;13.7;29.9;0.006607;0;0;unselected;0;0
8800730;2003;2;f;2000;Large;0;0;0;19;79;8.2;13.7;32.2;0.070648;0;0;unselected;0;0
8800739;2002;2;f;2000;Large;1;1;0;20;76;7.8;13.5;28;-0.101555;1;0;unselected;0;0
8800740;2002;2;f;2000;Large;0;0;0;19.3;76;7.9;13.5;28;-0.079022;0;0;unselected;0;0
8800743;2002;2;f;2000;Large;1;1;0;19.7;77;7.9;14.3;29.4;-0.043206;1;0;unselected;0;0
8800745;2002;2;f;2000;Large;0;0;0;18.8;79;7.9;14;31;0.039362;0;0;unselected;0;0
8800751;2002;2;f;2000;Large;1;8;0;19.7;80;8.1;13.4;31.2;0.016218;1;0;unselected;0;0
8800754;2002;2;f;2000;Large;0;0;0;19.3;77;8.1;13.1;30.5;0.0065;0;0;unselected;0;0
8800758;2002;2;f;2000;Large;1;2;1;19.9;76;7.8;13.6;28.9;-0.066748;1;0;unselected;0;0
8800758;2003;2;f;2000;Large;1;0;1;19.9;76;7.8;13.6;28.9;-0.066748;1;0;unselected;0;0
8800758;2004;2;f;2000;Large;0;0;0;19.9;76;7.8;13.6;28.9;-0.066748;0;0;unselected;0;0
8800762;2003;2;f;2000;Large;0;0;0;19.3;77;7.7;13.3;29;-0.043931;0;0;unselected;0;0
8800770;2002;2;f;2000;Large;0;0;0;18.5;77;7.6;12.4;30;0.016746;0;0;unselected;0;0
8800771;2002;2;f;2000;Large;1;6;1;20.8;78;8.1;13.4;30.7;-0.034303;1;0;unselected;0;0
8800771;2003;2;f;2000;Large;1;1;0;20.8;78;8.1;13.4;30.7;-0.034303;1;0;unselected;0;0
8800772;2002;2;f;2000;Large;1;6;0;19.9;75;8;13.2;31.3;0.013029;1;0;unselected;0;0
8800791;2002;2;f;2000;Large;1;1;0;19.8;79;8.1;13.8;29.3;-0.049815;1;0;unselected;0;0
8857179;2002;1;f;2001;Large;1;2;0;20.7;79;8.5;13.4;31.5;-0.00553;1;0;unselected;0;0
8857181;2002;1;f;2001;Large;1;4;1;20.2;78;8.1;13.7;30.2;-0.032211;1;0;unselected;0;0
8857181;2003;2;f;2001;Large;1;0;0;20.2;78;8.1;13.7;30.2;-0.032211;1;0;unselected;0;0
8857183;2002;1;f;2001;Large;0;0;0;18.1;76;7.9;14.1;29.2;0.003543;0;0;unselected;0;0
8857185;2002;1;f;2001;Large;1;3;1;19.9;77;7.6;13.7;30.5;-0.012863;1;0;unselected;0;0
8857185;2003;2;f;2001;Large;1;0;1;19.9;77;7.6;13.7;30.5;-0.012863;1;0;unselected;0;0
8857185;2005;2;f;2001;Large;0;0;0;19.9;77;7.6;13.7;30.5;-0.012863;0;0;unselected;0;0
8857192;2002;1;f;2001;Large;1;0;0;20.2;79;8.2;13.3;32;0.025683;1;0;unselected;0;0
8857195;2002;1;f;2001;Large;0;0;0;19.6;79;8.3;14;31.8;0.038484;0;0;unselected;0;0
8857196;2002;1;f;2001;Large;0;0;0;19.6;78;8.1;14.4;31.4;0.025826;0;0;unselected;0;0
8857198;2002;1;f;2001;Large;1;2;0;20.4;78;8.1;13.6;32.4;0.031874;1;0;unselected;0;0
8857287;2002;1;f;2001;Large;0;0;0;19.1;77;7.9;13;29.4;-0.023643;0;0;unselected;0;0
8857290;2002;1;f;2001;Large;0;0;0;18.8;80;7.9;13.8;31.2;0.045793;0;0;unselected;0;0
8857292;2002;1;f;2001;Large;1;4;1;19.7;78;8.4;13.8;31.2;0.016218;1;0;unselected;0;0
8857292;2003;2;f;2001;Large;0;0;0;19.7;78;8.4;13.8;31.2;0.016218;0;0;unselected;0;0
8857293;2002;1;f;2001;Large;0;0;0;19.6;88;8.1;13.3;33.1;0.078551;0;0;unselected;0;0
8857295;2002;1;f;2001;Large;1;2;0;19.8;80;7.5;13.7;31.2;0.013015;1;0;unselected;0;0
8857298;2002;1;f;2001;Large;0;0;0;19.6;78;7.7;13.4;29.6;-0.033208;0;0;unselected;0;0
8857300;2002;1;f;2001;Large;0;0;0;19.2;78;7.7;13;30.5;0.009786;0;0;unselected;0;0
8857367;2003;1;f;2002;Large;1;0;1;20.2;80;8.2;13.9;33;0.056455;1;0;unselected;0;0
8857367;2004;2;f;2002;Large;1;1;0;20.2;80;8.2;13.9;33;0.056455;1;0;unselected;0;0
8857426;2003;2;f;2001;Large;1;5;1;20;77;7.9;13.1;31.3;0.009859;1;0;unselected;0;0
8857426;2004;2;f;2001;Large;0;0;0;20;77;7.9;13.1;31.3;0.009859;0;0;unselected;0;0
8857459;2003;2;f;2001;Large;1;1;0;20.2;80;8;14.7;31.5;0.009935;1;0;unselected;0;0
8857461;2002;1;f;2001;Large;0;0;0;18.2;76;7.8;13.5;28.5;-0.024207;0;0;unselected;0;0
8857466;2002;1;f;2001;Large;1;1;0;20;80;8.3;14;30.5;-0.016033;1;0;unselected;0;0
8857467;2002;1;f;2001;Large;1;1;1;20.3;78;8;12.7;31.8;0.01629;1;0;unselected;0;0
8857467;2005;2;f;2001;Large;1;1;1;20.3;78;8;12.7;31.8;0.01629;1;0;unselected;0;0
8857467;2006;2;f;2001;Large;1;2;1;20.3;78;8;12.7;31.8;0.01629;1;0;unselected;0;0
8857467;2007;2;f;2001;Large;1;0;0;20.3;78;8;12.7;31.8;0.01629;1;0;unselected;0;0
8857622;2002;1;f;2001;Large;0;0;0;19.1;77;7.8;13.8;28.4;-0.058249;0;0;unselected;0;0
8857623;2002;1;f;2001;Large;0;0;0;19.6;74;8;12.6;28.8;-0.060607;0;0;unselected;0;0
8857624;2002;1;f;2001;Large;0;0;0;19.2;79;8;13.7;30.4;0.006502;0;0;unselected;0;0
8857625;2002;1;f;2001;Large;1;0;0;19.9;78;8;13.8;30.1;-0.026064;1;0;unselected;0;0
8857629;2002;1;f;2001;Large;1;2;1;20.1;76;8;14.3;31.9;0.025692;1;0;unselected;0;0
8857629;2003;2;f;2001;Large;1;0;0;20.1;76;8;14.3;31.9;0.025692;1;0;unselected;0;0
8857632;2002;1;f;2001;Large;0;0;0;18.6;75;7.9;13.3;32;0.077875;0;0;unselected;0;0
