OffspringID,NestAge,BroodSize,ClutchSizeKnown,TarsusChick,BodyMass,CatchTime,CatchMonth,Food,FP,TQ,HelpBinary,Sex,ChickTypeCondition,Comparison,RTL,Condition,CondType,SurvivalToBreedAge
1,,1,0,,,,,26.7816092,125,26077.66523,0,Female,Single,,,,,NO
2,,1,0,,15.6,Late,8,40.77777778,28,7694.063848,0,Female,Single,,0.821578029,,,YES
3,,1,0,,,,,40.4,22,31991.15171,1,Male,Single,,,,,YES
4,,2,0,,,,,,112,,,Female,,,,,,YES
5,,2,0,,,,,,112,,,Female,,,,,,YES
6,,2,0,,,,,,112,,1,Female,,,,,,NO
7,,2,0,,,,,,112,,1,Female,,,,,,YES
8,,2,0,,,,,27.67105263,35,,0,Female,,,,,,YES
9,,2,0,,,,,27.67105263,35,,0,Female,,,,,,YES
10,,2,0,,,,,27.67105263,35,,0,Female,,,,,,YES
11,,2,0,,,,,27.67105263,35,,0,Female,,,,,,YES
12,,2,0,,,,,12.05050505,87,1699.357658,,Male,,,,,,NO
13,,2,0,,,,,12.05050505,87,1699.357658,,Male,,,,,,YES
14,,2,2,,,,2,10.19148936,85,,,Female,,,0.754225292,,,NO
15,,2,2,,,Mid,2,10.19148936,85,,,Female,,,0.759420017,,,NO
16,14,2,0,24.5,15.4,Early,7,,40,,,Male,,,,0.202294468,,NO
17,14,2,0,,8.2,Late,7,,40,,,Female,,,1.342411562,,,NO
18,15,1,1,25.8,16.1,Early,8,14.7122807,34,10833.23841,0,Male,Single,Worst,,-0.282107349,SB,YES
19,17,2,2,23.7,13.5,Late,4,,27,,,Female,Sibling 1,Best,0.63630752,-1.077376616,A,YES
20,17,2,2,24.7,14.1,Late,4,,27,,,Female,Sibling 2,Worst,0.69176514,-1.118576766,B,YES
21,18,1,0,25.7,15.2,Late,8,11.00826446,82,2905.610844,,Female,Single,Worst,0.994309783,-1.066642092,SB,YES
22,18,2,2,23.1,16.7,Mid,8,11.00826446,82,8344.882884,0,Male,Sibling 1,Best,0.812300326,2.00725238,A,NO
23,18,2,2,22.1,14.1,Mid,8,11.00826446,82,8344.882884,0,Female,Sibling 2,Worst,1.009945185,0.129791002,B,YES
24,19,1,0,,17,,7,42.26865672,21,102236.8894,0,Female,Single,,,,,NO
25,20,1,0,23.6,16,Late,8,11.00826446,82,7253.183684,0,Female,Single,Best,0.643665176,1.079878223,SA,YES
26,20,1,0,22.8,12.4,Early,9,24.06875,104,14179.92716,1,Male,Single,Worst,1.344041154,-1.839605222,SB,NO
27,20,1,1,,,,8,,19,,0,Female,Single,,,,,NO
28,21,1,2,,,,8,27.96,30,6613.391984,0,Male,Single,,,,,YES
29,21,2,0,,6,,8,,19,,1,Male,,,,,,YES
30,21,2,0,,6.5,,8,,19,,1,Male,,,,,,YES
31,22,1,0,23.7,15.7,Late,8,71.10493827,105,9324.308178,1,Female,Single,Best,1.151593575,0.715758208,SA,YES
32,22,1,1,15.1,10.3,Mid,9,11.00826446,82,2143.391166,,Female,Single,Best,1.035792178,0.716475758,SA,NO
33,23,1,1,25.7,16.8,Mid,9,19.07006369,37,,0,Female,Single,Best,0.790260364,0.419754168,SA,YES
34,23,1,1,21.7,14.3,Early,8,71.10493827,105,21842.64682,,Female,Single,Best,1.027814883,0.745357266,SA,YES
35,23,1,0,23.8,15,Early,9,11.00826446,82,8265.394587,,Female,Single,Worst,0.642067962,-0.002879343,SB,NO
36,23,1,0,19,11.5,Early,9,24.06875,104,12517.6201,1,Male,Single,Worst,1.143440979,0.200449425,SB,NO
37,23,1,0,,11.9,Early,8,24.06875,104,14247.11187,0,Female,Single,,0.574337946,,,YES
38,23,1,1,,,,9,21.59259259,25,37689.07027,0,Female,Single,,,,,NO
39,24,1,0,23.7,17.1,Late,8,11.00826446,82,9660.684708,1,Female,Single,Best,0.793475837,2.115758208,SA,YES
40,24,1,1,24.1,16,Late,7,27.96,30,33794.62203,,Female,Single,Best,2.007833818,0.860994442,SA,YES
41,25,1,0,23.6,15,Early,8,19.49450549,75,10497.99839,0,Male,Single,Best,0.984776518,0.320029552,SA,YES
42,25,1,0,18,11.5,Mid,9,11.00826446,82,7165.170386,0,Male,Single,Best,1.197397942,0.574521548,SA,NO
43,25,1,0,19.3,13.2,Late,9,11.00826446,82,4002.344192,0,Male,Single,Best,1.220553483,0.795862791,SA,NO
44,25,1,0,21.4,14.6,Mid,8,11.00826446,82,6272.823085,,Female,Single,Best,1.552172278,1.078631107,SA,YES
45,25,1,1,23.5,15.2,Early,8,,41,,0,Female,Single,Best,1.459466831,0.491196996,SA,YES
46,25,1,1,23.1,17,Late,8,11.00826446,82,8778.424458,,Male,Single,Best,1.396874176,1.834401792,SA,YES
47,25,1,2,19.5,13.3,Mid,8,27.96,30,48432.35657,1,Female,Single,Best,1.15955654,0.996911392,SA,NO
48,25,1,0,24.2,13.7,Late,8,26.7816092,125,7460.489149,0,Female,Single,Worst,1.976622123,-1.604841867,SB,YES
49,25,1,0,18.2,10.5,Mid,9,12.05050505,87,10553.81967,0,Male,Single,Worst,,-0.58021817,SB,NO
50,25,1,0,21.2,13.4,Late,9,11.00826446,82,9631.795454,,Female,Single,Worst,0.964529115,-0.082957711,SB,NO
51,25,1,0,22.3,14.4,Mid,9,11.00826446,82,8956.458961,,Female,Single,Worst,1.007017341,0.199834678,SB,YES
52,25,1,1,22.1,14.1,Mid,9,11.00826446,82,3409.469799,,Male,Single,Worst,1.451062418,0.002357323,SB,NO
53,25,1,0,,11.1,Late,8,24.06875,104,10790.90026,1,Male,Single,,0.50539074,,,NO
54,25,2,2,22.9,14.3,Late,9,11.00826446,82,2579.739165,1,Female,Sibling 1,Best,0.681508424,-0.272997966,A,NO
55,25,2,2,21.4,12,Late,9,11.00826446,82,2579.739165,1,Female,Sibling 2,Worst,1.158702373,-1.611197741,B,NO
56,26,1,0,23.6,15.4,Early,8,26.7816092,125,37931.62384,0,Female,Single,Best,,0.627076981,SA,YES
57,26,1,0,22.2,15,Late,9,11.00826446,82,8269.02369,,Female,Single,Best,0.494504279,0.875842139,SA,NO
58,26,1,0,22,15.2,Late,9,11.00826446,82,11173.94462,,Female,Single,Best,2.697756119,1.204082169,SA,YES
59,26,1,0,24.2,16.4,Early,8,31.96410256,92,24177.80945,0,Female,Single,Best,1.095099814,1.242356891,SA,NO
60,26,1,0,23.1,16.7,Mid,8,27.96,30,21463.30061,1,Female,Single,Best,,2.088590852,SA,NO
61,26,1,1,24.8,16.4,Mid,8,19.07006369,37,,1,Male,Single,Best,0.840119698,0.391964774,SA,NO
62,26,1,1,24.5,16.4,Mid,8,27.96,30,7532.203518,0,Female,Single,Best,,0.890910642,SA,YES
63,26,1,1,24.9,17.5,Late,8,19.07006369,37,,0,Male,Single,Best,0.83495342,0.941744328,SA,YES
64,26,1,1,20.1,14,Late,8,21.59259259,25,34104.53499,1,Female,Single,Best,0.894409592,1.324078748,SA,YES
65,26,1,1,23.4,15.7,Mid,2,21.94267516,90,22207.47015,0,Male,Single,Best,1.983542777,1.846704689,SA,NO
66,26,1,0,19.6,10,Mid,8,,41,,1,Male,Single,Worst,0.637264638,-1.984802551,SB,NO
67,26,1,0,21.6,12.5,Early,9,71.10493827,105,14097.02379,,Female,Single,Worst,0.791695692,-1.092239013,SB,NO
68,26,1,0,24.5,14.4,Early,9,19.07006369,37,,0,Female,Single,Worst,0.611422384,-1.051719449,SB,YES
