YEAR,BOXR,BOXOR,FID,GS,PAIR ID,RING,EXP,EPP,SEX,MASS11,MASS12,MASS14,RTARS14,PHA
2010,GR40,AN15C,1EP46486,-0.110394213,100010,1EP48023,control nest,0,M,11.9,12.2,12.7,17.1,3.9666667
2010,GR40,AN15C,1EP46486,-0.110394213,100010,1EP48021,control nest,0,M,11.4,11.4,11.8,15.9,4.4
2010,AN15C,AN15C,1EP46486,-0.110394213,100010,1EP48010,experimental nests,0,M,11.5,12,12.9,17.1,4.6666667
2010,AN15C,AN15C,1EP46486,-0.110394213,100010,1EP48011,experimental nests,0,F,10.7,11.2,11.8,16.3,4.7333333
2010,GR40,AN15C,1EP46486,-0.110394213,100010,1EP48026,control nest,0,F,11,11.8,11.5,16.3,4.9333333
2010,GR40,AN15C,1EP46486,-0.110394213,100010,1EP48020,control nest,0,F,10.7,10.7,11.1,16,5.2333333
2010,AN15C,AN15C,1EP46486,-0.110394213,100010,1EP48012,experimental nests,0,M,11.7,12.1,12.3,16.7,5.2666667
2010,GR40,AN15C,1EP46486,-0.110394213,100010,1EP48028,control nest,0,M,10,10.8,11.6,16,5.7
2010,AN15C,AN15C,1EP46486,-0.110394213,100010,1EP48002,experimental nests,0,F,10.3,10.2,11.7,16.2,7.1666667
2010,AN15C,AN15C,1EP46486,-0.110394213,100010,1EP48004,experimental nests,0,F,10.5,10.4,10.8,15.8,7.7
2010,AN15C,AN15C,1EP46486,-0.110394213,100010,1EP48001,experimental nests,1,F,10.8,11.4,11.5,16.1,8.4333333
2011,AN15C,AN15C,1EP46486,-0.110394213,110014,1ER02429,control nest,0,F,10.9,11,11.6,15,5.2
2011,AN15C,AN15C,1EP46486,-0.110394213,110014,1ER02427,control nest,0,M,11.6,11.8,12.1,17,5.3333333
2011,AN15C,AN15C,1EP46486,-0.110394213,110014,1ER02431,control nest,0,M,10.3,10.7,11.6,16,5.7666667
2011,AN15C,AN15C,1EP46486,-0.110394213,110014,1ER02432,control nest,0,M,10,10.9,11.4,15.4,6.2
2011,FO19D,AN15C,1EP46486,-0.110394213,110014,1ER02417,experimental nests,0,M,11.2,12,11.7,16.8,6.3666667
2011,FO19D,AN15C,1EP46486,-0.110394213,110014,1ER02416,experimental nests,0,F,10.6,10.6,11.2,16.1,6.5333333
2011,AN15C,AN15C,1EP46486,-0.110394213,110014,1ER02434,control nest,0,F,10.7,11.1,11.3,15.3,7.0333333
2011,AN15C,AN15C,1EP46486,-0.110394213,110014,1ER02428,control nest,0,F,9.3,9.9,10.7,15.6,7.1
2011,FO19D,AN15C,1EP46486,-0.110394213,110014,11NO0004,experimental nests,0,M,NA,NA,NA,NA,NA
2011,FO19D,AN15C,1EP46486,-0.110394213,110014,11NO0006,experimental nests,0,NA,NA,NA,NA,NA,NA
2011,FO19D,AN15C,1EP46486,-0.110394213,110014,11NO0005,experimental nests,0,NA,NA,NA,NA,NA,NA
2011,FO19D,AN15C,1EP46486,-0.110394213,110014,1ER02413,experimental nests,1,M,10.3,10.9,11.5,16.6,6.9333333
2011,FO19D,AN15C,1EP46486,-0.110394213,110014,1ER02414,experimental nests,1,F,10.2,10.3,11.3,15.8,7.4333333
2011,FO19D,AN15C,1EP46486,-0.110394213,110014,1ER02422,experimental nests,1,F,10.5,11.1,11.2,17.1,8.1333333
2011,AN16B,AN16B,1ER03666,-0.018794847,110013,1ER02594,experimental nests,0,F,10.4,10.2,10.5,15.7,3.4666667
2011,BJ11,AN16B,1ER03666,-0.018794847,110013,1ER02585,control nest,0,M,10.9,11.5,10.6,16.4,3.7666667
2011,AN16B,AN16B,1ER03666,-0.018794847,110013,1ER02597,experimental nests,0,F,10.4,9.4,9,16,4.5333333
2011,AN16B,AN16B,1ER03666,-0.018794847,110013,1ER03104,experimental nests,0,NA,9.6,10.3,10.4,16.7,5
2011,AN16B,AN16B,1ER03666,-0.018794847,110013,1ER03103,experimental nests,0,M,10.8,11.4,11.1,16.7,5.6333333
2011,BJ11,AN16B,1ER03666,-0.018794847,110013,1E02588,control nest,0,NA,12.1,11.8,10.8,17,5.8666667
2011,BJ11,AN16B,1ER03666,-0.018794847,110013,1ER02587,control nest,0,M,11.1,11.4,10.9,17.2,6.2666667
2011,AN16B,AN16B,1ER03666,-0.018794847,110013,1ER03109,experimental nests,0,NA,11.1,11.5,11.7,16.4,6.4666667
2011,AN16B,AN16B,1ER03666,-0.018794847,110013,1ER03100,experimental nests,0,F,10.6,10.6,10.2,16.1,6.9333333
2011,BJ11,AN16B,1ER03666,-0.018794847,110013,1ER02589,control nest,0,NA,10.5,10.9,10.5,16,7.0333333
2011,BJ11,AN16B,1ER03666,-0.018794847,110013,1ER02590,control nest,0,NA,12.4,12,9.6,16.5,7.5666667
2011,AN16B,AN16B,1ER03666,-0.018794847,110013,1ER03107,experimental nests,0,M,10.5,11,10.5,16.6,9.1333333
2011,AN16B,AN16B,1ER03666,-0.018794847,110013,1ER02599,experimental nests,0,M,10.7,NA,NA,NA,NA
2010,AN25,AN25,1EP46477,NA,100006,1ER02233,experimental nests,0,NA,11.9,12,11.7,16.6,4
2010,PS5,AN25,1EP46477,NA,100006,1ER02396,control nest,0,NA,9.5,9.8,10.1,16.1,4.7
2010,PS5,AN25,1EP46477,NA,100006,1ER02214,control nest,0,NA,9.8,8.7,10.9,16.5,4.9
2010,AN25,AN25,1EP46477,NA,100006,1ER02224,experimental nests,0,NA,10.9,11.5,11,16.1,4.9666667
2010,AN25,AN25,1EP46477,NA,100006,1ER02227,experimental nests,0,NA,11.1,11.9,11.3,17.3,5.2666667
2010,PS5,AN25,1EP46477,NA,100006,1ER02397,control nest,0,NA,9.8,10.8,10.9,16,5.4333333
2010,AN25,AN25,1EP46477,NA,100006,1ER02222,experimental nests,0,NA,11.9,12.3,11.9,18.2,5.5333333
2010,AN25,AN25,1EP46477,NA,100006,1ER02225,experimental nests,0,NA,10.4,11.3,11.3,16.3,7.5666667
2010,PS5,AN25,1EP46477,NA,100006,1ER02213,control nest,0,NA,10,10.9,11.6,16.7,8.2
2010,AN25,AN25,1EP46477,NA,100006,NONE0118,experimental nests,0,NA,NA,NA,NA,NA,NA
2011,FP2,AN3,1ER03643,0.044540566,110012,1ER02022,control nest,0,F,10.8,10.5,11.2,16.3,3.3
2011,FP2,AN3,1ER03643,0.044540566,110012,1ER02025,control nest,0,M,10.5,11.2,11.9,16.9,4.1333333
2011,FP2,AN3,1ER03643,0.044540566,110012,1ER02024,control nest,0,F,10.5,11.5,11.2,16.9,4.2
2011,AN3,AN3,1ER03643,0.044540566,110012,1ER02040,experimental nests,0,M,11,11.1,11.1,17.7,5.0666667
2011,FP2,AN3,1ER03643,0.044540566,110012,1ER02023,control nest,0,M,11.1,12,12.4,16.9,5.9
2011,AN3,AN3,1ER03643,0.044540566,110012,1ER02035,experimental nests,0,F,9.6,10.4,11,16.6,6.2333333
2011,AN3,AN3,1ER03643,0.044540566,110012,1ER02029,experimental nests,0,M,11.3,12.2,12.1,16.4,7.0333333
2011,AN3,AN3,1ER03643,0.044540566,110012,1ER02039,experimental nests,0,M,10.8,11.6,12,16,7.2
2011,AN3,AN3,1ER03643,0.044540566,110012,11NO0001,experimental nests,0,M,NA,NA,NA,NA,NA
2011,AN3,AN3,1ER03643,0.044540566,110012,1ER02036,experimental nests,0,M,9.8,11.3,12,16.1,NA
2011,FP2,AN3,1ER03643,0.044540566,110012,1ER02020,control nest,1,M,10.8,10.7,10.4,17.2,4.7666667
2011,AN16B,BJ11,NA,NA,110013,1ER02595,experimental nests,NA,NA,10.1,10.8,10.9,16.9,4
2011,AN16B,BJ11,NA,NA,110013,1ER03108,experimental nests,NA,NA,10.2,9.8,9.9,16.6,4.1666667
2011,BJ11,BJ11,NA,NA,110013,1ER02593,control nest,NA,NA,10.5,10.7,10.3,16.6,4.4
2011,AN16B,BJ11,NA,NA,110013,1ER03106,experimental nests,NA,NA,10.9,11.2,11.8,16.7,4.4333333
2011,BJ11,BJ11,NA,NA,110013,1ER02591,control nest,NA,NA,11.8,12,11.4,17.2,5.1666667
2011,BJ11,BJ11,NA,NA,110013,1ER02592,control nest,NA,NA,10.7,11.4,11.1,17,5.5
2011,AN16B,BJ11,NA,NA,110013,1ER03105,experimental nests,NA,NA,10.9,11.3,11.2,16.5,6.4666667
2011,BJ11,BJ11,NA,NA,110013,1ER02583,control nest,NA,NA,10.9,11.6,11.3,17,6.7
2011,BJ11,BJ11,NA,NA,110013,1ER02584,control nest,NA,NA,10.9,10.9,10.1,16.6,6.8
2011,AN16B,BJ11,NA,NA,110013,1ER02598,experimental nests,NA,NA,10.4,10.9,11,17.3,6.8666667
2011,BJ11,BJ11,NA,NA,110013,1ER02586,control nest,NA,NA,10.2,11,10.5,17.1,7
2011,BO3B,BJ18C,1EP48512,NA,110011,1ER03138,experimental nests,0,F,11.1,NA,10.3,17.2,3.7333333
2011,BO3B,BJ18C,1EP48512,NA,110011,1ER03141,experimental nests,0,F,10.2,NA,9.4,16.8,4.2333333
2011,BO3B,BJ18C,1EP48512,NA,110011,1ER03143,experimental nests,0,M,8.2,NA,9.5,16.3,5.3333333
2011,BO3B,BJ18C,1EP48512,NA,110011,1ER03135,experimental nests,0,F,10.5,NA,10.5,16.7,5.9666667
2010,FKII3,BJ2,1EP46799,0.049729511,100012,1EP48063,experimental nests,0,NA,9.4,10,10.5,15,3.9666667
2010,BJ2,BJ2,1EP46799,0.049729511,100012,1EP48088,control nest,0,NA,9.3,9.7,10.4,15.5,4.0333333
2010,FKII3,BJ2,1EP46799,0.049729511,100012,1EP48069,experimental nests,0,NA,8.1,8.4,8.9,15.2,5.2333333
2010,FKII3,BJ2,1EP46799,0.049729511,100012,1EP48064,experimental nests,0,NA,7.8,8.8,9.5,15.5,5.7
2010,BJ2,BJ2,1EP46799,0.049729511,100012,1EP48090,control nest,0,NA,8.6,9.8,10.7,14.6,5.7666667
