ringnr;brood_id;birth_year;survival;mass11;tars11;mother;clutch_size;nest_site;chick_age11;clutch_no;mean_temp5;rr_19;mean_eggvol_cm;CV_eggvol_cm
8934505;2003.27.B.3.A.1;2003;0;23.7;16.5;2003Mo06;5;2003.27.B.3.A;10;1;8.64;1.28;2.743578;0.0234065526597275
8934506;2003.27.B.45.A.1;2003;0;14;15.2;8866792;6;2003.27.B.45.A;10;1;8.64;1.28;2.93415;0.0433574050333592
8934507;2003.27.B.45.A.1;2003;0;19.1;16.6;8866792;6;2003.27.B.45.A;10;1;8.64;1.28;2.93415;0.0433574050333592
8934513;2003.27.B.204.A.1;2003;0;31.5;19.3;2003Mo08;4;2003.27.B.204.A;11;1;9.255;1.26;2.98712;0.0426169575398176
8934514;2003.27.B.204.A.1;2003;1;28.8;19.4;2003Mo08;4;2003.27.B.204.A;11;1;9.255;1.26;2.98712;0.0426169575398176
8934515;2003.27.B.204.A.1;2003;0;30.7;19.1;2003Mo08;4;2003.27.B.204.A;11;1;9.255;1.26;2.98712;0.0426169575398176
8934516;2003.27.B.204.A.1;2003;0;26.5;18.9;2003Mo08;4;2003.27.B.204.A;11;1;9.255;1.26;2.98712;0.0426169575398176
8934521;2003.27.B.213.A.1;2003;0;26.6;18.2;8857237;6;2003.27.B.213.A;9;1;7.99;1.28;3.20971666666667;0.00614149367530456
8934522;2003.27.B.213.A.1;2003;0;28.5;19.7;8857237;6;2003.27.B.213.A;9;1;7.99;1.28;3.20971666666667;0.00614149367530456
8934523;2003.27.B.213.A.1;2003;0;22.8;16.6;8857237;6;2003.27.B.213.A;9;1;7.99;1.28;3.20971666666667;0.00614149367530456
8934524;2003.27.B.213.A.1;2003;0;27;17.1;8857237;6;2003.27.B.213.A;9;1;7.99;1.28;3.20971666666667;0.00614149367530456
8934544;2003.27.B.208.A.1;2003;0;19.6;18.4;8857754;5;2003.27.B.208.A;10;1;7.705;0.04;2.826654;0.0338294032663063
8934545;2003.27.B.208.A.1;2003;0;26.6;19.1;8857754;5;2003.27.B.208.A;10;1;7.705;0.04;2.826654;0.0338294032663063
8934546;2003.27.B.208.A.1;2003;0;26.6;17.6;8857754;5;2003.27.B.208.A;10;1;7.705;0.04;2.826654;0.0338294032663063
8934547;2003.27.B.7.A.1;2003;1;28.1;18.7;8800417;5;2003.27.B.7.A;10;1;7.705;0.04;2.813252;0.0192962101267524
8934548;2003.27.B.7.A.1;2003;1;26.6;19.5;8800417;5;2003.27.B.7.A;10;1;7.705;0.04;2.813252;0.0192962101267524
8934549;2003.27.B.7.A.1;2003;0;23;17.1;8800417;5;2003.27.B.7.A;10;1;7.705;0.04;2.813252;0.0192962101267524
8934550;2003.27.B.87.A.1;2003;0;25.8;17.9;8934376;5;2003.27.B.87.A;10;1;7.705;0.04;2.86033;0.0290000857418357
8934551;2003.27.B.87.A.1;2003;0;27.8;19.2;8934376;5;2003.27.B.87.A;10;1;7.705;0.04;2.86033;0.0290000857418357
8934552;2003.27.B.87.A.1;2003;0;25.5;16.7;8934376;5;2003.27.B.87.A;10;1;7.705;0.04;2.86033;0.0290000857418357
8934553;2003.27.B.87.A.1;2003;0;28.1;18.5;8934376;5;2003.27.B.87.A;10;1;7.705;0.04;2.86033;0.0290000857418357
8934554;2003.27.B.214.A.1;2003;0;29.1;19;2003Mo12;6;2003.27.B.214.A;10;1;7.705;0.04;2.75853833333333;0.0337914415547161
8934555;2003.27.B.214.A.1;2003;0;25.3;16.9;2003Mo12;6;2003.27.B.214.A;10;1;7.705;0.04;2.75853833333333;0.0337914415547161
8934556;2003.27.B.214.A.1;2003;0;26.9;17.7;2003Mo12;6;2003.27.B.214.A;10;1;7.705;0.04;2.75853833333333;0.0337914415547161
8934846;2003.27.A.40.A.2;2003;0;30.5;20.5;8747722;5;2003.27.A.40.A;10;2;11.61;0;2.720994;0.0288882143119918
