Blood-ID,Sample,Sample pt,Band,Treatment,Box,Pair ID,Date,Numeric Date,Time,Numeric time,Tarsus,Mass,Cp Telomere,Mean Cp T,Cp CV T,Efficiency T,Et^CpT(C)-CpT(S),Et_CV,Cp GAPDH,Cp Mean R,Cp CV R,Efficiency R,ER^(CpR(S)-CpR(C)),Er_CV,RTL,RTLave,RTLcv,qPCR Plate,Drop Duplicate,Sex,NOx,Fledged,Recruit,Size rank,Brood size
LAN-78,Tel 1,8,59V66747,LAN,K10,10,26/04/17,26,10:51:00,10.85,14.15,11.3,13.25,13.23,0.002137889,2.097833555,0.627024127,0.020954429,25.75,25.385,0.020334369,2.018534361,0.942045604,0.354816406,0.590685323,0.477531027,0.335107735,1,0,M,0.0049,1,0,,5
LAN-78,Tel 1,8,59V66747,LAN,K10,10,26/04/17,26,10:51:00,10.85,14.15,11.3,13.21,,,2.097833555,0.645884844,,25.02,,,2.018534361,0.564151231,,0.36437673,,,1,0,M,0.0049,1,0,,5
LAN-79,Tel 1,8,59V66748,LAN,K10,10,26/04/17,26,10:52:00,10.86666667,14.29,9,13.84,13.57,0.028138369,2.097833555,0.404985381,0.279191194,26.14,25.99,0.008162064,2.018534361,1.238899349,0.148446696,0.501736125,0.554041317,0.133511185,1,0,F,0.0088,1,0,,5
LAN-79,Tel 1,8,59V66748,LAN,K10,10,26/04/17,26,10:52:00,10.86666667,14.29,9,13.3,,,2.097833555,0.604220841,,25.84,,,2.018534361,1.003518032,,0.60634651,,,1,0,F,0.0088,1,0,,5
LAN-80,Tel 1,8,59V66749,LAN,K10,10,26/04/17,26,10:54:00,10.9,13.71,9.6,13.04,12.875,0.018123902,2.097833555,0.732581873,0.172030553,25.72,25.74,0.001098845,2.018534361,0.92240329,0.019864765,0.67573593,0.781612381,0.19156799,1,0,,,1,0,,5
LAN-80,Tel 1,8,59V66749,LAN,K10,10,26/04/17,26,10:54:00,10.9,13.71,9.6,12.71,,,2.097833555,0.935493141,,25.76,,,2.018534361,0.948685557,,0.887488832,,,1,0,,,1,0,,5
LAN-34,Tel 2,15,59V66747,LAN,K10,10,03/05/17,33,08:47:00,8.783333333,19.96,16.2,12.44,12.37,0.008002825,2.017152285,1.933990629,0.069407637,26,25.83,0.009307639,1.970580571,1.003397399,0.162362116,1.940561167,1.820241057,0.093481207,2,0,M,0.0049,1,0,1,5
LAN-34,Tel 2,15,59V66747,LAN,K10,10,03/05/17,33,08:47:00,8.783333333,19.96,16.2,12.3,,,2.017152285,2.133623477,,25.66,,,1.970580571,0.796729585,,1.699920948,,,2,0,M,0.0049,1,0,1,5
LAN-33,Tel 2,15,59V66748,LAN,K10,10,03/05/17,33,08:43:00,8.716666667,18.8,14.8,10.16,10.105,0.007697352,2.097833555,6.188091521,0.057597021,23.14,23.4,0.015713484,2.002186402,0.185716961,0.252532209,1.149233554,1.469065522,0.307890084,1,0,F,0.0088,1,0,4,5
LAN-33,Tel 2,15,59V66748,LAN,K10,10,03/05/17,33,08:43:00,8.716666667,18.8,14.8,10.05,,,2.097833555,6.713539389,,23.66,,,2.002186402,0.266461159,,1.788897489,,,1,0,F,0.0088,1,0,4,5
LAN-35,Tel 2,15,59V66884,LAN,K10,10,03/05/17,33,08:24:00,8.4,18.38,14.4,12.8,12.795,0.000552643,2.076969342,1.573282288,0.00516829,25.68,25.63,0.002758903,2.018534361,0.896849143,0.049644771,1.410996871,1.367969236,0.044482188,1,0,F,0.0032,1,0,5,5
LAN-35,Tel 2,15,59V66884,LAN,K10,10,03/05/17,33,08:24:00,8.4,18.38,14.4,12.79,,,2.076969342,1.584823689,,25.58,,,2.018534361,0.836018297,,1.324941602,,,1,0,F,0.0032,1,0,5,5
LAN-36,Tel 2,15,59V66885,LAN,K10,10,03/05/17,33,08:30:00,8.5,19.25,16.2,11.88,12,0.014142136,2.097833555,1.730256783,0.125405518,25.64,25.565,0.004148876,2.018534361,0.872002944,0.074428934,1.50878901,1.322747362,0.198906177,1,0,M,0.0025,1,0,2,5
LAN-36,Tel 2,15,59V66885,LAN,K10,10,03/05/17,33,08:30:00,8.5,19.25,16.2,12.12,,,2.097833555,1.448389987,,25.49,,,2.018534361,0.784806388,,1.136705714,,,1,0,M,0.0025,1,0,2,5
CTR-37,Tel 1,8,58V87878,CTR,K18A,6,24/04/17,24,10:30:00,10.5,15.19,11.1,12.3,12.18,0.013933139,2.017152285,2.133623477,0.118799559,25.82,25.935,0.006270853,1.970580571,0.888067579,0.11009638,1.894801837,2.257872935,0.227408754,2,0,M,0.0011,1,0,2,9
CTR-37,Tel 1,8,58V87878,CTR,K18A,6,24/04/17,24,10:30:00,10.5,15.19,11.1,12.06,,,2.017152285,2.524963278,,26.05,,,1.970580571,1.038012733,,2.620944032,,,2,0,M,0.0011,1,0,2,9
CTR-38,Tel 1,8,58V87879,CTR,K18A,6,24/04/17,24,10:33:00,10.55,15.29,10,11.58,11.62,0.004868205,2.097833555,2.160935822,0.04189966,25.6,25.43,0.009454043,2.018534361,0.847845082,0.168063662,1.83213881,1.596015379,0.209226655,1,0,M,0.0021,1,0,4,9
CTR-38,Tel 1,8,58V87879,CTR,K18A,6,24/04/17,24,10:33:00,10.55,15.29,10,11.66,,,2.097833555,2.036573961,,25.26,,,2.018534361,0.667735115,,1.359891948,,,1,0,M,0.0021,1,0,4,9
CTR-39,Tel 1,8,58V87880,CTR,K18A,6,24/04/17,24,10:35:00,10.58333333,14.45,7.7,12.71,12.725,0.001667049,2.097833555,0.935493141,0.015716325,25.2,25.09,0.006200219,2.018534361,0.640179918,0.109046503,0.598883923,0.550371377,0.12465601,1,0,F,0.0018,0,0,8,9
CTR-39,Tel 1,8,58V87880,CTR,K18A,6,24/04/17,24,10:35:00,10.58333333,14.45,7.7,12.74,,,2.097833555,0.914929175,,24.98,,,2.018534361,0.548522055,,0.501858832,,,1,0,F,0.0018,0,0,8,9
CTR-40,Tel 1,8,58V87881,CTR,K18A,6,24/04/17,24,10:37:00,10.61666667,13.05,7,12.68,12.86,0.019794591,2.097833555,0.956519302,0.187493416,26.32,26.425,0.005619392,2.018534361,1.405861479,0.104108197,1.34473364,1.269163358,0.084207063,1,0,F,0.0022,0,0,9,9
CTR-40,Tel 1,8,58V87881,CTR,K18A,6,24/04/17,24,10:37:00,10.61666667,13.05,7,13.04,,,2.097833555,0.732581873,,26.53,,,2.018534361,1.62929649,,1.193593075,,,1,0,F,0.0022,0,0,9,9
CTR-41,Tel 1,8,58V87882,CTR,K18A,6,24/04/17,24,10:40:00,10.66666667,14.45,9.2,13.2,13.055,0.015707466,1.97540797,1.22658328,0.1391487,25.81,25.895,0.004642138,2.051129172,0.885036513,0.086249217,1.085570989,1.289935007,0.224053432,3,0,F,0.0048,1,0,6,9
CTR-41,Tel 1,8,58V87882,CTR,K18A,6,24/04/17,24,10:40:00,10.66666667,14.45,9.2,12.91,,,1.97540797,1.494299025,,25.98,,,2.051129172,1,,1.494299025,,,3,0,F,0.0048,1,0,6,9
CTR-42,Tel 1,8,58V87883,CTR,K18A,6,24/04/17,24,10:45:00,10.75,15.57,11.5,12.03,12.05,0.002347242,2.097833555,1.54826361,0.020954429,25.69,25.74,0.002747113,2.018534361,0.903170531,0.049644771,1.398346066,1.427317315,0.028705272,1,0,M,0.0022,1,0,1,9
CTR-42,Tel 1,8,58V87883,CTR,K18A,6,24/04/17,24,10:45:00,10.75,15.57,11.5,12.07,,,2.097833555,1.503052206,,25.79,,,2.018534361,0.968887546,,1.456288563,,,1,0,M,0.0022,1,0,1,9
CTR-43,Tel 1,8,58V87884,CTR,K18A,6,24/04/17,24,10:48:00,10.8,14.7,8.9,11.92,11.975,0.006495344,2.076969342,2.993264735,0.056820834,25.8,25.815,0.000821739,1.970580571,0.876100911,0.014389018,2.622401959,2.545981534,0.04244917,2,0,F,0.0017,0,0,7,9
CTR-43,Tel 1,8,58V87884,CTR,K18A,6,24/04/17,24,10:48:00,10.8,14.7,8.9,12.03,,,2.076969342,2.762026363,,25.83,,,1.970580571,0.89411207,,2.469561109,,,2,0,F,0.0017,0,0,7,9
CTR-44,Tel 1,8,58V87885,CTR,K18A,6,24/04/17,24,10:51:00,10.85,15.07,10,13.01,12.955,0.006003994,2.076969342,1.349417491,0.056820834,26.02,26.095,0.004064611,2.018534361,1.138758645,0.074428934,1.536660835,1.693498748,0.130972819,1,0,F,,1,0,5,9
CTR-44,Tel 1,8,58V87885,CTR,K18A,6,24/04/17,24,10:51:00,10.85,15.07,10,12.9,,,2.076969342,1.462391468,,26.17,,,2.018534361,1.265281357,,1.850336662,,,1,0,F,,1,0,5,9
LAN-41,Tel 1,8,58V87886,CTR,K18A,6,24/04/17,24,10:53:00,10.88333333,14.28,10.7,13.84,13.81,0.003072151,2.097833555,0.404985381,0.031428769,26.95,26.895,0.002892052,2.002186402,2.615674767,0.053972955,1.059310041,1.042674504,0.022563323,1,0,M,0.0033,1,0,3,9
LAN-41,Tel 1,8,58V87886,CTR,K18A,6,24/04/17,24,10:53:00,10.88333333,14.28,10.7,13.78,,,2.097833555,0.423394886,,26.84,,,2.002186402,2.423361741,,1.026038967,,,1,0,M,0.0033,1,0,3,9
CTR-20,Tel 2,15,58V87878,CTR,K18A,6,01/05/17,31,11:03:00,11.05,14.69,15,13.54,13.13,0.044160515,2.097833555,0.505790484,0.416853449,26.42,26.565,0.007719216,2.018534361,1.508155582,0.143533109,0.762810742,1.239824783,0.544108922,1,0,M,0.0011,1,0,3,9
CTR-20,Tel 2,15,58V87878,CTR,K18A,6,01/05/17,31,11:03:00,11.05,14.69,15,12.72,,,2.097833555,0.928587637,,26.71,,,2.018534361,1.848871076,,1.716838824,,,1,0,M,0.0011,1,0,3,9
CTR-18,Tel 2,15,58V87879,CTR,K18A,6,01/05/17,31,10:54:00,10.9,18.1,15.3,13.54,13.4,0.014775366,2.076969342,0.916027242,0.14420977,26.66,26.595,0.003456435,2.018534361,1.785068232,0.064519911,1.63517113,1.733297638,0.080062325,1,0,M,0.0021,1,0,2,9
CTR-18,Tel 2,15,58V87879,CTR,K18A,6,01/05/17,31,10:54:00,10.9,18.1,15.3,13.26,,,2.076969342,1.12405824,,26.53,,,2.018534361,1.62929649,,1.831424146,,,1,0,M,0.0021,1,0,2,9
CTR-16,Tel 2,15,58V87880,CTR,K18A,6,01/05/17,31,10:48:00,10.8,16.03,14,12.99,12.805,0.020431824,1.97540797,1.415092955,0.177175036,25.99,25.955,0.00190705,2.051129172,1.007209771,0.035551022,1.425295451,1.5844709,0.14207145,3,0,F,0.0018,0,0,5,9
CTR-16,Tel 2,15,58V87880,CTR,K18A,6,01/05/17,31,10:48:00,10.8,16.03,14,12.62,,,1.97540797,1.820446773,,25.92,,,2.051129172,0.957812321,,1.743646349,,,3,0,F,0.0018,0,0,5,9
CTR-14,Tel 2,15,58V87881,CTR,K18A,6,01/05/17,31,10:40:00,10.66666667,17.47,10,12.98,13.02,0.004344742,2.017152285,1.324022833,0.039682977,26.05,26.035,0.000814796,1.970580571,1.038012733,0.014389018,1.374352559,1.323753713,0.054056562,2,0,F,0.0022,0,0,9,9
CTR-14,Tel 2,15,58V87881,CTR,K18A,6,01/05/17,31,10:40:00,10.66666667,17.47,10,13.06,,,2.017152285,1.251746483,,26.02,,,1.970580571,1.017102812,,1.273154867,,,2,0,F,0.0022,0,0,9,9
