dryad_id	sex	sex_cat	area	tarsus	wing.length	body.mass	wing.white
1	0	m	HOR	18.89999962	81.66666667	12.03333346	33.63333362
2	0	m	KOL	19.51428631	84	12.37142863	39.6428566
3	0	m	KOL	19.39999962	84	12.39999962	19.80000019
4	0	m	KOL	20.45000029	82.25	13.25	62.12499982
5	0	m	KOL	18.74000015	83.6	12.27999992	46.51999979
6	0	m	KOL	20.20000076	84	13.30000019	58.80000067
7	0	m	HOR	19.60000038	83.66666667	13.33333333	41.76666673
8	1	f	KOL	18.63333384	80.66666667	15.40000025	15.20000028
9	0	m	HOR	19.53333314	83	12.76666689	35.95000045
10	0	m	ISA	19.84000015	82.2	12.79999981	48.59999948
11	0	m	KOL	NA	81	12.60000038	16.69999981
12	0	m	ISA	19.83333333	85.83333333	13.35000006	52.84999998
13	0	m	NIL	19.5	83.66666667	13.46000004	54.31666668
14	1	f	NIL	19.46000023	82.6	16.84000015	45.85999994
15	1	f	HOR	18.89999962	82	16.10000038	31.4000001
16	1	f	HOR	19.43333371	84.33333333	15.33333333	18.69999997
17	1	f	HOR	19.29999924	81	15	19.60000014
18	1	f	KOL	20.25	82	15.05000019	20.6500001
19	1	f	KOL	19.33333333	81.33333333	15.73333327	22.56666688
20	0	m	HOG	19.2	82	12.03999996	58.11999989
21	1	f	HOR	18.69999949	82.33333333	14.4333334	24.43333308
22	0	m	HOR	20.39999962	84	14.19999981	14.20000005
23	0	m	KOL	19.79999924	82	13	25.69999981
24	0	m	HOR	20.70000029	86.5	14.29999995	78.67499972
25	0	m	HOR	19.70000076	84	12.5	16.30000007
26	0	m	HOR	19.20000076	82	12.80000019	60.5
27	0	m	HOR	18.94999981	83.5	12.9000001	67.59999943
28	0	m	HOR	19.42000008	84.2	12.66000023	41.54000044
29	0	m	HOR	19.56249976	85	13.01250017	55.21249962
30	1	f	KOL	19.19999981	82.5	15.69999981	14.55000007
31	1	f	HOR	19.82857105	82.28571429	16.02857167	24.62857153
32	1	f	HOR	20.05000019	81.5	16	23.95000041
33	1	f	LHO	19.29999924	78	15.10000038	7.79999981
34	1	f	NIL	19.06666629	81.33333333	15.46666717	15.4333334
35	1	f	NIL	18.69999981	78.5	13.34999991	13.95000005
36	1	f	HOR	19.29999924	78	14	21.20000029
37	1	f	HOR	19.03333346	81.5	13.88333337	9.866666725
38	1	f	HOR	18.89999962	79.66666667	14.5666666	30.20000037
39	1	f	HOR	19.10000038	76	14.39999962	9.900000095
40	1	f	HOR	20.09999975	78.66666667	15.50000032	13.40000026
41	1	f	KOL	19.29999924	78	15.5	16.99999976
42	1	f	HOR	19.16666667	82	16.6500001	19.59999987
43	1	f	HOR	18.75	82	15.54999972	28.85000003
44	1	f	HOR	19.40000025	81	15.19999981	26.00000004
45	1	f	KOL	19	76	15.69999981	16.59999943
46	1	f	HOR	19.15000057	81.5	16.29999972	12.2
47	1	f	HOR	19.29999924	82	15.10000038	27.50000024
48	1	f	HOR	19.4199997	81.8	15.93999996	16.24000006
49	0	m	HOR	20.20000076	82	12.39999962	21.19999981
50	0	m	HOR	18.29999924	83	13.80000019	54.20000076
51	1	f	KOL	19.10000038	80	14.10000038	15.80000019
52	0	m	HOR	19.09999943	83.5	13.25	31.70000041
53	0	m	KOL	19.29999987	82.33333333	13.13333352	29.73333303
54	1	f	KOL	19.79999924	81	14.9000001	32.94999981
55	0	m	HOR	19.5	82	12.10000038	54.69999981
56	0	m	KOL	18.69999981	81	12.25	49.55000043
57	0	m	KOL	20.42499972	85.5	13.44999981	58.15000022
58	1	f	RAP	19.5	80	12	17.09999991
59	0	m	ALU	19.26666641	80	12.46666654	37.96666654
60	1	f	HOR	19.2750001	82.5	17	30.79999996
61	1	f	SKO	19.30000019	80	14	24.90000034
62	1	f	KOL	19.39999962	82	15.19999981	10.10000014
63	1	f	HOR	19.66666667	80	15.36666648	23.30000019
64	1	f	NIL	19.5875001	81	16.0625	30.9250001
65	1	f	NIL	19.47499991	81.25	14.70000005	14.97500008
66	1	f	HOR	19.60000038	76	14.39999962	18.29999995
67	1	f	HOR	19.45000029	80.25	15.82500005	20.37499988
68	1	f	HOR	19.80000019	82	16	22.0000002
69	1	f	HOR	19.39999962	80	14.80000019	34.80000019
70	1	f	KOL	19.39999962	81.5	14.70000029	15.80000007
71	1	f	KOL	18.20000076	80.5	15.25	30.30000013
72	1	f	KOL	19.60000038	77	14.89999962	15.5
73	1	f	KOL	19.39999962	81	16.10000038	30.5
74	1	f	SKO	19.75	80.5	15.1500001	15.40000028
75	0	m	ISA	19.42499972	83.5	12.75000024	47.97500014
76	0	m	ISA	19.86666679	83.33333333	11.80000019	75.60000006
77	0	m	AVI	20.40999985	83.5	13	54.15000034
78	1	f	HOR	18.89999962	82	14.5	11.60000014
79	1	f	KOL	20.13333321	80	15.83333333	7.033333381
80	1	f	HOR	19.60000038	80	16	21.09999967
81	1	f	HOR	19.13333321	79.33333333	16.4333334	22.73333343
82	1	f	HOR	19.39999962	78	15.80000019	16.60000038
83	1	f	0	19.05000019	81	16.60000038	23.05000008
84	1	f	HOR	19.5	80	15	18
85	1	f	HOR	19	77	14.80000019	17.10000038
86	1	f	HOR	18.80000019	81.5	15.69999981	20.64999986
87	1	f	HOR	19.64999962	79.5	14.55000019	15.35000015
88	1	f	HOR	18.84999943	79	15.09999991	26.14999974
89	1	f	KOL	18.96000023	79.8	14.73999996	18.64000001
90	1	f	SKO	19	80	14.5	17.70000029
91	1	f	LOT	19.10000038	80	15	12.4000001
92	1	f	KOL	20	81.66666667	15.73333295	25.03333362
93	1	f	HOR	19.10000038	78	17.10000038	13.00000024
94	0	m	HOR	19.39999962	82.28571429	12.55714307	42.82857122
95	0	m	KOL	20.37999992	83.2	13.1199997	38.43999982
96	0	m	KOL	19.5	84	12.80000019	74.29999924
97	1	f	HOR	19.3333327	78.33333333	13.36666648	22.6333336
98	1	f	HOR	19.09999975	81.33333333	14.46666686	14.89999994
99	0	m	HOR	20	82	13.76666673	57.55000035
100	0	m	HOR	19.14999962	84	13.19999981	33.95000041
101	0	m	SKO	19.19999934	80	12.12500024	33.95000008
102	1	f	KOL	18.79999924	76	14.10000038	12.39999962
103	1	f	HOR	19.39999962	74	16.10000038	16.50000024
104	1	f	HOR	19.70000076	84	13.5	21.70000005
105	0	m	HOR	20.60000038	83	12.5	42.30000114
106	1	f	ISA	19.5	79	14.19999981	24.29999983
107	0	m	HOR	19.42499972	83.75	13.02499986	39.62500012
108	0	m	HOR	19.91428566	84	13.43999996	48.414286
109	1	f	NIL	19.39999962	81	15	17.70000017
110	1	f	KOL	19.79999924	77	14.80000019	9.200000047
111	1	f	KOL	19.15000057	80	14.9000001	28.84999967
112	0	m	HOR	19.35000038	83.5	13.75	37.44999993
113	0	m	HOR	18.14285741	81	12.47142873	37.14285728
114	0	m	HOR	19.5	82.5	13.80000019	38.74999953
115	1	f	KOL	19.63333321	79.66666667	14.4333334	26.60000014
116	0	m	HOR	19.5	81	12.80000019	41.40000057
117	0	m	KOL	20.5	80	12.60000038	22.80000019
118	0	m	LOT	19.93333308	83	13.03333346	43.16666682
119	1	f	KOL	19.25	80.5	14	29.25
120	1	f	KOL	19.29999924	80.5	12.5	13.05000008
121	0	m	HOR	19.10000038	82	13.5	38.90000009
122	0	m	HOR	20.39999962	83	13.5	45.19999981
123	0	m	HOR	20	83	13	38.19999981
124	0	m	HOR	19	84	12.06000004	44.16000051
125	0	m	HOR	19.36666616	80.33333333	12.39999962	34.13333321
126	0	m	SKO	20.5	83	13	11
127	1	f	KOL	19.20000076	75	14	13.20000005
128	1	f	HOR	19.13333321	80	14.63333352	17.93333344
129	1	f	HOR	19.10000038	78	19	16.70000029
130	0	m	HOR	18.5	84	12.10000038	48.60000038
131	0	m	KOL	19	83	13.30000019	25.69999981
132	0	m	HOR	19.44999981	83.5	13.44999981	58.44999981
133	0	m	KOL	18.86666679	82.33333333	12.89999994	42.10000006
134	0	m	HOR	19.15000057	83	12.44999981	39.44999946
135	0	m	HOR	18.59999943	84	12.94999981	45.79999996
136	0	m	KOL	19.60000038	80	13	8.700000048
137	0	m	HOR	19.75	83	13.25	42.49999965
138	0	m	HOR	18.36666711	83.33333333	12.23333343	50.31666617
139	0	m	HOR	19.10000038	80.5	12.6500001	32.29999972
140	0	m	LOT	19.5	80	12.19999981	6.200000047
141	0	m	ISA	18.89999962	82	13	41.9000001
142	0	m	NIL	19.09999975	84	12.5	43.03333346
143	1	f	SKO	19.89999962	80.33333333	14.59999975	19.86666675
144	1	f	HOR	19.23333295	80	15.26666673	13.93333344
145	1	f	HOR	19.70000013	80.33333333	14.83333333	16.19999997
146	0	m	ISA	19.70000076	87.5	13.59999991	53.34999991
147	0	m	NIL	19.60000038	83	12.5	51.89999962
148	0	m	WAT	19.33333333	81.33333333	12.86666679	41.93333372
149	0	m	EKE	20.46666654	84	12.84999991	56.08333302
150	0	m	LOT	19.79999924	82	13	43.29999948
151	0	m	HOR	19.29999924	80	12.19999981	9.400000095
152	0	m	HOR	19.79999924	84	13	18.00000012
153	0	m	HOR	19.22499943	82.25	13.17500019	52.80000052
154	0	m	HOR	19.14999962	81.5	13.29999972	32.30000031
155	1	f	HOR	19.79999924	82	15.80000019	25.30000007
156	1	f	HOR	18.70000013	78.66666667	14.86666679	18.03333338
157	1	f	KOL	19.29999924	81	13.69999981	10.80000043
158	0	m	KOL	18.89999962	81.25	12.77499986	43.77499992
159	0	m	KOL	19.36666616	82.33333333	13.23333359	46.76666673
160	0	m	HOR	19.63333384	83	13.20000013	50.36666616
161	0	m	HOR	19.76666641	84.83333333	13.61999989	42.25000012
162	0	m	HOR	19.29999924	83	13	44.00000048
163	0	m	HOR	19.10000038	81	12.19999981	17
164	0	m	KOL	19.34999943	84.5	13.1500001	41.59999991
165	0	m	HOR	19.67500019	84.75	13.82500029	39.25000018
166	1	f	ALU	19.60000038	80	15.80000019	24.59999991
167	1	f	HOR	18.96666717	80	15.73333327	29.20000037
168	1	f	HOR	18.5	83	16.20000076	20.00000024
169	0	m	HOR	19.60000038	77	12.80000019	44.20000076
170	0	m	HOR	19.29999924	81	13.10000038	61.19999981
171	0	m	HOR	18.94999981	83	12.72499991	42.65000033
172	0	m	NIL	19.39999962	83	12.30000019	58.90000057
173	0	m	NIL	19.7750001	82.5	13.55000019	58.39999938
174	1	f	HOR	19.05000019	81	15.09999991	15.70000026
175	1	f	HOR	19.69999981	80.5	14.95000029	32.14999962
176	1	f	HOR	19.30000019	80	14.69999981	15.65000022
177	0	m	HAL	19.29999924	83	13.39999962	14.10000014
178	1	f	EKE	19	80	15.39999962	20.0999999
179	1	f	RAL	18	83	15	18.89999962
180	0	m	KOL	18.29999924	80	12.69999981	40.70000028
181	0	m	KOL	19.55999985	81.6	12.12000008	57.1800004
