"id" "sex" "hatchisland" "hatchyear" "year" "month" "day" "island" "age" "tarsus" "wing" "billD" "billL" "mass" "totalbadge" "visiblebadge"
2 1 38 1998 1999 7 13 38 1 20.4 77.86 7.94 14.69 34.9 NA NA
2 1 38 1998 1999 5 31 38 1 20.4 77.86 8.14 14.49 32.2 NA NA
3 0 38 1998 1999 5 31 38 1 20 81.86 8.34 14.89 32.2 21.65802392 19.10811346
3 0 38 1998 1999 7 13 38 1 20 82.86 8.64 14.89 31.7 21.30187785 18.12925812
5 0 38 1998 1999 5 31 38 1 19.6 81.86 8.44 13.89 30.1 21.16412058 18.85921525
5 0 38 1998 2000 5 23 38 2 19.68 82.83 8.39 13.63 29.8 19.72232238 16.35451008
6 0 38 1998 1999 5 31 38 1 19.9 80.86 8.04 14.39 33.3 21.42825238 18.3757993
6 0 38 1998 2000 5 23 38 2 20.08 81.83 8.19 13.93 31.3 20.53825699 14.70272084
7 0 27 1998 2002 8 13 27 4 20.33 85 8.53 13.95 29.5 20.30689538 15.68024235
7 0 27 1998 1999 5 16 27 1 20.3 82.86 8.34 14.19 29.9 22.51377356 21.15348671
7 0 27 1998 2000 8 6 27 2 20.4 84 8.3 13.9 31 20.68018375 19.00184202
7 0 27 1998 2000 6 18 27 2 20.3 84 8.2 14.2 30 21.94698157 17.90446872
7 0 27 1998 1999 7 11 27 1 20.4 81.86 8.24 14.49 30.4 22.23218388 19.56195287
7 0 27 1998 2001 7 20 27 3 20 84.26 8.44 14.19 NA 20.59295996 17.87931766
8 1 27 1998 2002 7 7 27 4 19.9 80 8.4 14.41 31.4 NA NA
8 1 27 1998 2000 5 15 27 2 19.7 79 8.2 14 35 NA NA
8 1 27 1998 2001 7 31 27 3 19.7 78.26 8.54 14.19 30.2 NA NA
8 1 27 1998 1999 5 16 27 1 18.7 79 8 14 36.3 NA NA
9 0 27 1998 2002 7 7 27 4 21.9 82 8.6 15.41 34 20.36221992 16.57317109
