ind	date_mesure	obs	wing	mass	tarsed	bill
1_PIRE	16/06/2012	PP	60,5	9	16,6	6,51
1_PIRE	06/06/2013	CF	61	8,9	16,61	NA
1_PIRE	18/04/2014	GDM	63	9	16,95	6,33
1_PIRE	09/06/2014	MOB	63	9	16,53	6,68
1_PIRE	18/04/2015	GDM	NA	NA	NA	NA
1_PIRE	03/06/2015	MS	62	9,1	16,15	6,94
1_PIRE	11/06/2016	CF	61,5	9,1	16,55	6,57
10_PIRE	14/06/2006	PP	59	8,7	15,71	6,44
10_PIRE	29/05/2007	PP	59	8,9	15,77	5,92
10_PIRE	08/06/2008	MP	61	9	15,94	6,57
10_PIRE	04/06/2009	PP	60	9	15,7	6,24
10_PIRE	01/06/2010	CD	58	8,8	16,2	6,65
10_PIRE	29/04/2011	SAC	61	10	NA	NA
10_PIRE	05/06/2011	PP	59,5	8,4	15,87	6,22
10_PIRE	03/05/2012	NA	NA	9	NA	NA
10_PIRE	05/06/2013	MOB	57	8,75	15,87	NA
100_PIRE	24/04/2015	GDM	60	9,5	15,9	6,36
100_PIRE	03/06/2015	AC	58	9	15,98	6,49
100_PIRE	04/06/2016	AC	60	9,1	16,04	6,58
101_PIRE	02/06/2014	CGE	64	8,9	15,77	6,02
101_PIRE	22/04/2015	GDM	63,5	9,5	15,7	6,08
101_PIRE	16/04/2016	RMG	64	9,2	15,42	5,93
101_PIRE	28/05/2016	CF	64	9	15,58	5,96
102_PIRE	21/06/2012	GDM	63	8,75	17,72	7,54
102_PIRE	13/06/2013	AC	65	9	17,35	6,51
102_PIRE	08/06/2014	AC	64	9,3	17,31	6,28
103_PIRE	25/06/2012	GDM	58,5	8,9	16,21	7,78
103_PIRE	21/04/2013	NA	NA	NA	NA	NA
103_PIRE	05/06/2013	MOB	58,5	9	16,26	NA
103_PIRE	09/06/2014	AC	61	9,5	16,21	6,64
104_PIRE	22/04/2014	GDM	61	9	15,8	6,06
104_PIRE	25/06/2014	PAM	60	9,2	15,45	6,8
104_PIRE	18/04/2015	GDM	61	9,6	15,87	6,3
104_PIRE	21/06/2015	CF	62	9,2	15,84	6,6
105_PIRE	29/05/2013	VJ	65,5	9,5	15,94	NA
105_PIRE	28/05/2014	GDM	66	9,5	16,42	6,68
105_PIRE	17/04/2014	CF	65,5	9,4	16,4	6,4
105_PIRE	17/04/2015	ST	65	10,1	16,49	6,38
105_PIRE	29/05/2016	CF	65,5	9,6	15,96	6,5
106_PIRE	14/04/2014	GDM	62	10,1	16,77	6,34
106_PIRE	31/05/2015	RMG	65	9,6	16,3	6,57
106_PIRE	30/05/2016	CF	65	9,6	16,5	6,37
107_PIRE	20/04/2014	CD	64	10,25	17,12	6,85
107_PIRE	20/04/2014	GDM	63,5	9,1	16,79	6,31
108_PIRE	06/06/2014	KD	59	9,1	16,01	6,53
108_PIRE	30/05/2015	MS	60,5	9,7	16,07	6,79
109_PIRE	22/04/2015	CF	66	9,8	16,64	6,28
11_PIRE	06/06/2006	PP	60	9,4	15,86	6,65
11_PIRE	29/05/2007	PP	55,9	9,7	15,89	6,35
11_PIRE	07/06/2008	TP	60,5	9,8	15,88	7,39
11_PIRE	02/06/2010	PP	59	9,2	16,03	6,67
110_PIRE	07/06/2014	KD	61	9	16,83	6,48
110_PIRE	22/04/2015	CF	64	9,7	16,7	6,35
110_PIRE	01/06/2015	MS	64	9,5	16,83	6,95
111_PIRE	11/06/2014	PAM	61,5	9,1	16,35	6,2
111_PIRE	22/04/2015	CF	65	9,5	16,23	6,38
111_PIRE	06/06/2016	AC	64,5	9,3	16,24	6,69
112_PIRE	14/06/2014	KD	61	9,5	16,54	6,63
112_PIRE	23/04/2015	GDM	64	10,3	16,4	6,08
112_PIRE	30/05/2015	PAM	62	9,75	16,12	NA
112_PIRE	21/04/2016	RMG	62	10,3	16,11	6,16
113_PIRE	20/04/2014	CD	NA	NA	17,47	7,17
113_PIRE	20/04/2014	GDM	69	9	17,47	6,04
114_PIRE	03/06/2014	CGE	59	9,7	15,81	6,75
114_PIRE	14/04/2014	GDM	60	10	15,98	6,85
114_PIRE	23/04/2015	RMG	60	NA	15,8	6,5
115_PIRE	15/04/2014	GDM	61	8,6	15,01	6,59
115_PIRE	31/05/2015	MS	62	11,4	14,97	6,68
116_PIRE	02/06/2014	GDM	62	NA	16,45	6,47
116_PIRE	02/06/2014	MS	65	9	16,52	6,7
116_PIRE	15/04/2014	AFA	64	NA	16,95	6,44
116_PIRE	15/04/2014	GDM	64	8,8	16,55	6,45
117_PIRE	16/04/2014	GDM	60,5	8	15,15	NA
117_PIRE	19/04/2015	GDM	63	9	15,12	5,99
117_PIRE	02/06/2015	SCB	60	9	15,16	6,66
118_PIRE	16/04/2014	GDM	59	8,25	15,57	6,64
118_PIRE	26/06/2014	PAM	58	8,75	15,35	6,9
119_PIRE	17/04/2014	GDM	65	9,25	NA	6,12
12_PIRE	09/06/2006	PP	64	9,1	16,16	6,37
12_PIRE	31/05/2007	PP	64,5	9,1	16,16	6,41
12_PIRE	05/06/2008	TP	64	9,1	16,32	6,51
12_PIRE	06/06/2008	PP	65,5	8,7	16,2	NA
12_PIRE	06/06/2009	PP	64,5	8,7	16,15	6,3
