Year,Survival,Age,Tarsus,Tail,Wing,Mass,Catchdate,Hatchdate
1981,0,1.5,20.2,52,80.5,14.2,44,37
1981,0,1.5,18.9,52,82,12.7,44,38
1981,0,2.5,19.5,49.5,81.5,13.6,44,38
1981,0,1.5,20.1,50.5,82.5,13.8,44,38
1981,0,2.5,20.2,52,82,14.9,44,38
1981,0,2.5,19.5,54,83,13,45,38
1981,0,1.5,19.6,52,79,14.3,45,38
1981,0,1.5,19.2,52,80.5,13.8,46,38
1981,1,2.5,20.5,53,83.5,14.8,46,38
1981,0,1.5,19.4,51,78.5,14.6,37,39
1981,0,1.5,19.9,52,81,15.1,37,39
1981,0,1,19.7,50.5,78,16.3,38,39
1981,1,1,19.6,51,81.5,14.2,44,39
1981,0,2.5,20,51.5,82,14.7,44,39
1981,1,2.5,19.9,53.5,85,16.2,44,39
1981,0,1.5,19.7,51,79.5,12.6,45,39
1981,0,2.5,20,52.5,82.5,12.9,45,39
1981,1,2.5,20.4,52,84,13,45,39
1981,1,2.5,19.2,49,80.5,13.3,45,39
1981,1,1.5,19.8,51.5,82.5,14.1,45,39
1981,0,1.5,19.4,50,81,14.2,45,39
1981,0,2.5,20.4,52.5,83,14.5,45,39
1981,0,1.5,19.9,51.5,81,13.9,46,39
1981,1,1.5,19,51,79,13.3,48,39
1981,0,2.5,20.5,52,83.5,14.9,44,40
1981,1,2.5,20.1,51,82.5,16.2,44,40
1981,1,1.5,20.4,50,82,13.7,45,40
1981,0,2.5,19.4,51,84,14.2,45,40
1981,1,2.5,20.2,52.5,83,14.4,45,40
1981,0,2.5,19.2,52,82,14.7,45,40
1981,0,2.5,20.3,51,81.5,15.1,45,40
1981,1,1.5,19.2,51,80.5,15.2,45,40
1981,0,1.5,20.4,50.5,83,15.7,45,40
1981,1,1.5,19.9,49.5,82,13.3,46,40
1981,1,2.5,19.9,50,81,13.9,46,40
1981,0,1.5,19.5,52.5,80.5,13.9,48,40
1981,0,1.5,19.3,52,80.5,14.8,37,41
1981,0,1.5,19.8,50.5,79.5,15.2,37,41
1981,1,1.5,19.8,52,83,14.6,39,41
1981,1,1.5,19.4,51.5,80.5,14.8,39,41
1981,1,1.5,19.8,50,78,15.3,39,41
1981,1,1.5,19.2,51,82.5,16.3,39,41
1981,1,2.5,19.4,50,80,17.8,39,41
1981,1,1.5,19.6,51,81,17.9,39,41
1981,1,1.5,19.1,51,81,13.7,44,41
1981,0,1,19.3,50,80.5,12.4,45,41
1981,1,2.5,19.6,51,81,13.6,45,41
1981,0,1.5,19.6,49,81,13.8,45,41
1981,0,1.5,20.2,50.5,82.5,13.8,45,41
1981,0,1.5,19.9,51,79,14,45,41
1981,1,1.5,19.4,51,81.5,14.1,45,41
1981,0,1.5,19.4,50,80,14.2,45,41
1981,1,1.5,19.2,51,81.5,14.2,45,41
1981,0,1.5,19.6,52,83.5,14.2,45,41
1981,0,1.5,19.3,51.5,78.5,14.4,45,41
1981,0,1.5,20,52,80.5,14.6,45,41
1981,1,1,20.2,51,81,14.8,45,41
1981,1,2.5,20,52,82,15.5,45,41
1981,0,1.5,19.8,51,80,15.6,45,41
1981,1,1,19.9,49.5,79.5,13.3,46,41
1981,0,1.5,19.8,50,81.5,13.3,46,41
1981,0,1.5,19.5,50,81,13.7,46,41
1981,0,1.5,19.9,53,81.5,13.7,46,41
1981,0,2.5,19.6,50,82,13.7,46,41
1981,1,2.5,20.2,51.5,82.5,13.8,46,41
1981,0,2.5,19.6,50.5,83,13.8,46,41
1981,0,1,19.8,52,80.5,14,46,41
1981,0,1.5,19.6,53,81,14,46,41
1981,0,1.5,19.5,54,82.5,14,46,41
1981,1,1.5,20.5,51,80.5,14.2,46,41
1981,0,1.5,19.9,53.5,84,14.2,46,41
1981,1,1.5,20,50.5,81.5,14.3,46,41
1981,0,1.5,20.3,51,82,14.3,46,41
1981,0,2.5,19.3,49.5,81,14.4,46,41
1981,0,1,19.8,51,80.5,14.6,46,41
1981,1,2.5,20.1,50,83,14.6,46,41
1981,0,1.5,20.9,50.5,84,15,46,41
1981,1,1.5,19.6,54,81,13.3,49,41
1981,0,1.5,19.3,49,80,13.8,49,41
1981,0,2.5,18.8,53.5,80.5,13.9,49,41
1981,1,1.5,19.5,53,79.5,14.8,49,41
1981,0,1.5,19.7,52,81.5,14.8,49,41
1981,0,2.5,19.4,49,80.5,13.1,53,41
1981,0,1.5,20.8,48,78.5,13.8,55,41
1981,0,1.5,19.5,49,80,15.6,37,42
1981,0,1.5,19.5,49.5,81,15.6,38,42
1981,1,1.5,19.5,52,77,15.3,39,42
1981,0,1,20,51,80,15.4,39,42
1981,0,2.5,20.1,51.5,81.5,17,39,42
1981,0,1.5,19.5,50,80,13.5,44,42
1981,1,1.5,20.1,51.5,81,13,46,42
1981,0,2.5,19.5,50.5,80,13.2,46,42
1981,1,2.5,19.3,51,80,13.3,46,42
1981,1,1.5,19.6,53,82,13.4,46,42
1981,0,2.5,20,51.5,81,13.8,46,42
1981,0,2.5,19.5,51,83.5,13.8,46,42
1981,0,1.5,18.9,49.5,76.5,14,46,42
1981,0,1.5,20.8,52.5,84,14,46,42
1981,0,1.5,20.7,49,82,14.2,46,42
1981,1,1.5,19.5,51,84,15,46,42
1981,0,1.5,19.1,50.5,80.8000031,12.3,47,42
1981,0,1,19.4,50,79.5,12.7,47,42
1981,0,1.5,19.5,52.5,81.5,13.4,47,42
1981,0,1.5,19.9,51.5,82,14.6,47,42
1981,0,1.5,19.1,52,78.5,13.8,49,42
1981,1,1.5,19.2,53,80.5,12.5,53,42
1981,1,2.5,19.1,52,82,13,53,42
1981,0,1.5,20.3,50,80,13.4,53,42
1981,1,1.5,19.2,51.5,83,13.4,53,42
1981,1,1,20.3,48,78.5,14,53,42
1981,0,2.5,18.4,52,83,13,54,42
1981,0,1,19.4,52.5,80,13.2,54,42
1981,1,1.5,19.8,51.5,81.5,13.5,54,42
1981,0,1.5,19.3,51,78,12,56,42
1981,0,1.5,19.5,52,80,14.8,37,43
1981,0,1.5,20,49.5,79.5,16.1,37,43
1981,0,1.5,19.4,53,81,15,39,43
1981,0,1.5,20.2,53,84,15.6,39,43
1981,1,1.5,19.8,52.5,82,16.5,39,43
1981,1,1.5,20,52,84,16.7,39,43
1981,1,2.5,20.7,51,82,17.3,39,43
1981,0,1.5,20,48,80,15.9,42,43
1981,1,1.5,19.9,52,82,12.4,43,43
1981,0,1.5,18.6,50.5,76,14,47,43
1981,1,1.5,19.7,54,81,14.8,48,43
1981,0,2.5,19.2,52,81,12.3,49,43
1981,1,1.5,19.8,50.5,81.5,12.8,49,43
1981,0,2.5,19.8,52,77.5,15.3,49,43
1981,0,1.5,19.8,51,81,12.5,53,43
1981,0,1.5,20,51.5,82,12.7,53,43
1981,0,1.5,19.6,51,81.5,13,53,43
1981,0,1,19.9,50,80,13.7,53,43
1981,1,1.5,20.1,53.5,83,14,53,43
1981,1,1.5,19.6,51.5,80.5,12.9,54,43
1981,0,1.5,19.9,51.5,82.5,13.5,54,43
1981,0,1.5,19.2,51,81,11.5,55,43
1981,0,1.5,19.5,51.5,83.5,12,55,43
1981,1,1,19.4,50,80,12.4,55,43
1981,1,1,20,49,79,12.9,55,43
1981,0,1.5,20.1,50,80,13.7,55,43
1981,1,1.5,20,49.5,81,13.9,55,43
1981,1,1.5,19.3,53,79,12.8,56,43
1981,0,1.5,19.3,53,84,14.5,37,44
1981,0,1.5,20.7,52,82,14.9,37,44
1981,0,1.5,19.3,50,79,15,37,44
1981,1,1,19,50.5,80,15.6,37,44
1981,0,1.5,19.8,53.5,82,16,37,44
1981,0,1.5,19.5,51.5,82,16.6,37,44
1981,1,1.5,19.3,51,80.5,16.6,39,44
1981,1,1.5,20.3,52,80,14.1,48,44
1981,1,2.5,19.5,52,82,14.4,48,44
1981,0,1.5,19.8,51.5,83,14.7,49,44
1981,0,1.5,20.4,55.5,82,15.2,49,44
1981,0,1.5,19.8,49,77,12.9,53,44
1981,1,1.5,19.8,48.5,80,13.3,53,44
1981,0,1.5,20.4,51,79,12.7,55,44
1981,0,1,19.5,52,79,11.8,56,44
1981,0,1.5,19.3,51,81.5,12,56,44
1981,0,1.5,19.5,52,83.5,12,56,44
1981,1,1.5,18.9,51.5,76.5,12.8,56,44
1981,0,1.5,19.3,54,79,12.8,56,44
1981,0,1.5,18.9,49.5,80,12.8,56,44
1981,1,2.5,19,51.5,81.5,12,57,44
1981,1,1,20,51,80,12.7,57,44
1981,1,1.5,19.3,52.5,82,15.2,37,45
1981,0,1.5,20.1,52,80.5,15.7,39,45
1981,1,1.5,20.4,51,81,16.8,39,45
1981,1,2.5,19.5,50.5,80,13.2,49,45
1981,1,2.5,19.9,50.5,78.5,13.8,49,45
1981,0,1,20,50,78,12.6,53,45
1981,0,1.5,19.3,53,81.5,13,53,45
1981,0,1.5,20,51,82,13.2,56,45
1981,1,2.5,18.9,53,78,12.9,57,45
1981,0,2.5,19.1,54,82,13.3,57,45
1981,0,1,19.6,51,80.5,14.6,37,46
1981,1,1.5,19.8,52,82,16.3,37,46
1981,1,1.5,18.8,53,84,14.7,38,46
1981,0,1.5,20.6,50,80.5,12.9,56,46
1981,1,1.5,19.7,51.5,79,13.2,56,46
1981,0,1.5,19.9,51.5,80.5,12.2,57,46
1981,1,2.5,19.8,50.5,81,15.5,39,47
1981,1,1.5,19.8,55,79,14.7,49,47
1981,1,1.5,19.9,54,83,13.3,53,47
1981,0,1,18.6,54,79.5,12.6,56,47
1981,0,1.5,19.9,51,82,13.3,53,48
1981,1,1.5,18.6,52,79,12.3,56,48
1981,0,1.5,19.1,50,79,12.6,56,48
1981,1,1.5,19.3,53,83,12.8,56,48
1981,0,2.5,19.6,52,84.5,13,56,48
1981,0,2.5,19.8,53,82,14.2,57,48
1981,1,1.5,20.4,50,82,13.4,59,48
1981,0,2.5,19.6,51.5,82,16.2,39,49
1981,1,2.5,20.1,52.5,82.5,16.7,44,49
1981,0,1.5,19.4,50,81,15.4,45,49
1981,0,1.5,20.1,53,79,16.8,48,49
1981,1,1.5,19.9,54,78,13.2,49,49
1981,1,1.5,19,51,80,12.3,56,49
1981,1,1.5,19.8,50,79,15.1,39,50
1981,0,1.5,19.6,51,81.5,14.8,44,50
1981,0,1.5,19.9,51,79,13.1,57,50
1981,1,2.5,19.9,52.5,82.5,13.3,60,50
1981,0,1,19.6,50,82.5,13.6,56,51
1981,1,1.5,20,49.5,79.5,13.4,59,51
1981,0,1.5,19.7,53,81.5,12.7,60,51
1981,0,1.5,19.9,50,78.5,17.1,39,52
1981,0,1.5,20,52,82,14.2,56,52
1981,0,1.5,19,52,81,13.6,58,52
1981,0,1.5,19.5,52,79,15.7,38,53
1981,1,1.5,19.1,49.5,78.5,16.3,59,54
1981,0,1,19.9,50,79,12.1,64,54
1981,0,1.5,20.4,51,82.5,13.5,64,54
1981,0,1.5,20.2,52,81.5,13.5,63,58
1981,0,1.5,20.1,53,83.5,13.7,63,59
1981,1,1,20.3,49,80,13.8,63,59
1981,1,1.5,20.1,51.5,82,16.4,60,67
1982,0,2.5,20.5,51,81,13.7,50,39
1982,0,2.5,19.6,50,82.5,12.9,47,40
1982,0,1.5,20.5,51,80,17,39,41
1982,0,1.5,20.2,53,84.5,14.3,47,41
1982,0,1.5,19.3,50.5,80,12.9,49,41
1982,0,1.5,19,52,79.5,13.9,49,41
1982,0,1.5,19.5,51,81,13,52,41
