Year,Survival,Age,Tarsus,Tail,Wing,Mass
1981,0,2.5,19.3,50.5,81,13.1
1981,0,2.5,20.3,50.5,81,14
1981,0,2.5,19.6,52,84,13.4
1981,1,2.5,19.1,54,85,13.3
1981,0,2,19.5,51,83.5,13.2
1981,0,2.5,19.4,53,84,13.8
1981,1,1,19.6,52,78,13.8
1981,1,1,19.1,53,80,13.1
1981,1,1,19.1,52,81,12.4
1981,0,1,19.5,52.5,82,12.7
1981,1,3.5,19.2,54,83,13.2
1981,1,2,20,50.5,82,13.1
1981,0,2,19.5,53,82,14.2
1981,1,2,19.8,52,81,13.3
1981,0,1,19.2,51.5,78,13.2
1981,1,2,20.6,52,81,13.5
1981,1,2.5,21,53,85,14.8
1981,0,2.5,20.1,54,83.5,13.6
1981,1,2.5,19.8,52,84,12.6
1981,0,2,19.8,53,82.5,14.1
1981,1,1,19.2,50,80,12.5
1981,0,1,19.5,51,78,14.3
1981,0,1,19.1,52,77,13.3
1981,1,2,20.5,56,88,13.9
1981,0,2.5,19.6,53.5,81,13.5
1981,0,2,19.8,52,82.5,14.9
1981,1,2.5,20,52,81,14.2
1981,1,2,19.2,55,81.5,13.3
1981,1,2.5,19.7,54,85,13.5
1981,0,1,19.6,52,83,13.2
1981,0,2.5,20.4,52,85,12.8
1981,0,1,18.9,51.5,84,13.5
1981,1,1,19,51,81,13
1981,0,2.5,20.2,53,85,14
1981,0,3.5,19.1,53,87.5,14
1981,0,2.5,19.2,53,84,13.1
1981,0,1,19.7,52,84.5,13.3
1981,1,1,19.5,50,82,12.3
1981,1,1,19.2,53,81,13.2
1981,0,2,19.4,53,85,13.6
1981,0,1,19.9,53,86,14.1
1981,0,1,19.6,51,81,13.9
1981,0,1,18.4,52,81.5,13
1981,1,2,19.6,52,84,13.4
1981,1,1,19.6,51.5,82,12.5
1981,0,1,19,52,82,12.8
1981,1,1,19.9,53,83.5,13.2
1981,1,2,18,53,82.5,12.8
1981,0,2,18.9,52,83,12.8
1981,0,2,19.8,52,84,13.1
1981,0,2,18.7,52,82,14.2
1981,0,2,19.4,51.5,83,13.2
1981,0,2.5,19.8,53,85,14.8
1981,1,2.5,19.6,52.5,84,12.2
1981,0,2,19.8,53,84,13.8
1981,0,2,19.7,52,84,13
1981,0,2,20.1,53,83.5,13.6
1981,0,1,20.1,51.5,81.5,13.9
1981,0,2.5,20.1,53,84,12.9
1981,0,1,19.6,53,81,12.7
1981,0,1,19.2,52,83,12.9
