Mother-offspring and nest mate resemblance but no heritability in early-life telomere length in white-throated dippers
Philipp J. J. Becker, Sophie Reichert, Sandrine Zahn, Johann Hegelbach, Sylvie Massemin, Lukas F. Keller, Erik Postma, François Criscuolo

---

ANIMAL, MOTHER, FATHER: sequential number for an individual (offspring) and its dam and sire
NEST: unique nest identity
BYEAR: year of birth
SEX: female (F), male (M)
HATCH: day of hatching (julian day, January 1st is day 1)
AGE: Age in days at sampling
RIVER: name of river of birth
INBR: inbreeding coefficient
MASS: body mass, residuals from a model correcting for age at measurement
TARSUS: tarsus length, residuals from a model correcting for age at measurement
NESTLINGS: number of nestlings (at the time of ringing, measurement and blood sampling)
TEL: relative telomere length
RESID.TEL: residuals of a model of TEL against year of birth and inbreeding coefficient

---

ANIMAL	NEST	MOTHER	FATHER	BYEAR	SEX	HATCH	AGE	RIVER	INBR	MASS	TARSUS	NESTLINGS	TEL	resid.tel
3890	NID2002_095_0.7361	2305	2652	2002	F	79	16	k	0	-7.579	NA	6	1.54	-0.004
3920	NID2002_100_0.4653	306	1831	2002	M	89	11	s	0	7.713	NA	5	1.85	0.306
3922	NID2002_100_0.4653	306	1831	2002	F	89	11	s	0	-0.787	NA	5	1.96	0.416
3970	NID2002_104_0.6458	3143	3227	2002	M	91	13	k	0.29102	5.642	NA	6	1.49	-0.204
3997	NID2002_109_0.5625	3731	81	2002	F	97	12	k	0	2.018	NA	3	1.78	0.236
4063	NID2002_138_0.6944	2243	2928	2002	M	124	14	s	0.04883	-4.417	NA	6	0.83	-0.739
4093	NID2002_144_0.4792	301	3695	2002	M	132	12	s	0	5.518	NA	5	1.91	0.366
4171	NID2002_161_0.4514	3480	1831	2002	M	149	12	s	0	-0.482	NA	2	1.46	-0.084
4247	NID2003_105_0.4583	344	3308	2003	F	96	9	s	0	0.757	NA	6	1.68	0.203
4314	NID2003_110_0.6875	3922	4093	2003	F	98	12	s	0.0625	0.018	NA	5	1.83	0.321
4316	NID2003_110_0.6875	3922	4093	2003	M	98	12	s	0.0625	8.018	NA	5	1.63	0.121
4329	NID2003_111_0.7222	2243	2928	2003	F	97	14	s	0.04883	-1.217	NA	3	1.94	0.438
4356	NID2003_115_0.4792	3732	3659	2003	M	104	11	k	0.14258	1.813	NA	5	1.23	-0.321
4371	NID2003_119_0.5208	3731	3130	2003	M	106	13	k	0.14258	4.042	NA	4	1.45	-0.101
4372	NID2003_119_0.5208	3731	3130	2003	M	106	13	k	0.14258	3.342	NA	4	1.61	0.059
4374	NID2003_119_0.6181	4063	3686	2003	M	107	12	s	0.05859	2.918	NA	4	1.19	-0.317
4377	NID2003_119_0.6181	4063	3686	2003	F	107	12	s	0.05859	-0.182	NA	4	1.32	-0.187
5182	NID2005_166_0.4861	4329	4722	2005	M	154	12	s	0	-4.782	NA	4	1.77	0.465
5183	NID2005_166_0.4861	4329	4722	2005	F	154	12	s	0	-4.582	NA	4	1.71	0.405
5206	NID2005_168_0.5	4399	3659	2005	F	156	12	k	0.03271	3.118	NA	4	2.02	0.698
4534	NID2004_079_0.5833	3137	4012	2004	F	70	9	s	0	-8.943	NA	5	1.72	0.078
4544	NID2004_084_0.6667	266	72	2004	M	70	14	s	0	2.583	NA	5	1.97	0.328
4599	NID2004_103_0.5417	3922	4171	2004	M	92	11	s	0.125	-3.387	NA	4	2.41	0.704
4604	NID2004_103_0.5556	2243	2928	2004	M	93	10	s	0.04883	10.526	NA	4	2.161	0.494
4699	NID2004_118_0.5208	4247	3970	2004	F	105	13	k	0	0.142	NA	4	0.92	-0.722
4701	NID2004_118_0.5208	4247	3970	2004	M	105	13	k	0	4.742	NA	4	1.63	-0.012
4704	NID2004_118_0.6181	2305	4105	2004	M	105	13	k	0	5.342	NA	6	1.75	0.108
4722	NID2004_121_0.4583	351	91	2004	M	108	13	s	0	4.642	NA	4	1.05	-0.592
