NEST,CS,E1D,BD0,NY4,NY11,BANDNUM,RECRUIT,MASS11,TARSUS11,HCT11,BLEED_TIME,BLEED_TIME2,SAMPLE_TIME_SEC,PLASMA_VOL_uL,PLASMA_CORT_ngml,LOG_CORT_NGML,CHANGE_IN_CORT_ngml,LOG_CHANGE_ngml,EIA_PLATE,NFATE,TDAY,FEM_TREAT,MWS_INITIATED,MW_DAYS,SWAP_NEST,NESTLING_TREAT,BIOL_MOTHER,BIOL_MOTHER_MASS,BIOL_MOTHER_TARSUS,FBAND,FEM_MASS_DAY,FEM_MASS_HR,FEM_MASS,FEM_TARSUS,NOTES
Z 13-1,7,139,158,7,7,197037052,0,9.6,18.9,.,.,.,.,.,.,.,.,.,.,success,172,CON,132,7,T 14-1,NAT,270047136,10.8,18.8,270047100,151,8,13,19.8,.
Z 13-1,7,139,158,7,7,197037051,0,9.7,19,.,.,.,.,.,.,.,.,.,.,success,172,CON,132,7,T 14-1,NAT,270047136,10.8,18.8,270047100,151,8,13,19.8,.
Z 13-1,7,139,158,7,7,197037050,0,10,19.1,.,.,.,.,.,.,.,.,.,.,success,172,CON,132,7,T 14-1,NAT,270047136,10.8,18.8,270047100,151,8,13,19.8,.
Z 13-1,7,139,158,7,7,197037049,0,10.2,19.1,.,.,.,.,.,.,.,.,.,.,success,172,CON,132,7,T 14-1,NAT,270047136,10.8,18.8,270047100,151,8,13,19.8,.
Z 13-1,7,139,158,7,7,197037048,0,10,19,38,15,2,.,25,22.80061819,1.376588237,22.80061819,1.515882029,6,success,172,CON,132,7,T 14-1,NAT,270047136,10.8,18.8,270047100,151,8,13,19.8,.
Z 13-1,7,139,158,7,7,197037047,0,10.7,19.6,33,30,3,.,32,20.62356855,1.334927367,19.46246796,1.469269123,6,success,172,CON,132,7,T 14-1,NAT,270047136,10.8,18.8,270047100,151,8,13,19.8,.
Z 13-1,7,139,158,7,7,197037046,0,9.7,18.8,33,0,1,60,35,1.161100587,0.334674981,0,1,6,success,172,CON,132,7,T 14-1,NAT,270047136,10.8,18.8,270047100,151,8,13,19.8,.
YA 5-2,6,145,161,6,6,197037065,0,9.3,17.4,.,.,.,.,.,.,.,.,.,.,success,176,CON,144,1,YD 3-1,NAT,.,.,.,197035859,155,9,11.5,18.8,.
YA 5-2,6,145,161,6,6,197037064,0,9.3,18.2,.,.,.,.,.,.,.,.,.,.,success,176,CON,144,1,YD 3-1,NAT,.,.,.,197035859,155,9,11.5,18.8,.
YA 5-2,6,145,161,6,6,197037063,0,10,18.2,.,.,.,.,.,.,.,.,.,.,success,176,CON,144,1,YD 3-1,NAT,.,.,.,197035859,155,9,11.5,18.8,.
YA 5-2,6,145,161,6,6,197037062,0,9.1,17.5,65,15,2,.,14,26.7152058,1.442718108,26.7152058,1.564845967,2,success,176,CON,144,1,YD 3-1,NAT,.,.,.,197035859,155,9,11.5,18.8,.
YA 5-2,6,145,161,6,6,197037061,0,9.9,18,57,30,3,.,18,20.34714715,1.329339844,20.00144768,1.477142211,2,success,176,CON,144,1,YD 3-1,NAT,.,.,.,197035859,155,9,11.5,18.8,.
YA 5-2,6,145,161,6,6,197037060,0,9.3,17.4,54,0,1,100,24,0.345699477,0.128948084,0,1,3,success,176,CON,144,1,YD 3-1,NAT,.,.,.,197035859,155,9,11.5,18.8,.
Y 16-1,6,144,158,7,7,197037045,0,9.9,19,.,.,.,.,.,.,.,.,.,.,success,172,CON,140,4,Y  7-2,NAT,197035724,13.7,18.5,197035734,158,10,10.2,17.9,.
Y 16-1,6,144,158,7,7,197037044,0,9.8,18.3,.,.,.,.,.,.,.,.,.,.,success,172,CON,140,4,Y  7-2,NAT,197035724,13.7,18.5,197035734,158,10,10.2,17.9,.
Y 16-1,6,144,158,7,7,197037043,0,10.2,19.1,.,.,.,.,.,.,.,.,.,.,success,172,CON,140,4,Y  7-2,NAT,197035724,13.7,18.5,197035734,158,10,10.2,17.9,.
Y 16-1,6,144,158,7,7,197037042,0,9.7,18,.,.,.,.,.,.,.,.,.,.,success,172,CON,140,4,Y  7-2,NAT,197035724,13.7,18.5,197035734,158,10,10.2,17.9,.
Y 16-1,6,144,158,7,7,197037041,0,10.5,18.8,38,15,2,.,31,13.63729763,1.165460904,13.63729763,1.373597824,1,success,172,CON,140,4,Y  7-2,NAT,197035724,13.7,18.5,197035734,158,10,10.2,17.9,.
Y 16-1,6,144,158,7,7,197037040,0,10.1,18.5,32,30,3,.,20,18.34313622,1.28652689,17.68233096,1.442202657,1,success,172,CON,140,4,Y  7-2,NAT,197035724,13.7,18.5,197035734,158,10,10.2,17.9,.
Y 16-1,6,144,158,7,7,197037039,0,9.8,18.2,31,0,1,120,26,0.660805261,0.220318712,0,1,1,success,172,CON,140,4,Y  7-2,NAT,197035724,13.7,18.5,197035734,158,10,10.2,17.9,.
V 11-1,7,137,155,7,7,197036726,0,9.8,18.7,46,30,3,.,9,26.50405187,1.439396678,23.1227342,1.52012618,5,success,171,CON,133,4,V 14-1,NAT,197035844,12.1,19.2,275085206,148,10,13.5,19.4,.
V 11-1,7,137,155,7,7,197036725,0,10.4,18,.,.,.,.,.,.,.,.,.,.,success,171,CON,133,4,V 14-1,NAT,197035844,12.1,19.2,275085206,148,10,13.5,19.4,.
V 11-1,7,137,155,7,7,197036724,0,10.5,18.7,43,15,2,.,13,16.81356611,1.25075087,16.81356611,1.428354577,5,success,171,CON,133,4,V 14-1,NAT,197035844,12.1,19.2,275085206,148,10,13.5,19.4,.
V 11-1,7,137,155,7,7,197036723,0,11.2,17.9,.,.,.,.,.,.,.,.,.,.,success,171,CON,133,4,V 14-1,NAT,197035844,12.1,19.2,275085206,148,10,13.5,19.4,.
V 11-1,7,137,155,7,7,197036722,0,10.7,18.7,.,.,.,.,.,.,.,.,.,.,success,171,CON,133,4,V 14-1,NAT,197035844,12.1,19.2,275085206,148,10,13.5,19.4,.
V 11-1,7,137,155,7,7,197036721,0,10.3,17.7,.,.,.,.,.,.,.,.,.,.,success,171,CON,133,4,V 14-1,NAT,197035844,12.1,19.2,275085206,148,10,13.5,19.4,.
V 11-1,7,137,155,7,7,197036720,0,10.4,18.1,36,0,1,150,10,3.381317667,0.641604743,0,1,5,success,171,CON,133,4,V 14-1,NAT,197035844,12.1,19.2,275085206,148,10,13.5,19.4,.
U 20-1,8,130,150,4,4,197035772,0,9.8,18.5,38,30,3,.,12,37.1419409,1.581402789,35.78858886,1.660757259,6,success,166,CON,129,1,R 32-1,NAT,197035721,13.3,19.6,270046697,142,9,12.1,18.6,.
U 20-1,8,130,150,4,4,197035771,0,10.9,19.5,35,15,2,.,14,20.76948993,1.337848254,20.76948993,1.488120297,6,success,166,CON,129,1,R 32-1,NAT,197035721,13.3,19.6,270046697,142,9,12.1,18.6,.
U 20-1,8,130,150,4,4,197035770,0,10.5,19.3,.,.,.,.,.,.,.,.,.,.,success,166,CON,129,1,R 32-1,NAT,197035721,13.3,19.6,270046697,142,9,12.1,18.6,.
