NestBox,FemaleNumber,YoungOrigin,MWStartDate,MWEndDate,MaternalEffect,E1D,BD0,BD2Mass,BD4Mass,BD4YgN,BD11Mass,BD11Tarsus,BD11Wing,NestlingNumber,RECRUIT,MaternalID,MadeToFledging,TimeInNest
C4-2,275085776,EXP,170,181,EXP,174,190,2.5,4.2,6,10.3,18.2,32,197036783,0,275085776,206,16
C4-2,275085776,EXP,170,181,EXP,174,190,2.4,4.5,6,9.5,17.9,33,197036786,1,275085776,206,16
C4-2,275085776,EXP,170,181,EXP,174,190,2.4,4.2,6,10.2,18.1,31.5,197036788,0,275085776,206,16
C4-2,275085776,CON,.,.,EXP,174,190,1.9,3,6,9.7,18,29,197036784,0,275085800,206,16
C4-2,275085776,CON,.,.,EXP,174,190,2.2,3.8,6,10.9,18,29.5,197036785,0,275085800,206,16
C4-2,275085776,CON,.,.,EXP,174,190,2.3,4.3,6,10.7,19,32,197036787,0,275085800,206,16
EG4-1,275085800,EXP,170,181,CON,174,190,.,.,0,.,.,.,.,.,275085776,.,.
EG4-1,275085800,CON,.,.,CON,174,190,.,.,0,.,.,.,.,.,275085800,.,.
EG4-1,275085800,CON,.,.,CON,174,190,.,.,0,.,.,.,.,.,275085800,.,.
EG4-1,275085800,CON,.,.,CON,174,190,.,.,0,.,.,.,.,.,275085800,.,.
H24-1,270043863,EXP,172,180,EXP,173,190,2.3,4.8,6,9.6,17.3,31.5,197036791,0,270043863,205,15
H24-1,270043863,EXP,172,180,EXP,173,190,2.6,5.2,6,9.5,18,32.5,197036794,0,270043863,205,15
H24-1,270043863,EXP,172,180,EXP,173,190,2.5,5.1,6,10,18.2,34,197036792,0,270043863,205,15
H24-1,270043863,CON,.,.,EXP,173,190,2.5,4.5,6,9.9,17.8,31,197036793,0,270045301,205,15
H24-1,270043863,CON,.,.,EXP,173,190,2,4.2,6,9.8,18.5,30,197036789,0,270045301,205,15
H24-1,270043863,CON,.,.,EXP,173,190,2.7,5.2,6,10.5,18.5,33,197036790,0,270045301,205,15
EG2-1,270045301,EXP,172,180,CON,173,190,1.3,.,0,.,.,.,.,.,270043863,.,.
EG2-1,270045301,EXP,172,180,CON,173,190,.,.,0,.,.,.,.,.,270043863,.,.
EG2-1,270045301,CON,.,.,CON,173,190,1.6,.,0,.,.,.,.,.,270045301,.,.
EG2-1,270045301,CON,.,.,CON,173,190,2.4,.,0,.,.,.,.,.,270045301,.,.
EG2-1,270045301,CON,.,.,CON,173,190,2.6,.,0,.,.,.,.,.,270045301,.,.
D12-1,270047136,EXP,175,182,EXP,177,194,.,.,5,.,.,.,.,.,270047136,.,.
D12-1,270047136,EXP,175,182,EXP,177,194,1.5,3.3,5,9,18.1,28,197037457,0,270047136,210,16
D12-1,270047136,EXP,175,182,EXP,177,194,1.9,4.2,5,8.4,18.8,33.5,197037458,0,270047136,210,16
D12-1,270047136,CON,175,182,EXP,177,193,1.4,2.9,5,6.8,16.8,25,197037459,0,197036399,210,17
D12-1,270047136,CON,175,182,EXP,177,193,2.4,5.1,5,10.3,18.5,34,197037456,0,197036399,210,17
D12-1,270047136,CON,175,182,EXP,177,193,1.8,3.9,5,7.9,17,28.5,197037455,0,197036399,210,17
I4-1,197036399,EXP,175,182,CON,177,194,2.4,4.9,6,10.5,19.4,33,197037220,0,270047136,209,15
I4-1,197036399,EXP,175,182,CON,177,194,2.2,4.1,6,9.4,19.6,31,197037221,0,270047136,209,15
I4-1,197036399,EXP,175,182,CON,177,194,2.1,4,6,9.6,19,30,197037218,0,270047136,209,15
I4-1,197036399,CON,175,182,CON,177,193,2.4,4.2,6,.,.,.,.,.,197036399,.,.
I4-1,197036399,CON,175,182,CON,177,193,2.8,4.6,6,10,18.6,33.5,197037219,0,197036399,209,16
I4-1,197036399,CON,175,182,CON,177,193,2.7,4.8,6,10.4,18.8,34.5,197037217,0,197036399,209,16
G24-1,197035903,EXP,173,183,EXP,177,194,2,3.7,6,9.4,18.6,30,197037464,0,197035903,209,15
G24-1,197035903,EXP,173,183,EXP,177,194,2.2,4.2,6,9.7,18.2,33,197037460,0,197035903,209,15
G24-1,197035903,EXP,173,183,EXP,177,194,.,2,6,7.5,17.1,26.5,197037465,0,197035903,209,15
G24-1,197035903,CON,174,182,EXP,176,194,2.4,4.6,6,9.7,18.6,32.5,197037461,0,270047371,209,15
G24-1,197035903,CON,174,182,EXP,176,194,2.2,3.8,6,9.6,18.1,31,197037463,0,270047371,209,15
G24-1,197035903,CON,174,182,EXP,176,194,2.5,4.6,6,9.6,18.6,32,197037462,0,270047371,209,15
