NEST,Fband,fhistory,Fem_age,mband,mhistory,Male_age,TQ,PREV_FLG,SWAP_WITH,TQ_Foster,PREV_FLG_Foster,BD0,BD11_Count,Mass,Tarsus,Wing
NH 7-1,197035556,N16,1,197035555,N16,1,Intermediate,23,NH_5-1,Low,8,153,4,10.9,18.2,36
NH 7-1,197035556,N16,1,197035555,N16,1,Intermediate,23,NH_5-1,Low,8,153,4,10.51,18.3,35.5
NH 7-1,197035556,N16,1,197035555,N16,1,Intermediate,23,NH_5-1,Low,8,153,4,10.78,18.8,33.5
NH 7-1,197035556,N16,1,197035555,N16,1,Intermediate,23,NH_5-1,Low,8,153,4,9.7,18.9,37.5
ND 4-1,275085777,N16,1,275085778,N16,1,Intermediate,16,NB_1-1,High,27,184,5,9.7,17.2,21.5
ND 4-1,275085777,N16,1,275085778,N16,1,Intermediate,16,NB_1-1,High,27,184,5,10.8,18.3,32
ND 4-1,275085777,N16,1,275085778,N16,1,Intermediate,16,NB_1-1,High,27,184,5,11,18.8,26
ND 4-1,275085777,N16,1,275085778,N16,1,Intermediate,16,NB_1-1,High,27,184,5,10.9,18.7,27.5
ND 4-1,275085777,N16,1,275085778,N16,1,Intermediate,16,NB_1-1,High,27,184,5,10.9,19.2,30
NE 9-1,197035901,N16,1,270047434,Y15,1,Intermediate,17,NF_7-1,Low,11,149,6,10.02,17.6,31
NE 9-1,197035901,N16,1,270047434,Y15,1,Intermediate,17,NF_7-1,Low,11,149,6,9.63,17.4,33
NE 9-1,197035901,N16,1,270047434,Y15,1,Intermediate,17,NF_7-1,Low,11,149,6,9.54,17.2,31.5
NE 9-1,197035901,N16,1,270047434,Y15,1,Intermediate,17,NF_7-1,Low,11,149,6,10.71,17.2,31
NE 9-1,197035901,N16,1,270047434,Y15,1,Intermediate,17,NF_7-1,Low,11,149,6,9.41,17.9,29
NE 9-1,197035901,N16,1,270047434,Y15,1,Intermediate,17,NF_7-1,Low,11,149,6,9.7,17.1,30.5
