NEST,Fband,fhistory,Fem_age,mband,mhistory,Male_age,TQ,PREV_FLG,SWAP_WITH,TQ_Foster,PREV_FLG_Foster,BD0,BD11_Count,Mass,Tarsus,Wing
NH 6-2,197036286,N16,1,197035555,N16,1,High,26,NB_5-2,Intermediate,21,181,6,11.05,19.2,35
NH 6-2,197036286,N16,1,197035555,N16,1,High,26,NB_5-2,Intermediate,21,181,6,11.44,18.7,35
NH 6-2,197036286,N16,1,197035555,N16,1,High,26,NB_5-2,Intermediate,21,181,6,10.47,19.5,34.5
NH 6-2,197036286,N16,1,197035555,N16,1,High,26,NB_5-2,Intermediate,21,181,6,10.51,19.1,30
NH 6-2,197036286,N16,1,197035555,N16,1,High,26,NB_5-2,Intermediate,21,181,6,11.31,20,37
NH 6-2,197036286,N16,1,197035555,N16,1,High,26,NB_5-2,Intermediate,21,181,6,8.71,18.7,28.5
NB 3-1,197036406,N16,1,197036609,N16,1,High,35,NC_12-2,Intermediate,19,183,5,8.17,18,21
NB 3-1,197036406,N16,1,197036609,N16,1,High,35,NC_12-2,Intermediate,19,183,5,10.48,19.4,31.5
NB 3-1,197036406,N16,1,197036609,N16,1,High,35,NC_12-2,Intermediate,19,183,5,4.52,14.2,13
NB 3-1,197036406,N16,1,197036609,N16,1,High,35,NC_12-2,Intermediate,19,183,5,10.87,19.9,29.5
NB 3-1,197036406,N16,1,197036609,N16,1,High,35,NC_12-2,Intermediate,19,183,5,10.1,20,30
NA 4-1,197036108,N16,1,197036612,N16,1,Low,6,NG_7-1,Intermediate,24,156,4,10.4,18.17,30.5
NA 4-1,197036108,N16,1,197036612,N16,1,Low,6,NG_7-1,Intermediate,24,156,4,11.5,18.6,34
NA 4-1,197036108,N16,1,197036612,N16,1,Low,6,NG_7-1,Intermediate,24,156,4,10.5,18.18,30.5
NA 4-1,197036108,N16,1,197036612,N16,1,Low,6,NG_7-1,Intermediate,24,156,4,11,18.3,33.5
NA 3-1,197036409,N16,1,197035572,N16,1,Low,15,NG_9-1,Intermediate,20,152,6,10.1,18.53,31
NA 3-1,197036409,N16,1,197035572,N16,1,Low,15,NG_9-1,Intermediate,20,152,6,10.84,18.47,30
NA 3-1,197036409,N16,1,197035572,N16,1,Low,15,NG_9-1,Intermediate,20,152,6,9.42,18.52,30
NA 3-1,197036409,N16,1,197035572,N16,1,Low,15,NG_9-1,Intermediate,20,152,6,9.14,16.82,26
NA 3-1,197036409,N16,1,197035572,N16,1,Low,15,NG_9-1,Intermediate,20,152,6,9.39,17.74,32
NA 3-1,197036409,N16,1,197035572,N16,1,Low,15,NG_9-1,Intermediate,20,152,6,8.75,18.26,33
NG 2-1,197036403,N16,1,270045782,Y15,3,High,35,NI_10-1,Intermediate,22,157,6,10.2,18.6,35
NG 2-1,197036403,N16,1,270045782,Y15,3,High,35,NI_10-1,Intermediate,22,157,6,9.7,18.9,33.5
NG 2-1,197036403,N16,1,270045782,Y15,3,High,35,NI_10-1,Intermediate,22,157,6,9.79,19,34
NG 2-1,197036403,N16,1,270045782,Y15,3,High,35,NI_10-1,Intermediate,22,157,6,10.12,18.2,35
NG 2-1,197036403,N16,1,270045782,Y15,3,High,35,NI_10-1,Intermediate,22,157,6,9.49,18.4,35
NF10-1,197036413,N16,1,197035577,N16,1,High,30,NF_3-1,Intermediate,22,158,5,9.92,18.3,29.5
NF10-1,197036413,N16,1,197035577,N16,1,High,30,NF_3-1,Intermediate,22,158,5,10.61,19.1,29.5
NF10-1,197036413,N16,1,197035577,N16,1,High,30,NF_3-1,Intermediate,22,158,5,9.9,18.2,31
NF10-1,197036413,N16,1,197035577,N16,1,High,30,NF_3-1,Intermediate,22,158,5,9.58,18.5,27
NF10-1,197036413,N16,1,197035577,N16,1,High,30,NF_3-1,Intermediate,22,158,5,9.5,18.2,30
NG 2-1,197036403,N16,1,270045782,R15,3,High,35,NI_10-1,Intermediate,22,157,6,10.11,18.5,35
ND10-1,197035902,N16,1,,,,Low,14,NF_5-1,Intermediate,17,151,6,10.1,18.7,34
ND10-1,197035902,N16,1,,,,Low,14,NF_5-1,Intermediate,17,151,6,9.7,18.7,32
ND10-1,197035902,N16,1,,,,Low,14,NF_5-1,Intermediate,17,151,6,9.5,18.5,31.5
ND10-1,197035902,N16,1,,,,Low,14,NF_5-1,Intermediate,17,151,6,9.8,18.5,36
ND10-1,197035902,N16,1,,,,Low,14,NF_5-1,Intermediate,17,151,6,9.4,19.3,34
ND10-1,197035902,N16,1,,,,Low,14,NF_5-1,Intermediate,17,151,6,9.8,18.8,35
NE10-1,197036412,N16,1,,,,Low,14,NH_9-1,Intermediate,20,155,3,9.11,18.5,32
NE10-1,197036412,N16,1,,,,Low,14,NH_9-1,Intermediate,20,155,3,7.22,17.1,25
NE10-1,197036412,N16,1,,,,Low,14,NH_9-1,Intermediate,20,155,3,8.62,17.9,36.5
ND 2-1,266056467,Y15,4,197035560,N16,1,High,28,NI_2-1,Intermediate,18,154,6,9.81,18.5,34
ND 2-1,266056467,Y15,4,197035560,N16,1,High,28,NI_2-1,Intermediate,18,154,6,11.16,18.8,32
ND 2-1,266056467,Y15,4,197035560,N16,1,High,28,NI_2-1,Intermediate,18,154,6,10.01,19.1,31.5
ND 2-1,266056467,Y15,4,197035560,N16,1,High,28,NI_2-1,Intermediate,18,154,6,10.34,19,29.5
ND 2-1,266056467,Y15,4,197035560,N16,1,High,28,NI_2-1,Intermediate,18,154,6,9.04,18.7,27
ND 2-1,266056467,Y15,4,197035560,N16,1,High,28,NI_2-1,Intermediate,18,154,6,10.4,18.9,30
ND11-2,270047860,Y15,2,270045736,Y14,2,Low,0,NH_2-2,Intermediate,21,186,6,10.57,19.3,30
ND11-2,270047860,Y15,2,270045736,Y14,2,Low,0,NH_2-2,Intermediate,21,186,6,10.11,19.2,30.5
ND11-2,270047860,Y15,2,270045736,Y14,2,Low,0,NH_2-2,Intermediate,21,186,6,10.12,18.6,29
ND11-2,270047860,Y15,2,270045736,Y14,2,Low,0,NH_2-2,Intermediate,21,186,6,8.32,18.4,25
ND11-2,270047860,Y15,2,270045736,Y14,2,Low,0,NH_2-2,Intermediate,21,186,6,9.85,18.7,30.5
ND11-2,270047860,Y15,2,270045736,Y14,2,Low,0,NH_2-2,Intermediate,21,186,6,10,18.9,31
NH 5-1,275085839,Y15,2,266056462,Y15,4,Low,8,NH_7-1,Intermediate,23,152,4,10.31,18.7,35
NH 5-1,275085839,Y15,2,266056462,Y15,4,Low,8,NH_7-1,Intermediate,23,152,4,10.95,19.4,35.5
NH 5-1,275085839,Y15,2,266056462,Y15,4,Low,8,NH_7-1,Intermediate,23,152,4,10.64,18.6,32
NH 5-1,275085839,Y15,2,266056462,Y15,4,Low,8,NH_7-1,Intermediate,23,152,4,11.13,19.5,32.5
NE12-1,275085568,Y15,1,,,,Low,11,NG_11-1,Intermediate,20,154,6,10.7,18.46,30
NE12-1,275085568,Y15,1,,,,Low,11,NG_11-1,Intermediate,20,154,6,8.9,17.36,31.5
NE12-1,275085568,Y15,1,,,,Low,11,NG_11-1,Intermediate,20,154,6,9.5,18.7,32
NE12-1,275085568,Y15,1,,,,Low,11,NG_11-1,Intermediate,20,154,6,10.9,18.24,33
NE12-1,275085568,Y15,1,,,,Low,11,NG_11-1,Intermediate,20,154,6,10.9,18.29,30.5
NE12-1,275085568,Y15,1,,,,Low,11,NG_11-1,Intermediate,20,154,6,10.2,18.26,33
NA 8-1,,,,,,,Low,4,ND_14-1,Intermediate,21,154,3,10.9,18.4,32
NA 8-1,,,,,,,Low,4,ND_14-1,Intermediate,21,154,3,10.8,18.3,29.5
NA 8-1,,,,,,,Low,4,ND_14-1,Intermediate,21,154,3,9.9,18.5,33
NF16-1,,,,,,,Low,11,NI_1-1,Intermediate,20,166,3,10.13,18.6,31
NF16-1,,,,,,,Low,11,NI_1-1,Intermediate,20,166,3,6.47,16.5,23
NF16-1,,,,,,,Low,11,NI_1-1,Intermediate,20,166,3,8.97,18,26.5
