BAND#,NEST,TQ,Mass,TARSUS
275085513,NB_1-1,High,12.0,18.8
197036406,NB_3-1,High,11.2,19.6
266056467,ND_2-1,High,10.8,18.6
197035901,NE_8-1,High,12.8,18.8
197036107,NG12-1,High,12.1,18.9
270047470,NH_1-1,High,11.6,18.8
197036105,NH_3-1,High,12.0,18.2
197036105,NH_3-1,High,12.0,18.6
197036286,NH_6-2,High,12.0,18.8
270047102,NI_8-1,High,12.4,18.8
270046803,NI10-1,High,12.1,18.5
197036408,NA_1-1,Intermediate,12.8,18.8
197036610,NB_5-1,Intermediate,12.2,19.2
197036108,NB_5-2,Intermediate,11.4,17.5
197035554,NC_2-1,Intermediate,12.7,18.2
270047860,NC_3-1,Intermediate,11.8,18.9
270045541,NC_5-1,Intermediate,11.8,17.5
270046889,NC12,Intermediate,12.0,19.1
197035554,NC12-2,Intermediate,12.5,19.9
270046363,ND_1-1,Intermediate,11.5,17.7
275085777,ND_3-1,Intermediate,13.1,19.4
275085777,ND_4-1,Intermediate,12.9,19.2
270045053,ND14-1,Intermediate,11.0,19.9
197036411,NE_1-1,Intermediate,12.5,18.8
197036422,NE_3-1,Intermediate,12.1,19.1
197035901,NE_9-1,Intermediate,12.9,18.4
197036225,NE_9-2,Intermediate,12.1,18.0
270047510,NE11-1,Intermediate,13.0,19.2
275085051,NF_3-2,Intermediate,12.1,19.9
266056443,NF_5-1,Intermediate,11.2,18.8
270047540,NF_8-1,Intermediate,11.8,18.3
197036415,NF_9-1,Intermediate,10.7,18.4
197036207,NG_5-1,Intermediate,11.2,19.2
197036106,NG_7-1,Intermediate,12.8,19.0
270047436,NG_9-1,Intermediate,12.7,19.5
197036404,NG11-1,Intermediate,12.6,18.8
270046558,NH_2-1,Intermediate,11.8,18.5
197035556,NH_7-1,Intermediate,11.5,18.8
197035562,NH_9-1,Intermediate,12.0,18.8
197036250,NI_1-1,Intermediate,12.2,19.4
270046567,NI_2-1,Intermediate,11.6,19.0
270047877,NA_2-1,Low,11.7,18.8
197036108,NA_4-1,Low,11.4,18.3
270046571,NB10-1,Low,11.0,18.3
197035576,NB11-1,Low,12.8,19.9
275085445,NC_9-1,Low,11.9,19.1
197036258,NC10-1,Low,12.4,18.5
197035902,ND10-1,Low,12.6,18.9
270047860,ND11-2,Low,11.1,19.2
270045309,ND15-1,Low,10.8,18.6
270046573,NE_5-1,Low,11.7,18.5
275085459,NE_6-1,Low,12.9,18.6
275085568,NE12-1,Low,13.0,19.0
270046799,NF_4-1,Low,12.6,17.4
270044958,NF_7-1,Low,12.2,18.7
270046889,NH_4-1,Low,11.8,19.6
275085839,NH_5-1,Low,12.8,20.3
275085805,NI_4-1,Low,12.7,18.5
197036282,NI_6-1,Low,11.2,18.0
