BAND#,NEST,TQ,Mass,TARSUS
197035560,ND_2-1,High,11.7,19.1
266054233,ND_9-1,High,10.1,19.2
197036423,NF_1-1,High,10.0,18.2
197035577,NF10-1,High,10.9,18.6
270045782,NG_2-1,High,10.6,18.8
270046896,NG12-1,High,11.4,19.2
275085897,NH_1-1,High,10.9,19.0
270046213,NH_3-1,High,11.2,19.2
197035555,NH_6-2,High,11.7,19.5
270043429,NI_8-1,High,11.6,19.4
270047679,NI10-1,High,10.0,18.7
197035572,NA_2-1,Intermediate,10.3,18.3
270047066,NA_7-1,Intermediate,11.4,19.7
197035563,NA10-1,Intermediate,10.7,18.9
270047189,NB_2-1,Intermediate,10.9,18.6
275085704,NB_5-1,Intermediate,10.9,18.9
197036611,NB_6-1,Intermediate,11.1,18.4
197035553,NC_2-1,Intermediate,11.4,19.3
197035552,NC_3-1,Intermediate,12.0,19.5
197035574,NC12-2,Intermediate,10.9,19.8
197036226,ND_1-1,Intermediate,10.4,18.0
275085778,ND_3-1,Intermediate,11.6,19.6
270046684,ND14-1,Intermediate,11.1,19.3
270047411,NE_1-1,Intermediate,11.4,19.1
275085609,NE_4-1,Intermediate,11.4,18.6
270047434,NE_9-1,Intermediate,10.6,18.8
270047188,NE_9-2,Intermediate,10.7,19.7
270044931,NE11-1,Intermediate,11.3,19.2
275085052,NF_3-2,Intermediate,11.7,18.5
270045300,NF_5-1,Intermediate,11.6,19.1
197035561,NF_9-1,Intermediate,11.2,18.8
197035578,NG_5-1,Intermediate,11.0,19.0
270046806,NG_7-1,Intermediate,10.8,19.9
197035579,NG_9-1,Intermediate,10.2,19.2
270047071,NG11-1,Intermediate,10.6,19.0
270046940,NH_2-1,Intermediate,10.8,19.2
197035555,NH_7-1,Intermediate,11.8,19.4
260053637,NH_9-1,Intermediate,11.3,18.5
197035580,NI_1-1,Intermediate,10.9,18.2
197036104,NI_2-1,Intermediate,10.8,18.8
197035572,NA_3-1,Low,10.3,18.3
197036612,NA_5-1,Low,10.0,19.0
270046735,NA_5-2,Low,11.3,18.7
197036609,NB_4-1,Low,11.2,19.4
197035575,NB11-1,Low,11.0,19.2
270045437,NC_7-2,Low,10.6,18.7
197035559,ND_6-1,Low,11.9,19.8
270045736,ND11-2,Low,10.9,18.9
270046684,ND15-1,Low,11.1,19.3
270043860,NE_5-1,Low,11.8,18.5
270043860,NE_6-1,Low,11.8,18.5
270047448,NE14-1,Low,11.3,19.9
270045300,NF_4-1,Low,11.6,19.1
270044915,NF_7-1,Low,10.7,19.1
270046213,NH_4-1,Low,11.2,19.2
266056462,NH_5-1,Low,10.4,18.6
270043429,NI_4-1,Low,11.6,19.4
270043429,NI_6-1,Low,11.6,19.4
