BANDNO,NESTNO,YEAR,SEX,PATERNITY,TARSUS,HEMATOCRIT,PHA,MASS
237034580,1,2004,MALE,.,19.3,48,0.467,9.8
237034581,1,2004,FEMALE,.,18.3,53,0.683,10.8
237034582,1,2004,MALE,WITHIN,19.1,60,0.597,10.4
237034584,1,2004,.,.,18.4,53,0.243,10.9
237034022,2,2004,FEMALE,WITHIN,.,.,0.830,9.4
237034023,2,2004,MALE,WITHIN,.,.,0.683,9.9
237034024,2,2004,FEMALE,WITHIN,.,.,0.893,9.1
237034025,2,2004,MALE,WITHIN,.,.,0.717,9.9
237034026,2,2004,FEMALE,WITHIN,.,.,0.903,9.9
237034027,2,2004,FEMALE,WITHIN,.,.,0.630,9.2
237034028,2,2004,FEMALE,WITHIN,.,.,1.000,9.8
237034936,3,2004,MALE,WITHIN,.,.,0.533,10.4
237034937,3,2004,MALE,WITHIN,.,53,0.327,10.2
237034938,3,2004,MALE,WITHIN,.,65,.,10.1
237034924,4,2004,FEMALE,.,19.2,.,0.067,10.1
237034925,4,2004,MALE,WITHIN,19.2,.,0.827,10.2
237034926,4,2004,MALE,WITHIN,17.4,.,0.640,9.9
237034927,4,2004,MALE,EXTRA,19.1,.,0.717,10.9
237034928,4,2004,MALE,WITHIN,19.1,.,0.617,10.4
237034929,4,2004,FEMALE,WITHIN,10.7,.,0.830,10.1
237035414,5,2004,FEMALE,.,.,49,0.593,7.6
237035415,5,2004,FEMALE,.,.,37,0.983,10.2
237035416,5,2004,FEMALE,.,.,35,0.287,9.6
237035417,5,2004,FEMALE,.,.,44,0.747,9.0
237034076,6,2004,FEMALE,WITHIN,18.8,47,0.690,10.1
237034077,6,2004,MALE,EXTRA,19.1,49,0.317,11.4
237034078,6,2004,MALE,WITHIN,.,41,0.763,10.1
237034090,7,2004,MALE,WITHIN,.,44,0.800,10.3
237034091,7,2004,MALE,WITHIN,.,51,1.050,10.7
237034092,7,2004,FEMALE,WITHIN,.,42,0.830,10.0
237034093,7,2004,MALE,WITHIN,.,36,0.797,9.4
237034079,8,2004,MALE,WITHIN,.,40,0.727,9.4
237034080,8,2004,MALE,WITHIN,.,41,0.743,9.4
237034081,8,2004,FEMALE,WITHIN,.,32,0.847,9.9
237034082,8,2004,FEMALE,WITHIN,.,26,.,9.7
237034083,8,2004,FEMALE,WITHIN,.,43,1.013,9.0
237035059,9,2004,FEMALE,EXTRA,.,48,0.500,10.5
237035060,9,2004,FEMALE,WITHIN,.,48,0.753,9.4
237035061,9,2004,FEMALE,WITHIN,.,47,0.763,8.8
237035062,9,2004,MALE,WITHIN,.,54,0.417,10.0
237035063,9,2004,FEMALE,EXTRA,.,48,0.750,9.9
237035064,9,2004,MALE,WITHIN,.,47,0.497,9.9
237035523,10,2004,FEMALE,WITHIN,.,52,0.793,10.0
237035524,10,2004,MALE,WITHIN,.,41,1.173,10.3
237035525,10,2004,FEMALE,WITHIN,.,53,0.843,9.5
237035526,10,2004,MALE,WITHIN,.,55,1.000,9.5
237035568,11,2004,MALE,WITHIN,18.8,38,1.160,11.2
237035569,11,2004,MALE,WITHIN,18.3,44,0.757,11.5
237035570,11,2004,FEMALE,WITHIN,18.1,42,0.790,11.0
237035571,11,2004,MALE,WITHIN,18.4,36,0.970,11.2
237034296,12,2004,MALE,WITHIN,.,44,0.630,10.6
237034297,12,2004,FEMALE,WITHIN,.,38,0.887,10.2
237034298,12,2004,FEMALE,WITHIN,.,44,.,.
237034071,13,2004,MALE,.,19.8,.,1.307,11.5
237034072,13,2004,FEMALE,.,15.0,.,0.643,9.5
237034073,13,2004,MALE,.,19.8,.,0.953,11.6
237035418,14,2004,FEMALE,.,18.6,39,0.380,8.3
237035419,14,2004,MALE,.,18.8,45,0.543,8.9
237035420,14,2004,FEMALE,.,18.2,39,0.517,9.4
237035421,14,2004,FEMALE,.,18.2,36,0.530,8.8
237035463,15,2004,FEMALE,WITHIN,.,38,0.650,8.5
237035464,15,2004,MALE,WITHIN,.,37,0.667,9.9
237035465,15,2004,MALE,WITHIN,.,42,0.553,9.1
237035466,15,2004,FEMALE,WITHIN,.,50,1.007,9.9
237035301,16,2004,FEMALE,EXTRA,19.3,41,1.203,11.7
237035302,16,2004,FEMALE,EXTRA,17.9,36,0.783,10.1
237035303,16,2004,FEMALE,EXTRA,18.4,34,1.267,10.6
237035304,16,2004,MALE,WITHIN,18.2,33,0.723,7.5
237035305,16,2004,FEMALE,EXTRA,18.8,34,0.707,8.9
237035306,16,2004,MALE,WITHIN,17.7,37,1.050,10.1
237035517,17,2004,MALE,WITHIN,.,30,0.613,9.2
237035518,17,2004,MALE,WITHIN,.,42,0.810,10.0
237035519,17,2004,MALE,WITHIN,.,37,0.890,9.0
237035520,17,2004,MALE,WITHIN,.,37,0.513,7.5
237035521,17,2004,FEMALE,WITHIN,.,41,0.560,8.9
237035522,17,2004,FEMALE,WITHIN,.,33,0.677,9.5
237034085,18,2004,MALE,WITHIN,.,45,1.127,11.4
237034086,18,2004,MALE,WITHIN,.,51,0.970,10.2
237034087,18,2004,MALE,WITHIN,.,39,1.120,10.2
237034088,18,2004,FEMALE,WITHIN,.,45,0.773,10.2
237034089,18,2004,MALE,WITHIN,.,50,1.213,10.5
237034877,19,2004,FEMALE,WITHIN,.,46,0.650,10.0
237034878,19,2004,FEMALE,WITHIN,.,55,0.733,9.9
237034879,19,2004,FEMALE,WITHIN,.,52,0.443,10.8
237034880,19,2004,MALE,WITHIN,.,49,0.807,10.9
237035460,20,2004,MALE,.,.,44,0.913,8.1
237035461,20,2004,MALE,.,.,40,0.973,10.3
237035462,20,2004,MALE,.,.,38,0.903,9.0
237034844,21,2004,MALE,.,20.4,.,0.597,10.6
237034845,21,2004,MALE,WITHIN,18.9,.,0.883,8.9
237034846,21,2004,MALE,.,19.2,.,0.653,9.8
237035133,22,2004,MALE,.,.,42,1.053,8.8
237035134,22,2004,FEMALE,.,.,46,1.130,9.1
237035135,22,2004,FEMALE,.,.,50,1.143,10.2
237035136,22,2004,MALE,.,.,40,0.713,9.7
237035137,22,2004,MALE,.,.,53,0.917,9.5
237034939,23,2004,FEMALE,WITHIN,.,38,1.130,9.5
237034940,23,2004,MALE,WITHIN,.,42,0.573,9.7
237034941,23,2004,FEMALE,WITHIN,.,28,0.847,9.5
237034942,23,2004,FEMALE,WITHIN,.,41,0.780,9.5
237034943,23,2004,MALE,WITHIN,.,40,0.870,9.6
237034575,24,2004,FEMALE,WITHIN,18.6,49,0.517,10.3
237034576,24,2004,FEMALE,WITHIN,19.3,.,0.697,11.4
237034577,24,2004,MALE,WITHIN,19.2,43,0.050,11.2
237034578,24,2004,FEMALE,.,18.4,46,0.740,9.4
237034579,24,2004,MALE,WITHIN,18.4,49,0.787,10.2
237035705,25,2004,MALE,WITHIN,.,44,0.663,9.8
237035706,25,2004,FEMALE,WITHIN,.,37,0.493,9.6
237035707,25,2004,MALE,WITHIN,.,47,0.830,10.0
237035708,25,2004,MALE,WITHIN,.,33,1.040,9.4
237035709,25,2004,FEMALE,WITHIN,.,43,0.517,8.6
237035151,27,2004,MALE,WITHIN,19.0,36,0.627,10.8
237035152,27,2004,FEMALE,EXTRA,19.3,38,0.517,11.1
