BirdID,BloodID,LayYear,Ageclass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,Hz,Homozygosity,RTL,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,BirdID,LayYear,CatchYear,SpaceTQ,Food,MeanAdultFood,AllYears?,PropCovered,SumFood,SumFood2
1757,2,2001,A,23/09/2002,0,41,811,BrF,15.6,10/09/2010,58,1.0408,0.9592,0.03164002,2002,9,2010,1,12,8,4+,1,Yes,9,Females,24.6,26673.73,10.19143446,1757,2001,2002,13884.67,,,NO,0,50,50
3094,3229,2004,A,30/08/2006,0,75,3798,BrF,17.1,04/10/2014,53,1.1796,0.8204,0.079201236,2006,8,2014,2,24,8,4+,1,Yes,10,Females,25.4,22629.09,10.02699153,3094,2004,2006,24210.09,13,13.5,YES,1,24.5,24.5
5073,3981,2006,A,18/07/2008,0,87,4514,ABX,14,03/03/2009,26,0.6939,1.3061,0.086671971,2008,7,2009,2,24,1,1,1,Yes,3,Females,24.2,2834.55,7.949638473,5073,2006,2008,22774.32,11.5,10.25,YES,1,11.5,11.5
1804,3743,2003,A,17/07/2007,1,82,4191,ABX,16.2,07/09/2008,4,0.8327,1.1673,0.289705671,2007,7,2008,4,24,1,1,1,Yes,5,Males,26,8265.39,9.019832196,1804,2003,2007,14217.22,9,11.5,YES,1,48.5,48.5
51,2214,1986,A,21/06/1995,1,19,215,BrM,15.6,02/09/2023,51,0.5551,1.4449,0.158962444,1995,6,2003,9,24,8,4+,1,Yes,17,Males,25.3,34969.94,1.46224411,51,1986,1995,22021.24,,,NO,0,19.5,
849,703,1994,A,20/01/1999,1,26,303,BrM,17.4,14/01/2004,101,0.902,1.098,0.195895921,1999,1,2004,5,24,5,4+,1,Yes,10,Males,26.5,98071.4,11.49345106,849,1994,1999,12526.34,15,20.5,NO,0.8,15,15
1702,288,2002,A,25/05/2004,1,32,2710,ABX,15.4,10/09/2010,5,1.0408,0.9592,0.218663625,2004,5,2010,2,24,6,4+,1,Yes,8,Males,23.6,36254.09,10.49830748,1702,2002,2004,31606.99,9,14.25,YES,1,54,54
1754,3996,2001,A,23/07/2008,1,87,4555,BrM,17.4,07/09/2008,81,0.902,1.098,0.233474341,2008,7,2008,7,24,0,0,0,No,7,Males,26.7,6874.67,8.835598921,1754,2001,2008,14279.07,11.5,12.66666667,NO,0.857142857,20.5,20.5
2963,3695,2003,A,20/06/2007,0,82,4254,H,15,10/09/2010,86,1.0408,0.9592,0.283572326,2007,6,2010,4,24,3,3,1,Yes,7,Females,25.1,2579.74,7.855443898,2963,2003,2007,7239.03,9,12,YES,1,42.5,42.5
1716,558,2002,A,25/07/2005,0,37,751,BrF,15.9,04/10/2014,173,1.1796,0.8204,0.315199182,2005,7,2014,3,24,9,4+,1,Yes,12,Females,24.6,8632.725,9.063315493,1716,2002,2005,14451.45,14,14.16666667,YES,1,28,28
3604,3886,2005,A,17/01/2008,0,85,4365,ABX,14.9,28/02/2012,70,1.3878,0.6122,0.31743549,2008,1,2012,3,24,4,4+,1,Yes,7,Females,24.2,39756.39,10.59052586,3604,2005,2008,20085.58,11.5,11.16666667,YES,1,11.5,11.5
1744,4057,2001,A,21/01/2009,1,90,4105,BrM,15.5,10/09/2010,60,0.8327,1.1673,0.318928259,2009,1,2010,8,24,1,1,1,Yes,9,Males,25.1,8676.17,9.068335466,1744,2001,2009,14001.03,17,13.28571429,NO,0.875,71,71
1415,3158,1998,A,09/08/2006,0,75,3788,BrF,14.8,30/09/2013,39,0.9714,1.0286,0.331235972,2006,8,2013,8,24,7,4+,1,Yes,15,Females,24.2,10016.67,9.212005984,1415,1998,2006,10178.43,13,14.1,NO,0.625,42.5,42.5
3446,3757,2005,A,19/07/2007,0,82,4207,BrF,14.7,19/03/2010,26,1.3878,0.6122,0.337246894,2007,7,2010,2,24,3,3,1,Yes,5,Females,23.6,8956.46,9.100130339,3446,2005,2007,22774.32,9,13,YES,1,33.5,33.5
1664,3752,2002,A,19/07/2007,0,82,4244,BrF,14.1,03/03/2009,74,0.9714,1.0286,0.353946577,2007,7,2009,5,24,2,2,1,Yes,7,Females,23.5,4941.34,8.505391828,1664,2002,2007,19657.21,9,13.875,YES,1,33.5,33.5
1532,3966,1999,A,16/07/2008,0,87,4498,BrF,13.5,10/09/2010,4,0.7633,1.2367,0.359676823,2008,7,2010,9,24,2,2,1,Yes,11,Females,24.8,2644.84,7.880365851,1532,1999,2008,14217.22,11.5,12.66666667,NO,0.666666667,29.5,20.5
1495,110,1999,A,07/07/2003,1,30,497,BrM,16.9,24/08/2009,70,0.8327,1.1673,0.689610342,2003,7,2009,4,24,6,4+,1,Yes,10,Males,25.6,21300.67,9.966493807,1495,1999,2003,20085.58,19.5,19.5,NO,0.25,19.5,
