BirdID,BloodID,LayYear,Ageclass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,MumHz,MumHomo,DadHz,DadHomo,TerritoryID,RTL,Hz,Homozygosity,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,SpaceTQ,Food,LayYearFood,MeanAdultFood,PropCovered
1804,3743,2003,A,17/07/2007,1,82,4191,ABX,16.2,07/09/2008,0.7633,1.2367,1.1796,0.8204,4,0.289705671,0.8327,1.1673,2007,7,2008,4,24,1,1,1,Yes,5,Males,26,8265.39,9.019832196,14217.22,9,#N/A,11.5,1
2963,3695,2003,A,20/06/2007,0,82,4254,H,15,10/09/2010,0.8327,1.1673,0.9714,1.0286,86,0.283572326,1.0408,0.9592,2007,6,2010,4,24,3,3,1,Yes,7,Females,25.1,2579.74,7.855443898,7239.03,9,#N/A,12,1
1415,3158,1998,A,09/08/2006,0,75,3788,BrF,14.8,30/09/2013,1.5959,0.4041,1.1796,0.8204,39,0.331235972,0.9714,1.0286,2006,8,2013,8,24,7,4+,1,Yes,15,Females,24.2,10016.67,9.212005984,10178.43,13,21,14.1,0.625
1664,3752,2002,A,19/07/2007,0,82,4244,BrF,14.1,03/03/2009,1.1102,0.8898,0.8327,1.1673,74,0.353946577,0.9714,1.0286,2007,7,2009,5,24,2,2,1,Yes,7,Females,23.5,4941.34,8.505391828,19657.21,9,#N/A,13.875,1
1495,110,1999,A,07/07/2003,1,30,497,BrM,16.9,24/08/2009,1.3184,0.6816,0.902,1.098,70,0.689610342,0.8327,1.1673,2003,7,2009,4,24,6,4+,1,Yes,10,Males,25.6,21300.67,9.966493807,20085.58,19.5,20,19.5,0.25
4875,3889,2006,A,17/01/2008,0,85,4334,ABX,13.7,18/09/2009,0.8327,1.1673,0.8327,1.1673,28,0.390274614,1.0408,0.9592,2008,1,2009,2,24,1,1,1,Yes,3,Females,24.4,3196.56,8.069830511,12253.02,11.5,13,1.25,1
1187,4041,1996,A,04/01/2009,1,90,4065,BrM,15.9,10/09/2010,0.8327,1.1673,1.1102,0.8898,5,0.399400491,1.0408,0.9592,2009,1,2010,13,24,1,1,1,Yes,14,Males,27.1,33063.05,10.40617162,31606.99,17,#N/A,14.66666667,0.846153846
3580,3788,2005,A,27/07/2007,0,82,4264,BrF,14.9,07/09/2008,0.5551,1.4449,1.1796,0.8204,99,0.462711655,1.1796,0.8204,2007,7,2008,2,24,1,1,1,Yes,3,Females,24.2,7952.63,8.981257971,12565.45,9,9,11,1
1213,211,1997,A,27/08/2003,1,30,495,BrM,16.3,12/01/2005,1.0408,0.9592,0.9714,1.0286,68,1.000391376,1.5265,0.4735,2003,8,2005,6,24,2,2,1,Yes,8,Males,25,20482.59,9.927330536,15419.47,19.5,26,18.16666667,0.5
4866,3922,2005,A,29/01/2008,1,85,4409,BrM,16.9,30/09/2013,0.7633,1.2367,1.1102,0.8898,137,0.462303278,0.8327,1.1673,2008,1,2013,3,24,5,4+,1,Yes,8,Males,26.4,12597.94,9.441288588,12597.94,11.5,9,11.16666667,1
1895,3997,2003,A,23/07/2008,0,87,4555,BrF,14.8,19/03/2010,1.1102,0.8898,0.9714,1.0286,81,0.588662137,1.0408,0.9592,2008,7,2010,5,24,2,2,1,Yes,7,Females,24.6,6874.67,8.835598921,14279.07,11.5,#N/A,11.25,1
2988,4243,2004,A,14/08/2008,1,87,4506,BrM,16.9,10/09/2010,1.249,0.751,0.8327,1.1673,14,0.477282725,1.1102,0.8898,2008,8,2010,4,24,2,2,1,Yes,6,Males,25.8,2489.33,7.819768877,22787.64,11.5,#N/A,11.875,1
4890,3979,2006,A,18/07/2008,1,87,4512,ABX,16.2,04/10/2014,0.5551,1.4449,0.7633,1.2367,24,0.477527897,0.9714,1.0286,2008,7,2014,2,24,6,4+,1,Yes,8,Males,25.1,1219.76,7.106409397,14415.37,11.5,13,1.25,1
1705,668,2002,A,05/09/2005,0,37,646,H,15.4,11/12/2005,1.1102,0.8898,0.9714,1.0286,1,0.479023688,0.9714,1.0286,2005,9,2005,3,24,0,0,0,No,3,Females,24.2,12097.775,9.40077683,15983.72,14,#N/A,14.16666667,1
1187,3744,1996,A,17/07/2007,1,82,4192,BrM,16,10/09/2010,0.8327,1.1673,1.1102,0.8898,5,0.498911475,1.0408,0.9592,2007,7,2010,11,24,3,3,1,Yes,14,Males,26.4,7931.91,8.978649143,31606.99,9,#N/A,15.625,0.818181818
1536,3126,1999,A,28/07/2006,0,75,3786,BrF,16,07/09/2008,0.6939,1.3061,0.6245,1.3755,36,0.761079315,0.6939,1.3061,2006,7,2008,7,24,2,2,1,Yes,9,Females,24.1,9666.79,9.176451579,12955.9,13,20,13.875,0.571428571
3569,3976,2005,A,18/07/2008,0,87,4610,BrF,12.9,10/09/2010,1.1796,0.8204,1.0408,0.9592,407,0.523802511,0.9714,1.0286,2008,7,2010,3,24,2,2,1,Yes,5,Females,24.1,1699.36,7.438006989,19088.81,11.5,9,11.16666667,1
3085,4314,2004,A,13/07/2009,0,92,4710,BrF,15.3,04/10/2014,1.249,0.751,1.0408,0.9592,20,0.523833865,1.1796,0.8204,2009,7,2014,5,24,5,4+,1,Yes,10,Females,23.9,26574.26,10.18769836,26574.26,17,#N/A,13.5,1
