BirdID,BloodID,LayYear,AgeClass,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,Hz,Homozygosity,RTL,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,YearQuality,Food,FoodFP,SpaceTQ
5099,3913,2006,SA,24/01/2008,1,85,4326,ABX,16.3,18/09/2009,16,0.9714,1.0286,0.453079635,2008,1,2009,2,9,1,1,1,Yes,3,Males,26,5295.41,8.574595687,Low food availability,11.5,5,15366.17
5139,3866,2007,FL,10/01/2008,0,85,4332,OFL,12.2,21/02/2008,26,1.1796,0.8204,0.66233772,2008,1,2008,1,3,0,0,0,No,1,Females,23.4,2834.55,7.949638473,Low food availability,11.5,5,22774.32
5074,3898,2007,FL,18/01/2008,0,85,4347,ABX,13.5,07/09/2008,47,0.902,1.098,0.829321402,2008,1,2008,1,3,0,0,0,No,1,Females,24,4100.84,8.31894711,Low food availability,11.5,5,24063.4
5123,3920,2007,FL,27/01/2008,0,85,4360,ABX,14.1,27/02/2013,63,0.9714,1.0286,0.937727415,2008,1,2013,1,3,5,4+,1,Yes,6,Females,24.2,18975.14,9.85088498,Low food availability,11.5,5,20268.53
5168,3567,2007,FL,21/01/2008,0,85,4324,OFL,13.1,10/09/2010,14,0.5551,1.4449,0.960164988,2008,1,2010,1,3,2,2,1,Yes,3,Females,24.1,2489.33,7.819768877,Low food availability,11.5,5,22787.64
5164,3563,2007,FL,18/01/2008,0,85,4363,OFL,14,30/09/2012,68,0.902,1.098,1.150968249,2008,1,2012,1,3,4,4+,1,Yes,5,Females,24,3843.05,8.254021601,Low food availability,11.5,5,15419.47
5074,3907,2007,SA,21/01/2008,0,85,4347,ABX,13.5,07/09/2008,47,0.902,1.098,,2008,1,2008,1,9,0,0,0,No,1,Females,24.1,4100.84,8.31894711,Low food availability,11.5,5,24063.4
5169,3568,2007,FL,24/01/2008,1,85,4351,OFL,14.9,10/09/2010,53,1.0408,0.9592,,2008,1,2010,1,3,2,2,1,Yes,3,Males,26.3,12727.44,9.451515572,Low food availability,11.5,5,24210.09
5167,3566,2007,FL,21/01/2008,1,85,4324,OFL,15.7,29/02/2012,14,0.9714,1.0286,,2008,1,2012,1,3,4,4+,1,Yes,5,Males,26.7,2489.33,7.819768877,Low food availability,11.5,5,22787.64
1394,698,1998,FL,18/01/1999,1,26,2443,ABX,14.7,19/03/2010,83,0.8327,1.1673,0.810081625,1999,1,2010,1,3,11,4+,1,Yes,12,Males,25.7,12328.85,9.419697323,High food availability,15,6,16410.59
1432,714,1999,SA,28/01/1999,0,26,2405,ABX,15.3,26/09/1999,5,1.1796,0.8204,,1999,1,1999,0,9,0,0,0,No,0,Females,24.3,31606.99,10.36113358,High food availability,15,6,31606.99
4969,3746,2006,SA,17/07/2007,0,82,4199,ABX,14.2,03/03/2009,14,0.7633,1.2367,0.347792024,2007,7,2009,1,9,2,2,1,Yes,3,Females,24.5,3292.03,8.099259675,Low food availability,9,8,22787.64
5071,3839,2007,FL,30/08/2007,1,82,4191,OFL,15.5,10/09/2010,4,0.6939,1.3061,0.517014352,2007,8,2010,0,3,3,3,1,Yes,3,Males,26.7,8265.39,9.019832196,Low food availability,9,8,14217.22
5071,3468,2007,FL,17/07/2007,1,82,4191,OFL,15.5,10/09/2010,4,0.6939,1.3061,0.440249246,2007,7,2010,0,3,3,3,1,Yes,3,Males,26.4,8265.39,9.019832196,Low food availability,9,8,14217.22
5099,3837,2006,SA,29/08/2007,1,82,4201,ABX,16.2,18/09/2009,16,0.9714,1.0286,0.632502522,2007,8,2009,1,9,2,2,1,Yes,3,Males,25.5,11945.51,9.388110755,Low food availability,9,8,15366.17
4870,3742,2006,SA,17/07/2007,0,82,4214,ABX,13.9,21/02/2008,36,0.8327,1.1673,0.513368698,2007,7,2008,1,9,1,1,1,Yes,2,Females,24,6133.11,8.721457241,Low food availability,9,8,12955.9
4939,3745,2006,SA,17/07/2007,1,82,4191,H,15.9,10/09/2010,4,0.6245,1.3755,0.521909906,2007,7,2010,1,9,3,3,1,Yes,4,Males,25.6,8265.39,9.019832196,Low food availability,9,8,14217.22
4917,3843,2006,SA,30/08/2007,0,82,4195,ABX,14,04/10/2014,9,1.0408,0.9592,0.664906897,2007,8,2014,1,9,7,4+,1,Yes,8,Females,24.1,6272.82,8.743981293,Low food availability,9,8,23258.14
4969,3845,2006,SA,30/08/2007,0,82,4199,ABX,15.8,03/03/2009,14,0.7633,1.2367,0.595598015,2007,8,2009,1,9,2,2,1,Yes,3,Females,24,3292.03,8.099259675,Low food availability,9,8,22787.64
4902,3820,2006,SA,21/08/2007,1,82,4206,ABX,16.8,29/02/2012,25,1.249,0.751,0.635200477,2007,8,2012,1,9,5,4+,1,Yes,6,Males,25.2,8269.02,9.02027128,Low food availability,9,8,14698.2
5123,3520,2007,FL,23/08/2007,0,82,4235,OFL,14.9,27/02/2013,63,0.9714,1.0286,0.708200253,2007,8,2013,0,3,6,4+,1,Yes,6,Females,24.7,18127.49,9.80518485,Low food availability,9,8,20268.53
4904,3836,2006,SA,29/08/2007,0,82,4219,ABX,14.7,04/10/2014,43,0.9714,1.0286,0.869166963,2007,8,2014,1,9,7,4+,1,Yes,8,Females,24.1,7187.9,8.880154336,Low food availability,9,8,9655.045
4918,3777,2006,SA,24/07/2007,1,82,4300,ABX,15.6,21/02/2008,174,1.249,0.751,0.713155891,2007,7,2008,1,9,1,1,1,Yes,2,Males,26.2,41084.77,10.62339277,Low food availability,9,8,21463.3
