BirdID,BloodID,LayYear,Ageclass,MumHz,MumHomo,DadHz,DadHomo,ParentsHz,CatchDate,SexEstimate,FieldPeriodID,BreedGroupID,LastOfStatus,BodyMass,DeathDate,TerritoryID,RTL,Hz,Homozygosity,CatchYear,CatchMonth,DeathYear,Age,Agemonths,RemainingLife,RemainingLifeFig,SurvivedNext,SurvivedNextFig,Lifespan,Sex,Tarsus,TQcorrected,LogTQ,YearQuality,Food,SpaceTQ
4969,3746,2006,SA,1.249,0.751,1.1102,0.8898,2.3592,17/07/2007,0,82,4199,ABX,14.2,03/03/2009,14,0.347792024,0.7633,1.2367,2007,7,2009,1,9,2,2,1,Yes,3,Females,24.5,3292.03,8.099259675,Low food availability,9,22787.64
5071,3839,2007,FL,0.7633,1.2367,0.8327,1.1673,1.596,30/08/2007,1,82,4191,OFL,15.5,10/09/2010,4,0.517014352,0.6939,1.3061,2007,8,2010,0,3,3,3,1,Yes,3,Males,26.7,8265.39,9.019832196,Low food availability,9,14217.22
5332,4312,2009,FL,1.1796,0.8204,0.6939,1.3061,1.8735,13/07/2009,0,92,4702,OFL,13.1,18/09/2009,8,0.395018392,1.249,0.751,2009,7,2009,0,3,0,0,0,No,0,Females,24.8,31839.33,10.3684576,High food availability,17,19626.265
5117,4262,2007,SA,0.7633,1.2367,1.1102,0.8898,1.8735,20/08/2008,0,87,4588,H,15.9,03/03/2009,135,0.415177138,0.9714,1.0286,2008,8,2009,1,9,1,1,1,Yes,2,Females,24.1,8377.24,9.033273784,Low food availability,11.5,11446.08
5071,3468,2007,FL,0.7633,1.2367,0.8327,1.1673,1.596,17/07/2007,1,82,4191,OFL,15.5,10/09/2010,4,0.440249246,0.6939,1.3061,2007,7,2010,0,3,3,3,1,Yes,3,Males,26.4,8265.39,9.019832196,Low food availability,9,14217.22
5099,3913,2006,SA,0.9714,1.0286,1.3184,0.6816,2.2898,24/01/2008,1,85,4326,ABX,16.3,18/09/2009,16,0.453079635,0.9714,1.0286,2008,1,2009,2,9,1,1,1,Yes,3,Males,26,5295.41,8.574595687,Low food availability,11.5,15366.17
1585,899,2000,FL,0.9714,1.0286,1.1796,0.8204,2.151,05/08/2000,1,39,3033,FL,15.4,02/10/2002,9,0.461653131,1.3878,0.6122,2000,8,2002,0,3,2,2,1,Yes,2,Males,25.3,62038.33,11.0355077,,,23258.14
1509,770,1999,FL,0.6245,1.3755,1.0408,0.9592,1.6653,18/08/1999,1,28,351,OFL,15.9,10/09/2010,3,0.475568597,0.6939,1.3061,1999,8,2010,0,3,11,4+,1,Yes,11,Males,26.4,24501.73,10.10649901,High food availability,15,24501.73
5099,3837,2006,SA,0.9714,1.0286,1.3184,0.6816,2.2898,29/08/2007,1,82,4201,ABX,16.2,18/09/2009,16,0.632502522,0.9714,1.0286,2007,8,2009,1,9,2,2,1,Yes,3,Males,25.5,11945.51,9.388110755,Low food availability,9,15366.17
5169,4183,2007,SA,1.1796,0.8204,1.249,0.751,2.4286,29/07/2008,1,87,4532,ABX,16.8,10/09/2010,53,0.52068931,1.0408,0.9592,2008,7,2010,1,9,2,2,1,Yes,3,Males,26.8,12727.44,9.451515572,Low food availability,11.5,24210.09
4939,3745,2006,SA,0.7633,1.2367,1.1796,0.8204,1.9429,17/07/2007,1,82,4191,H,15.9,10/09/2010,4,0.521909906,0.6245,1.3755,2007,7,2010,1,9,3,3,1,Yes,4,Males,25.6,8265.39,9.019832196,Low food availability,9,14217.22
1492,758,1999,FL,1.0408,0.9592,0.902,1.098,1.9428,07/08/1999,1,28,436,OFL,16.5,12/01/2005,159,0.549790673,0.9714,1.0286,1999,8,2005,0,3,6,4+,1,Yes,6,Males,26.7,131024.89,11.78314258,High food availability,15,15316.44
1518,792,1999,FL,0.9714,1.0286,0.9714,1.0286,1.9428,01/09/1999,0,28,423,OFL,14.9,26/09/1999,125,0.575999097,0.8327,1.1673,1999,9,1999,0,3,0,0,0,No,0,Females,23.4,132926.94,11.79755493,High food availability,15,25302.74
4917,3843,2006,SA,0.7633,1.2367,1.1102,0.8898,1.8735,30/08/2007,0,82,4195,ABX,14,04/10/2014,9,0.664906897,1.0408,0.9592,2007,8,2014,1,9,7,4+,1,Yes,8,Females,24.1,6272.82,8.743981293,Low food availability,9,23258.14
4969,3845,2006,SA,1.249,0.751,1.1102,0.8898,2.3592,30/08/2007,0,82,4199,ABX,15.8,03/03/2009,14,0.595598015,0.7633,1.2367,2007,8,2009,1,9,2,2,1,Yes,3,Females,24,3292.03,8.099259675,Low food availability,9,22787.64
5169,4005,2007,SA,1.1796,0.8204,1.249,0.751,2.4286,16/01/2009,1,90,4149,ABX,16.9,10/09/2010,126,0.635484167,1.0408,0.9592,2009,1,2010,2,9,1,1,1,Yes,3,Males,26.3,13690.47,9.524455249,High food availability,17,12410.1
5268,3665,2007,SA,0.902,1.098,0.9714,1.0286,1.8734,18/08/2008,0,87,4567,H,13.9,10/09/2010,98,0.696786123,0.6245,1.3755,2008,8,2010,1,9,2,2,1,Yes,3,Females,24.2,5940.41,8.689533434,Low food availability,11.5,15141.885
