BirdID,MumHz,DadHz,Hz
3580,0.5551,1.1796,1.1796
4890,0.5551,0.7633,0.9714
4904,0.5551,1.1796,0.9714
1045,0.6245,1.1796,1.0408
1214,0.6245,1.1796,0.9714
1509,0.6245,1.0408,0.6939
1783,0.6245,0.902,0.8327
2985,0.6245,0.902,0.9714
1803,0.6939,0.6939,0.7633
1536,0.6939,0.6245,0.6939
1777,0.6939,0.6245,1.0408
1826,0.6939,1.0408,0.7633
3505,0.6939,0.6939,0.7633
3444,0.6939,1.0408,1.0408
5155,0.6939,1.0408,0.902
1543,0.7633,0.902,0.7633
1804,0.7633,1.1796,0.8327
1854,0.7633,1.0408,0.5551
3093,0.7633,0.6939,0.9714
4939,0.7633,1.1796,0.6245
4866,0.7633,1.1102,0.8327
4917,0.7633,1.1102,1.0408
5071,0.7633,0.8327,0.6939
837,0.8327,1.1796,0.8327
1357,0.8327,1.1102,1.1102
1187,0.8327,1.1102,1.0408
1438,0.8327,0.8327,0.902
1510,0.8327,0.8327,0.5551
1049,0.8327,1.1796,1.1102
2983,0.8327,0.9714,1.3878
1558,0.8327,0.5551,0.9714
3024,0.8327,0.6939,1.249
2963,0.8327,0.9714,1.0408
3615,0.8327,0.8327,1.1102
4954,0.8327,0.9714,1.0408
4875,0.8327,0.8327,1.0408
4938,0.8327,0.6939,1.3878
4972,0.8327,1.3184,1.249
5121,0.8327,0.8327,0.9714
5269,0.8327,1.1796,1.249
5267,0.902,0.7633,1.1102
5268,0.902,0.9714,0.6245
1425,0.9714,0.902,1.1102
1743,0.9714,0.6245,1.3878
1766,0.9714,0.6245,1.0408
1512,0.9714,0.8327,1.1102
1778,0.9714,0.8327,0.9714
1857,0.9714,0.8327,0.8327
3010,0.9714,0.9714,1.3184
3021,0.9714,1.0408,1.0408
3497,0.9714,1.4572,1.0408
1808,0.9714,0.902,1.3184
3087,0.9714,1.3184,1.1102
3463,0.9714,1.1796,0.9714
3498,0.9714,0.7633,1.3184
3517,0.9714,1.249,0.8327
3596,0.9714,1.0408,1.249
3608,0.9714,1.4572,1.1102
3457,0.9714,0.7633,0.6245
3464,0.9714,1.1796,1.0408
4854,0.9714,1.0408,1.0408
5072,0.9714,0.7633,1.1796
5204,0.9714,1.0408,1.1796
915,1.0408,1.1796,1.1796
1047,1.0408,0.8327,1.0408
1359,1.0408,1.1102,0.902
1499,1.0408,0.7633,1.1102
1213,1.0408,0.9714,1.5265
1831,1.0408,0.8327,1.0408
1869,1.0408,0.902,1.1796
3088,1.0408,0.7633,1.1796
1762,1.0408,1.1102,1.3184
1805,1.0408,1.0408,1.0408
3020,1.0408,0.9714,0.9714
1897,1.0408,1.1102,0.902
4871,1.0408,1.4572,1.1796
4887,1.0408,0.6245,1.0408
4888,1.0408,0.902,0.902
4958,1.0408,0.6939,1.0408
4970,1.0408,0.7633,0.6939
4805,1.0408,0.7633,1.1102
4863,1.0408,0.7633,1.3184
4885,1.0408,0.9714,1.1796
4936,1.0408,0.8327,1.1102
4956,1.0408,0.9714,0.7633
5147,1.0408,0.5551,1.1796
5160,1.0408,0.6245,1.0408
1063,1.1102,0.7633,0.4857
1396,1.1102,0.902,0.7633
1409,1.1102,0.8327,0.7633
1511,1.1102,0.8327,0.4163
1663,1.1102,0.8327,1.1102
1419,1.1102,0.8327,0.9714
1503,1.1102,0.6939,1.3184
1559,1.1102,1.0408,0.7633
1494,1.1102,0.902,1.3184
1523,1.1102,0.902,0.8327
1705,1.1102,0.9714,0.9714
1709,1.1102,0.9714,0.6245
3508,1.1102,0.6939,0.9714
1664,1.1102,0.8327,0.9714
1895,1.1102,0.9714,1.0408
3002,1.1102,0.8327,0.7633
4829,1.1102,1.4572,1.0408
4860,1.1102,1.3184,1.0408
5144,1.1102,0.8327,1.1102
850,1.1796,1.4572,1.0408
1188,1.1796,1.1796,1.0408
1500,1.1796,0.902,0.9714
1429,1.1796,1.0408,1.0408
2966,1.1796,1.1102,0.7633
3445,1.1796,1.1102,1.1796
3569,1.1796,1.0408,0.9714
4971,1.1796,0.902,1.1796
3491,1.1796,1.1102,0.8327
1767,1.249,0.8327,0.902
2962,1.249,1.0408,0.8327
3085,1.249,1.0408,1.1796
1678,1.249,1.1102,0.8327
2988,1.249,0.8327,1.1102
1798,1.249,1.1102,0.902
5168,1.249,1.1102,0.5551
1506,1.3184,0.902,1.1796
1495,1.3184,0.902,0.8327
1752,1.3184,0.8327,0.7633
3451,1.3184,1.249,0.8327
3612,1.3184,0.5551,0.9714
1404,1.3878,0.902,1.6653
1042,1.3878,1.1102,0.9714
4919,1.3878,1.1796,0.8327
921,1.4572,1.249,0.902
1508,1.4572,1.0408,1.3184
1552,1.4572,0.9714,1.4572
1698,1.4572,1.3184,1.0408
1699,1.4572,1.3184,1.0408
1541,1.4572,0.902,1.0408
1029,1.4572,1.0408,1.1796
2960,1.4572,0.8327,1.3878
3515,1.4572,0.8327,1.249
1415,1.5959,1.1796,0.9714
4892,0.7633,1.4572,0.6939
4910,0.8327,0.6939,0.902
5099,0.9714,1.3184,0.9714
5123,0.9714,1.1796,0.9714
4969,1.249,1.1102,0.7633
5117,0.7633,1.1102,0.9714
5254,0.8327,0.902,1.0408
5265,1.0408,0.6245,0.6939
5237,1.1102,0.9714,0.902
5169,1.1796,1.249,1.0408
3594,0.9714,1.0408,0.9714
3578,1.0408,0.9714,0.8327
4886,1.0408,0.6245,1.1102
4855,1.1796,1.1102,1.249
1555,0.7633,0.902,0.902
1432,0.902,0.9714,1.1796
1518,0.9714,0.9714,0.8327
1549,0.9714,1.1102,1.1102
1492,1.0408,0.902,0.9714
1557,1.249,0.902,1.0408
5312,0.5551,1.1796,1.3184
5316,0.6939,1.249,1.1102
5323,0.7633,1.1102,0.8327
5327,0.8327,1.0408,1.0408
5226,0.902,0.8327,0.7633
5315,0.9714,1.3184,1.249
5224,1.0408,0.5551,1.3184
5325,1.0408,0.902,0.7633
5322,1.0408,0.8327,1.1796
5314,1.1102,1.3184,1.0408
5332,1.1796,0.6939,1.249
5319,1.249,0.7633,1.249
1410,1.1102,1.1102,0.9714
1231,1.1796,1.3184,1.0408
1170,1.1796,1.3184,1.249
1162,0.8327,1.1796,0.8327
1168,1.0408,0.6939,1.0408
1163,1.1102,0.8327,1.249
1030,1.4572,1.0408,1.249
1586,0.6245,0.9714,0.902
1585,0.9714,1.1796,1.3878
1583,0.9714,0.8327,0.7633
1594,0.9714,1.1796,0.9714
1515,1.0408,1.1102,1.249
1596,1.4572,1.0408,0.902
