habitat,fledg,sex,date,hour,age,wing,mass,TD,obs,tail,id
urb,6,2,02/05/16,15:39,2,72.5,16,18.97,AC,62,2
rur,8,2,15/05/12,10:20,1,72,16,18.67,PP,,6
rur,8,1,15/05/12,13:12,2,76,17.2,19.87,PP,,12
rur,9,1,15/05/12,11:40,2,68,19.1,20.57,PP,,19
rur,10,1,19/05/13,11:30,2,79.5,19.2,20.4,CL,,19
rur,10,1,16/07/13,11:00,2,77,18.5,20.62,PAM,,19
rur,5,2,22/05/12,08:35,1,75,17.6,19.04,PP,,37
rur,8,2,17/05/13,09:15,2,67,17.2,19.28,CL,,37
rur,7,2,13/05/14,11:05,2,75,16.5,19.12,AC,61,37
rur,5,1,22/05/12,11:20,2,79,18.5,19.69,PG,,996
rur,0,1,16/05/12,11:05,2,80,16.8,19.6,PG,,1088
rur,9,2,18/05/12,11:03,1,76,18.2,20.82,PG,,1166
rur,9,1,06/05/14,14:06,1,74,16,19.81,AC,65,1174
urb,0,2,17/05/13,08:50,2,74,17,19.74,AG,61,1183
urb,4,2,17/05/13,,2,72,16.1,19.6,AG,57.5,1191
urb,4,1,17/05/13,10:15,2,75,18.1,20.07,AG,63.5,1194
urb,6,1,17/05/13,,2,72.5,17.8,19.45,AG,61,1198
urb,3,1,17/04/14,09:40,2,80,16.9,19.75,AC,65,1198
urb,5,1,14/05/15,11:30,2,75,17.5,19.51,AC,65,1198
urb,7,1,04/05/16,13:30,2,75,16.4,19.72,VD,,1198
rur,10,1,02/05/14,12:41,1,73.5,17,19.79,AG,61,1224
rur,8,1,20/05/15,11:05,2,75,16.4,19.76,VD,61.5,1224
urb,0,1,28/04/16,09:00,1,70.5,16.25,18.8,AG,61,1233
urb,8,2,15/05/13,,2,73.5,16.3,18.95,ML,60,1271
urb,4,2,05/05/14,10:04,2,70.5,15.1,19.01,AC,61,1271
rur,4,1,06/05/14,09:01,1,77,17.5,20.47,AC,67,1283
rur,9,1,18/05/12,,2,74,,18.91,PG,,1294
rur,7,2,09/05/12,10:00,2,74,17.2,19.37,PG,,1295
rur,0,1,11/05/12,10:30,1,78,17.6,19.58,PG,,1297
rur,4,1,16/05/13,11:05,2,79,19.8,19.7,CL,65,1297
rur,7,1,11/05/12,12:55,,78,17.9,20.14,PG,,1309
rur,8,1,14/05/12,,1,77,,19.41,PG,,1314
rur,8,2,14/05/12,08:35,2,75,16.8,19.14,PG,,1318
rur,0,2,16/05/12,10:05,1,72,16.6,18.92,PG,,1325
rur,5,2,21/05/12,10:50,1,76,17.6,18.6,PG,,1333
