NID,FS,ND,LD,PID,NS,SES,AGE,SE,RA,MO,BS,BSM,EC,ECM,BM,TA,FA,FE
P24,1,1,119,P24P1,1,1,0,0,1,1,1,1,0,0,9.5,,,
P24,1,1,119,P24P1,0,2,,,,,,,,,,,,
P24,1,1,119,P24P1,0,3,,,,,,,,,,,,
P24,1,1,119,P24P1,0,4,,,,,,,,,,,,
P24,1,1,119,P24P1,0,5,,,,,,,,,,,,
P24,1,1,119,P24P2,0,1,,,,,,,,,,,,
P24,1,1,119,P24P2,0,2,,,,,,,,,,,,
P24,1,1,119,P24P2,0,3,,,,,,,,,,,,
P24,1,1,119,P24P2,0,4,,,,,,,,,,,,
P24,1,1,119,P24P2,0,5,,,,,,,,,,,,
P24,1,1,119,P24P3,0,1,,,,,,,,,,,,
P24,1,1,119,P24P3,0,2,,,,,,,,,,,,
P24,1,1,119,P24P3,0,3,,,,,,,,,,,,
P24,1,1,119,P24P3,0,4,,,,,,,,,,,,
P24,1,1,119,P24P3,0,5,,,,,,,,,,,,
P24,1,1,119,P24P4,0,1,,,,,,,,,,,,
P24,1,1,119,P24P4,0,2,,,,,,,,,,,,
P24,1,1,119,P24P4,0,3,,,,,,,,,,,,
P24,1,1,119,P24P4,0,4,,,,,,,,,,,,
P24,1,1,119,P24P4,0,5,,,,,,,,,,,,
P24,1,1,119,P24P5,0,1,,,,,,,,,,,,
P24,1,1,119,P24P5,0,2,,,,,,,,,,,,
P24,1,1,119,P24P5,0,3,,,,,,,,,,,,
P24,1,1,119,P24P5,0,4,,,,,,,,,,,,
P24,1,1,119,P24P5,0,5,,,,,,,,,,,,
P25,0,0,119,P25P1,1,1,1,1,2,0,3,3,,0,14,,,
P25,0,0,119,P25P1,0,2,4,1,2,,3,3,,0,33,,,
P25,0,0,119,P25P1,0,3,8,1,2,,3,3,0,0,68.6,,,
P25,0,0,119,P25P1,0,4,10,1,2,,3,3,0,0,102.2,27.5,38.2,
P25,0,0,119,P25P1,0,5,15,1,2,,3,3,,0,126,,,
P25,0,0,119,P25P2,1,1,1,1,3,0,3,3,,0.67,11,,,
P25,0,0,119,P25P2,0,2,4,1,3,,3,3,,0.67,27.5,,,
P25,0,0,119,P25P2,0,3,8,1,3,,3,3,0.33,0.67,54.4,,,
P25,0,0,119,P25P2,0,4,10,1,3,,3,3,0.67,0.67,79.2,23.1,34.5,
P25,0,0,119,P25P2,0,5,15,1,3,,3,3,,0.67,111.1,,,
P25,0,0,119,P25P3,1,1,1,1,1,0,3,3,,0,14.8,,,
P25,0,0,119,P25P3,0,2,4,1,1,,3,3,,0,35,,,
P25,0,0,119,P25P3,0,3,8,1,1,,3,3,0,0,71.4,,,
P25,0,0,119,P25P3,0,4,10,1,1,,3,3,0,0,102.4,27.8,37.1,
P25,0,0,119,P25P3,0,5,15,1,1,,3,3,,0,123.9,,,
P25,0,0,119,P25P4,0,1,,,,,,,,,,,,
P25,0,0,119,P25P4,0,2,,,,,,,,,,,,
P25,0,0,119,P25P4,0,3,,,,,,,,,,,,
P25,0,0,119,P25P4,0,4,,,,,,,,,,,,
P25,0,0,119,P25P4,0,5,,,,,,,,,,,,
P25,0,0,119,P25P5,0,1,,,,,,,,,,,,
P25,0,0,119,P25P5,0,2,,,,,,,,,,,,
P25,0,0,119,P25P5,0,3,,,,,,,,,,,,
P25,0,0,119,P25P5,0,4,,,,,,,,,,,,
P25,0,0,119,P25P5,0,5,,,,,,,,,,,,
P27,1,0,119,P27P1,0,1,,,,,,3,,,,,,
P27,1,0,119,P27P1,1,2,2,0,3,0,3,3,,1.67,23.7,,,
P27,1,0,119,P27P1,0,3,6,0,3,,3,3,0.67,1.67,63.9,,,
P27,1,0,119,P27P1,0,4,8,0,3,,3,3,1.67,1.67,87.1,23.1,32,
P27,1,0,119,P27P1,0,5,15,0,3,,3,3,,1.67,90.5,,,
P27,1,0,119,P27P2,1,1,0,0,2,0,2,3,,1.33,10.7,,,
P27,1,0,119,P27P2,0,2,3,0,2,,3,3,,1.33,24,,,
P27,1,0,119,P27P2,0,3,7,0,2,,3,3,1.33,1.33,64.4,,,
P27,1,0,119,P27P2,0,4,9,0,2,,3,3,1.33,1.33,80.1,22.5,32.3,
P27,1,0,119,P27P2,0,5,16,0,2,,3,3,,1.33,100.4,,,
P27,1,0,119,P27P3,1,1,0,1,1,0,2,3,,1.33,11.2,,,
P27,1,0,119,P27P3,0,2,3,1,1,,3,3,,1.33,27.7,,,
P27,1,0,119,P27P3,0,3,7,1,1,,3,3,1.33,1.33,70.8,,,
P27,1,0,119,P27P3,0,4,9,1,1,,3,3,1.33,1.33,86.9,23.8,31.9,
P27,1,0,119,P27P3,0,5,16,1,1,,3,3,,1.33,109.5,,,
P27,1,0,119,P27P4,0,1,,,,,,,,,,,,
P27,1,0,119,P27P4,0,2,,,,,,,,,,,,
P27,1,0,119,P27P4,0,3,,,,,,,,,,,,
P27,1,0,119,P27P4,0,4,,,,,,,,,,,,
P27,1,0,119,P27P4,0,5,,,,,,,,,,,,
P27,1,0,119,P27P5,0,1,,,,,,,,,,,,
P27,1,0,119,P27P5,0,2,,,,,,,,,,,,
P27,1,0,119,P27P5,0,3,,,,,,,,,,,,
P27,1,0,119,P27P5,0,4,,,,,,,,,,,,
P27,1,0,119,P27P5,0,5,,,,,,,,,,,,
P18,1,0,119,P18P1,1,1,2,1,2,0,4,4,,0.67,18,,,
P18,1,0,119,P18P1,0,2,5,1,2,,4,4,,0.67,41,,,
P18,1,0,119,P18P1,0,3,9,1,2,,4,4,0,0.67,75.2,,,
P18,1,0,119,P18P1,0,4,11,1,2,,3,4,0.67,0.67,111.6,28,39.9,
P18,1,0,119,P18P1,0,5,16,1,2,,3,4,,0.67,116.2,,,
P18,1,0,119,P18P2,1,1,2,0,1,0,4,4,,0,18.8,,,
P18,1,0,119,P18P2,0,2,5,0,1,,4,4,,0,45.7,,,
P18,1,0,119,P18P2,0,3,9,0,1,,4,4,0,0,78.3,,,
P18,1,0,119,P18P2,0,4,11,0,1,,3,4,0,0,106.1,27.1,39.4,
P18,1,0,119,P18P2,0,5,16,0,1,,3,4,,0,113.9,,,
P18,1,0,119,P18P3,1,1,2,0,3,0,4,4,,1,17.4,,,
P18,1,0,119,P18P3,0,2,5,0,3,,4,4,,1,45.1,,,
P18,1,0,119,P18P3,0,3,9,0,3,,4,4,0,1,78.3,,,
P18,1,0,119,P18P3,0,4,11,0,3,,3,4,1,1,122.3,27.9,,
P18,1,0,119,P18P3,0,5,16,0,3,,3,4,,1,131.8,,,
P18,1,0,119,P18P4,1,1,2,0,4,1,4,4,,2,10.8,,,
P18,1,0,119,P18P4,0,2,5,0,4,,4,4,,2,22,,,
P18,1,0,119,P18P4,0,3,9,0,4,,4,4,2,2,22.5,,,
P18,1,0,119,P18P4,0,4,,,,,,,,,,,,
P18,1,0,119,P18P4,0,5,,,,,,,,,,,,
P18,1,0,119,P18P5,0,1,,,,,,,,,,,,
P18,1,0,119,P18P5,0,2,,,,,,,,,,,,
P18,1,0,119,P18P5,0,3,,,,,,,,,,,,
P18,1,0,119,P18P5,0,4,,,,,,,,,,,,
P18,1,0,119,P18P5,0,5,,,,,,,,,,,,
P52,0,1,119,P52P1,1,1,0,,2,1,3,5,,1,10,,,
P52,0,1,119,P52P1,0,2,3,,2,,5,5,1,1,12.5,,,
P52,0,1,119,P52P1,0,3,,,,,,,,,,,,
P52,0,1,119,P52P1,0,4,,,,,,,,,,,,
P52,0,1,119,P52P1,0,5,,,,,,,,,,,,
P52,0,1,119,P52P2,1,1,0,,1,1,3,5,,2,10.1,,,
P52,0,1,119,P52P2,0,2,3,,1,,5,5,2,2,13.7,,,
P52,0,1,119,P52P2,0,3,,,,,,,,,,,,
P52,0,1,119,P52P2,0,4,,,,,,,,,,,,
P52,0,1,119,P52P2,0,5,,,,,,,,,,,,
P52,0,1,119,P52P3,1,1,0,,3,1,3,5,,0.33,9.6,,,
P52,0,1,119,P52P3,0,2,3,,3,,5,5,0.33,0.33,9.5,,,
P52,0,1,119,P52P3,0,3,,,,,,,,,,,,
P52,0,1,119,P52P3,0,4,,,,,,,,,,,,
P52,0,1,119,P52P3,0,5,,,,,,,,,,,,
P52,0,1,119,P52P4,0,1,,,,,,,,,,,,
P52,0,1,119,P52P4,1,2,1,,4,1,5,5,0,0,9.4,,,
P52,0,1,119,P52P4,0,3,,,,,,,,,,,,
P52,0,1,119,P52P4,0,4,,,,,,,,,,,,
P52,0,1,119,P52P4,0,5,,,,,,,,,,,,
P52,0,1,119,P52P5,0,1,,,,,,,,,,,,
P52,0,1,119,P52P5,1,2,1,,5,1,5,5,0,0,9,,,
P52,0,1,119,P52P5,0,3,,,,,,,,,,,,
P52,0,1,119,P52P5,0,4,,,,,,,,,,,,
P52,0,1,119,P52P5,0,5,,,,,,,,,,,,
G52,0,0,119,G52P1,1,1,0,1,2,0,2,3,,1.67,14,,,
G52,0,0,119,G52P1,0,2,2,1,2,,3,3,,1.67,25.6,,,
G52,0,0,119,G52P1,0,3,5,1,2,,3,3,1.67,1.67,46.9,,,
G52,0,0,119,G52P1,0,4,7,1,2,,3,3,1,1.67,74.6,24.4,31,
G52,0,0,119,G52P1,0,5,14,1,2,,3,3,,1.67,123.8,,,
G52,0,0,119,G52P2,1,1,0,0,1,0,2,3,,1.33,16.4,,,
G52,0,0,119,G52P2,0,2,2,0,1,,3,3,,1.33,33,,,
G52,0,0,119,G52P2,0,3,5,0,1,,3,3,1.33,1.33,54.9,,,
G52,0,0,119,G52P2,0,4,7,0,1,,3,3,0,1.33,80.8,26.2,32,
G52,0,0,119,G52P2,0,5,14,0,1,,3,3,,1.33,130.5,,,
G52,0,0,119,G52P3,0,1,,,,,,,,,,,,
G52,0,0,119,G52P3,0,2,,,,,,,,,,,,
G52,0,0,119,G52P3,0,3,,,,,,,,,,,,
G52,0,0,119,G52P3,0,4,,,,,,,,,,,,
G52,0,0,119,G52P3,0,5,,,,,,,,,,,,
G52,0,0,119,G52P4,0,1,,,,,,,,,,,,
G52,0,0,119,G52P4,0,2,,,,,,,,,,,,
G52,0,0,119,G52P4,0,3,,,,,,,,,,,,
G52,0,0,119,G52P4,0,4,,,,,,,,,,,,
G52,0,0,119,G52P4,0,5,,,,,,,,,,,,
G52,0,0,119,G52P5,0,1,,,,,,,,,,,,
G52,0,0,119,G52P5,1,2,2,1,3,0,3,3,,0.67,14.8,,,
G52,0,0,119,G52P5,0,3,5,1,3,,3,3,0.67,0.67,25.9,,,
G52,0,0,119,G52P5,0,4,7,1,3,,3,3,0.67,0.67,43.2,18.4,22,
G52,0,0,119,G52P5,0,5,14,1,3,,3,3,,0.67,97.7,,,
G55,1,0,119,G55P1,1,1,0,0,1,0,2,4,1.33,1.67,13.1,,,
G55,1,0,119,G55P1,0,2,2,0,1,,2,4,1.67,1.67,24.3,,,
G55,1,0,119,G55P1,0,3,5,0,1,,3,4,0.67,1.67,55.7,,,
G55,1,0,119,G55P1,0,4,7,0,1,,4,4,0.33,1.67,67.5,21.8,30.9,
