"band","year","sex","age","mass","tarsus","wingChord","nestID","laydate","incdate","hatchdate","fledgedate","dateMeas2","year2","diff","Period"
"231194929",2017,"M","AHY",20.5,13.7,120,"BGG1",126,131,,149,141,43,15,"Incubation"
"156134689",1999,"M","SY",20.5,,125,"BGH6",134,,154,,159,25,25,"Nestling"
"156134689",1999,"M","SY",20.5,,125,"BGH6",134,,154,,159,25,25,"Nestling"
"156134689",2000,"M","3Y",21.3,16,127,"BGH4",130,136,151,157,157,26,27,"Nestling"
"156134689",2000,"M","3Y",21.3,16,127,"BGH4",130,136,151,157,157,26,27,"Nestling"
"156134689",2001,"M","4Y",22,,124,"BGH6",134,139,153,173,162,27,28,"Nestling"
"156134689",2001,"M","4Y",22,,124,"BGH6",134,139,153,173,162,27,28,"Nestling"
"156134696",2001,"F","SY",21.5,,117,"STA2",130,135,149,171,159,27,29,"Nestling"
"231194907",2017,"M","AHY",20.5,14.9,119,"AGJ20",122,128,144,155,135,43,13,"Incubation"
"231194908",2017,"F","ASY",22.5,15.8,117,"AGJ22",127,132,146,161,135,43,8,"Incubation"
"231194909",2017,"M","AHY",23.5,14.8,120,"AGL18",128,133,147,161,135,43,7,"Incubation"
"200003064",1984,"F","SY",,,110,"NES108",164,168,184,,189,10,25,"Nestling"
"200003064",1984,"F","SY",,,110,"NES108",164,168,184,,189,10,25,"Nestling"
"200003058",1984,"F","SY",18.4,,114,"HU104",163,166,181,,184,10,21,"Nestling"
"200003058",1984,"F","SY",18.4,,114,"HU104",163,166,181,,184,10,21,"Nestling"
"200003059",1984,"F","SY",20,,112,"GCKS4",166,170,159,191,188,10,22,"Nestling"
"200003059",1984,"F","SY",20,,112,"GCKS4",166,170,159,191,188,10,22,"Nestling"
"231194996",2017,"M","AHY",23,13.7,118,"AGK25",128,133,147,161,156,43,28,"Nestling"
"311142916",1997,"M","AHY",23,11.83,122,"BLC2",153,156,170,,176,23,23,"Nestling"
"311142916",1997,"M","AHY",23,11.83,122,"BLC2",153,156,170,,176,23,23,"Nestling"
"231194970",2017,"F","ASY",19.5,13.7,116,"TGD2",137,140,155,176,152,43,15,"Incubation"
"231194971",2017,"F","SY",21.5,14,113,"TGB2",135,140,155,173,152,43,17,"Incubation"
"231194972",2017,"F","SY",24.5,13.4,111,"LSB2",137,142,156,176,152,43,15,"Incubation"
"231194973",2017,"F","SY",22.2,14.4,114,"LSC7",136,141,156,158,152,43,16,"Incubation"
"231194974",2017,"F","ASY",26,13.9,115,"HUZ1",139,142,156,173,152,43,13,"Incubation"
"231194974",2017,"F","ASY",19,14.4,116,"HUZ1",139,142,156,173,167,43,28,"Nestling"
"156134604",2000,"F","4Y",21,15,118,"TGB4",137,142,156,164,147,26,10,"Incubation"
"156134604",2000,"F","4Y",,,,"TGB4",137,142,156,164,147,26,10,"Incubation"
"156134604",2000,"F","4Y",20.6,14.8,118,"TGB4",137,142,156,164,162,26,25,"Nestling"
"231194975",2017,"F","ASY",22.5,13.7,115,"HUD6",135,139,153,171,152,43,17,"Incubation"
"156134605",1999,"F","3Y",18,,117.5,"BGG5",136,,155,,160,25,24,"Nestling"
"156134606",1998,"F","SY",21.8,14.98,113,"OR3",146,149,164,183,160,24,14,"Incubation"
"156134606",1998,"F","SY",21.8,14.98,113,"OR3",146,149,164,183,160,24,14,"Incubation"
"156134607",1998,"F","ASY",21.6,15.57,118.5,"OR15",146,151,167,186,160,24,14,"Incubation"
"156134607",1998,"F","ASY",21.6,15.57,118.5,"OR15",146,151,167,186,160,24,14,"Incubation"
"156134608",1998,"F","SY",18,14.27,111.5,"BS1",142,146,160,165,160,24,18,"Nestling"
"156134608",1998,"F","SY",18,14.27,111.5,"BS1",142,146,160,165,160,24,18,"Nestling"
"156134609",1998,"F","SY",19.6,14.86,112,"NESF10",147,151,,,160,24,13,"Incubation"
"156134609",1998,"F","SY",19.6,14.86,112,"NESF10",147,151,,,160,24,13,"Incubation"
"231194989",2017,"M","AHY",19.75,14.3,118,"AGL22",132,138,152,171,156,43,24,"Nestling"
"231194952",2017,"M","AHY",21.5,14.4,119,"BGF4",131,135,149,158,145,43,14,"Incubation"
"231194953",2017,"F","ASY",23.5,13.2,113,"BGF4",131,135,149,158,145,43,14,"Incubation"
"231194954",2017,"F","SY",20,13.1,113,"BGE1",131,136,,149,146,43,15,"Incubation"
"231194955",2017,"F","ASY",23,13.1,115,"BGF6",131,136,150,169,146,43,15,"Incubation"
"231194956",2017,"F","ASY",20.5,13.5,113,"HUQ1",132,137,151,160,147,43,15,"Incubation"
"231194958",2017,"F","ASY",19,13.2,110,"LSD4",132,137,153,160,147,43,15,"Incubation"
"231194959",2017,"M","AHY",22,12.1,125,"BGE1",131,136,,149,147,43,16,"Incubation"
"231194961",2017,"F","ASY",18.5,15,113,"LSC5",136,141,155,176,148,43,12,"Incubation"
"231194962",2017,"F","ASY",23,13.7,118,"NBE1",132,138,153,171,148,43,16,"Incubation"
"231194963",2017,"F","ASY",21,14.4,113,"BGE7",134,139,152,176,149,43,15,"Incubation"
"156134633",1998,"F","SY",22.5,14.75,116,"BGJ2",151,154,,,164,24,13,"Incubation"
"156134633",1998,"F","SY",22.5,14.75,116,"BGJ2",151,154,,,164,24,13,"Incubation"
"231194964",2017,"F","SY",20.5,12.7,113,"BGH6",136,140,154,171,150,43,14,"Incubation"
"231194964",2017,"F","SY",20.7,13.1,115,"BGH6",136,140,154,171,165,43,29,"Nestling"
"231194965",2017,"F","ASY",22,14,109,"BGH2",134,140,154,173,150,43,16,"Incubation"
"231194966",2017,"F","ASY",23,13.4,115,"BGC5",134,140,154,176,150,43,16,"Incubation"
"231194967",2017,"F","ASY",21,13.6,113,"SRBB4",135,139,155,171,151,43,16,"Incubation"
"231194968",2017,"F","SY",22,14.5,111,"BGI3",137,141,155,179,152,43,15,"Incubation"
"231194969",2017,"F","ASY",21.5,14.3,115,"NBB4",137,141,156,174,152,43,15,"Incubation"
"156134754",1999,"F","ASY",19,,118.5,"HUX3",134,,152,,157,25,23,"Nestling"
"156134754",2000,"F","A3Y",20,14,120,"HUX1",131,136,150,170,140,26,9,"Incubation"
"156134754",2000,"F","A3Y",,,,"HUX1",131,136,150,170,140,26,9,"Incubation"
"156134754",2000,"F","A3Y",20.3,13.9,120,"HUX1",131,136,150,170,155,26,24,"Nestling"
"156134754",2001,"F","A4Y",19.4,,119,"HUX3",129,134,148,168,157,27,28,"Nestling"
"156134754",2001,"F","A4Y",19.4,,119,"HUX3",129,134,148,168,157,27,28,"Nestling"
"156134770",1999,"M","AHY",21.3,,122,"BLD6",144,,,,165,25,21,"Nestling"
"156134770",1999,"M","AHY",21.3,,122,"BLD6",144,,,,165,25,21,"Nestling"
"156134775",1999,"F","ASY",19.5,,118.5,"BGB4",131,,150,,155,25,24,"Nestling"
"156134775",2000,"F","A3Y",20,16,117,"BGC5",128,133,147,164,132,26,4,"Incubation"
"156134775",2000,"F","A3Y",,,,"BGC5",128,133,147,164,132,26,4,"Incubation"
"156134775",2000,"F","A3Y",20.2,15.6,117,"BGC5",128,133,147,164,151,26,23,"Nestling"
