"nestlingID","nestID","year","age","hatchdate","hatchsize","fledgedate","fledgesize","mass","tarsus","ninprim","year2"
"1997-HUMP nestling 8","1997-HUMP",1997,15,155,6,174,9,17.4,14.7,43,2
"2000-BGC3 nestling 1","2000-BGC3",2000,10,152,6,177,4,19.3,,30,2.3
"1983-GCAS4 nestling 1","1983-GCAS4",1983,12,156,6,178,3,20.2,,,0.6
"1983-GCAS4 nestling 1","1983-GCAS4",1983,15,156,6,178,3,21.1,,,0.6
"1990-SPB2 nestling 1","1990-SPB2",1990,12,154,6,175,6,20.5,,24,1.3
"2000-BGC3 nestling 2","2000-BGC3",2000,10,152,6,177,4,19.1,,31,2.3
"1983-GCAS4 nestling 2","1983-GCAS4",1983,11,156,6,178,3,18.7,,,0.6
"1983-GCAS4 nestling 2","1983-GCAS4",1983,14,156,6,178,3,21,,,0.6
"1990-SPB2 nestling 2","1990-SPB2",1990,12,154,6,175,6,22.5,,24,1.3
"2000-BGC3 nestling 3","2000-BGC3",2000,10,152,6,177,4,12.5,,23,2.3
"1983-GCAS4 nestling 3","1983-GCAS4",1983,11,156,6,178,3,20.6,,,0.6
"1983-GCAS4 nestling 3","1983-GCAS4",1983,14,156,6,178,3,21.5,,,0.6
"1990-SPB2 nestling 3","1990-SPB2",1990,12,154,6,175,6,22.5,,21,1.3
"2000-BGC3 nestling 4","2000-BGC3",2000,10,152,6,177,4,19.3,,32,2.3
"1983-GCAS4 nestling 4","1983-GCAS4",1983,12,156,6,178,3,17.8,,,0.6
"1983-GCAS4 nestling 4","1983-GCAS4",1983,15,156,6,178,3,21.4,,,0.6
"1990-SPB2 nestling 4","1990-SPB2",1990,12,154,6,175,6,23,,24,1.3
"2000-BGC3 nestling 5","2000-BGC3",2000,10,152,6,177,4,13.9,,26,2.3
"1983-GCAS4 nestling 5","1983-GCAS4",1983,11,156,6,178,3,18.9,,,0.6
"1983-GCAS4 nestling 5","1983-GCAS4",1983,14,156,6,178,3,21.5,,,0.6
"1990-SPB2 nestling 5","1990-SPB2",1990,12,154,6,175,6,23,,24,1.3
"2000-BGC3 nestling 6","2000-BGC3",2000,10,152,6,177,4,17.4,,30,2.3
"1983-GCAS4 nestling 6","1983-GCAS4",1983,11,156,6,178,3,19.9,,,0.6
"1983-GCAS4 nestling 6","1983-GCAS4",1983,14,156,6,178,3,21,,,0.6
"1990-SPB2 nestling 6","1990-SPB2",1990,12,154,6,175,6,23.5,,26,1.3
"2000-BLG4 (2) nestling 1","2000-BLG4 (2)",2000,10,179,3,200,3,20.9,,45,2.3
"2005-TGE3 nestling 1","2005-TGE3",2005,10,155,6,177,2,21.25,12.23,42,2.8
"2000-BLG4 (2) nestling 2","2000-BLG4 (2)",2000,10,179,3,200,3,18.7,,40,2.3
"2005-TGE3 nestling 2","2005-TGE3",2005,10,155,6,177,2,17,12.42,35,2.8
"2000-BLG4 (2) nestling 3","2000-BLG4 (2)",2000,10,179,3,200,3,22.1,,44,2.3
