"NestlingID","NestID","HatchSize","HatchDate","FledgeDate","FledgeSuccess","whyFail","Renest","Mass","Tarsus","Wingchord","Date","Age","MaxTemp3day","MeanTemp3day","MeanWindspeed3day","TotalRainFall3day","ThermoReg"
"2017-SRBA1 (2) nestling 1","SRBA1",5,182,198,0,"PREDATION","First",7.82,11.7,,186,4,24,18.8333333333333,1.21689181033333,6.8,"Poikilotherm"
"2017-SRBA1 (2) nestling 1","SRBA1",5,182,198,0,"PREDATION","First",21,14.1,60,194,12,24.3333333333333,20.6,1.15462783166667,18,"Endotherm"
"2017-SRBA1 (2) nestling 2","SRBA1",5,182,198,0,"PREDATION","First",4.44,9.1,,186,4,24,18.8333333333333,1.21689181033333,6.8,"Poikilotherm"
"2017-SRBA1 (2) nestling 2","SRBA1",5,182,198,0,"PREDATION","First",15,13.7,41,194,12,24.3333333333333,20.6,1.15462783166667,18,"Endotherm"
"2017-SRBA1 (2) nestling 3","SRBA1",5,182,198,0,"PREDATION","First",3.17,8.2,,186,4,24,18.8333333333333,1.21689181033333,6.8,"Poikilotherm"
"2017-SRBA1 (2) nestling 3","SRBA1",5,182,198,0,"PREDATION","First",17.2,13.7,55,194,12,24.3333333333333,20.6,1.15462783166667,18,"Endotherm"
"2017-SRBA1 (2) nestling 4","SRBA1",5,182,198,0,"PREDATION","First",8.12,10.3,,186,4,24,18.8333333333333,1.21689181033333,6.8,"Poikilotherm"
"2017-SRBA1 (2) nestling 4","SRBA1",5,182,198,0,"PREDATION","First",17.5,12.8,55,194,12,24.3333333333333,20.6,1.15462783166667,18,"Endotherm"
"2017-SRBA1 (2) nestling 5","SRBA1",5,182,198,0,"PREDATION","First",6.72,9.7,,186,4,24,18.8333333333333,1.21689181033333,6.8,"Poikilotherm"
"2017-HUD2 nestling 1","HUD2",4,144,167,1,"","First",2.57,,,146,2,18,15.5,0.476454545,21.8,"Poikilotherm"
"2017-HUD2 nestling 1","HUD2",4,144,167,1,"","First",4.35,7.4,,148,4,18.5,15.2666666666667,0.690860074333333,22.8,"Poikilotherm"
"2017-HUD2 nestling 1","HUD2",4,144,167,1,"","First",9.03,9.5,,150,6,19.6666666666667,15.2,0.718091676,12.4,"Poikilotherm"
"2017-HUD2 nestling 1","HUD2",4,144,167,1,"","First",19.25,14.8,,154,10,18,13.3666666666667,1.899030303,0.4,"Endotherm"
"2017-HUD2 nestling 1","HUD2",4,144,167,1,"","First",20.5,13.7,50,156,12,17,11.1333333333333,1.615363636,2.8,"Endotherm"
"2017-HUD2 nestling 2","HUD2",4,144,167,1,"","First",1.71,,,146,2,18,15.5,0.476454545,21.8,"Poikilotherm"
"2017-HUD2 nestling 2","HUD2",4,144,167,1,"","First",5.74,8,,148,4,18.5,15.2666666666667,0.690860074333333,22.8,"Poikilotherm"
"2017-HUD2 nestling 2","HUD2",4,144,167,1,"","First",10.76,12.5,,150,6,19.6666666666667,15.2,0.718091676,12.4,"Poikilotherm"
"2017-HUD2 nestling 2","HUD2",4,144,167,1,"","First",20.25,13.3,,154,10,18,13.3666666666667,1.899030303,0.4,"Endotherm"
"2017-HUD2 nestling 2","HUD2",4,144,167,1,"","First",19.5,13.7,53,156,12,17,11.1333333333333,1.615363636,2.8,"Endotherm"
"2017-HUD2 nestling 3","HUD2",4,144,167,1,"","First",2.91,,,146,2,18,15.5,0.476454545,21.8,"Poikilotherm"
"2017-HUD2 nestling 3","HUD2",4,144,167,1,"","First",6.68,10,,148,4,18.5,15.2666666666667,0.690860074333333,22.8,"Poikilotherm"
"2017-HUD2 nestling 3","HUD2",4,144,167,1,"","First",9.4,12.3,,150,6,19.6666666666667,15.2,0.718091676,12.4,"Poikilotherm"
"2017-HUD2 nestling 3","HUD2",4,144,167,1,"","First",19.5,14.1,,154,10,18,13.3666666666667,1.899030303,0.4,"Endotherm"
"2017-HUD2 nestling 3","HUD2",4,144,167,1,"","First",19.5,14.2,56,156,12,17,11.1333333333333,1.615363636,2.8,"Endotherm"
"2017-HUD2 nestling 4","HUD2",4,144,167,1,"","First",2.28,,,146,2,18,15.5,0.476454545,21.8,"Poikilotherm"
"2017-HUD2 nestling 4","HUD2",4,144,167,1,"","First",5.35,8.1,,148,4,18.5,15.2666666666667,0.690860074333333,22.8,"Poikilotherm"
"2017-HUD2 nestling 4","HUD2",4,144,167,1,"","First",12.55,11.4,,150,6,19.6666666666667,15.2,0.718091676,12.4,"Poikilotherm"
"2017-HUD2 nestling 4","HUD2",4,144,167,1,"","First",21.25,14.6,,154,10,18,13.3666666666667,1.899030303,0.4,"Endotherm"
"2017-HUD2 nestling 4","HUD2",4,144,167,1,"","First",20,14.2,49,156,12,17,11.1333333333333,1.615363636,2.8,"Endotherm"
"2017-HUD4 nestling 1","HUD4",5,155,164,0,"PREDATION","First",4.45,,,157,2,17,12.1333333333333,1.00463636333333,6,"Poikilotherm"
"2017-HUD4 nestling 1","HUD4",5,155,164,0,"PREDATION","First",14.25,13,,161,6,24.3333333333333,16.6,0.839363636666667,1.6,"Poikilotherm"
"2017-HUD4 nestling 2","HUD4",5,155,164,0,"PREDATION","First",2.23,,,157,2,17,12.1333333333333,1.00463636333333,6,"Poikilotherm"
"2017-HUD4 nestling 2","HUD4",5,155,164,0,"PREDATION","First",8.25,10.8,,161,6,24.3333333333333,16.6,0.839363636666667,1.6,"Poikilotherm"
"2017-HUD4 nestling 3","HUD4",5,155,164,0,"PREDATION","First",3.24,,,157,2,17,12.1333333333333,1.00463636333333,6,"Poikilotherm"
"2017-HUD4 nestling 3","HUD4",5,155,164,0,"PREDATION","First",11.5,12.2,,161,6,24.3333333333333,16.6,0.839363636666667,1.6,"Poikilotherm"
"2017-HUD4 nestling 4","HUD4",5,155,164,0,"PREDATION","First",3.48,,,157,2,17,12.1333333333333,1.00463636333333,6,"Poikilotherm"
"2017-HUD4 nestling 4","HUD4",5,155,164,0,"PREDATION","First",12.75,12.1,,161,6,24.3333333333333,16.6,0.839363636666667,1.6,"Poikilotherm"
"2017-HUD6 nestling 1","HUD6",5,153,171,0.8,"","First",4.32,,,155,2,17.8333333333333,11.7,1.77299999966667,0,"Poikilotherm"
"2017-HUD6 nestling 1","HUD6",5,153,171,0.8,"","First",12,12.8,,159,6,17.1666666666667,13.3666666666667,0.703121212,20.6,"Poikilotherm"
"2017-HUD6 nestling 1","HUD6",5,153,171,0.8,"","First",21.25,13.5,32,163,10,26,20.2666666666667,0.974272727333333,1.6,"Endotherm"
"2017-HUD6 nestling 1","HUD6",5,153,171,0.8,"","First",21.5,13.8,53,165,12,27.5,22.7,1.46187878766667,0,"Endotherm"
"2017-HUD6 nestling 2","HUD6",5,153,171,0.8,"","First",5.66,,,155,2,17.8333333333333,11.7,1.77299999966667,0,"Poikilotherm"
"2017-HUD6 nestling 2","HUD6",5,153,171,0.8,"","First",14.75,12.9,,159,6,17.1666666666667,13.3666666666667,0.703121212,20.6,"Poikilotherm"
"2017-HUD6 nestling 2","HUD6",5,153,171,0.8,"","First",21.75,14.1,31.5,163,10,26,20.2666666666667,0.974272727333333,1.6,"Endotherm"
"2017-HUD6 nestling 2","HUD6",5,153,171,0.8,"","First",22.5,14.3,54,165,12,27.5,22.7,1.46187878766667,0,"Endotherm"
"2017-HUD6 nestling 3","HUD6",5,153,171,0.8,"","First",5.59,,,155,2,17.8333333333333,11.7,1.77299999966667,0,"Poikilotherm"
"2017-HUD6 nestling 3","HUD6",5,153,171,0.8,"","First",14.5,13,,159,6,17.1666666666667,13.3666666666667,0.703121212,20.6,"Poikilotherm"
"2017-HUD6 nestling 3","HUD6",5,153,171,0.8,"","First",19.5,13.8,34,163,10,26,20.2666666666667,0.974272727333333,1.6,"Endotherm"
"2017-HUD6 nestling 3","HUD6",5,153,171,0.8,"","First",19.2,13.6,43,165,12,27.5,22.7,1.46187878766667,0,"Endotherm"
"2017-HUD6 nestling 4","HUD6",5,153,171,0.8,"","First",5.87,,,155,2,17.8333333333333,11.7,1.77299999966667,0,"Poikilotherm"
"2017-HUD6 nestling 4","HUD6",5,153,171,0.8,"","First",14.75,12.6,,159,6,17.1666666666667,13.3666666666667,0.703121212,20.6,"Poikilotherm"
"2017-HUD6 nestling 4","HUD6",5,153,171,0.8,"","First",20.5,13.4,33,163,10,26,20.2666666666667,0.974272727333333,1.6,"Endotherm"
"2017-HUD6 nestling 4","HUD6",5,153,171,0.8,"","First",20,14.1,56,165,12,27.5,22.7,1.46187878766667,0,"Endotherm"
"2017-HUD6 nestling 5","HUD6",5,153,171,0.8,"","First",3.2,,,155,2,17.8333333333333,11.7,1.77299999966667,0,"Poikilotherm"
"2017-HUD6 nestling 5","HUD6",5,153,171,0.8,"","First",9,10.7,,159,6,17.1666666666667,13.3666666666667,0.703121212,20.6,"Poikilotherm"
"2017-HUD6 nestling 5","HUD6",5,153,171,0.8,"","First",18.5,13.4,34,163,10,26,20.2666666666667,0.974272727333333,1.6,"Endotherm"
"2017-HUD6 nestling 5","HUD6",5,153,171,0.8,"","First",21,13.2,45,165,12,27.5,22.7,1.46187878766667,0,"Endotherm"
"2017-HUC1 nestling 1","HUC1",5,155,173,0.6,"","First",6.91,,,159,4,17.1666666666667,13.3666666666667,0.703121212,20.6,"Poikilotherm"
"2017-HUC1 nestling 1","HUC1",5,155,173,0.6,"","First",14.25,14.3,,163,8,26,20.2666666666667,0.974272727333333,1.6,"Intermediate"
"2017-HUC1 nestling 1","HUC1",5,155,173,0.6,"","First",17.75,14.6,40.5,165,10,27.5,22.7,1.46187878766667,0,"Endotherm"
"2017-HUC1 nestling 1","HUC1",5,155,173,0.6,"","First",17,14.5,50,167,12,23.6666666666667,19.2,0.885713333333333,12.6,"Endotherm"
