BoxID,Group,Year,Total_blowflies,Blowflies_percap,Parasitized,BoxOrientation,BoxOrientation_category,BroodSize,CIDJulian,EarlyOrLate,d0,d8_Julian,d8_dry_insect_mass,Nestling_OD_average,Nest_Hb_average,d8_dryfood_avg,d8_feeding,d8_feeding_per_min,d8_feeding_per_min_per_nestling,Fledging_day_Julian,FledgingAge,Fraction_fledged,Parasites_per_nestling,Mom_age,Mom_first_capture_julian,Mom_first_capture_nestling_day,Mom_second_capture_julian,Mom_second_capture_nestling_day,Mom_firstcap_wing,Mom_firstcap_tarsus,Mom_firstcap_mass,Mom_firstcap_Hb_avg,Mom_firstcap_OD_value,Mom_firstcap_OD_plate_number,Mom_secondcap_wing,Mom_secondcap_tarsus,Mom_secondcap_mass,Mom_secondcap_Hb_avg,Hb_diff,Mom_secondcap_OD_value,Mom_secondcap_OD_plate_number,OD_diff,Mass_diff,larvae,pupae,EmptyPupalCases,TOTAL,Mites0or1,Fleas0or1,Nest_grass_mg,Nest_feces_mg,Nest_feathers_mg,Nest_feathers_count,Nest_dust_mg,Nest_stones_count,Nest_stones_mass,Nest_twigs_etc_mg,Nest_Mass_mg,NestMass_wo_feathers
27_2014,permethrin,2014,0,0,No,164,South,5,132,Early,150,158,143.6,0.02,13.98,66,10,0.333333333,0.066666667,170,20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,11449.2,6304.4,837.1,NA,11962,12,549.1,0,12286.3,NA
51_2014,permethrin,2014,0,0,No,116,Southeast,5,133,Early,150,158,143.6,0.0235,11.26,66,16,0.533333333,0.106666667,169,19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,8521.6,6613.8,1075.9,NA,14339.3,4,219.6,0,9597.5,NA
237_2014,permethrin,2014,0,0,No,42,Northeast,5,133,Early,151,159,89.9,0.146,12.94,90.7,10,0.333333333,0.066666667,171,20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,7896.9,8850.8,1665.4,NA,11881.6,1,86.3,0,9562.3,NA
89_2014,permethrin,2014,8,1.6,Yes,106,East,5,133,Early,152,160,15.7,0.037,11.94,83.1,9,0.3,0.06,171,19,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,6,8,0,0,7688.6,7424.5,1805.1,NA,12091,0,0,0,9493.7,NA
62_2014,permethrin,2014,0,0,No,42,Northeast,5,136,Late,153,161,39.6,0.058,12.26,48.4,11,0.366666667,0.073333333,174,21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,14751.1,8990,1281.1,NA,8874.8,3,227.3,10.1,16042.3,NA
103_2014,permethrin,2014,0,0,No,264,West,5,136,Late,153,161,39.6,0.0605,12.36,48.4,24,0.8,0.16,173,20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,12040.6,10803,1614.1,NA,12080.8,5,196.6,0,13654.7,NA
87_2014,permethrin,2014,0,0,No,344,North,6,136,Late,154,162,36.4,0,13.1,30.6,13,0.433333333,0.072222222,175,21,0.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,11555.9,18203.5,1328,NA,20114.9,12,496.5,0,12883.9,NA
321_2014,permethrin,2014,0,NA,No,168,South,NA,138,Late,155,163,5.6,0,12.7,27.2,5,0.166666667,NA,178,23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,11173.9,35243.6,2242,NA,21551.1,16,1012.7,0,13415.9,NA
68_2014,permethrin,2014,0,0,No,284,West,6,138,Late,156,164,43.2,0.009,12.63333333,28.4,NA,NA,NA,177,20,0.83,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10079.1,14821.2,1158.7,NA,19381.2,3,124.2,0,11237.8,NA
75_2014,permethrin,2014,0,0,No,58,Northeast,5,141,Late,158,166,142.6,0.0405,12.06,102.7,11,0.366666667,0.073333333,180,22,0.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10827.1,21521.5,1032,NA,29512.8,0,0,102.2,11961.3,NA
46_2014,permethrin,2014,0,0,No,82,East,2,143,Late,162,170,75.9,NA,NA,119.9,7,0.233333333,0.116666667,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10863.9,113.7,569.3,NA,0,0,0,0,11433.2,NA
101_2014,permethrin,2014,0,0,No,296,Northwest,5,149,Late,167,175,41,0.111,13.2,55.5,9,0.3,0.06,186,19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4933.5,9508.5,2693.4,NA,16420,2,38.7,1517.8,9144.7,NA
88_2014,water,2014,53,10.6,Yes,90,East,5,132,Early,150,158,143.6,0.065,11.25,66,21,0.7,0.14,169,19,0.8,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,42,8,53,1,0,7688.6,7424.5,1805.1,NA,12091,0,0,0,9493.7,NA
108_2014,water,2014,1,0.166666667,Yes,10,North,6,131,Early,150,158,143.6,0.026,12.5,66,22,0.733333333,0.122222222,170,20,1,0.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,9699.8,18930.3,458.5,NA,24823.3,0,0,0,10158.3,NA
23_2014,water,2014,41,8.2,Yes,260,West,5,134,Early,151,159,89.9,0.161,12.8,90.7,25,0.833333333,0.166666667,172,21,0.6,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,21,0,41,1,1,16716.3,5038.6,2001.3,NA,7494.5,26,1193.5,0,18717.6,NA
26_2014,water,2014,22,4.4,Yes,256,West,5,135,Early,152,160,15.7,0.053,12.22,83.1,15,0.5,0.1,172,20,1,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,2,22,0,0,8903.8,7129.4,1189.8,NA,13077.9,7,466.6,0,10093.6,NA
66_2014,water,2014,8,1.6,Yes,19,North,5,136,Late,153,161,39.6,0.04,13.12,48.4,9,0.3,0.06,173,22,1,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,6,8,1,0,9359.5,16078.4,1496.8,NA,13249,1,13.3,0,10856.3,NA
102_2014,water,2014,0,0,No,282,West,5,135,Early,153,161,39.6,0.057,12.8,48.4,13,0.433333333,0.086666667,174,21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,11165.9,4896.8,1556.2,NA,11870.2,6,320.7,0,12722.1,NA
90_2014,water,2014,24,4.8,Yes,350,North,5,137,Late,154,162,36.4,0.0365,11.5,30.6,9,0.3,0.06,173,19,0.2,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,23,1,24,1,0,3786.2,2542.2,900.7,NA,4514.1,0,0,5623.9,10310.8,NA
52_2014,water,2014,0,0,No,268,West,2,138,Late,155,163,5.6,0.041,13.55,27.2,6,0.2,0.1,175,20,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,10394.5,2137.3,3122.5,NA,3977.6,3,255.3,0,13517,NA
83_2014,water,2014,11,3.666666667,Yes,4,North,3,140,Late,156,164,43.2,NA,10.53333333,28.4,24,0.8,0.266666667,175,19,1,3.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,3,11,1,0,12174,2192.1,3991.6,NA,5418.8,6,176.6,381.9,16547.5,NA
59_2014,water,2014,0,0,No,178,South,3,140,Late,158,166,142.6,0.139,10.93333333,102.7,8,0.266666667,0.088888889,177,19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,8141.8,295.5,1872.8,NA,5052.5,1,13.6,0,10014.6,NA
32_2014,water,2014,55,18.33333333,Yes,348,North,3,142,Late,162,170,75.9,0.1425,12.03333333,119.9,14,0.466666667,0.155555556,182,20,1,18.33333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,46,55,1,0,10863.9,113.7,569.3,NA,0,0,0,0,11433.2,NA
98_2014,water,2014,79,19.75,Yes,30,Northeast,4,149,Late,167,175,41,0.107,6.333333333,55.5,11,0.366666667,0.091666667,187,20,0.75,19.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,65,13,79,1,0,16274.2,7205.8,2208.9,NA,12743.5,0,0,0,18483.1,NA
95_2014,untreated,2014,0,0,No,278,West,4,NA,Early,145,153,64.7,0.07,13.825,42.3,8,0.266666667,0.066666667,166,21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,10842.6,4870.5,2435,NA,8266.2,0,0,0,13277.6,NA
200_2014,untreated,2014,0,0,No,51,Northeast,4,129,Early,146,154,37.9,0.018,11.325,52.5,14,0.466666667,0.116666667,167,21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,8926.4,5736.4,1218.4,NA,11940.6,2,67.8,0,10144.8,NA
25_2014,untreated,2014,1,0.25,Yes,295,Northwest,4,130,Early,148,156,15.7,0.043,12.275,38.8,10,0.333333333,0.083333333,167,19,1,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,9369.6,1372.8,1890.7,NA,5259.9,0,0,0,11260.3,NA
104_2014,untreated,2014,0,0,No,111,East,4,130,Early,148,156,15.7,0.115,12.25,38.8,12,0.4,0.1,167,19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,10466.2,5116.6,2120.5,NA,6667.3,3,330.5,0,12586.7,NA
328_2014,untreated,2014,0,0,No,360,North,6,130,Early,149,157,38.7,0.211,13.7,39.1,16,0.533333333,0.088888889,168,19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,10667.8,16728.5,2297.2,NA,12562.5,2,98.7,0,12965,NA
65_2014,untreated,2014,0,0,No,94,East,6,130,Early,149,157,38.7,0.1065,12.01666667,39.1,12,0.4,0.066666667,168,19,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,8948.8,18333.3,844.4,NA,13043.3,1,88.2,0,9793.2,NA
96_2014,untreated,2014,7,2.333333333,Yes,288,West,3,132,Early,150,158,143.6,0.088,10.73333333,66,11,0.366666667,0.122222222,169,19,1,2.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,0,7,1,0,17933.3,1856.5,3466.5,NA,9594.4,13,588.6,0,21399.8,NA
