BoxID,NestlingID,Nestling,Group,Year,Total_blowflies,Blowflies_per_nestling,BoxOrientation,BroodSize,CIDJulian,d8_feeding,d8_feeding_per_min,d8_feeding_per_nestling,d10_hb,d13_mass,d13_head,d13_tarsus,d13_feather,d13_PHA,OD_value,Elisa_platenum,FledgingJulian,FledgingAge,Fledge_code,Num_fledged,Fraction_fledged,Mom_age,captured,Mom_first_capture_julian,Mom_first_capture_wing,Mom_first_capture_tarsus,Mom_first_capture_mass,Mom_firstcap_Hb_avg,Mom_firstcap_OD_value,Mom_firstcap_OD_plate_number,Mom_second_capture_julian,Mom_secondcap_wing,Mom_secondcap_tarsus,Mom_secondcap_head,Mom_secondcap_mass,Mom_secondcap_Hb_avg,Hb_diff,Mom_secondcap_OD_value,Mom_secondcap_OD_plate_number,OD_diff,larvae,pupae,EmptyPupalCases,TOTAL,Mites0or1,Fleas0or1,Nest_Grass_mg,Nest_feces_mg,Nest_feathers_mg,Nst_feathers_count,Nest_dust_mg,Nest_stones_count,Nest_stones_mass,Nest_twigs_etc_mg,Nest_mass_mg,NestMass_wo_feathers,,
27_2014,27_2014_red,red,permethrin,2014,0,0,164,5,132,10,0.333333333,2,14.1,20.25,26.4,13.4,48.9,2.291,,,170,20,1,5,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11449.2,6304.4,837.1,,11962,12,549.1,0,12286.3,,,
27_2014,27_2014_green,green,permethrin,2014,0,0,164,5,132,10,0.333333333,2,14.2,24.89,28.2,14,50.5,2.008,0.02,15,170,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11449.2,6304.4,837.1,,11962,12,549.1,0,12286.3,,,
27_2014,27_2014_blue,blue,permethrin,2014,0,0,164,5,132,10,0.333333333,2,13.5,20.44,26.1,15,50.1,2.197,,,170,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11449.2,6304.4,837.1,,11962,12,549.1,0,12286.3,,,
27_2014,27_2014_pink,pink,permethrin,2014,0,0,164,5,132,10,0.333333333,2,13.9,24.29,27.4,14,52.9,1.594,0.02,14,170,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11449.2,6304.4,837.1,,11962,12,549.1,0,12286.3,,,
27_2014,27_2014_black,black,permethrin,2014,0,0,164,5,132,10,0.333333333,2,14.2,24.12,25.7,14.6,43.5,2.389,,,170,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11449.2,6304.4,837.1,,11962,12,549.1,0,12286.3,,,
51_2014,51_2014_red,red,permethrin,2014,0,0,116,5,133,16,0.533333333,3.2,12.8,23.13,27.9,15.3,45.7,1.241,,,169,19,1,5,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8521.6,6613.8,1075.9,,14339.3,4,219.6,0,9597.5,,,
51_2014,51_2014_green,green,permethrin,2014,0,0,116,5,133,16,0.533333333,3.2,10.5,22.42,26.6,14,54.3,2.191,0.018,14,169,19,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8521.6,6613.8,1075.9,,14339.3,4,219.6,0,9597.5,,,
51_2014,51_2014_blue,blue,permethrin,2014,0,0,116,5,133,16,0.533333333,3.2,13.8,22.96,25.3,14.6,48.1,1.657,,,169,19,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8521.6,6613.8,1075.9,,14339.3,4,219.6,0,9597.5,,,
51_2014,51_2014_pink,pink,permethrin,2014,0,0,116,5,133,16,0.533333333,3.2,10,22.63,26.2,14.8,46.9,3.84,0.029,15,169,19,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8521.6,6613.8,1075.9,,14339.3,4,219.6,0,9597.5,,,
51_2014,51_2014_black,black,permethrin,2014,0,0,116,5,133,16,0.533333333,3.2,9.2,21.47,26.3,14.2,47.5,2.129,,,169,19,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8521.6,6613.8,1075.9,,14339.3,4,219.6,0,9597.5,,,
237_2014,237_2014_red,red,permethrin,2014,0,0,42,5,133,10,0.333333333,2,12.4,23.77,25.5,14.1,48.4,2.337,,,171,20,1,5,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7896.9,8850.8,1665.4,,11881.6,1,86.3,0,9562.3,,,
237_2014,237_2014_green,green,permethrin,2014,0,0,42,5,133,10,0.333333333,2,11.9,20.8,26.1,14.1,48.4,2.321,,,171,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7896.9,8850.8,1665.4,,11881.6,1,86.3,0,9562.3,,,
237_2014,237_2014_blue,blue,permethrin,2014,0,0,42,5,133,10,0.333333333,2,12.9,23.25,27.2,14.2,48.8,2.046,0.146,14,171,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7896.9,8850.8,1665.4,,11881.6,1,86.3,0,9562.3,,,
237_2014,237_2014_pink,pink,permethrin,2014,0,0,42,5,133,10,0.333333333,2,13.6,22.61,26.5,15,47.3,2.626,,,171,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7896.9,8850.8,1665.4,,11881.6,1,86.3,0,9562.3,,,
237_2014,237_2014_black,black,permethrin,2014,0,0,42,5,133,10,0.333333333,2,13.9,22.9,26.5,14.5,47.4,2.68,,,171,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7896.9,8850.8,1665.4,,11881.6,1,86.3,0,9562.3,,,
89_2014,89_2014_red,red,permethrin,2014,8,1.6,106,5,133,9,0.3,1.8,12.5,22.4,27.1,14.2,50.3,,,,171,19,1,5,1,,,,,,,,,,,,,,,,,,,,0,2,6,8,0,0,7688.6,7424.5,1805.1,,12091,0,0,0,9493.7,,,
89_2014,89_2014_green,green,permethrin,2014,8,1.6,106,5,133,9,0.3,1.8,13.2,21.55,26.1,14.9,49,,,,171,19,1,,1,,,,,,,,,,,,,,,,,,,,0,2,6,8,0,0,7688.6,7424.5,1805.1,,12091,0,0,0,9493.7,,,
89_2014,89_2014_blue,blue,permethrin,2014,8,1.6,106,5,133,9,0.3,1.8,11,20.8,26.4,15.3,47.2,,,,171,19,1,,1,,,,,,,,,,,,,,,,,,,,0,2,6,8,0,0,7688.6,7424.5,1805.1,,12091,0,0,0,9493.7,,,
89_2014,89_2014_pink,pink,permethrin,2014,8,1.6,106,5,133,9,0.3,1.8,12,20.6,26,14.8,49.4,,0.037,14,171,19,1,,1,,,,,,,,,,,,,,,,,,,,0,2,6,8,0,0,7688.6,7424.5,1805.1,,12091,0,0,0,9493.7,,,
89_2014,89_2014_black,black,permethrin,2014,8,1.6,106,5,133,9,0.3,1.8,11,22.22,26.5,15,49.1,,,,171,19,1,,1,,,,,,,,,,,,,,,,,,,,0,2,6,8,0,0,7688.6,7424.5,1805.1,,12091,0,0,0,9493.7,,,
62_2014,62_2014_red,red,permethrin,2014,0,0,42,5,136,11,0.366666667,2.2,11.3,20.81,25.8,14.9,45.6,1.723,,,174,21,1,5,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14751.1,8990,1281.1,,8874.8,3,227.3,10.1,16042.3,,,
62_2014,62_2014_green,green,permethrin,2014,0,0,42,5,136,11,0.366666667,2.2,11.3,20.54,24.9,14.1,39.2,1.97,,,174,21,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14751.1,8990,1281.1,,8874.8,3,227.3,10.1,16042.3,,,
62_2014,62_2014_blue,blue,permethrin,2014,0,0,42,5,136,11,0.366666667,2.2,15,20.4,24.7,14.1,46.5,1.977,,,174,21,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14751.1,8990,1281.1,,8874.8,3,227.3,10.1,16042.3,,,
62_2014,62_2014_pink,pink,permethrin,2014,0,0,42,5,136,11,0.366666667,2.2,13.5,20.69,25.3,15,46.5,1.824,,,174,21,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14751.1,8990,1281.1,,8874.8,3,227.3,10.1,16042.3,,,
62_2014,62_2014_black,black,permethrin,2014,0,0,42,5,136,11,0.366666667,2.2,10.2,21.08,25.5,14.8,43.8,2.108,0.058,14,174,21,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,14751.1,8990,1281.1,,8874.8,3,227.3,10.1,16042.3,,,
103_2014,103_2014_red,red,permethrin,2014,0,0,264,5,136,24,0.8,4.8,11.1,23.23,27,15,45.1,1.461,,,173,20,1,5,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12040.6,10803,1614.1,,12080.8,5,196.6,0,13654.7,,,
103_2014,103_2014_green,green,permethrin,2014,0,0,264,5,136,24,0.8,4.8,12.6,22.32,24.7,14.1,38.1,1.775,,,173,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12040.6,10803,1614.1,,12080.8,5,196.6,0,13654.7,,,
103_2014,103_2014_blue,blue,permethrin,2014,0,0,264,5,136,24,0.8,4.8,13,21.47,26.8,14.5,47.4,1.348,0.054,15,173,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12040.6,10803,1614.1,,12080.8,5,196.6,0,13654.7,,,
103_2014,103_2014_pink,pink,permethrin,2014,0,0,264,5,136,24,0.8,4.8,12.9,21.3,26.6,14.2,45.5,1.305,,,173,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12040.6,10803,1614.1,,12080.8,5,196.6,0,13654.7,,,
103_2014,103_2014_black,black,permethrin,2014,0,0,264,5,136,24,0.8,4.8,12.2,21.61,24.5,14,43.4,1.839,0.067,14,173,20,1,,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,12040.6,10803,1614.1,,12080.8,5,196.6,0,13654.7,,,
87_2014,87_2014_red,red,permethrin,2014,0,0,344,6,136,13,0.433333333,2.166666667,12.6,20.19,25.4,14.4,38.6,2.501,,,175,21,1,5,0.833333333,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11555.9,18203.5,1328,,20114.9,12,496.5,0,12883.9,,,
87_2014,87_2014_green,green,permethrin,2014,0,0,344,6,136,13,0.433333333,2.166666667,14.5,20.76,25.2,14.7,43.5,2.486,,,175,21,1,,0.833333333,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11555.9,18203.5,1328,,20114.9,12,496.5,0,12883.9,,,
87_2014,87_2014_blue,blue,permethrin,2014,0,0,344,6,136,13,0.433333333,2.166666667,12.3,17.88,24.3,14,36.8,2.127,0,13,175,21,1,,0.833333333,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11555.9,18203.5,1328,,20114.9,12,496.5,0,12883.9,,,
87_2014,87_2014_pink,pink,permethrin,2014,0,0,344,6,136,13,0.433333333,2.166666667,13.5,20.21,25.1,14.6,39.4,1.984,,,175,21,1,,0.833333333,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11555.9,18203.5,1328,,20114.9,12,496.5,0,12883.9,,,
87_2014,87_2014_black,black,permethrin,2014,0,0,344,6,136,13,0.433333333,2.166666667,12.6,21.51,26.7,13.9,44.6,2.209,,,175,21,1,,0.833333333,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11555.9,18203.5,1328,,20114.9,12,496.5,0,12883.9,,,
87_2014,87_2014_RandB,RandB,permethrin,2014,0,0,344,6,136,13,0.433333333,2.166666667,,,,,,,,,175,21,0,,0.833333333,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11555.9,18203.5,1328,,20114.9,12,496.5,0,12883.9,,,
321_2014,321_2014_red,red,permethrin,2014,0,0,168,5,138,5,0.166666667,1,11,19.63,26.2,13.9,29.7,1.947,,,178,23,1,5,1,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,11173.9,35243.6,2242,,21551.1,16,1012.7,0,13415.9,,,
