"Ring","RearID","Year","Agg_d16","handlingorder_d16","obs_d16","Sex","Weight_d16","Wing","Tail","Head","BR","docility","Tarsus","Mother","Ring2"
"10164","53","2006",2,4,"JB","m",12,50,25,23.2,NA,NA,17.3,"3971","10164"
"8923","53","2006",3,1,"JB","m",12.8,52,28,23.9,NA,NA,17.95,"4311","8923"
"9085","53","2006",3,3,"JB","f",10.9,51,27,22.8,NA,NA,17.35,"3971","9085"
"7599","53","2006",2,2,"JB","f",11,50,27,23.7,NA,NA,17,"3971","7599"
"2866","53","2006",1,5,"JB","m",12.4,51,26,23.9,NA,NA,18.1,"4311","2866"
"2536","53","2006",1,6,"JB","f",11,48,25,23,NA,NA,16.55,"3971","2536"
"9942","53","2006",3,7,"JB","f",11.2,48,27,23.1,NA,NA,17.15,"4311","9942"
"7799","53","2006",1,8,"JB","f",11.5,44,23,22.3,NA,NA,16.45,"3971","7799"
"10752","51","2006",5,7,"JB","f",11.8,48,24,23.2,NA,NA,16.65,"3971","10752"
"2723","51","2006",3,4,"JB","m",12.2,52,28,23.3,NA,NA,17.85,"4311","2723"
"9950","51","2006",4,9,"JB","f",11.4,47,25,21.8,NA,NA,16.9,"3971","9950"
"10921","51","2006",2,3,"JB","f",12.5,47,26,22.7,NA,NA,17.1,"3971","10921"
"8561","51","2006",3,2,"JB","m",13.4,52,28,23.6,NA,NA,17.45,"4311","8561"
"8516","51","2006",4,6,"JB","f",11.8,52,22,23.1,NA,NA,17.3,"4311","8516"
"6934","51","2006",3,10,"JB","m",11.5,52,26,22.9,NA,NA,17.15,"3971","6934"
"6393","51","2006",3,8,"JB","f",12.6,47,23,22.6,NA,NA,16.65,"4311","6393"
"6983","51","2006",1,1,"JB","m",12,49,25,22.7,NA,NA,17.5,"3971","6983"
"4899","51","2006",3,5,"JB","f",11.9,50,24,22.4,NA,NA,16.55,"4311","4899"
"5498","57","2006",5,7,"JB","m",12.6,53,29,24.7,NA,NA,17.95,"8139","5498"
"9677","57","2006",3,5,"JB","f",11.2,50,28,23.3,NA,NA,16.75,"8139","9677"
