bird_id,mass,tarsus,Sex,Age
Bird-0366,17.97,19.1,Male,1+
Bird-0325,21.46,21.2,Male,1+
Bird-0361,22.86,20.2,Male,1+
Bird-0363,19.75,20.1,Female,1+
Bird-0321,0,20.3,Male,2+
Bird-0321,20.87,21.4,Male,1+
Bird-0276,17.3,20.8,Male,<1
Bird-0354,22.92,21.3,Female,1+
Bird-0313,20.57,21.4,Male,1+
Bird-0073,22.2,21.4,Male,1
Bird-0374,21,20.8,Female,1+
Bird-0341,19.99,21.4,Female,1+
Bird-0078,21.6,21.3,Female,1
Bird-0359,20.72,20.6,Male,1+
Bird-0359,19.01,20.6,Male,1+
Bird-0308,21.44,22.1,Male,1+
Bird-0356,18.94,20.7,Female,1+
Bird-0296,20.38,20.5,Female,1+
Bird-0264,19.88,21.3,Male,1+
Bird-0264,0,20.5,Male,1+
Bird-0292,20.67,20.5,Male,1+
Bird-0265,22.13,20.9,Male,1+
Bird-0323,19.52,21,Female,1+
Bird-0333,19.68,19.8,Female,1+
Bird-0261,21.15,20.7,Female,1+
Bird-0311,21.25,20.6,Male,1+
Bird-0282,0,21.5,Male,1+
Bird-0284,19.5,21.5,Female,1+
Bird-0285,23.7,19.5,Male,1+
Bird-0345,23.67,21,Male,1+
Bird-0293,24.45,20.3,Female,1+
Bird-0331,22.23,21.3,Male,1+
Bird-0256,20.24,19.6,Male,1+
Bird-0259,23.01,20.6,Male,1+
Bird-0335,19.47,20.6,Female,1+
Bird-0349,22.27,20.9,Male,1+
Bird-0342,18.85,20,Male,2+
Bird-0342,17.7,19.9,Male,1+
Bird-0369,26.77,21.2,Female,1+
Bird-0353,21.26,19,Female,1+
Bird-0289,19.9,20.7,Male,1+
Bird-0283,24.46,21.4,Male,1+
Bird-0294,21.9,21.9,Male,1+
Bird-0269,20.18,21.1,Female,1+
Bird-0270,20.06,21.5,Female,1+
Bird-0372,21.94,20.8,Male,<1
Bird-0352,21.98,21.4,Male,1+
Bird-0277,19.92,21.3,Male,<1
Bird-0268,21.05,21.4,Female,1+
Bird-0260,23.2,21.3,Female,1+
Bird-0312,21.48,21.1,Male,1+
Bird-0316,20.72,21.1,Female,1+
Bird-0318,20.42,21.1,Male,1+
Bird-0314,23.94,21.7,Female,1+
Bird-0274,21.81,21.5,Female,1+
Bird-0274,20.86,21.4,Female,1+
Bird-0286,0,21.4,Female,1+
Bird-0337,21.46,21.4,Male,1+
Bird-0337,21,21,Male,3+
Bird-0324,21.15,20.05,Female,1+
Bird-0258,22.71,20.3,Male,1+
Bird-0271,23.16,22.4,Male,1+
Bird-0298,21.23,21.2,Female,1+
Bird-0357,23.46,21.6,Male,1+
Bird-0303,21.83,21.2,Male,1+
Bird-0262,23.15,21.1,Male,1+
Bird-0350,21.32,22.3,Female,1+
Bird-0362,20.43,21.4,Male,1+
Bird-0288,22.21,0,Male,1+
Bird-0315,19.71,19.4,Female,1+
Bird-0340,20.18,21.8,Female,1+
Bird-0367,0,20.7,Female,1+
Bird-0347,22.22,21.1,Male,1+
Bird-0347,20.6,21.4,Male,2+
Bird-0373,21.14,21.8,Male,1+
Bird-0281,20.04,20.9,Male,1+
Bird-0309,24.29,21.2,Male,1+
Bird-0326,0,20.8,Male,1+
Bird-0334,20.8,20.5,Male,1+
Bird-0330,21.98,21.1,Female,1+
Bird-0330,21.55,21,Female,2+
Bird-0355,21.06,21.1,Male,1+
Bird-0365,22.18,22,Male,1+
Bird-0348,19.14,20.8,Female,1+
Bird-0368,20.23,20.8,Male,1+
Bird-0360,22.14,22.2,Male,1+
Bird-0263,20.76,20.7,Female,1+
Bird-0327,17.88,20.3,Female,1+
Bird-0346,20.91,22.6,Male,1+
Bird-0346,20.22,22,Male,2+
Bird-0346,22.08,22.1,Male,2+
Bird-0279,21.87,21.8,Male,1+
Bird-0279,22.12,22.1,Male,2+
Bird-0267,21.5,22.3,Male,1+
Bird-0267,22.8,22.4,Male,2+
Bird-0336,23.37,20.9,Male,1+
Bird-0254,19.96,20.1,Female,1+
Bird-0310,22.02,21,Male,1+
Bird-0272,21.6,21.6,Male,1+
Bird-0307,21.39,20.6,Female,1+
Bird-0329,22.14,21.3,Male,1+
Bird-0322,21.37,22.5,Male,1+
Bird-0275,20.09,20.5,Female,1+
Bird-0278,22.63,21.8,Male,1+
Bird-0370,21.28,20.9,Male,1+
Bird-0280,18.5,20.5,Female,1+
Bird-0305,21.01,20.2,Male,1+
Bird-0358,19.95,21.1,Female,1+
Bird-0295,20.09,20.7,Male,1+
Bird-0297,19.86,20.6,Female,1+
Bird-0301,20.41,21.5,Male,1+
Bird-0266,18.95,19.7,Female,1+
Bird-0253,21.96,22.5,Male,1+
Bird-0364,19.78,19.8,Male,1+
Bird-0332,0,21.1,Female,1+
Bird-0317,21.33,21.7,Male,1+
Bird-0306,19.59,20.1,Female,1+
Bird-0338,20.75,22.4,Male,1+
Bird-0351,19.61,0,Female,1+
Bird-0255,26.12,21.4,Female,1+
Bird-0343,20.7,20.5,Male,1+
Bird-0328,21.17,21.3,Male,1+
Bird-0290,17.95,20.9,Female,1+
Bird-0304,19.58,21.1,Female,1+
Bird-0302,18.23,21.1,Male,<1
Bird-0344,19.25,20.4,Female,1+
Bird-0319,21.56,21.2,Male,2+
Bird-0319,22.97,21.4,Male,3+
Bird-0319,0,21.5,Male,1+
Bird-0371,21.29,21.9,Male,1+
Bird-0291,17.93,20.1,Female,1+
Bird-0287,22.81,21.1,Male,1+
Bird-0273,17.86,19.2,Female,<1
Bird-0257,19.8,21.2,Female,1+
Bird-0339,20.15,21,Male,1+
Bird-0300,20.11,20.3,Female,1+
Bird-0299,20.72,21.4,Male,1+
Bird-0073,20.96,21.5,Male,2
Bird-0402,20.68,22,Male,1+
Bird-0349,21.47,21.2,Male,2+
Bird-0349,21.33,21.15,Male,2+
Bird-0362,19.55,21.8,Male,3+
Bird-0278,21.51,21.9,Male,3+
Bird-0408,20.87,20.9,Male,1+
Bird-0409,19.92,21.05,Male,1+
Bird-0420,22.09,21.9,Unknown,<1
Bird-0436,19.88,20.2,Female,1+
