Age,bird_id,chick_id,mass,NestID,tarsus,Sex
2,-11,c10.1,2.65,10,6,Male
2,-12,c10.2,2.42,10,6.5,Male
2,-13,c10.3,2.62,10,6.5,Male
8,-11,c10.1,12.54,10,17.8,Male
8,-12,c10.2,11.3,10,16,Male
8,-13,c10.3,13.31,10,16.9,Male
9,-11,c10.1,13.77,10,19.1,Male
9,-12,c10.2,12.81,10,17.5,Male
9,-13,c10.3,14.57,10,19,Male
10,-11,c10.1,15.32,10,20,Male
10,-12,c10.2,14.13,10,19,Male
10,-13,c10.3,16.44,10,19.8,Male
0,-15,c11.1,1.81,11,6,Male
1,-16,c11.2,2.34,11,6,Male
1,-17,c11.3,1.95,11,6.5,Male
0,-18,c11.4,1.63,11,6,Unknown
8,-17,c11.3,5.71,11,14.9,Male
0,-26,c12.1,2.65,12,6.5,Female
0,-27,c12.2,2.72,12,7,Female
8,-26,c12.1,16.58,12,19.5,Female
8,-27,c12.2,16.66,12,18.4,Female
9,-26,c12.1,16.81,12,20.3,Female
9,-27,c12.2,17.01,12,19.5,Female
12,-27,c12.2,15.61,12,19.5,Female
3,-4,c15.1,4.6,15,9.5,Female
2,-5,c15.2,3.71,15,8,Female
8,-4,c15.1,16.09,15,18,Female
7,-5,c15.2,14.92,15,16.1,Female
2,-14,c16.1,2.57,16,7,Male
1,-24,c17.1,2.75,17,7,Male
1,-25,c17.2,2.27,17,6.5,Male
8,-24,c17.1,14.1,17,18.2,Male
8,-25,c17.2,11.77,17,15.5,Male
9,-24,c17.1,17.15,17,19.7,Male
9,-25,c17.2,13.1,17,17.5,Male
10,-24,c17.1,18.35,17,20.5,Male
10,-25,c17.2,14.83,17,17.5,Male
?,-19,c18.1,17.36,18,21.1,Female
?,-20,c18.2,19.38,18,20.9,Female
2,-21,c19.1,4.2,19,8.5,Female
1,-22,c19.2,3.01,19,7,Male
1,-23,c19.3,2.93,19,6.5,Male
9,-21,c19.1,16.46,19,18.9,Female
8,-22,c19.2,11.72,19,17.5,Male
8,-23,c19.3,11.7,19,16.7,Male
10,-21,c19.1,17.37,19,19.2,Female
9,-22,c19.2,13.09,19,17.6,Male
9,-23,c19.3,13.95,19,17.5,Male
11,-21,c19.1,17.89,19,20.4,Female
10,-22,c19.2,14.6,19,19.7,Male
10,-23,c19.3,16.8,19,18.6,Male
1,-6,c2.1,3.41,2,6.5,Male
1,-7,c2.2,2.99,2,6,Male
8,-6,c2.1,19.95,2,21.6,Male
8,-7,c2.2,18.94,2,20.5,Male
9,-6,c2.1,19.36,2,21.7,Male
9,-7,c2.2,19.94,2,21.4,Male
0,-28,c20.1,1.82,20,6,Male
0,-29,c20.2,2.12,20,6,Female
0,-30,c20.3,1.83,20,6,Female
0,-31,c20.4,1.85,20,6,Female
8,-28,c20.1,15.72,20,18.6,Male
8,-29,c20.2,17.68,20,20.5,Female
8,-30,c20.3,16.28,20,20,Female
8,-31,c20.4,11.68,20,17.8,Female
9,-28,c20.1,17.2,20,20.4,Male
9,-29,c20.2,18.52,20,21.2,Female
9,-30,c20.3,17.38,20,20.9,Female
9,-31,c20.4,13.93,20,19.4,Female
10,-28,c20.1,17.06,20,20.3,Male
10,-29,c20.2,17.76,20,20.9,Female
10,-30,c20.3,16.85,20,20.9,Female
10,-31,c20.4,15.03,20,20,Female
1,-36,c22.1,1.79,22,6,Female
1,-37,c22.2,2.52,22,6.5,Male
0,-38,c22.3,2.41,22,6,Female
8,-37,c22.2,7.17,22,13.8,Male
9,-37,c22.2,7.08,22,14.1,Male
?,-32,c26.1,15.27,26,20.9,Female
0,-33,c26.2,17.57,26,21.5,Male
0,-34,c26.3,14.61,26,20.5,Female
1,-39,c27.1,2.91,27,7.5,Female
0,-40,c28.1,1.75,28,6,Male
0,-41,c28.2,1.66,28,6,Male
8,-40,c28.1,17.31,28,19.4,Male
9,-40,c28.1,17.85,28,19.5,Male
10,-40,c28.1,17.51,28,20,Male
