Age (years),Sex,Tarsus (mm x 100),Year
1,Female,1275,1984
1,Female,1205,1984
1,Female,1104,1984
1,Female,1150,1984
1,Female,1212,1984
1,Female,1211,1984
1,Female,1200,1984
1,Female,1229,1984
1,Female,1082,1984
1,Female,1107,1984
1,Female,1169,1984
1,Female,1170,1984
1,Female,1095,1984
1,Female,1070,1984
1,Female,1081,1984
1,Female,1216,1984
1,Female,1143,1984
1,Female,1081,1984
1,Female,1215,1984
1,Female,1191,1984
1,Female,1057,1984
1,Female,1112,1985
1,Female,1141,1985
1,Female,1223,1985
1,Female,1123,1985
1,Female,1110,1985
1,Female,1173,1985
1,Female,1262,1985
1,Female,1289,1985
1,Female,1069,1985
1,Female,1118,1985
1,Female,1185,1986
1,Female,1127,1986
1,Female,1108,1986
1,Female,1065,1986
1,Female,1121,1986
1,Female,1120,1986
1,Female,1257,1986
1,Female,1111,1986
1,Female,1212,1986
1,Female,1236,1986
1,Female,1179,1986
1,Female,1167,1986
1,Female,1131,1986
1,Female,1163,1986
1,Female,1120,1986
1,Female,1216,1986
1,Female,1150,1986
1,Female,1172,1986
1,Female,1204,1987
1,Female,1124,1987
1,Female,1182,1987
1,Female,1139,1987
1,Female,1159,1987
1,Female,1101,1987
1,Female,1070,1987
1,Female,1175,1987
1,Female,1161,1987
1,Female,1131,1987
1,Female,1105,1987
1,Female,1161,1987
1,Female,1158,1987
1,Female,1129,1987
1,Female,1108,1987
1,Female,1195,1987
1,Female,1112,1987
1,Female,1180,1987
1,Female,1162,1987
1,Female,1165,1987
1,Female,1156,1987
1,Female,1245,1987
1,Female,1256,1987
1,Female,1097,1987
1,Female,1117,1987
1,Female,1184,1987
1,Female,1219,1987
1,Female,1188,1987
1,Female,1153,1987
1,Female,1111,1987
1,Female,1187,1987
1,Female,1251,1988
1,Female,1226,1988
1,Female,1117,1988
1,Female,1090,1988
1,Female,1110,1988
1,Female,1094,1988
1,Female,1051,1988
1,Female,1256,1988
1,Female,1236,1988
1,Female,1238,1988
1,Female,1258,1988
1,Female,1028,1988
1,Female,1244,1988
1,Female,1107,1988
1,Female,1153,1988
1,Female,1195,1988
1,Female,1092,1988
1,Female,1090,1988
1,Female,1058,1988
1,Female,1036,1988
1,Female,1109,1988
1,Female,1179,1988
1,Female,1152,1988
1,Female,1079,1988
1,Female,1212,1988
1,Female,1078,1988
1,Female,1115,1988
1,Female,1117,1988
1,Female,1036,1988
1,Female,1226,1988
1,Female,1075,1988
1,Female,1131,1988
1,Female,1072,1988
1,Female,1180,1988
1,Female,1143,1988
1,Female,1133,1988
1,Female,1096,1988
1,Female,1075,1988
1,Female,1132,1988
1,Female,1123,1988
1,Female,1222,1988
1,Female,1076,1988
1,Female,1192,1988
1,Female,1128,1988
1,Female,1199,1988
1,Female,1249,1988
1,Female,1103,1988
1,Female,1158,1988
1,Female,1193,1988
1,Female,1215,1988
1,Female,1120,1988
1,Female,1144,1988
1,Female,1170,1988
1,Female,1153,1988
1,Female,1168,1988
1,Female,1162,1988
1,Female,1251,1988
1,Female,1036,1988
1,Female,1156,1988
1,Female,1140,1988
1,Female,1109,1988
1,Female,1088,1988
1,Female,1168,1988
1,Female,1241,1988
1,Female,1179,1988
1,Female,1226,1988
1,Female,1207,1988
1,Female,1228,1988
1,Female,1157,1988
1,Female,1110,1988
1,Female,1142,1988
1,Female,1050,1988
1,Female,1107,1988
1,Female,1125,1988
1,Female,1281,1988
1,Female,1034,1988
1,Female,1137,1988
1,Female,1212,1988
1,Female,1160,1988
1,Female,1090,1988
1,Female,1274,1988
1,Female,1025,1988
1,Female,1176,1988
1,Female,1069,1988
1,Female,1158,1988
