Dove,Bill length,Stnd.Dev,Bill width,Stnd.Dev,Bill depth,Stnd.Dev,Tarsus,Stnd.Dev,Wing,Stnd.Dev,Tail,Stnd.Dev,Weight,Stnd.Dev,Sex,Age,Total lice,ECTOPARASITE BOUTS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14
SF9,14.9,0.281671516,5.3,-1.0179661,5.1,-0.840917866,27.7,-0.711512474,118,-0.765784134,71.5,-1.831826359,72,0,female,adult,83,3,7,13,9,13,15,10,10,3,,,,,
SF7,14.9,0.281671516,4.9,0.179641076,4.9,-0.076447079,26.4,0.316227766,113,0.829599478,64.8,1.777949113,69,0.609556915,female,adult,67,1,1,2,6,4,12,16,11,9,5,,,,
SF6,15.5,-0.774596669,4.7,0.778444664,4.8,0.305788315,25.3,1.185854123,117,-0.446707411,67.8,0.161631738,85,-2.6414133,female,adult,74,11,14,14,13,7,6,7,2,,,,,,
SF4,16,-1.654820157,5.5,-1.616769688,5,-0.458682472,29.7,-2.292651304,117,-0.446707411,68.7,-0.323263475,74,-0.406371277,female,adult,70,0,4,10,12,9,7,14,9,5,,,,,
SF25,14.7,0.633760911,4.7,0.778444664,5,-0.458682472,27.2,-0.316227766,120,-1.403937578,69.5,-0.754281442,67,1.015928192,female,juvenile,32,3,3,4,9,7,2,4,,,,,,,
SF21,14.8,0.457716214,5.2,-0.718564306,5.2,-1.223153259,26.6,0.158113883,110,1.786829645,66.7,0.754281442,71,0.203185638,female,juvenile,157,1,10,13,15,19,20,21,20,13,15,10,,,
SF19,15.7,-1.126686064,4.6,1.077846458,4.4,1.834729889,25.6,0.948683298,117,-0.446707411,68.2,-0.053877246,71,0.203185638,female,adult,148,15,22,14,25,25,20,11,7,9,,,,,
SF17,14,1.866073794,5,-0.119760718,5.1,-0.840917866,26.4,0.316227766,113,0.829599478,68.4,-0.161631738,71,0.203185638,female,adult,36,2,0,1,10,6,12,5,,,,,,,
SF16,15.2,-0.246462577,4.5,1.377248252,4.5,1.452494496,27.2,-0.316227766,118,-0.765784134,67.3,0.431017967,70,0.406371277,female,adult,9,0,2,2,2,1,1,1,,,,,,,
SF10,14.9,0.281671516,5.2,-0.718564306,4.8,0.305788315,25.9,0.711512474,113,0.829599478,,,70,0.406371277,female,juvenile,85,12,14,12,14,2,14,11,6,,,,,,
,15.06,0.568037557,4.96,0.333999335,4.88,0.261618892,26.8,1.264911064,115.6,3.134042473,68.1,1.856071119,72,4.921607687,,,,,,,,,,,,,,,,,
SCr1,15.5,,4.5,,5,,27.8,,116,,66.8,,82,,female,adult,2,0,2,0,0,0,0,,,,,,,,
SC8,15.8,-0.131400864,4.5,0.959403224,4.9,0.992101446,27.9,0.081080715,118.5,0.081953755,69,-0.811847669,85,-0.413885549,female,adult,53,5,3,3,7,13,10,8,4,,,,,,
SC6,15.7,0.032850216,4.5,0.959403224,5,0.649997499,28.2,-0.459457388,119,-0.122930632,71.5,-1.369435353,90,-1.081442886,female,adult,70,1,9,12,8,10,9,15,6,,
SC4,15,1.182607776,4.5,0.959403224,4.9,0.992101446,27.9,0.081080715,124,-2.1717745,61.4,0.883218892,91,-1.214954354,female,juvenile,126,11,16,19,17,23,12,12,11,5,
SC22,16.3,-0.952656264,5.4,-1.918806447,5.7,-1.74473013,28,-0.099098652,120,-0.532699406,65.9,-0.12043894,80,0.253671788,female,adult,26,7,4,5,4,5,1,0,,,
SC2,16.8,-1.773911664,4.7,0.319801075,5.5,-1.060522236,28,-0.099098652,120,-0.532699406,67.1,-0.388081028,83,-0.146862614,female,juvenile,5,0,0,1,1,0,1,2,,,
SC19,16.3,-0.952656264,5,-0.639602149,5.5,-1.060522236,28.45,-0.909905807,119,-0.122930632,69.1,-0.834151176,78,0.520694723,female,juvenile,23,0,5,1,3,4,4,6,,,
SC16,15.2,0.854105616,4.8,0,5.1,0.307893552,28,-0.099098652,116.5,0.901491302,60.3,1.128557474,78,0.520694723,female,juvenile,0,0,0,0,0,0,,,,,
SC15,15.8,-0.131400864,4.8,0,4.9,0.992101446,28.7,-1.360354227,118,0.286838141,59.7,1.262378518,77,0.654206191,female,juvenile,85,9,17,10,15,6,5,12,6,5,
SC14,15,1.182607776,5.2,-1.279204298,5.3,-0.376314342,27.7,0.441439451,117,0.696606915,69.2,-0.856454684,90,-1.081442886,female,juvenile,204,15,25,17,30,57,21,16,10,8,5
SC10,15.3,0.689854536,4.6,0.639602149,5.1,0.307893552,26.6,2.423412496,115,1.516144462,60.4,1.106253966,67,1.989320865,female,juvenile,43,3,16,9,8,2,3,2,,,
,15.72,0.608824003,4.8,0.312694384,5.19,0.292308817,27.945,0.555002502,118.7,2.440400696,65.36,4.483599744,81.9,7.489993324,,,,,,,,,,,,,
S9,15.1,0.877132307,4.9,-0.067198209,,,27.5,-0.382468274,118,-0.681854014,70,-1.915321952,67,-0.272232133,female,adult,23,2,5,5,6,2,1,2,,,
S8,15.8,-0.567556199,5,-0.335991047,,,27.6,-0.652445879,114,0.741145667,58.8,1.095429748,60,0.700852939,female,juvenile,1,1,0,0,0,0,,,,,
S7,16.5,-2.012244705,5,-0.335991047,,,27,0.967419751,118,-0.681854014,65.1,-0.598118083,60.5,0.631346862,female,juvenile,0,0,0,0,0,,,,,,
S5,15.7,-0.361172126,4.8,0.201594628,,,27.2,0.427464541,119,-1.037603934,67.6,-1.270160873,70,-0.689268593,female,adult,45,1,8,13,7,2,5,8,1,,
S30,15.4,0.25798009,4.3,1.545558816,,,27.5,-0.382468274,118,-0.681854014,64,-0.302419256,71,-0.828280746,female,,61,8,6,6,14,10,3,10,4,,
S27,14.6,1.909052668,4.1,2.083144491,,,26.9,1.237397357,114,0.741145667,57.5,1.444891999,62,0.422828633,female,juvenile,77,15,18,7,15,17,3,2,,,
S26,15.2,0.670748235,4.9,-0.067198209,,,27.4,-0.112490669,118,-0.681854014,59.1,1.014784613,73,-1.106305052,female,juvenile,201,2,3,5,5,8,31,41,30,22,18,16,8,11,1
S23,15.4,0.25798009,5.1,-0.604783884,,,27.9,-1.462378694,116,0.029645827,65.3,-0.651881506,75,-1.384329359,female,,106,2,9,8,20,16,17,17,14,3,,,,,
S22,16.1,-1.186708416,4.8,0.201594628,,,27,0.967419751,111,1.808395428,62.2,0.181451553,70,-0.689268593,female,,92,6,18,13,14,8,10,9,10,4,,,,,
S2,15.6,-0.154788054,5.2,-0.873576722,,,26.8,1.507374962,114,0.741145667,62.7,0.047042995,51,1.951962317,female,,0,,,,,,,,,,,,,,
S14,15.5,0.051596018,5.5,-1.679955234,5.6,,27.8,-1.192401089,120,-1.393353854,60.6,0.611558939,64,0.144804326,female,juvenile,0,,,,,,,,,,,,,,
S12,15.4,0.25798009,4.9,-0.067198209,,,27.7,-0.922423484,113,1.096895587,61.6,0.342741823,57,1.117889398,female,juvenile,0,,,,,,,,,,,,,,
,15.525,0.484533515,4.875,0.372033723,,,27.35833333,0.370401093,116.0833333,2.810963385,62.875,3.720001222,65.04166667,7.193615646,,,,,,,,,,,,,,,,,
E9,14.4,1.713097047,4.1,2.287911346,4.3,2.374063927,26.1,2.032700113,110,1.418900646,66.6,0.148320551,64,1.763879015,female,adult,0,,,,,,,,,,,,,,
E8,14.4,1.713097047,5.3,-2.181496865,4.9,0.133374378,26.6,1.454289511,108,1.875558326,59,1.439945354,69,1.157253957,female,juvenile,0,,,,,,,,,,,,,,
E7,15.1,0.622944381,4.5,0.798108609,5,-0.24007388,27.2,0.76019679,114,0.505585288,79.7,-2.078032726,88,-1.147921264,female,adult,0,,,,,,,,,,,,,,
E5,15.3,0.31147219,4.7,0.053207241,4.7,0.880270894,28.6,-0.859352893,116.5,-0.065236811,,,75,0.429303887,female,adult,0,,,,,,,,,,,,,,
E4,16,-0.778680476,4.6,0.425657925,4.7,0.880270894,28,-0.165260172,117.5,-0.293565651,66.2,0.216300804,75,0.429303887,female,adult,0,,,,,,,,,,,,,,
E25,15.8,-0.467208286,5,-1.064144812,5,-0.24007388,28.6,-0.859352893,112,0.962242967,69.5,-0.344536281,,,female,adult,57,6,5,7,20,6,8,5,,,,,,,
E23,16.4,-1.401624857,4.7,0.053207241,4.9,0.133374378,27.5,0.413150429,118,-0.407730071,60.6,1.168024343,78,0.065328852,female,adult,91,5,12,14,15,12,6,7,7,7,6,,,,
E20,15.9,-0.622944381,4.7,0.053207241,5.4,-1.733866913,29.1,-1.437763494,119,-0.63605891,69.5,-0.344536281,95,-1.997196345,female,adult,20,2,4,1,6,4,3,,,,,,,,
E2,15.7,-0.31147219,4.9,-0.691694128,5.2,-0.986970397,28.3,-0.512306532,115,0.277256448,69.4,-0.327541218,82,-0.419971194,female,adult,22,2,3,2,5,7,3,,,,,,,,
E19,15.4,0.155736095,4.8,-0.319243444,5,-0.24007388,27.4,0.52883255,117.5,-0.293565651,60.8,1.134034216,71,0.914603934,female,juvenile,28,1,1,2,1,7,8,8,
E17,14.8,1.090152666,4.6,0.425657925,5.1,-0.613522138,27.6,0.297468309,118.5,-0.521894491,71.2,-0.633452355,77,0.186653864,female,juvenile,1,1,0,0,0,0,0,0,
E15,16.3,-1.245888761,4.6,0.425657925,5.2,-0.986970397,29,-1.322081374,118,-0.407730071,,,82,-0.419971194,female,adult,12,2,2,3,0,3,2,,
E13,16,-0.778680476,4.8,-0.319243444,4.8,0.506822636,28,-0.165260172,126,-2.234360788,,,85,-0.783946229,female,adult,28,0,6,3,2,4,6,6,1
E12,15.5,0,4.7,0.053207241,4.9,0.133374378,28,-0.165260172,117,-0.179401231,69.7,-0.378526407,80,-0.177321171,female,adult,7,1,1,2,0,3,0,,
,15.5,0.6421119,4.714285714,0.268491922,4.935714286,0.267774713,27.85714286,0.864437822,116.2142857,4.379648237,67.47272727,5.884061677,78.53846154,8.242323546,,,,,,,,,,,
G2,15.5,-0.95762148,4.6,0.190490708,4.6,1.176696811,27.5,-0.328619857,121,-0.058891959,69.2,-0.120850847,102,-0.68161151,female,adult,0,,,,,,,,
G8,14.3,1.811404487,4.4,1.037116076,4.8,-5.22558E-15,27.4,-0.116607046,115,0.028355388,68.3,0.132092786,99,-0.378673061,female,adult,4,0,0,1,1,2,,,
G9,14.8,0.657643667,4.3,1.460428761,4.7,0.588348405,26.9,0.943457007,113,0.057437836,66.1,0.750399443,83,1.236998666,female,adult,0,,,,,,,,
G15,14.5,1.349900159,4.5,0.613803392,4.5,1.765045216,27.1,0.519431386,111,0.086520285,66.4,0.666084898,82,1.337978149,female,adult,0,,,,,,,,
G16,15.2,-0.265364989,4.85,-0.867791003,4.8,-5.22558E-15,27.9,-1.176671099,120,-0.044350734,61,2.183746692,86,0.934060217,female,juvenile,26,2,4,7,5,4,4,,
G26,15.1,-0.034612825,4.5,0.613803392,4.9,-0.588348405,26.95,0.837450602,120,-0.044350734,71,-0.626738111,93,0.227203837,female,adult,no,,,,,,,,
G27,15.2,-0.265364989,4.7,-0.232821976,4.9,-0.588348405,27.5,-0.328619857,113.5,0.050167224,70.4,-0.458109023,91,0.429162802,female,adult,no,,,,,,,,
G28,15.3,-0.496117152,4.7,-0.232821976,4.9,-0.588348405,27.9,-1.176671099,120,-0.044350734,69.8,-0.289479935,106.5,-1.136019183,female,adult,no,,,,,,,,
G29,15.25,-0.38074107,4.8,-0.656134661,4.8,-5.22558E-15,26.5,1.79150825,120,-0.044350734,72.9,-1.160730224,111,-1.590426856,female,adult,no,,,,,,,,
G30,15.7,-1.419125808,5.1,-1.926072713,5.1,-1.765045216,27.8,-0.964658289,116,0.013814163,72.6,-1.07641568,99,-0.378673061,female,adult,no,,,,,,,,
,15.085,0.433365383,4.645,0.236231995,4.8,0.169967317,27.345,0.471669611,116.95,3.670074174,68.77,3.558104989,95.25,9.90300179,,,
W2,18.2,-1.761204184,5.6,-0.280230183,6.2,-1.576378819,29.8,-0.569116868,134,-1.82227107,79.6,-1.570896924,118,-0.735194304,female,adult,0
W4,17.5,-0.796632699,5.7,-0.778417175,6.1,-1.272498565,29.9,-0.697368557,122,1.180956788,73.7,0.143469199,111,-0.280267442,female,adult,60
W6,17.45,-0.727734736,6.1,-2.771165144,6.2,-1.576378819,29.6,-0.312613491,125.5,0.305015329,75.25,-0.306915122,133,-1.71003758,female,adult,28
W7,17.4,-0.658836773,5.5,0.217956809,5.9,-0.664738056,30.65,-1.659256222,129.5,-0.696060623,76.7,-0.728242389,126,-1.255110718,female,adult,32
W8,15.45,2.028183791,5.5,0.217956809,5.5,0.550782961,29.45,-0.120235958,120,1.681494764,67.75,1.872363848,76,1.994366869,female,adult,159
W10,16.6,0.443530638,5.5,0.217956809,5.1,1.766303978,27.55,2.316546127,127,-0.070388153,75.75,-0.452200386,105,0.109669869,female,adult,176
W11,17.5,-0.796632699,5.7,-0.778417175,5.6,0.246902707,30.1,-0.953871935,127,-0.070388153,73.9,0.085355093,93,0.889544489,female,adult,163
W13,16.1,1.13251027,5.2,1.712517786,5.8,-0.360857802,28.7,0.841651707,126,0.179880835,72.5,0.492153834,91,1.019523593,female,adult,no
W16,16.3,0.856918417,5.45,0.467050305,5.9,-0.664738056,29,0.456896641,128,-0.320657141,77.7,-1.018812918,118,-0.735194304,female,adult,1
W17,17.2,-0.38324492,5.3,1.214330794,5.3,1.158543469,28.1,1.611161839,121,1.431225776,73.9,0.085355093,98,0.564596731,female,adult,no
W19,16.35,0.788020454,5.5,0.217956809,5.8,-0.360857802,29.3,0.072141575,128,-0.320657141,74.2,-0.001816066,115,-0.540225649,female,adult,73
W20,17.1,-0.245448994,5.4,0.716143801,5.5,0.550782961,28.8,0.713400018,130,-0.821195118,77.45,-0.946170286,111,-0.280267442,female,adult,no
W22,16.8,0.167938785,5.55,-0.031136687,5.3,1.158543469,29.5,-0.184361802,130,-0.821195118,76.3,-0.612014177,119,-0.800183856,female,adult,no
W24,16.2,0.994714343,5.7,-0.778417175,5.6,0.246902707,30.05,-0.88974609,131,-1.071464106,66.2,2.322748169,111,-0.280267442,female,adult,no
W26,16.8,0.167938785,5.5,0.217956809,5.4,0.854663215,29.6,-0.312613491,121,1.431225776,72.8,0.404982675,89,1.149502696,female,adult,no
W28,17.8,-1.210020478,5.5,0.217956809,5.7,-0.056977548,29.6,-0.312613491,127.5,-0.195522647,73.4,0.230640358,93,0.889544489,female,adult,69,,,,,,,,
,16.921875,0.725710858,5.54375,0.200727842,5.68125,0.329076992,29.35625,0.779716829,126.71875,3.995700815,74.19375,3.441505242,106.6875,15.38708874,,,,,,,,,,,
D1,15.8,,4.8,,5.2,,29.6,,128,,73.1,,123,,female,adult,45,,,,,,,,
D3,15.7,,5.45,,5.7,,29.4,,,,73.2,,153,,female,adult,31,,,,,,,,
SF8,16.2,0.436270932,6.4,-2.004648451,6.1,-1.506741607,30,-0.100117937,127,-0.100089405,78.5,-1.279887354,96,0.324351821,male,adult,93,4,7,12,9,6,35,15,5
SF5,17.7,-1.745083729,5.5,0.126277068,5.3,0.502247202,30.4,-0.416279843,127,-0.100089405,73.4,0.005400369,91,0.770707537,male,adult,33,2,7,10,8,2,4,,
SF3,16.8,-0.436270932,5.8,-0.584031438,5.5,2.23043E-15,30.6,-0.574360796,131,-1.10098346,76.9,-0.876659833,102,-0.211275039,male,adult,13,4,2,3,2,1,1,,
SF24,14.8,2.472201949,5.5,0.126277068,4.9,1.506741607,26.3,2.824379692,119,1.901698704,66.5,1.744319052,110,-0.925444186,male,adult,4,0,1,3,0,0,,,
SF23,16.9,-0.581694576,5,1.310124578,4.8,1.757865208,28.3,1.243570163,122,1.151028163,74.5,-0.271818552,81.5,1.618783399,male,adult,39,1,6,12,13,4,3,,
SF22,16.1,0.581694576,5.4,0.36304657,5.4,0.251123601,29,0.690286828,123,0.900804649,,18.50346289,95.5,0.368987392,male,juvenile,158,6,26,31,38,33,15,9,
SF20,16.8,-0.436270932,5.6,-0.110492434,5.6,-0.251123601,31,-0.890522701,128,-0.350312919,68.3,1.290688091,85.5,1.261698825,male,adult,6,0,1,2,0,1,2,,
SF2,16.1,0.581694576,5.6,-0.110492434,5.2,0.753370804,29.4,0.374124922,125,0.400357622,75.4,-0.498634033,88,1.038520967,male,adult,43,6,2,7,5,9,9,5,
SF18,16.4,0.145423644,5.5,0.126277068,5.9,-1.004494405,30,-0.100117937,125,0.400357622,68.2,1.315889812,92,0.681436394,male,adult,0,0,0,0,0,0,,,
SF15,15.9,0.872541864,6,-1.057570443,5.2,0.753370804,30.5,-0.495320319,126,0.150134108,70,0.862258851,100,-0.032732753,male,juvenile,12,5,3,3,0,1,0,,
SF14,16.2,0.436270932,5.3,0.599816072,5.9,-1.004494405,30.5,-0.495320319,122,1.151028163,72.3,0.282619289,100,-0.032732753,male,adult,2,0,0,0,2,0,0,,
SF13,16.4,0.145423644,5.9,-0.820800941,5.3,0.502247202,30,-0.100117937,131,-1.10098346,77.8,-1.103475314,109,-0.836173042,male,adult,12,2,1,3,1,1,1,3,,
SF12,17.2,-1.017965508,5.8,-0.584031438,5.9,-1.004494405,31.1,-0.969563178,130,-0.850759947,78.3,-1.229483914,110,-0.925444186,male,adult,8,1,2,0,2,1,2,0,,
SF11,16.8,-0.436270932,5.4,0.36304657,6,-1.255618006,29.8,0.057963016,133,-1.601430488,72.5,0.232215849,120,-1.818155619,male,adult,53,8,8,5,6,8,5,6,4,3
