LOCATION,DATE,SPECIES,RING,AGE,SEX,TARS
CAN BALASC,3/9/97,Erithacus rubecula,L109056,3,,25.27
CAN BALASC,3/9/97,Erithacus rubecula,L109055,3,,25.38
CAN BALASC,3/9/97,Erithacus rubecula,L109057,3,,25.89
CAN BALASC,3/9/97,Erithacus rubecula,L109054,3,,26.25
CAN BALASC,3/9/97,Erithacus rubecula,L109058,3,,26.63
CAN BALASC,11/1/97,Erithacus rubecula,L039110,5,,24.53
CAN BALASC,11/1/97,Erithacus rubecula,L039145,5,,24.84
CAN BALASC,11/1/97,Erithacus rubecula,L039149,5,,25.42
CAN BALASC,11/1/97,Erithacus rubecula,L039112,5,,25.65
CAN BALASC,3/4/97,Erithacus rubecula,L039079,5,,25.8
CAN BALASC,11/1/97,Erithacus rubecula,L039158,5,,26.07
CAN BALASC,3/4/97,Erithacus rubecula,L109004,5,,26.3
CAN BALASC,11/1/97,Erithacus rubecula,L039155,5,,26.64
CAN BALASC,3/4/97,Erithacus rubecula,L039196,5,,27.12
CAN BALASC,11/1/97,Erithacus rubecula,L039147,6,,24.48
CAN BALASC,11/1/97,Erithacus rubecula,L039148,6,,25.27,
CAN BALASC,11/1/97,Erithacus rubecula,L039002,6,,25.63,
CAN BALASC,11/1/97,Erithacus rubecula,L039154,6,,25.63,
CAN BALASC,3/4/97,Erithacus rubecula,L039197,6,,25.7,
CAN BALASC,3/1/97,Erithacus rubecula,L039055,6,,25.76,
CAN BALASC,3/4/97,Erithacus rubecula,L039048,7,,25.3,
CAN BALASC,3/7/97,Erithacus rubecula,L109039,3J,,24.86,
CAN BALASC,3/7/97,Erithacus rubecula,L109037,3J,,25.12,
CAN BALASC,11/7/97,Hippolais polyglotta,819150,3,,13.6,
CAN BALASC,24/6/97,Hippolais polyglotta,L109029,3,,20,
CAN BALASC,3/7/97,Hippolais polyglotta,L109036,4,,19.21,
CAN BALASC,16/7/97,Hippolais polyglotta,819157,4,,20.3,
CAN BALASC,11/5/97,Hippolais polyglotta,848242,4,,20.47,
CAN BALASC,24/6/97,Hippolais polyglotta,848200,4,F,20.5,
CAN BALASC,3/6/97,Hippolais polyglotta,848192,4,F,20.6,
CAN BALASC,24/6/97,Hippolais polyglotta,L109028,4,M,20.8,
CAN BALASC,27/7/97,Hippolais polyglotta,819179,4,,20.85
CAN BALASC,12/6/97,Hippolais polyglotta,848199,4,,21.2
CAN BALASC,3/6/97,Hippolais polyglotta,848193,5,,19.9
CAN BALASC,24/6/97,Hippolais polyglotta,819143,3J,,20.4
CAN BALASC,11/1/97,Parus caeruleus,849918,5,M,16.13
CAN BALASC,2/2/97,Parus caeruleus,L039181,5,F,16.24
CAN BALASC,11/5/97,Parus caeruleus,849978,5,M,16.27
CAN BALASC,11/1/97,Parus caeruleus,849933,5,F,16.47
CAN BALASC,11/1/97,Parus caeruleus,784410,5,M,16.59
CAN BALASC,26/4/97,Parus caeruleus,849982,6,F,15.49
CAN BALASC,26/4/97,Parus caeruleus,713726,6,F,15.98
CAN BALASC,26/4/97,Parus caeruleus,849990,6,M,16.3
CAN BALASC,26/4/97,Parus caeruleus,670552,6,F,16.37
CAN BALASC,11/1/97,Parus caeruleus,777792,6,F,16.51
CAN BALASC,26/4/97,Parus caeruleus,849991,6,M,16.57
CAN BALASC,11/1/97,Parus caeruleus,670584,6,M,16.87
CAN BALASC,1/2/97,Parus caeruleus,849948,6,M,16.95
CAN BALASC,11/5/97,Parus caeruleus,713766,6,M,17.09
CAN BALASC,3/7/97,Parus major,2768568,5,F,18.68
CAN BALASC,11/1/97,Parus major,2686384,5,M,19.88
CAN BALASC,26/4/97,Parus major,2768524,5,M,20.5
CAN BALASC,3/4/97,Parus major,2768518,6,F,19.25
CAN BALASC,3/7/97,Parus major,2686293,6,F,21.32
CAN BALASC,3/7/97,Parus major,2768565,3J,,19.08
CAN BALASC,3/7/97,Parus major,2768567,3J,,19.5
CAN BALASC,3/7/97,Parus major,2768566,3J,,19.58
CAN BALASC,16/7/97,Parus major,2768577,3J,,20.06
CAN BALASC,11/7/97,Sylvia atricapilla,2768573,3,,14.2
CAN BALASC,11/7/97,Sylvia atricapilla,2768575,3,,14.8
CAN BALASC,3/9/97,Sylvia atricapilla,2768593,3,F,19.15
CAN BALASC,11/7/97,Sylvia atricapilla,2768571,4,F,15.1
CAN BALASC,26/4/97,Sylvia atricapilla,2686354,4,M,19.78
CAN BALASC,1/2/97,Sylvia atricapilla,L039171,4,F,19.86
CAN BALASC,26/4/97,Sylvia atricapilla,2716402,4,F,19.98
CAN BALASC,16/7/97,Sylvia atricapilla,2768576,4,M,20.16
CAN BALASC,3/7/97,Sylvia atricapilla,2768570,4,M,20.38
CAN BALASC,27/7/97,Sylvia atricapilla,2686289,4,F,20.66
CAN BALASC,11/5/97,Sylvia atricapilla,2768535,4,M,20.83
CAN BALASC,11/5/97,Sylvia atricapilla,2768534,4,M,20.86
CAN BALASC,2/2/97,Sylvia atricapilla,L039178,4,F,20.9
CAN BALASC,11/1/97,Sylvia atricapilla,L039159,4,F,21.46
CAN BALASC,3/9/97,Sylvia atricapilla,2768592,4,F,21.64
CAN BALASC,24/6/97,Sylvia atricapilla,2768552,4,F,21.7
CAN BALASC,19/5/97,Sylvia atricapilla,2768549,4,F,21.7
CAN BALASC,12/6/97,Sylvia atricapilla,27688551,4,M,21.9
CAN BALASC,11/7/97,Sylvia atricapilla,L039049,5,F,14.7
CAN BALASC,12/1/97,Sylvia atricapilla,2686399,5,M,15.1
CAN BALASC,11/7/97,Sylvia atricapilla,2768574,5,F,15.3
CAN BALASC,11/1/97,Sylvia atricapilla,L039152,5,M,19.13
CAN BALASC,3/4/97,Sylvia atricapilla,L039200,5,M,19.55
CAN BALASC,30/4/97,Sylvia atricapilla,2768526,5,F,19.94
CAN BALASC,1/2/97,Sylvia atricapilla,L039173,5,F,19.95
CAN BALASC,2/2/97,Sylvia atricapilla,L039179,5,F,20
CAN BALASC,26/4/97,Sylvia atricapilla,L109007,5,F,20.14
CAN BALASC,11/5/97,Sylvia atricapilla,2768529,5,M,20.26
CAN BALASC,4/1/97,Sylvia atricapilla,2686396,5,F,20.3
CAN BALASC,4/1/97,Sylvia atricapilla,2686398,5,M,20.3
CAN BALASC,3/4/97,Sylvia atricapilla,L109003,5,M,20.31
CAN BALASC,3/1/97,Sylvia atricapilla,L039152,5,F,20.37
CAN BALASC,11/1/97,Sylvia atricapilla,L039156,5,M,20.44
CAN BALASC,11/1/97,Sylvia atricapilla,2686386,5,F,20.51
CAN BALASC,1/2/97,Sylvia atricapilla,L039172,5,M,20.57
CAN BALASC,4/1/97,Sylvia atricapilla,2686397,5,M,20.8
CAN BALASC,1/2/97,Sylvia atricapilla,2768510,5,M,20.83
CAN BALASC,11/5/97,Sylvia atricapilla,2768230,5,F,20.89
CAN BALASC,11/5/97,Sylvia atricapilla,2768528,5,F,21.07
CAN BALASC,26/4/97,Sylvia atricapilla,L109008,5,M,21.1
CAN BALASC,3/4/97,Sylvia atricapilla,L039198,5,F,21.49
CAN BALASC,26/4/97,Sylvia atricapilla,2625514,6,M,20.29
CAN BALASC,4/1/97,Sylvia atricapilla,2686393,6,M,20.5
CAN BALASC,11/1/97,Sylvia atricapilla,2686219,6,F,20.88
CAN BALASC,11/7/97,Sylvia atricapilla,2768572,3J,,14.1
CAN BALASC,27/7/97,Sylvia atricapilla,2686288,3J,,19.22
CAN BALASC,27/7/97,Sylvia atricapilla,2768587,3J,,20.44
CAN BALASC,24/6/97,Sylvia atricapilla,2768562,3J,,21
CAN BALASC,24/6/97,Sylvia atricapilla,2768561,3J,,21.4
