study_ref,species,population,dates,notes
1,Taeniopygia guttata,Bielefeld ,2010,
2,Hirundo rustica,Czech Rep & Rom,2010-2017 ,
3,Parus major,Toulouse ,2011-2012,nest means
4,Taeniopygia guttata,Seewiesen ,,not used- better sample available
5,Sturnus vulgaris,-,,
6,Parus major,Antwerp,2012-2013,
7,Nipponia nippon,-,,
8,Habia fuscicauda,-,,
9,Taeniopygia guttata,BC,,
10,Ficedula hypoleuca,Spain,,
11,Parus major,Wytham Woods ,1982-2008 ,
12,Cyanistes caeruleus,Corsica,2010-2011,
13a,Ficedula albicollis,Gotland ,,
13b,Taeniopygia guttata,Seewiesen ,,
14,Lanius bucephalus,-,,
15,Parus major,Bavaria ,2010-2019,
16,Ficedula albicollis,Velky Koslr,2001-2003,
17,Ficedula albicollis,Velky Koslr,2011-2014,
18,Passer domesticus,Norway,2001-2012 ,
19,Cyanistes caeruleus,Lund,,
20,Acrocephalus sechellensis,-,,
21,Cyanistes caeruleus,Gotland ,,
22,Passer domesticus,Norway,2003_2009 ,
23,Aix sponsa,-,,not used- data too messy
24,Parus major,Antwerp,2017,
25a,Passer domesticus,Norway,1993-2017,not used- better sample available
25b,Ficedula albicollis,Oland ,2002-2017,not used- better sample available
26,Cyanistes caeruleus,Corsica ,1980-2017,
27,Ficedula albicollis,Gotland,1981-2013,not used- better sample available
28,Cinclus cinclus,Zurich,,residuals of tarus and age
29,Troglodytes aedon,Illinois ,2016,
30,Troglodytes aedon,Illinois ,2016,
31,Troglodytes aedon,Illinois ,2004-2006 ,
32,Cepphus grylle,-,,
33,Acrocephalus sechellensis,-,,
34,Parus major,Montpellier ,2011-2017,
35,Falco naumanni,-,,
36,Tachycineta bicolor,Quebec ,2005-2011 ,
37,Tachycineta bicolor,Ontario ,1975-2017 ,
38,Tachycineta bicolor,Massachusetts ,2014-2016 ,
39,Cyanistes caeruleus,Finland,2003-2019,
40a,Ficedula hypoleuca,Oland ,,
40b,Ficedula albicollis,Oland ,,
41,Passer domesticus,Lundy,,
42,Prunella modularis,-,,
43,Cyanistes caeruleus,Dalmeny,2010-2018,
44,Hirundo rustica,,,
45,Taeniopygia guttata,Sheffield,,
