"bird_id","egg_id","clip_id","ring_no","min_hatch_date","min_hatch_time","max_hatch_date","max_hatch_time","nest_rear","max_death_date","max_death_time","sex"
"X552013",NA,NA,"X552013",NA,NA,NA,NA,NA,NA,NA,"F"
"X552051",NA,NA,"X552051",NA,NA,NA,NA,NA,NA,NA,"M"
"X552015",NA,NA,"X552015",NA,NA,NA,NA,NA,NA,NA,"F"
"X552018",NA,NA,"X552018",NA,NA,NA,NA,NA,NA,NA,"F"
"X552058",NA,NA,"X552058",NA,NA,NA,NA,NA,NA,NA,"M"
"X552036",NA,NA,"X552036",NA,NA,NA,NA,NA,NA,NA,"F"
"X552052",NA,NA,"X552052",NA,NA,NA,NA,NA,NA,NA,"M"
"X552059",NA,NA,"X552059",NA,NA,NA,NA,NA,NA,NA,"M"
"X552016",NA,NA,"X552016",NA,NA,NA,NA,NA,NA,NA,"F"
"X552017",NA,NA,"X552017",NA,NA,NA,NA,NA,NA,NA,"F"
"X552053",NA,NA,"X552053",NA,NA,NA,NA,NA,NA,NA,"M"
"X552020",NA,NA,"X552020",NA,NA,NA,NA,NA,NA,NA,"F"
"X552060",NA,NA,"X552060",NA,NA,NA,NA,NA,NA,NA,"M"
"X552070",NA,NA,"X552070",NA,NA,NA,NA,NA,NA,NA,"M"
"X552074",NA,NA,"X552074",NA,NA,NA,NA,NA,NA,NA,"F"
"X552071",NA,NA,"X552071",NA,NA,NA,NA,NA,NA,NA,"M"
"X552021",NA,NA,"X552021",NA,NA,NA,NA,NA,NA,NA,"F"
"X552072",NA,NA,"X552072",NA,NA,NA,NA,NA,NA,NA,"F"
"X552073",NA,NA,"X552073",NA,NA,NA,NA,NA,NA,NA,"M"
"X552025",NA,NA,"X552025",NA,NA,NA,NA,NA,NA,NA,"F"
"X552034",NA,NA,"X552034",NA,NA,NA,NA,NA,NA,NA,"F"
"X552075",NA,NA,"X552075",NA,NA,NA,NA,NA,NA,NA,"M"
"X552032",NA,NA,"X552032",NA,NA,NA,NA,NA,NA,NA,"F"
"X552033",NA,NA,"X552033",NA,NA,NA,NA,NA,NA,NA,"F"
"X552085",NA,NA,"X552085",NA,NA,NA,NA,NA,NA,NA,"M"
"X552076",NA,NA,"X552076",NA,NA,NA,NA,NA,NA,NA,"M"
"P865426",NA,NA,"P865426",NA,NA,NA,NA,NA,NA,NA,"F"
"P865414",NA,NA,"P865414",NA,NA,NA,NA,NA,NA,NA,"F"
"X552090",NA,NA,"X552090",NA,NA,NA,NA,NA,NA,NA,"M"
"X552039",NA,NA,"X552039",NA,NA,NA,NA,NA,NA,NA,"F"
"X552078",NA,NA,"X552078",NA,NA,NA,NA,NA,NA,NA,"M"
"X552041",NA,NA,"X552041",NA,NA,NA,NA,NA,NA,NA,"F"
"X552037",NA,NA,"X552037",NA,NA,NA,NA,NA,NA,NA,"F"
"X552081",NA,NA,"X552081",NA,NA,NA,NA,NA,NA,NA,"M"
"X552022",NA,NA,"X552022",NA,NA,NA,NA,NA,NA,NA,"F"
"X552077",NA,NA,"X552077",NA,NA,NA,NA,NA,NA,NA,"M"
"X552040",NA,NA,"X552040",NA,NA,NA,NA,NA,NA,NA,"F"
"X552092",NA,NA,"X552092",NA,NA,NA,NA,NA,NA,NA,"M"
"X552038",NA,NA,"X552038",NA,NA,NA,NA,NA,NA,NA,"F"
"X552083",NA,NA,"X552083",NA,NA,NA,NA,NA,NA,NA,"M"
"X552035",NA,NA,"X552035",NA,NA,NA,NA,NA,NA,NA,"F"
"X552086",NA,NA,"X552086",NA,NA,NA,NA,NA,NA,NA,"M"
"X552049",NA,NA,"X552049",NA,NA,NA,NA,NA,NA,NA,"F"
"X552084",NA,NA,"X552084",NA,NA,NA,NA,NA,NA,NA,"M"
"X552047",NA,NA,"X552047",NA,NA,NA,NA,NA,NA,NA,"F"
"X552087",NA,NA,"X552087",NA,NA,NA,NA,NA,NA,NA,"M"
"X552043",NA,NA,"X552043",NA,NA,NA,NA,NA,NA,NA,"F"
"X552088",NA,NA,"X552088",NA,NA,NA,NA,NA,NA,NA,"M"
"P865398",NA,NA,"P865398",NA,NA,NA,NA,NA,NA,NA,"F"
"X552089",NA,NA,"X552089",NA,NA,NA,NA,NA,NA,NA,"M"
"X552055",NA,NA,"X552055",NA,NA,NA,NA,NA,NA,NA,"F"
"X552079",NA,NA,"X552079",NA,NA,NA,NA,NA,NA,NA,"M"
"X552082",NA,NA,"X552082",NA,NA,NA,NA,NA,NA,NA,"F"
"X552080",NA,NA,"X552080",NA,NA,NA,NA,NA,NA,NA,"M"
"X552054",NA,NA,"X552054",NA,NA,NA,NA,NA,NA,NA,"F"
"P865325",NA,NA,"P865325",NA,NA,NA,NA,NA,NA,NA,"F"
"X275503",NA,NA,"X275503",NA,NA,NA,NA,NA,NA,NA,"M"
"P865470",NA,NA,"P865470",NA,NA,NA,NA,NA,NA,NA,"F"
"X552091",NA,NA,"X552091",NA,NA,NA,NA,NA,NA,NA,"M"
"X552048",NA,NA,"X552048",NA,NA,NA,NA,NA,NA,NA,"F"
"X552093",NA,NA,"X552093",NA,NA,NA,NA,NA,NA,NA,"M"
"X552094",NA,NA,"X552094",NA,NA,NA,NA,NA,NA,NA,"F"
"X552095",NA,NA,"X552095",NA,NA,NA,NA,NA,NA,NA,"M"
"X552042",NA,NA,"X552042",NA,NA,NA,NA,NA,NA,NA,"F"
"X552096",NA,NA,"X552096",NA,NA,NA,NA,NA,NA,NA,"M"
"X552046",NA,NA,"X552046",NA,NA,NA,NA,NA,NA,NA,"F"
"X552097",NA,NA,"X552097",NA,NA,NA,NA,NA,NA,NA,"M"
"X552050",NA,NA,"X552050",NA,NA,NA,NA,NA,NA,NA,"F"
"X552098",NA,NA,"X552098",NA,NA,NA,NA,NA,NA,NA,"M"
"X552045",NA,NA,"X552045",NA,NA,NA,NA,NA,NA,NA,"F"
"X552099",NA,NA,"X552099",NA,NA,NA,NA,NA,NA,NA,"M"
"X552056",NA,NA,"X552056",NA,NA,NA,NA,NA,NA,NA,"F"
"X552100",NA,NA,"X552100",NA,NA,NA,NA,NA,NA,NA,"M"
"X552101",NA,NA,"X552101",NA,NA,NA,NA,NA,NA,NA,"M"
"X552102",NA,NA,"X552102",NA,NA,NA,NA,NA,NA,NA,"F"
"P865490",NA,NA,"P865490",NA,NA,NA,NA,NA,NA,NA,"M"
