"nestbox","lat","long","population","yr_setup"
"1",55.96799,-3.35533,"craigie_hill","2008-12"
"2",55.96763,-3.35537,"craigie_hill","2008-12"
"3",55.96739,-3.35566,"craigie_hill","2008-12"
"4",55.96705,-3.35601,"craigie_hill","2008-12"
"5",55.9668,-3.35636,"craigie_hill","2008-12"
"6",55.96638,-3.35705,"craigie_hill","2008-12"
"7",55.96601,-3.35738,"craigie_hill","2008-12"
"8",55.96562,-3.3577,"craigie_hill","2008-12"
"9",55.96545,-3.35826,"craigie_hill","2008-12"
"10",55.96519,-3.3582,"craigie_hill","2008-12"
"11",55.96501,-3.35909,"craigie_hill","2008-12"
"12",55.96516,-3.35956,"craigie_hill","2008-12"
"13",55.96548,-3.35943,"craigie_hill","2008-12"
"14",55.96544,-3.35878,"craigie_hill","2008-12"
"15",55.9658,-3.35842,"craigie_hill","2008-12"
"16",55.96595,-3.35782,"craigie_hill","2008-12"
"17",55.96627,-3.35786,"craigie_hill","2008-12"
"18",55.96637,-3.35862,"craigie_hill","2008-12"
"19",55.96612,-3.35887,"craigie_hill","2008-12"
"20",55.96587,-3.35902,"craigie_hill","2008-12"
"21",55.96589,-3.35958,"craigie_hill","2008-12"
"22",55.96608,-3.35937,"craigie_hill","2008-12"
"23",55.9664,-3.35934,"craigie_hill","2008-12"
"24",55.96687,-3.35925,"craigie_hill","2008-12"
"25",55.96684,-3.35861,"craigie_hill","2008-12"
"26",55.96666,-3.35798,"craigie_hill","2008-12"
"27",55.96723,-3.35826,"craigie_hill","2008-12"
"28",55.96729,-3.35879,"craigie_hill","2008-12"
"29",55.96725,-3.35933,"craigie_hill","2008-12"
"30",55.96762,-3.35909,"craigie_hill","2008-12"
"31",55.96759,-3.35851,"craigie_hill","2008-12"
"32",55.96758,-3.35805,"craigie_hill","2008-12"
"33",55.96786,-3.35792,"craigie_hill","2008-12"
"34",55.96789,-3.3584,"craigie_hill","2008-12"
"35",55.968,-3.35905,"craigie_hill","2008-12"
"36",55.96821,-3.35893,"craigie_hill","2008-12"
"37",55.96821,-3.35845,"craigie_hill","2008-12"
"38",55.96812,-3.35806,"craigie_hill","2008-12"
"39",55.96843,-3.35792,"craigie_hill","2008-12"
"40",55.96846,-3.35829,"craigie_hill","2008-12"
"41",55.96854,-3.35884,"craigie_hill","2008-12"
"42",55.96875,-3.35868,"craigie_hill","2008-12"
"43",55.9688,-3.35793,"craigie_hill","2008-12"
"44",55.9688,-3.35744,"craigie_hill","2008-12"
"45",55.96876,-3.35701,"craigie_hill","2008-12"
"46",55.96871,-3.35633,"craigie_hill","2008-12"
"47",55.96924,-3.35787,"craigie_hill","2008-12"
"48",55.96912,-3.3587,"craigie_hill","2008-12"
"49",55.96936,-3.35855,"craigie_hill","2008-12"
"50",55.96941,-3.3579,"craigie_hill","2008-12"
"51",55.9697,-3.35784,"craigie_hill","2008-12"
"52",55.96974,-3.35836,"craigie_hill","2008-12"
"53",55.97004,-3.35825,"craigie_hill","2008-12"
"54",55.97002,-3.35776,"craigie_hill","2008-12"
"55",55.97038,-3.35761,"craigie_hill","2008-12"
"56",55.97043,-3.3582,"craigie_hill","2008-12"
"57",55.9708,-3.35813,"craigie_hill","2008-12"
"58",55.97075,-3.35765,"craigie_hill","2008-12"
"59",55.97062,-3.35713,"craigie_hill","2008-12"
"60",55.97096,-3.35697,"craigie_hill","2008-12"
"61",55.97092,-3.35759,"craigie_hill","2008-12"
"62",55.97097,-3.35806,"craigie_hill","2008-12"
"63",55.97127,-3.35788,"craigie_hill","2008-12"
"64",55.97118,-3.35742,"craigie_hill","2008-12"
"65",55.97118,-3.35688,"craigie_hill","2008-12"
"66",55.97158,-3.35674,"craigie_hill","2008-12"
"67",55.97173,-3.35718,"craigie_hill","2008-12"
"68",55.97182,-3.35758,"craigie_hill","2008-12"
"69",55.97226,-3.35762,"craigie_hill","2008-12"
"70",55.97218,-3.35699,"craigie_hill","2008-12"
"71",55.97204,-3.35663,"craigie_hill","2008-12"
"72",55.97242,-3.35643,"craigie_hill","2008-12"
"73",55.9725,-3.35692,"craigie_hill","2008-12"
"74",55.97255,-3.35754,"craigie_hill","2008-12"
"75",55.97287,-3.35731,"craigie_hill","2008-12"
"76",55.97293,-3.35684,"craigie_hill","2008-12"
"77",55.97273,-3.35639,"craigie_hill","2008-12"
"78",55.97316,-3.3562,"craigie_hill","2008-12"
"79",55.97322,-3.35672,"craigie_hill","2008-12"
