"bird_id","dam","sire","nest_orig","dam_prob","sire_prob","ped_type"
"X551079","X552114","X552113","09_A9","1","0.9995","DSF"
"X551083","X552114","X552113","09_A9","1","1","DSF"
"X551081","X552114","X552113","09_A9","1","1","DSF"
"X551082","X552025","09_1M","09_1","1","0.8445","DSF"
"X551084","X552025","09_1M","09_1","1","0.8705","DSF"
"X551080","X552025","X552118","09_1","1","0.9765","DSF"
"X551261","X552025","09_1M","09_1","1","0.8525","DSF"
"X551260","X552114","X552113","09_A9","1","1","DSF"
"09_1RT","X552025","09_1M","09_1","1","0.831","DSF"
"X551014","X552015","09_5M","09_5","1","0.8265","DSF"
"X551011","X552014","X552119","09_A38","1","1","DSF"
"X551012","X552015","09_5M","09_5","1","0.851","DSF"
"X551010","X552015","09_5M","09_5","1","0.839","DSF"
"X551015","X552014",NA,"09_A38","0.9995","0.5875","DSF"
"X551016","X552015","09_5M","09_5","1","0.8335","DSF"
"X551013","X552014","X552119","09_A38","1","1","DSF"
"X551100","X552025","09_1M","09_1","1","0.849","DSF"
"X551094","X552025","09_1M","09_1","1","0.8535","DSF"
"X551099","X552072",NA,"09_13","1","0.4015","DSF"
"X551098","X552072","X552097","09_13","1","1","DSF"
"X551097","X552025","09_1M","09_1","1","0.8545","DSF"
"X551096","X552072","X552097","09_13","1","1","DSF"
"09_13A","X552072","X552097","09_13","1","0.33","DSF"
"X551095","X552025","09_1M","09_1","1","0.858","DSF"
"X551103","X552074","X552070","09_131","1","1","DSF"
"X551445","X552112","X552091","09_160","1","0.943","DSF"
"X551447","X552115","X552097","09_16","1","1","DSF"
"09_16B","X552115","X552097","09_16","1","0.9995","DSF"
"X551446","X552112","X552091","09_160","1","0.999","DSF"
"09_16RB","X552115","09_16M","09_16","1","0.765","DSF"
"X551444","P865399","X552087","09_43","1","1","DSF"
"X551259","X552046","X552097","09_17","1","1","DSF"
"X551256","X552046","X552097","09_17","1","1","DSF"
"X551254","X552046","X552097","09_17","1","1","DSF"
"X551258","X552082","X552080","09_120","1","1","DSF"
"X551253","X552082","X552080","09_120","1","1","DSF"
"X551257","X552046","X552097","09_17","1","1","DSF"
"X551252","X552082","X552080","09_120","1","0.998","DSF"
"X551255","X552082","X552080","09_120","1","1","DSF"
"X551210","X552047","X552087","09_42","1","0.9905","DSF"
"X551482","X552121","X552097","09_18","1","0.999","DSF"
"X551484","X552121","X552097","09_18","1","1","DSF"
"X551486","X552121","X552097","09_18","1","1","DSF"
"X551483","X552121","09_19M","09_18","1","0.391","DSF"
"09_18RB","X552121","X552097","09_18","1","1","DSF"
"09_18LR","X552121","X552097","09_18","1","1","DSF"
"X551485","X552121","09_19M","09_18","1","0.3855","DSF"
"X551295","X552050","X552098","09_25","1","0.993","DSF"
"X551294","X552050","X552098","09_25","1","1","DSF"
"X551289","X552050","X552098","09_25","1","1","DSF"
"X551292","09_19F","09_19M","09_19","1","0.8245","DSF"
"X551293","X552050","X552098","09_25","1","0.996","DSF"
"X551290","09_19F","X552097","09_19","1","0.9505","DSF"
"X551288","09_19F","09_19M","09_19","1","0.567","DSF"
"X551337","X552050","X552098","09_25","1","1","DSF"
"X551209","P865398","X552089","09_98","1","1","DSF"
"X551213","P865398","X552090","09_98","1","0.9985","DSF"
"X551208","P865398","X552089","09_98","1","1","DSF"
"X551212","P865398","X552089","09_98","1","1","DSF"
"X551211","X552047","X552087","09_42","1","0.9755","DSF"
"X551469","09_63F","X552088","09_63","1","0.948","DSF"
"X551468","09_63F","X552088","09_63","1","0.989","DSF"
"X551467","P865399","X552087","09_43","1","0.989","DSF"
"09_43LB","P865399","X552087","09_43","1","0.9995","DSF"
"09_43RB","09_63F","X552088","09_63","1","0.976","DSF"
"09_43LR","P865399","X552087","09_43","1","0.951","DSF"
"09_43N","09_63F","09_63M","09_63","1","0.7255","DSF"
"X551462","T562547","X552087","09_44","1","0.988","DSF"
"X551460","09_88F","X552089","09_88","1","0.986","DSF"
"X551459","T562547","X552118","09_44","1","1","DSF"
"X551465","T562547","X552087","09_44","1","0.8605","DSF"
"X551461","T562547","X552118","09_44","1","0.9995","DSF"
"X551463","09_88F","X552089","09_88","1","0.983","DSF"
"X551464","T562547","X552118","09_44","1","1","DSF"
"09_44N","09_88F","X552089","09_88","1","0.9945","DSF"
"X551325","09_48F","X552101","09_48","1","1","DSF"
"X551328","09_48F","X552101","09_48","1","0.997","DSF"
"X551326","P865423","X552106","09_60","1","0.994","DSF"
"X551329","P865423","X552106","09_60","1","1","DSF"
"X551327","09_48F","X552101","09_48","1","1","DSF"
"X551331","P865423","X552106","09_60","1","1","DSF"
"X551324","P865423",NA,"09_60","1","0.348","DSF"
"X551330","09_48F","X552101","09_48","1","0.9985","DSF"
"X551332","09_48F","X552101","09_48","1","1","DSF"
"X551323","09_48F","X552101","09_48","1","0.9995","DSF"
"X551354","09_A3F","09_A3M","09_A3","0.7735","0.6815","DSF"
"X551304","X552043","X552088","09_56","1","1","DSF"
"X551297","P865470","X552091","09_154","1","1","DSF"
"X551299","X552043",NA,"09_56","1","0.3205","DSF"
"X551298","P865470","X552091","09_154","1","1","DSF"
"X551187","P865470","X552091","09_154","1","1","DSF"
"X551300","X552043","X552088","09_56","1","1","DSF"
"09_56A","X552043","X552088","09_56","1","0.731","DSF"
"X551302","X552043","X552088","09_56","1","1","DSF"
"X551296","P865470","X552091","09_154","1","1","DSF"
"X551303","P865470","X552091","09_154","1","1","DSF"
"X551301","X552032","09_A23M","09_A22","1","0.288","DSF"
"X551404","09_87F","X552089","09_87","1","0.991","DSF"
"X551406","P865423","X552106","09_60","1","1","DSF"
"X551405","09_87F","X552089","09_87","1","0.99","DSF"
"09_63L","P865399","X552087","09_43","1","0.998","DSF"
"09_63R","09_63F","X552096","09_63","1","0.9795","DSF"
"09_63B","09_63F","X552088","09_63","1","0.8975","DSF"
"09_63LBT","09_63F","X552096","09_63","1","0.97","DSF"
"09_63LB","P865399","X552087","09_43","1","1","DSF"
"09_63LR","09_63F","X552096","09_63","1","0.955","DSF"
"09_63RB","P865399","X552087","09_43","1","1","DSF"
"09_63N","09_63F","09_63M","09_63","1","0.733","DSF"
"X551274","X552042","X552096","09_66","1","1","DSF"
"X551270","X552042","X552096","09_66","1","0.9995","DSF"
"X551268","X552042","X552096","09_66","1","1","DSF"
"X551269","X552042","X552096","09_66","1","1","DSF"
"X551273","X552042","X552096","09_66","1","1","DSF"
"X551275","X552042","X552096","09_66","1","1","DSF"
"X551266","X552042","X552096","09_66","1","1","DSF"
"X551265","X552042","X552096","09_66","1","1","DSF"
"X551272","X552042","X552096","09_66","1","1","DSF"
"X551271","X552042","X552096","09_66","1","1","DSF"
"X551267","X552042","X552096","09_66","1","1","DSF"
"X551315","X552045","X552099","09_A13","1","1","DSF"
"X551186","X552032","X552075","09_A22","1","1","DSF"
"X551189","X552032","X552075","09_A22","1","0.9995","DSF"
"X551190","X552022","X552109","09_73","1","0.99","DSF"
"X551185","X552022","X552077","09_73","1","0.9995","DSF"
"X551183","X552022","X552077","09_73","1","1","DSF"
"X551184","X552032","X552075","09_A22","1","1","DSF"
"X551188","X552022","X552077","09_73","1","1","DSF"
"X551191","X552022","X552077","09_73","1","1","DSF"
"X551408","X552108","X552109","09_79","1","1","DSF"
"X551411","09_76F","X552109","09_76","1","0.823","DSF"
"X551410","X552108","X552109","09_79","1","1","DSF"
"X551412","X552108","X552109","09_79","1","1","DSF"
"X551407","X552108","X552109","09_79","1","0.9965","DSF"
"X551409","09_76F","X552077","09_76","1","0.6145","DSF"
"X551434","X552108","X552109","09_79","1","1","DSF"
"X551435","09_76F","09_76M","09_76","1","0.704","DSF"
"X551263","X552041","09_78M","09_78","1","0.7365","DSF"
"X551193","X552041","09_78M","09_78","1","0.7125","DSF"
"09_78B","X552041","09_78M","09_78","1","0.7115","DSF"
"09_78LB","X552043","X552088","09_56","1","1","DSF"
"09_78RB","X552043","X552088","09_56","1","1","DSF"
"X551262","X552043","X552088","09_56","1","1","DSF"
"X551264","X552041","09_78M","09_78","1","0.737","DSF"
"X551192","X552041","09_78M","09_78","1","0.7265","DSF"
"09_78BT","X552043","X552088","09_56","1","1","DSF"
"09_78AT","X552043","X552088","09_56","1","1","DSF"
"X551230","X552054","X552090","09_96","1","1","DSF"
"X551418","X552108","X552109","09_79","1","1","DSF"
"X551419","X552108","X552109","09_79","1","1","DSF"
"X551420","X552108","X552109","09_79","1","1","DSF"
"X551416","P865442",NA,"09_167","1","0.352","DSF"
"X551413","P865442","P865467","09_167","1","1","DSF"
